Date,ticker,rank,rank_change,close,rs_20d,rs_change_20d,ma20,ma50,ma100,drawdown_from_entry,exit_state,triggered_rules
2026-08-12,BMRI.JK,2,0,4130.0,-7.16,-3.57,4243.5,4152.4,4188.71,7.55,EXIT,"B, C, D"
2026-08-12,PTBA.JK,3,0,2350.0,-8.39,-9.05,2374.5,2400.4,2585.88,-9.27,EXIT,"B, C, D"
2026-08-12,PGAS.JK,8,0,1485.0,-5.83,-3.91,1508.75,1495.69,1615.68,-2.3,EXIT,"B, C, D"
2026-08-12,ASII.JK,9,0,4860.0,-5.29,-9.2,5025.0,4856.0,5315.62,2.53,EXIT,"B, D"
2026-08-12,EXCL.JK,10,0,2560.0,-5.1,-6.81,2505.0,2517.0,2751.0,-3.4,EXIT,"B, D"
2026-08-12,ANTM.JK,15,0,3090.0,-3.85,-9.96,3011.5,2864.11,3108.31,12.36,EXIT,"A, B, D"
2026-08-12,UNTR.JK,17,0,23300.0,-20.46,-42.46,24773.75,23774.5,26027.63,0.0,EXIT,"A, B, C, D"
2026-08-12,SIDO.JK,21,0,354.0,-13.78,-15.63,364.9,370.36,421.11,0.0,EXIT,"A, B, C, D"
2026-08-12,GOTO.JK,24,0,50.0,-5.49,-8.37,50.0,50.0,50.79,0.0,EXIT,"A, B, D"
2026-08-12,HEAL.JK,30,0,760.0,-20.1,-23.54,809.75,839.4,981.63,0.0,EXIT,"A, B, C, D"
2026-08-12,BBTN.JK,99,0,1210.0,-5.08,-4.35,1226.75,1195.0,1259.2,0.0,EXIT,"A, B, D"
2026-08-12,ENRG.JK,99,0,1320.0,-10.53,-12.33,1350.0,1290.3,1454.15,0.0,EXIT,"A, B, D"
2026-08-12,JSMR.JK,99,0,2760.0,-2.51,-3.91,2742.0,2748.6,2837.91,0.0,EXIT,"A, B, D"
2026-08-12,KIJA.JK,99,0,125.0,-10.07,-20.32,129.0,123.56,147.16,0.0,EXIT,"A, B, D"
2026-08-12,KPIG.JK,99,0,74.0,-15.25,-11.3,81.85,81.52,94.76,0.0,EXIT,"A, B, C, D"
2026-08-12,MYOR.JK,99,0,1665.0,-11.43,-14.3,1715.5,1734.72,1751.61,0.0,EXIT,"A, B, C, D"
2026-08-12,PANI.JK,99,0,6150.0,-5.08,-3.29,6218.75,6225.76,7219.38,0.0,EXIT,"A, B, C, D"
2026-08-12,PNLF.JK,99,0,230.0,-2.81,-9.39,227.6,219.46,233.13,0.0,EXIT,"A, B, D"
2026-08-12,PWON.JK,99,0,256.0,-7.03,-17.09,264.2,254.59,281.24,0.0,EXIT,"A, B, D"
2026-08-12,RATU.JK,99,0,5000.0,-8.87,-20.24,5006.25,4929.8,5223.42,0.0,EXIT,"A, B, D"
2026-08-12,SCMA.JK,99,0,200.0,-8.41,-13.26,203.15,203.04,223.81,0.0,EXIT,"A, B, C, D"
2026-08-12,TOWR.JK,99,0,392.0,-1.79,-1.09,403.2,379.16,419.08,0.0,EXIT,"A, B, D"
2026-08-12,CPIN.JK,11,0,3150.0,-2.89,2.6,3163.5,3201.2,3610.46,-6.8,EXIT RISK,"A, C"
2026-08-12,MAPI.JK,12,0,1510.0,-6.48,-11.69,1565.75,1528.14,1422.46,1.68,EXIT RISK,"A, B, C"
2026-08-12,EMTK.JK,99,0,510.0,-6.46,1.87,525.75,526.68,650.53,0.0,EXIT RISK,"A, C"
2026-08-12,ADRO.JK,1,0,2520.0,-3.88,-13.19,2516.5,2383.8,2390.93,12.5,WEAKENING,B
2026-08-12,ITMG.JK,14,0,24750.0,-2.48,-11.89,24502.5,23336.0,24319.38,0.0,WEAKENING,"A, B"
2026-08-12,BBCA.JK,23,0,6350.0,-1.82,-2.3,6366.25,6090.5,6173.36,0.0,WEAKENING,"A, B"
2026-08-12,MIKA.JK,26,0,1800.0,-2.04,-17.07,1780.0,1679.95,1792.44,0.0,WEAKENING,"A, B"
2026-08-12,ACES.JK,99,0,360.0,-1.45,-5.7,355.1,339.82,337.8,0.0,WEAKENING,"A, B"
2026-08-12,AMRT.JK,99,0,1390.0,-3.29,-1.6,1364.75,1366.92,1374.84,0.0,WEAKENING,"A, B"
2026-08-12,ARTO.JK,99,0,1255.0,-5.09,-32.97,1282.0,1110.9,1201.75,0.0,WEAKENING,"A, B"
