rank,ticker,quality,growth,value,momentum,final_score
1,ADRO.JK,53.77,86.21,62.07,92.97,73.22
2,BMRI.JK,77.59,68.97,77.58,52.06,67.79
3,PTBA.JK,49.96,93.1,55.86,81.98,67.25
4,BBNI.JK,53.96,55.17,83.45,55.21,63.37
5,ESSA.JK,64.65,96.55,26.9,81.14,62.29
6,BBRI.JK,71.21,62.07,75.86,41.84,61.41
7,INDF.JK,50.49,58.62,74.83,55.98,60.53
8,PGAS.JK,35.81,75.86,52.07,74.81,58.34
9,ASII.JK,53.52,17.24,77.59,55.78,57.9
10,EXCL.JK,18.62,34.48,66.55,85.0,57.82
11,CPIN.JK,63.88,82.76,47.59,53.61,57.29
12,MAPI.JK,44.85,72.41,26.55,87.46,57.03
13,INTP.JK,47.44,48.28,86.21,39.3,56.31
14,ITMG.JK,45.77,13.79,57.24,72.51,55.37
15,ANTM.JK,50.62,79.31,38.97,62.28,54.08
16,AKRA.JK,49.14,65.52,34.83,70.14,53.84
17,UNTR.JK,50.34,0.0,61.38,58.2,51.37
18,MDKA.JK,12.34,34.48,40.17,87.43,49.18
19,TLKM.JK,62.2,6.9,28.96,64.46,47.49
20,ICBP.JK,59.0,24.14,48.96,33.97,43.74
21,SIDO.JK,82.3,3.45,37.24,31.45,43.1
22,BRPT.JK,41.83,100.0,9.48,49.26,40.54
23,BBCA.JK,80.35,44.83,30.34,18.94,40.3
24,GOTO.JK,16.44,34.48,51.55,34.66,35.15
25,KLBF.JK,62.6,20.69,45.86,10.26,35.07
26,MIKA.JK,73.92,51.72,17.93,11.83,33.17
27,TPIA.JK,50.22,34.48,54.48,0.78,32.62
28,SMGR.JK,31.59,89.66,38.28,11.01,32.2
29,AMMN.JK,41.71,34.48,9.48,3.14,17.82
30,HEAL.JK,19.05,10.34,14.83,14.2,15.22
