rank,ticker,drawdown_252d,distance_from_high_252d,volatility_60d,rs_change_60d,volume_ratio,recovery_from_60d_low,context_match,transition_match
1,AMRT.JK,-39.5,-39.5,4.69,26.56,0.31,27.32,True,True
2,RAJA.JK,-55.06,-55.06,6.95,39.66,0.34,37.88,True,True
3,SCMA.JK,-52.34,-52.34,3.97,13.11,0.4,12.85,True,True
4,ARTO.JK,-61.65,-61.65,4.24,5.92,0.41,12.42,True,True
5,RATU.JK,-62.37,-62.37,7.39,49.05,0.36,21.18,True,True
6,WIFI.JK,-63.29,-63.29,4.48,12.81,0.31,14.29,True,True
7,CUAN.JK,-79.42,-79.42,8.03,11.16,0.3,17.28,True,True
8,BRMS.JK,-61.83,-61.83,6.07,8.6,0.75,4.17,True,True
9,BRPT.JK,-67.17,-67.17,8.64,68.75,0.4,9.77,True,True
10,BUMI.JK,-69.61,-69.61,5.15,7.19,0.27,8.46,True,True
11,PTRO.JK,-70.78,-70.78,7.74,48.13,0.19,8.96,True,True
12,KPIG.JK,-73.43,-73.43,4.98,6.23,0.93,0.0,True,True
13,TAPG.JK,-25.99,-25.99,3.99,-38.61,0.25,17.86,True,False
14,ANTM.JK,-38.68,-38.68,4.19,-25.9,0.33,15.38,True,False
15,MBMA.JK,-45.41,-45.41,4.68,-65.36,0.61,14.35,True,False
16,MDKA.JK,-33.25,-33.25,5.45,-54.91,0.3,20.64,True,False
17,ESSA.JK,-35.19,-35.19,4.3,-24.05,0.98,10.12,True,False
18,HRUM.JK,-43.3,-43.3,3.96,-24.74,0.34,15.62,True,False
19,ENRG.JK,-49.32,-49.32,6.69,-27.71,1.37,7.21,True,False
20,DEWA.JK,-62.21,-62.21,6.03,-4.65,0.4,23.2,True,False
21,AMMN.JK,-62.5,-62.5,6.18,-6.01,0.17,13.79,True,False
22,TPIA.JK,-83.13,-83.13,9.29,-25.37,0.21,31.03,True,False
23,ADMR.JK,-38.48,-38.48,3.98,-70.59,0.23,4.6,True,False
24,INCO.JK,-43.33,-43.33,5.7,-41.79,0.28,5.58,True,False
25,HRTA.JK,-44.61,-44.61,5.14,-41.33,0.72,0.57,True,False
26,INDY.JK,-55.1,-55.1,5.27,-84.06,0.65,2.71,True,False
27,BKSL.JK,-67.76,-67.76,4.41,-25.58,0.22,7.27,True,False
28,MAPA.JK,-21.38,-21.38,2.98,17.29,1.69,17.92,False,True
29,MAPI.JK,-0.66,-0.66,2.79,27.9,0.54,24.28,False,True
30,GGRM.JK,-6.66,-6.66,3.07,14.53,0.8,20.26,False,True
31,MYOR.JK,-22.15,-22.15,3.11,27.07,0.63,21.15,False,True
32,INDF.JK,-22.58,-22.58,1.78,14.57,0.27,11.39,False,True
33,JSMR.JK,-26.44,-26.44,2.57,13.24,0.58,10.51,False,True
34,ACES.JK,-28.66,-28.66,2.28,10.09,0.32,15.87,False,True
35,BBCA.JK,-30.25,-30.25,2.99,12.94,0.46,22.16,False,True
36,UNVR.JK,-31.4,-31.4,2.73,43.4,0.4,27.95,False,True
37,PNLF.JK,-33.53,-33.53,3.03,7.45,0.58,13.85,False,True
38,MIKA.JK,-34.79,-34.79,2.75,0.51,0.31,21.79,False,True
39,ERAA.JK,-35.86,-35.86,2.0,6.24,1.6,10.56,False,True
40,ICBP.JK,-38.14,-38.14,2.24,7.94,0.57,10.83,False,True
41,KLBF.JK,-49.72,-49.72,2.58,6.55,0.77,17.29,False,True
42,CMRY.JK,-28.14,-28.14,2.99,28.28,0.28,7.52,False,True
43,JPFA.JK,-28.5,-28.5,3.36,6.82,0.37,11.24,False,True
44,TLKM.JK,-33.84,-33.84,3.39,0.15,0.52,10.92,False,True
45,SSIA.JK,-48.62,-48.62,3.81,34.58,0.3,10.41,False,True
46,BMRI.JK,-20.2,-20.2,2.46,2.53,0.43,6.2,False,True
47,ISAT.JK,-26.09,-26.09,2.94,6.04,0.2,1.46,False,True
48,BBRI.JK,-26.18,-26.18,2.58,3.86,0.39,9.65,False,True
49,GOTO.JK,-29.58,-29.58,1.49,24.28,0.08,0.0,False,True
50,INTP.JK,-38.54,-38.54,2.11,23.02,0.58,4.0,False,True
51,SMRA.JK,-41.2,-41.2,2.43,4.11,0.33,8.03,False,True
52,EXCL.JK,-46.99,-46.99,3.06,9.74,0.44,0.0,False,True
53,CTRA.JK,-47.91,-47.91,2.6,2.9,0.44,5.66,False,True
54,BSDE.JK,-51.28,-51.28,3.06,0.86,0.3,5.56,False,True
55,PGEO.JK,-51.76,-51.76,2.65,0.59,0.21,8.39,False,True
56,CBDK.JK,-63.98,-63.98,3.52,29.57,0.29,8.11,False,True
57,PANI.JK,-64.05,-64.05,3.95,27.49,0.32,4.42,False,True
58,EMTK.JK,-66.98,-66.98,3.58,9.52,0.39,4.08,False,True
59,TOWR.JK,-45.2,-45.2,3.0,-3.46,0.29,15.19,False,False
60,ADRO.JK,-12.31,-12.31,2.32,-49.29,0.24,5.07,False,False
61,AADI.JK,-27.73,-27.73,2.93,-80.39,0.85,8.52,False,False
62,UNTR.JK,-28.06,-28.06,2.15,-24.19,0.43,8.14,False,False
63,SIDO.JK,-31.09,-31.09,2.16,-12.49,0.67,6.78,False,False
64,PGAS.JK,-37.25,-37.25,2.48,-11.17,2.09,2.52,False,False
65,DSNG.JK,-40.15,-40.15,3.34,-33.88,0.19,8.57,False,False
66,HEAL.JK,-51.11,-51.11,2.87,-25.84,0.22,10.39,False,False
67,AKRA.JK,-19.48,-19.48,2.47,-18.34,0.24,6.44,False,False
68,BBNI.JK,-23.5,-23.5,2.99,-2.72,0.32,8.31,False,False
69,ITMG.JK,-23.54,-23.54,2.25,-55.7,0.2,1.38,False,False
70,PTBA.JK,-23.64,-23.64,2.3,-59.02,0.53,0.0,False,False
71,BBTN.JK,-23.83,-23.83,3.56,-12.12,0.87,8.1,False,False
72,ASII.JK,-33.14,-33.14,2.89,-11.91,0.24,8.03,False,False
73,PWON.JK,-34.31,-34.31,2.45,-17.37,0.11,6.4,False,False
74,CPIN.JK,-37.92,-37.92,2.92,-4.54,0.57,0.0,False,False
75,INKP.JK,-41.04,-41.04,3.0,-51.68,0.24,8.85,False,False
76,ELSA.JK,-42.89,-42.89,3.06,-69.44,0.62,2.91,False,False
77,MEDC.JK,-46.46,-46.46,3.67,-79.34,0.56,0.0,False,False
78,BUKA.JK,-49.23,-49.23,3.27,-9.87,0.5,2.06,False,False
79,SMGR.JK,-52.71,-52.71,2.93,-25.91,0.46,3.47,False,False
80,KIJA.JK,-67.23,-67.23,3.22,-7.0,0.33,4.5,False,False
