date,ticker,quality_score,value_score,momentum_score,growth_score,final_score
2026-05,SIDO.JK,82.3,49.31,53.33,1.73,48.32
2026-05,BBCA.JK,80.35,36.55,47.5,36.21,52.34
2026-05,BMRI.JK,77.59,83.45,65.0,45.69,67.64
2026-05,MIKA.JK,73.92,26.55,41.67,46.55,49.54
2026-05,BBRI.JK,71.21,77.59,59.17,65.52,68.05
2026-05,ESSA.JK,64.65,14.48,88.33,91.38,67.22
2026-05,CPIN.JK,63.88,37.93,66.17,74.14,61.83
2026-05,KLBF.JK,62.6,47.93,39.33,39.66,48.11
2026-05,TLKM.JK,62.2,35.17,76.67,14.66,48.53
2026-05,ICBP.JK,59.0,53.1,54.5,36.21,51.0
2026-05,BBNI.JK,53.96,77.58,68.5,53.45,62.19
2026-05,ADRO.JK,53.77,46.21,97.67,79.31,69.62
2026-05,ASII.JK,53.52,77.59,69.67,12.07,52.01
2026-05,ANTM.JK,50.62,46.55,74.33,70.69,60.75
2026-05,INDF.JK,50.49,74.83,69.67,51.72,60.46
2026-05,UNTR.JK,50.34,66.9,69.67,1.73,46.33
2026-05,TPIA.JK,50.22,43.1,32.33,65.52,48.15
2026-05,PTBA.JK,49.96,60.34,87.17,55.17,62.64
2026-05,AKRA.JK,49.14,46.55,77.83,70.69,61.18
2026-05,INTP.JK,47.44,80.35,60.33,31.04,53.14
2026-05,ITMG.JK,45.77,39.66,81.33,22.41,47.6
2026-05,MAPI.JK,44.85,35.17,94.17,77.59,63.43
2026-05,BRPT.JK,41.83,8.1,68.5,96.55,55.43
2026-05,AMMN.JK,41.71,6.38,34.67,67.24,39.27
2026-05,PGAS.JK,35.81,29.65,82.5,43.1,48.07
2026-05,SMGR.JK,31.59,38.28,41.67,72.41,45.65
2026-05,HEAL.JK,19.05,20.0,44.0,22.41,26.32
2026-05,EXCL.JK,18.62,70.69,91.83,62.07,58.2
2026-05,GOTO.JK,16.44,58.79,54.5,56.89,44.54
2026-05,MDKA.JK,12.34,40.17,93.0,36.2,44.04
2026-06,SIDO.JK,82.3,49.31,53.33,1.73,48.32
2026-06,BBCA.JK,80.35,36.55,47.5,36.21,52.34
2026-06,BMRI.JK,77.59,83.45,65.0,45.69,67.64
2026-06,MIKA.JK,73.92,26.55,41.67,46.55,49.54
2026-06,BBRI.JK,71.21,77.59,59.17,65.52,68.05
2026-06,ESSA.JK,64.65,14.48,88.33,91.38,67.22
2026-06,CPIN.JK,63.88,37.93,66.17,74.14,61.83
2026-06,KLBF.JK,62.6,47.93,39.33,39.66,48.11
2026-06,TLKM.JK,62.2,35.17,76.67,14.66,48.53
2026-06,ICBP.JK,59.0,53.1,54.5,36.21,51.0
2026-06,BBNI.JK,53.96,77.58,68.5,53.45,62.19
2026-06,ADRO.JK,53.77,46.21,97.67,79.31,69.62
2026-06,ASII.JK,53.52,77.59,69.67,12.07,52.01
2026-06,ANTM.JK,50.62,46.55,74.33,70.69,60.75
2026-06,INDF.JK,50.49,74.83,69.67,51.72,60.46
2026-06,UNTR.JK,50.34,66.9,69.67,1.73,46.33
2026-06,TPIA.JK,50.22,43.1,32.33,65.52,48.15
2026-06,PTBA.JK,49.96,60.34,87.17,55.17,62.64
2026-06,AKRA.JK,49.14,46.55,77.83,70.69,61.18
2026-06,INTP.JK,47.44,80.35,60.33,31.04,53.14
2026-06,ITMG.JK,45.77,39.66,81.33,22.41,47.6
2026-06,MAPI.JK,44.85,35.17,94.17,77.59,63.43
2026-06,BRPT.JK,41.83,8.1,68.5,96.55,55.43
2026-06,AMMN.JK,41.71,6.38,34.67,67.24,39.27
2026-06,PGAS.JK,35.81,29.65,82.5,43.1,48.07
2026-06,SMGR.JK,31.59,38.28,41.67,72.41,45.65
2026-06,HEAL.JK,19.05,20.0,44.0,22.41,26.32
2026-06,EXCL.JK,18.62,70.69,91.83,62.07,58.2
2026-06,GOTO.JK,16.44,58.79,54.5,56.89,44.54
2026-06,MDKA.JK,12.34,40.17,93.0,36.2,44.04
