date,portfolio_return,cumulative_return
2019-02,-0.025991,-0.025991
2019-03,0.007988,-0.018211
2019-04,0.003611,-0.014666
2019-05,-0.045573,-0.059571
2019-06,0.030768,-0.030635
2019-07,0.062583,0.03003
2019-08,-0.055711,-0.027353
2019-09,-0.0402,-0.066453
2019-10,-0.001358,-0.067721
2019-11,-0.028383,-0.094183
2019-12,0.107257,0.002973
2020-01,-0.080535,-0.077802
2020-02,-0.0659,-0.138575
2020-03,-0.211629,-0.320877
2020-04,0.012779,-0.312198
2020-05,-0.096371,-0.378483
2020-06,0.04881,-0.348147
2020-07,0.064466,-0.306125
2020-08,0.003928,-0.303399
2020-09,-0.078913,-0.35837
2020-10,0.015203,-0.348615
2020-11,0.100418,-0.283204
2020-12,0.252123,-0.102484
2021-01,0.044101,-0.062902
2021-02,0.074108,0.006545
2021-03,-0.135193,-0.129533
2021-04,0.083831,-0.05656
2021-05,-0.005106,-0.061378
2021-06,-0.040497,-0.099389
2021-07,0.017718,-0.083431
2021-08,-0.053062,-0.132067
2021-09,-0.025687,-0.154361
2021-10,0.04735,-0.114321
2021-11,0.035401,-0.082967
2021-12,0.012606,-0.071407
2022-01,-0.02884,-0.098188
2022-02,0.029266,-0.071795
2022-03,0.044309,-0.030668
2022-04,0.139478,0.104533
2022-05,0.071922,0.183973
2022-06,-0.172037,-0.019714
2022-07,0.091189,0.069677
2022-08,0.061363,0.135316
2022-09,0.015226,0.152603
2022-10,0.013254,0.167879
2022-11,-0.030536,0.132216
2022-12,-0.056364,0.0684
2023-01,-0.054096,0.010604
2023-02,0.019454,0.030265
2023-03,0.028636,0.059767
2023-04,0.022447,0.083556
2023-05,-0.14922,-0.078133
2023-06,-0.00167,-0.079673
2023-07,0.008759,-0.071611
2023-08,0.012232,-0.060256
2023-09,0.136351,0.06788
2023-10,-0.09503,-0.0336
2023-11,-0.01866,-0.051633
2023-12,0.082236,0.026357
2024-01,0.006534,0.033063
2024-02,0.027973,0.061961
2024-03,0.049557,0.114588
2024-04,-0.084805,0.020066
2024-05,-0.048898,-0.029814
2024-06,-0.019673,-0.048901
2024-07,0.074753,0.022197
2024-08,0.001904,0.024144
2024-09,0.007338,0.031659
2024-10,-0.042382,-0.012065
2024-11,-0.071391,-0.082595
2024-12,0.060765,-0.026848
2025-01,-0.021632,-0.0479
2025-02,-0.0804,-0.124449
2025-03,-0.014893,-0.137488
2025-04,0.118297,-0.035456
2025-05,0.081702,0.043349
2025-06,-0.025842,0.016387
2025-07,0.15774,0.176712
2025-08,-0.048631,0.119487
2025-09,0.151476,0.289062
2025-10,-0.000992,0.287783
2025-11,-0.0234,0.257649
2025-12,0.07684,0.354286
2026-01,0.014239,0.37357
2026-02,0.113802,0.529885
2026-03,-0.228225,0.180728
2026-04,0.129318,0.333416
2026-05,-0.203625,0.0619
