date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2024-12-05,AADI.JK,356586474.94,291570077.63,65016397.31
2024-12-06,AADI.JK,1276082127.61,41115816.97,1234966310.64
2024-12-09,AADI.JK,47681954860.7,0.0,47681954860.7
2024-12-10,AADI.JK,237004468133.08,22324431541.77,214680036591.31
2024-12-11,AADI.JK,32775040656.12,250897964841.61,-218122924185.49
2024-12-12,AADI.JK,15894652367.0,60812011033.33,-44917358666.33
2024-12-13,AADI.JK,33027716747.48,34821598292.11,-1793881544.63
2024-12-16,AADI.JK,45337612475.97,37919269085.19,7418343390.78
2024-12-17,AADI.JK,12699932455.65,43138710693.27,-30438778237.62
2024-12-18,AADI.JK,24881660648.86,55031548093.98,-30149887445.12
2024-12-19,AADI.JK,11851579522.92,40079220378.07,-28227640855.15
2024-12-20,AADI.JK,11998765445.58,34903608785.0,-22904843339.42
2024-12-23,AADI.JK,10288500375.44,87088955805.33,-76800455429.9
2024-12-24,AADI.JK,74382720388.31,38318946372.25,36063774016.06
2024-12-27,AADI.JK,19292891253.78,4322986422.93,14969904830.86
2024-12-30,AADI.JK,43149727231.73,14886173764.33,28263553467.41
2025-01-02,AADI.JK,7237553134.07,16190656280.69,-8953103146.62
2025-01-03,AADI.JK,4001613194.7,18576404458.99,-14574791264.29
2025-01-06,AADI.JK,5568272215.07,10962075509.44,-5393803294.37
2025-01-07,AADI.JK,16785571481.21,8455512102.45,8330059378.76
2025-01-08,AADI.JK,11418140242.48,13525480386.57,-2107340144.09
2025-01-09,AADI.JK,2810534221.05,4849679648.7,-2039145427.65
2025-01-10,AADI.JK,73252978822.44,1974571131.77,71278407690.67
2025-01-13,AADI.JK,43021900249.62,61223740067.9,-18201839818.28
2025-01-14,AADI.JK,44347720266.54,11628839548.58,32718880717.95
2025-01-15,AADI.JK,17687591823.27,13458270526.6,4229321296.66
2025-01-16,AADI.JK,8231740606.44,10002997019.4,-1771256412.96
2025-01-17,AADI.JK,50336881868.79,35493014502.73,14843867366.06
2025-01-20,AADI.JK,33394425782.04,27692589917.44,5701835864.6
2025-01-21,AADI.JK,18947202381.15,27280871091.56,-8333668710.41
2025-01-22,AADI.JK,12618851984.82,9396509746.39,3222342238.43
2025-01-23,AADI.JK,63452057646.86,27549398411.23,35902659235.63
2025-01-24,AADI.JK,10256139956.14,11849600216.26,-1593460260.12
2025-01-30,AADI.JK,128608645273.76,25003053396.98,103605591876.79
2025-01-31,AADI.JK,8435113470.71,13921614844.95,-5486501374.24
2025-02-03,AADI.JK,12921378780.14,52764814158.2,-39843435378.05
2025-02-04,AADI.JK,5571078851.4,6579579543.46,-1008500692.06
2025-02-05,AADI.JK,15215112208.01,20161809880.6,-4946697672.6
2025-02-06,AADI.JK,8976241013.36,36681312547.32,-27705071533.96
2025-02-07,AADI.JK,20214839061.79,37191586717.92,-16976747656.13
2025-02-10,AADI.JK,13418481351.08,28818785316.9,-15400303965.82
2025-02-11,AADI.JK,9417526680.65,19663876421.76,-10246349741.11
2025-02-12,AADI.JK,19338556325.13,6805656545.61,12532899779.52
2025-02-13,AADI.JK,8572567193.41,11570046128.78,-2997478935.37
2025-02-14,AADI.JK,2772502239.33,2307463511.25,465038728.08
2025-02-17,AADI.JK,9962817650.71,3037826669.05,6924990981.67
2025-02-18,AADI.JK,6653808802.33,3736474509.54,2917334292.78
2025-02-19,AADI.JK,7036597857.5,17141934718.54,-10105336861.04
2025-02-20,AADI.JK,13006636831.11,69705524485.85,-56698887654.74
2025-02-21,AADI.JK,17851889312.31,12767383461.27,5084505851.04
2025-02-24,AADI.JK,5610826586.96,7150938334.17,-1540111747.2
2025-02-25,AADI.JK,10881043996.2,31603888098.24,-20722844102.04
2025-02-26,AADI.JK,3883871590.03,7506268978.99,-3622397388.96
2025-02-27,AADI.JK,8298730452.98,5936356654.39,2362373798.59
2025-02-28,AADI.JK,4554723548.8,37720093099.61,-33165369550.8
2025-03-03,AADI.JK,14808944688.18,25630309595.49,-10821364907.31
2025-03-04,AADI.JK,8976947743.26,41490269773.57,-32513322030.31
2025-03-05,AADI.JK,12563529141.29,6447672437.24,6115856704.05
2025-03-06,AADI.JK,50249593575.78,10742014091.22,39507579484.57
2025-03-07,AADI.JK,4616752606.15,16478191137.61,-11861438531.46
2025-03-10,AADI.JK,16152305253.26,5593034384.76,10559270868.5
2025-03-11,AADI.JK,11690258739.82,17168408688.33,-5478149948.52
2025-03-12,AADI.JK,5013426653.76,7612182637.81,-2598755984.06
2025-03-13,AADI.JK,12718537151.82,7329718045.6,5388819106.22
2025-03-14,AADI.JK,4250523367.16,6679896697.29,-2429373330.13
2025-03-17,AADI.JK,5208317187.45,1791681034.14,3416636153.31
2025-03-18,AADI.JK,6614904625.76,32552905394.79,-25938000769.03
2025-03-19,AADI.JK,12974334760.64,1663309976.8,11311024783.84
2025-03-20,AADI.JK,6857811022.84,7910780141.82,-1052969118.97
2025-03-21,AADI.JK,11449569853.46,13778970470.48,-2329400617.02
2025-03-24,AADI.JK,4183132548.44,11669492687.72,-7486360139.28
2025-03-25,AADI.JK,2952695026.53,7250391688.6,-4297696662.07
2025-03-26,AADI.JK,5282079079.16,1749433733.18,3532645345.98
2025-03-27,AADI.JK,2427950859.16,3389483562.18,-961532703.02
2025-04-08,AADI.JK,589089625.66,10546121609.27,-9957031983.61
2025-04-09,AADI.JK,9710102088.56,10356519967.3,-646417878.74
2025-04-10,AADI.JK,11727703855.51,2530452438.44,9197251417.07
2025-04-11,AADI.JK,12340805773.14,23086966026.19,-10746160253.06
2025-04-14,AADI.JK,19088750849.44,1303990127.41,17784760722.03
2025-04-15,AADI.JK,27125150653.84,14103659051.8,13021491602.04
2025-04-16,AADI.JK,53911487864.79,5055542700.98,48855945163.8
2025-04-17,AADI.JK,9981045783.47,15875273529.48,-5894227746.01
2025-04-21,AADI.JK,3446394265.63,5903469528.95,-2457075263.32
2025-04-22,AADI.JK,37371281459.2,5596585151.93,31774696307.27
