date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,ACES.JK,0.0,0.0,0.0
2018-01-02,ACES.JK,664761602.99,492361628.94,172399974.05
2018-01-03,ACES.JK,575230389.71,561486816.51,13743573.2
2018-01-04,ACES.JK,5129721735.37,1106044808.69,4023676926.69
2018-01-05,ACES.JK,997115619.15,1102917086.73,-105801467.58
2018-01-08,ACES.JK,3322377453.25,920506525.41,2401870927.84
2018-01-09,ACES.JK,1770785579.78,1649030080.63,121755499.14
2018-01-10,ACES.JK,325618643.89,1262351163.15,-936732519.26
2018-01-11,ACES.JK,1312667501.32,851725458.86,460942042.46
2018-01-12,ACES.JK,1323896765.59,1052034107.25,271862658.34
2018-01-15,ACES.JK,425835754.73,393963132.69,31872622.03
2018-01-16,ACES.JK,234866002.95,404770591.07,-169904588.12
2018-01-17,ACES.JK,1036470167.07,2145543405.27,-1109073238.2
2018-01-18,ACES.JK,849600811.24,559730800.02,289870011.22
2018-01-19,ACES.JK,191041461.73,461224384.99,-270182923.27
2018-01-22,ACES.JK,443827205.88,584410853.59,-140583647.71
2018-01-23,ACES.JK,1077565320.07,358260118.37,719305201.7
2018-01-24,ACES.JK,1332601959.76,1054418685.78,278183273.98
2018-01-25,ACES.JK,4020309159.93,2598585058.81,1421724101.12
2018-01-26,ACES.JK,340378266.99,519063005.99,-178684739.0
2018-01-29,ACES.JK,2752719983.3,1734204426.12,1018515557.18
2018-01-30,ACES.JK,355841073.01,285411102.38,70429970.63
2018-01-31,ACES.JK,4100427175.19,1557760672.16,2542666503.03
2018-02-01,ACES.JK,1317694804.09,1135685924.82,182008879.28
2018-02-02,ACES.JK,842077621.49,1227296695.81,-385219074.32
2018-02-05,ACES.JK,968399375.03,2566729983.51,-1598330608.48
2018-02-06,ACES.JK,672347441.44,828997945.15,-156650503.71
2018-02-07,ACES.JK,1054028607.64,460331389.66,593697217.98
2018-02-08,ACES.JK,1869947454.27,4696926198.67,-2826978744.4
2018-02-09,ACES.JK,551900750.6,153944292.9,397956457.7
2018-02-12,ACES.JK,386336568.63,764313709.45,-377977140.82
2018-02-13,ACES.JK,486398436.44,514722856.95,-28324420.5
2018-02-14,ACES.JK,339307520.34,473052367.85,-133744847.51
2018-02-15,ACES.JK,513409438.74,406562962.67,106846476.08
2018-02-16,ACES.JK,0.0,0.0,0.0
2018-02-19,ACES.JK,1147366348.97,282340704.55,865025644.42
2018-02-20,ACES.JK,420386824.16,706587107.73,-286200283.56
2018-02-21,ACES.JK,794472046.64,456817594.03,337654452.62
2018-02-22,ACES.JK,971433144.82,1031541395.84,-60108251.02
2018-02-23,ACES.JK,2696075821.23,2275728561.34,420347259.89
2018-02-26,ACES.JK,1726215342.8,1733492423.19,-7277080.39
2018-02-27,ACES.JK,468339507.01,337308377.07,131031129.94
2018-02-28,ACES.JK,396087601.78,1212076725.2,-815989123.42
2018-03-01,ACES.JK,1121492698.85,769844773.85,351647925.0
2018-03-02,ACES.JK,1385284369.4,1316860669.67,68423699.74
2018-03-05,ACES.JK,323014155.3,562479664.14,-239465508.85
2018-03-06,ACES.JK,302624867.03,282343254.83,20281612.19
2018-03-07,ACES.JK,1016050173.97,1627733908.4,-611683734.43
2018-03-08,ACES.JK,2304286163.07,2328148707.52,-23862544.45
2018-03-09,ACES.JK,260998350.63,287254216.79,-26255866.16
