date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2022-01-03,ADMR.JK,460336212.11,424880793.6,35455418.51
2022-01-04,ADMR.JK,1130788425.01,21364043.5,1109424381.51
2022-01-05,ADMR.JK,2489319967.53,0.0,2489319967.53
2022-01-06,ADMR.JK,5043307790.0,0.0,5043307790.0
2022-01-07,ADMR.JK,2667546407.52,12775692.55,2654770714.96
2022-01-10,ADMR.JK,2858072282.88,21984295.98,2836087986.9
2022-01-11,ADMR.JK,37035336197.39,1350271013.4,35685065183.99
2022-01-12,ADMR.JK,36789407251.71,0.0,36789407251.71
2022-01-13,ADMR.JK,0.0,0.0,0.0
2022-01-14,ADMR.JK,28147484741.49,2124673282.23,26022811459.26
2022-01-17,ADMR.JK,6298008601.87,12276121514.84,-5978112912.97
2022-01-18,ADMR.JK,3168162838.46,7063659318.98,-3895496480.52
2022-01-19,ADMR.JK,98133568271.64,0.0,98133568271.64
2022-01-20,ADMR.JK,111493099218.5,12531641686.32,98961457532.18
2022-01-21,ADMR.JK,26879471584.69,10124458394.72,16755013189.97
2022-01-24,ADMR.JK,59865075188.38,6316240010.98,53548835177.4
2022-01-25,ADMR.JK,0.0,0.0,0.0
2022-01-26,ADMR.JK,0.0,0.0,0.0
2022-01-27,ADMR.JK,0.0,0.0,0.0
2022-01-28,ADMR.JK,24982473642.19,1828682454.71,23153791187.49
2022-01-31,ADMR.JK,38618931605.59,2961670930.83,35657260674.75
2022-02-02,ADMR.JK,6994140754.27,52799382336.69,-45805241582.42
2022-02-03,ADMR.JK,25382852898.04,7531408016.52,17851444881.52
2022-02-04,ADMR.JK,5778464962.14,5066983360.78,711481601.36
2022-02-07,ADMR.JK,7567815173.41,7508975809.88,58839363.53
2022-02-08,ADMR.JK,6461816089.7,7489719084.43,-1027902994.73
2022-02-09,ADMR.JK,1381844221.5,7365260757.26,-5983416535.75
2022-02-10,ADMR.JK,3141504542.8,25319839675.98,-22178335133.18
2022-02-11,ADMR.JK,20043504490.51,2615327935.83,17428176554.68
2022-02-14,ADMR.JK,19733898331.27,6668151102.23,13065747229.04
2022-02-15,ADMR.JK,2764198881.51,2510643489.66,253555391.85
2022-02-16,ADMR.JK,2266673610.63,5511338326.52,-3244664715.89
2022-02-17,ADMR.JK,818457977.91,1535542336.12,-717084358.21
2022-02-18,ADMR.JK,15858357033.24,4072503602.98,11785853430.26
2022-02-21,ADMR.JK,3444822808.53,14267580897.17,-10822758088.64
2022-02-22,ADMR.JK,11188713211.94,11076682567.72,112030644.22
2022-02-23,ADMR.JK,7556753633.33,4564078631.79,2992675001.54
2022-02-24,ADMR.JK,5153405798.11,10879741064.9,-5726335266.79
2022-02-25,ADMR.JK,64360867698.37,5082576079.28,59278291619.09
2022-03-01,ADMR.JK,23786922590.27,10645129674.36,13141792915.91
2022-03-02,ADMR.JK,165524907919.99,8999741703.19,156525166216.8
2022-03-04,ADMR.JK,125136943713.09,3187194031.98,121949749681.11
2022-03-07,ADMR.JK,26014464217.66,97356680023.04,-71342215805.37
2022-03-08,ADMR.JK,6858491518.17,41779007942.16,-34920516423.99
2022-03-09,ADMR.JK,51564601216.07,9489261640.79,42075339575.28
2022-03-10,ADMR.JK,37185325151.32,35252968965.92,1932356185.4
2022-03-11,ADMR.JK,23021572395.01,24599083340.05,-1577510945.04
2022-03-14,ADMR.JK,0.0,0.0,0.0
2022-03-15,ADMR.JK,21868756070.81,59004786239.49,-37136030168.69
2022-03-16,ADMR.JK,48817459263.38,13771296208.16,35046163055.22
2022-03-17,ADMR.JK,22636363338.39,21044866085.19,1591497253.21
2022-03-18,ADMR.JK,80058934558.46,8537573906.98,71521360651.48
2022-03-21,ADMR.JK,26548957690.63,19565528531.23,6983429159.4
2022-03-22,ADMR.JK,13463533461.87,12141121837.91,1322411623.96
2022-03-23,ADMR.JK,112941498527.08,16864913925.31,96076584601.77
2022-03-24,ADMR.JK,41169215006.92,59588232929.05,-18419017922.13
2022-03-25,ADMR.JK,18817355449.33,27183805072.15,-8366449622.82
2022-03-28,ADMR.JK,118147404764.82,6560616300.0,111586788464.82
2022-03-29,ADMR.JK,9577038506.12,39586906431.57,-30009867925.45
2022-03-30,ADMR.JK,43185622778.56,24148659227.26,19036963551.3
2022-03-31,ADMR.JK,61406118551.06,4833536820.81,56572581730.26
2022-04-01,ADMR.JK,43584302601.77,84073224549.14,-40488921947.37
2022-04-04,ADMR.JK,87774111040.48,21792275595.16,65981835445.32
2022-04-05,ADMR.JK,25272016196.08,19147410282.58,6124605913.5
2022-04-06,ADMR.JK,64204382780.23,43869724280.52,20334658499.71
2022-04-07,ADMR.JK,47283522911.57,52067218308.18,-4783695396.62
2022-04-08,ADMR.JK,295004478447.04,2610228083.82,292394250363.22
2022-04-11,ADMR.JK,14664998551.16,92218944570.22,-77553946019.06
2022-04-12,ADMR.JK,43556820221.29,107194370658.85,-63637550437.57
2022-04-13,ADMR.JK,85441619280.67,3148316382.14,82293302898.54
2022-04-14,ADMR.JK,107945312637.36,38657476468.62,69287836168.74
2022-04-18,ADMR.JK,82068198760.54,30205681140.91,51862517619.63
2022-04-19,ADMR.JK,22081942926.61,17463399067.85,4618543858.76
2022-04-20,ADMR.JK,35238647095.43,249368806544.97,-214130159449.55
2022-04-21,ADMR.JK,14500776098.78,113362097630.18,-98861321531.39
2022-04-22,ADMR.JK,14869177956.6,121245596992.37,-106376419035.77
2022-04-25,ADMR.JK,26297631571.14,64020527288.52,-37722895717.38
2022-04-26,ADMR.JK,158310641947.88,26475556999.0,131835084948.88
2022-04-27,ADMR.JK,205273442161.11,11323560595.52,193949881565.59
2022-04-28,ADMR.JK,125407340195.89,66821197845.66,58586142350.23
2022-05-09,ADMR.JK,15841335705.0,44341268534.24,-28499932829.24
2022-05-10,ADMR.JK,12142680356.47,71448284649.38,-59305604292.91
2022-05-11,ADMR.JK,22855146677.83,22560444818.9,294701858.93
2022-05-12,ADMR.JK,16024950146.52,99939562333.93,-83914612187.4
2022-05-13,ADMR.JK,138441801920.98,57122836311.86,81318965609.12
2022-05-17,ADMR.JK,94759411900.41,14304243967.68,80455167932.73
2022-05-18,ADMR.JK,18270542249.77,25056996324.16,-6786454074.4
2022-05-19,ADMR.JK,19598252152.89,101455347062.67,-81857094909.78
2022-05-20,ADMR.JK,72637362413.09,11579927692.52,61057434720.57
2022-05-23,ADMR.JK,6574265135.16,24834916934.49,-18260651799.33
2022-05-24,ADMR.JK,95832296435.04,30338663884.79,65493632550.25
2022-05-25,ADMR.JK,32227048457.86,118428016532.51,-86200968074.65
2022-05-27,ADMR.JK,83710517520.98,35145196402.81,48565321118.17
2022-05-30,ADMR.JK,20538624004.55,21830699916.02,-1292075911.47
2022-05-31,ADMR.JK,83205083339.16,520932714290.66,-437727630951.5
2022-06-02,ADMR.JK,36855013134.37,160874773612.16,-124019760477.79
2022-06-03,ADMR.JK,54679119543.51,43469976503.34,11209143040.16
2022-06-06,ADMR.JK,54064291486.2,81227733839.15,-27163442352.95
2022-06-07,ADMR.JK,95583430717.36,15916678288.01,79666752429.34
2022-06-08,ADMR.JK,22732140078.89,35320781600.37,-12588641521.48
2022-06-09,ADMR.JK,118439305181.9,5610935167.09,112828370014.81
2022-06-10,ADMR.JK,11503553426.2,92207837447.67,-80704284021.47
2022-06-13,ADMR.JK,2949996604.36,36700938885.95,-33750942281.6
2022-06-14,ADMR.JK,11204513104.4,124403529949.48,-113199016845.08
2022-06-15,ADMR.JK,23399412931.9,147878619316.87,-124479206384.98
2022-06-16,ADMR.JK,30724823733.93,8103304938.58,22621518795.35
2022-06-17,ADMR.JK,12228802703.88,83636636967.32,-71407834263.44
