date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,ADRO.JK,0.0,0.0,0.0
2018-01-02,ADRO.JK,2739939715.39,1994381820.67,745557894.72
2018-01-03,ADRO.JK,1559436815.84,3847604925.68,-2288168109.84
2018-01-04,ADRO.JK,9660889082.0,2304730488.6,7356158593.4
2018-01-05,ADRO.JK,16577954500.12,5108302128.7,11469652371.42
2018-01-08,ADRO.JK,23822271658.89,1845915076.08,21976356582.81
2018-01-09,ADRO.JK,8040891663.47,6512460927.12,1528430736.35
2018-01-10,ADRO.JK,5235686893.79,3157017585.47,2078669308.32
2018-01-11,ADRO.JK,4689192017.68,6787143351.9,-2097951334.22
2018-01-12,ADRO.JK,13503112722.39,6083475822.69,7419636899.7
2018-01-15,ADRO.JK,2418299892.5,2701116542.79,-282816650.29
2018-01-16,ADRO.JK,4940649500.93,7819449067.58,-2878799566.65
2018-01-17,ADRO.JK,4135806237.93,5992299281.38,-1856493043.45
2018-01-18,ADRO.JK,5211601833.86,4833453090.92,378148742.95
2018-01-19,ADRO.JK,3058305729.56,2451640251.64,606665477.92
2018-01-22,ADRO.JK,13657736544.81,1868628189.26,11789108355.55
2018-01-23,ADRO.JK,11641146445.64,3774796613.38,7866349832.26
2018-01-24,ADRO.JK,7595086170.87,5249092849.98,2345993320.9
2018-01-25,ADRO.JK,4328083070.14,4371744117.18,-43661047.04
2018-01-26,ADRO.JK,2419002539.51,2358842680.44,60159859.08
2018-01-29,ADRO.JK,9891616350.38,2392154815.01,7499461535.37
2018-01-30,ADRO.JK,2369609880.68,2340011695.62,29598185.07
2018-01-31,ADRO.JK,3702570617.6,10538175051.13,-6835604433.53
2018-02-01,ADRO.JK,2099238757.36,3270786973.56,-1171548216.2
2018-02-02,ADRO.JK,8710351676.25,3326588814.49,5383762861.76
2018-02-05,ADRO.JK,10660223792.45,5533489459.16,5126734333.29
2018-02-06,ADRO.JK,3288823858.8,10069113777.94,-6780289919.14
2018-02-07,ADRO.JK,8352235269.44,7775099832.55,577135436.9
2018-02-08,ADRO.JK,1588023232.73,2546481123.7,-958457890.97
2018-02-09,ADRO.JK,915229461.26,3470669140.4,-2555439679.14
2018-02-12,ADRO.JK,1326545661.19,1097819728.65,228725932.54
2018-02-13,ADRO.JK,6868569486.41,2747177264.98,4121392221.42
2018-02-14,ADRO.JK,4989422718.64,3886137412.12,1103285306.52
2018-02-15,ADRO.JK,2871879852.88,1890795001.62,981084851.27
2018-02-16,ADRO.JK,0.0,0.0,0.0
2018-02-19,ADRO.JK,2865181811.6,2020364995.49,844816816.11
2018-02-20,ADRO.JK,1999225952.86,4002429643.35,-2003203690.49
2018-02-21,ADRO.JK,4441230455.03,2963831146.24,1477399308.79
2018-02-22,ADRO.JK,1856313778.39,1562828771.13,293485007.26
2018-02-23,ADRO.JK,3337471571.86,3508597466.59,-171125894.73
2018-02-26,ADRO.JK,1276958900.88,3303794059.05,-2026835158.17
2018-02-27,ADRO.JK,3195733153.65,2702882432.9,492850720.75
2018-02-28,ADRO.JK,5250921769.56,8806999403.37,-3556077633.81
2018-03-01,ADRO.JK,3545972687.59,1469526947.86,2076445739.73
2018-03-02,ADRO.JK,1075004288.41,4719870836.96,-3644866548.55
2018-03-05,ADRO.JK,2006018260.8,1604082315.57,401935945.23
2018-03-06,ADRO.JK,3296404687.85,2813883254.99,482521432.86
2018-03-07,ADRO.JK,654890581.27,6796390968.89,-6141500387.62
2018-03-08,ADRO.JK,7885988515.59,5232117324.53,2653871191.06
2018-03-09,ADRO.JK,5852534458.52,7360640833.01,-1508106374.49
2018-03-12,ADRO.JK,5206947739.37,3064333504.71,2142614234.66
2018-03-13,ADRO.JK,2197595322.82,3953177276.5,-1755581953.68
2018-03-14,ADRO.JK,1668015704.2,5514176821.96,-3846161117.76
2018-03-15,ADRO.JK,1527387556.23,2399261814.91,-871874258.68
2018-03-16,ADRO.JK,6666271766.99,8411132000.14,-1744860233.15
2018-03-19,ADRO.JK,599260351.79,587119369.42,12140982.36
2018-03-20,ADRO.JK,3113345072.58,1898688699.94,1214656372.64
2018-03-21,ADRO.JK,3083102495.71,4756454181.8,-1673351686.09
2018-03-22,ADRO.JK,3535786604.96,5947121631.98,-2411335027.01
2018-03-23,ADRO.JK,2184429654.49,2947337564.92,-762907910.43
2018-03-26,ADRO.JK,4066777532.32,2559076883.08,1507700649.25
2018-03-27,ADRO.JK,2390647609.43,2361098771.24,29548838.19
2018-03-28,ADRO.JK,2085360234.88,2112108634.41,-26748399.53
2018-03-29,ADRO.JK,16314976976.9,4771662795.32,11543314181.58
2018-03-30,ADRO.JK,0.0,0.0,0.0
2018-04-02,ADRO.JK,3907346498.73,4292403412.15,-385056913.42
2018-04-03,ADRO.JK,3243961498.67,3651966006.12,-408004507.45
2018-04-04,ADRO.JK,3307737031.14,9405250319.16,-6097513288.02
2018-04-05,ADRO.JK,4573913758.84,6664466646.01,-2090552887.18
2018-04-06,ADRO.JK,1980872365.45,1596067533.12,384804832.33
2018-04-09,ADRO.JK,1385072998.9,917667618.38,467405380.52
2018-04-10,ADRO.JK,5452278226.79,2680647921.59,2771630305.2
2018-04-11,ADRO.JK,4111599887.51,2834830863.65,1276769023.86
2018-04-12,ADRO.JK,3539409903.37,5122249025.39,-1582839122.01
2018-04-13,ADRO.JK,2792391609.82,1931512319.09,860879290.73
2018-04-16,ADRO.JK,0.0,0.0,0.0
2018-04-17,ADRO.JK,0.0,0.0,0.0
2018-04-18,ADRO.JK,1770977233.59,2695049302.58,-924072068.99
2018-04-19,ADRO.JK,0.0,0.0,0.0
2018-04-20,ADRO.JK,0.0,0.0,0.0
2018-04-23,ADRO.JK,4966307511.85,609742112.22,4356565399.63
2018-04-24,ADRO.JK,3076726058.58,7367378325.19,-4290652266.61
2018-04-25,ADRO.JK,0.0,0.0,0.0
2018-04-26,ADRO.JK,0.0,0.0,0.0
