date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,AKRA.JK,0.0,0.0,0.0
2018-01-02,AKRA.JK,2362377371.46,4606818234.97,-2244440863.5
2018-01-03,AKRA.JK,1768004881.35,1952519053.11,-184514171.76
2018-01-04,AKRA.JK,1185735794.43,1069527045.73,116208748.71
2018-01-05,AKRA.JK,3471403185.99,2409455961.09,1061947224.9
2018-01-08,AKRA.JK,8790552695.74,1980256348.61,6810296347.14
2018-01-09,AKRA.JK,4173386126.08,7013711862.78,-2840325736.71
2018-01-10,AKRA.JK,5526505007.28,9894634149.65,-4368129142.37
2018-01-11,AKRA.JK,4970606047.05,4532067892.07,438538154.98
2018-01-12,AKRA.JK,1380067826.21,1416983747.15,-36915920.94
2018-01-15,AKRA.JK,826094699.35,644690878.05,181403821.3
2018-01-16,AKRA.JK,850997949.35,739669969.65,111327979.69
2018-01-17,AKRA.JK,2256117401.93,1727282415.91,528834986.02
2018-01-18,AKRA.JK,1903942237.61,2519166424.7,-615224187.1
2018-01-19,AKRA.JK,832603945.24,1355872650.84,-523268705.6
2018-01-22,AKRA.JK,667692577.59,1217318534.39,-549625956.8
2018-01-23,AKRA.JK,3295074289.01,2466090368.66,828983920.34
2018-01-24,AKRA.JK,2430878126.61,1792277965.71,638600160.9
2018-01-25,AKRA.JK,1541959272.04,1708663887.01,-166704614.97
2018-01-26,AKRA.JK,3016409767.4,3364955919.07,-348546151.67
2018-01-29,AKRA.JK,4566114276.85,2431161663.65,2134952613.2
2018-01-30,AKRA.JK,2175113299.19,4001569940.33,-1826456641.14
2018-01-31,AKRA.JK,3580037404.93,5581121988.32,-2001084583.38
2018-02-01,AKRA.JK,4242386299.17,10496293083.89,-6253906784.72
2018-02-02,AKRA.JK,4324871858.33,9620743001.2,-5295871142.87
2018-02-05,AKRA.JK,2848519628.55,6504999518.81,-3656479890.26
2018-02-06,AKRA.JK,5774384846.13,6819022254.17,-1044637408.04
2018-02-07,AKRA.JK,2270347407.01,3233278992.88,-962931585.87
2018-02-08,AKRA.JK,6357774553.53,2442549907.24,3915224646.29
2018-02-09,AKRA.JK,892473896.28,1250488533.01,-358014636.73
2018-02-12,AKRA.JK,5167696436.67,1391853638.35,3775842798.32
2018-02-13,AKRA.JK,4146170066.76,3128865225.3,1017304841.46
2018-02-14,AKRA.JK,3668182439.63,3722246374.24,-54063934.61
2018-02-15,AKRA.JK,8122226741.21,3334526917.91,4787699823.3
2018-02-16,AKRA.JK,0.0,0.0,0.0
2018-02-19,AKRA.JK,1633606442.67,1035473436.76,598133005.91
2018-02-20,AKRA.JK,3103363253.16,5972205007.02,-2868841753.85
2018-02-21,AKRA.JK,4163966725.26,3183559493.89,980407231.37
2018-02-22,AKRA.JK,4121418897.97,6857970862.9,-2736551964.93
2018-02-23,AKRA.JK,5351035629.33,4248167560.62,1102868068.7
2018-02-26,AKRA.JK,2501297078.09,1425890157.2,1075406920.89
2018-02-27,AKRA.JK,2699696372.62,2652778706.42,46917666.2
2018-02-28,AKRA.JK,7915290125.52,5703957743.96,2211332381.56
2018-03-01,AKRA.JK,6237658829.84,4861981983.1,1375676846.74
2018-03-02,AKRA.JK,716071175.26,1618926624.42,-902855449.15
2018-03-05,AKRA.JK,3026491448.27,2685058408.15,341433040.12
2018-03-06,AKRA.JK,882649672.83,1250571393.66,-367921720.84
2018-03-07,AKRA.JK,2290475175.5,4305020150.64,-2014544975.14
2018-03-08,AKRA.JK,1870055050.54,1071246322.67,798808727.87
2018-03-09,AKRA.JK,2166772830.92,5133682178.68,-2966909347.76
2018-03-12,AKRA.JK,3644848367.74,3752986582.21,-108138214.47
2018-03-13,AKRA.JK,6069453379.32,5044115354.6,1025338024.73
2018-03-14,AKRA.JK,2187675291.86,3187140218.39,-999464926.52
2018-03-15,AKRA.JK,2778971887.08,2119613713.66,659358173.42
2018-03-16,AKRA.JK,1556244943.18,1780580291.64,-224335348.46
2018-03-19,AKRA.JK,3055346103.05,779118113.68,2276227989.37
2018-03-20,AKRA.JK,1359940380.67,1668688402.99,-308748022.31
2018-03-21,AKRA.JK,4361122956.03,6317023583.08,-1955900627.05
2018-03-22,AKRA.JK,4047500196.05,2332857503.09,1714642692.96
2018-03-23,AKRA.JK,2120629767.8,4951356513.9,-2830726746.1
2018-03-26,AKRA.JK,791066545.22,1843480204.02,-1052413658.81
2018-03-27,AKRA.JK,2823125420.75,3288158820.41,-465033399.66
2018-03-28,AKRA.JK,1149050021.61,2462656110.81,-1313606089.2
2018-03-29,AKRA.JK,3227510279.88,2680788399.02,546721880.86
2018-03-30,AKRA.JK,0.0,0.0,0.0
2018-04-02,AKRA.JK,2076762100.03,2961908115.31,-885146015.29
2018-04-03,AKRA.JK,1829979682.88,1326591959.84,503387723.04
2018-04-04,AKRA.JK,1360699997.77,4393393198.81,-3032693201.05
2018-04-05,AKRA.JK,3506219586.1,2514260195.02,991959391.08
2018-04-06,AKRA.JK,2263904714.47,2652104649.89,-388199935.42
2018-04-09,AKRA.JK,5259889580.06,4053767767.09,1206121812.98
2018-04-10,AKRA.JK,4094913220.22,2712823413.43,1382089806.79
2018-04-11,AKRA.JK,7514969222.5,2730618241.6,4784350980.9
2018-04-12,AKRA.JK,1690915903.49,4553233765.34,-2862317861.84
2018-04-13,AKRA.JK,1603944950.42,2192007854.23,-588062903.8
2018-04-16,AKRA.JK,0.0,0.0,0.0
2018-04-17,AKRA.JK,0.0,0.0,0.0
2018-04-18,AKRA.JK,6468291580.25,2471018863.99,3997272716.26
2018-04-19,AKRA.JK,0.0,0.0,0.0
2018-04-20,AKRA.JK,0.0,0.0,0.0
2018-04-23,AKRA.JK,1299126547.77,4896353181.69,-3597226633.93
2018-04-24,AKRA.JK,1782635772.57,1699892271.14,82743501.43
2018-04-25,AKRA.JK,0.0,0.0,0.0
2018-04-26,AKRA.JK,0.0,0.0,0.0
2018-04-27,AKRA.JK,0.0,0.0,0.0
2018-04-30,AKRA.JK,323850776.25,10492920464.45,-10169069688.19
2018-05-01,AKRA.JK,0.0,0.0,0.0
2018-05-02,AKRA.JK,3442324671.15,3970544073.39,-528219402.24
2018-05-03,AKRA.JK,2085197017.93,7790564994.03,-5705367976.09
2018-05-04,AKRA.JK,2640821155.57,6624733251.15,-3983912095.57
2018-05-07,AKRA.JK,7726542163.34,4706842162.59,3019700000.75
2018-05-08,AKRA.JK,2285748391.14,3643571234.16,-1357822843.02
2018-05-09,AKRA.JK,7170818874.08,5964012124.01,1206806750.07
2018-05-10,AKRA.JK,0.0,0.0,0.0
2018-05-11,AKRA.JK,7804399954.63,1205391470.21,6599008484.42
2018-05-14,AKRA.JK,6725612639.82,5004555210.03,1721057429.79
2018-05-15,AKRA.JK,5727310378.06,6819725899.6,-1092415521.54
2018-05-16,AKRA.JK,780836473.26,3521022784.76,-2740186311.5
2018-05-17,AKRA.JK,3631614915.38,3859156868.32,-227541952.94
2018-05-18,AKRA.JK,2120042645.85,2244189383.11,-124146737.25
2018-05-21,AKRA.JK,4845128758.88,2424403929.58,2420724829.3
2018-05-22,AKRA.JK,8198527382.84,3609695548.0,4588831834.83
2018-05-23,AKRA.JK,823382839.34,2222499747.82,-1399116908.47
2018-05-24,AKRA.JK,4897520531.41,4476135288.77,421385242.64
2018-05-25,AKRA.JK,5921238377.43,5691317720.39,229920657.04
2018-05-28,AKRA.JK,9275006192.09,5301137807.0,3973868385.09
2018-05-29,AKRA.JK,0.0,0.0,0.0
2018-05-30,AKRA.JK,3676996586.5,3373852139.87,303144446.63
2018-05-31,AKRA.JK,21134125237.51,4795016821.46,16339108416.05
2018-06-01,AKRA.JK,0.0,0.0,0.0
2018-06-04,AKRA.JK,6098653645.53,5175403639.97,923250005.56
2018-06-05,AKRA.JK,883181530.02,2302837709.81,-1419656179.79
2018-06-06,AKRA.JK,2322073656.57,3986335166.5,-1664261509.93
2018-06-07,AKRA.JK,3780574582.31,2621060002.25,1159514580.06
2018-06-08,AKRA.JK,3705590499.35,9585202078.83,-5879611579.48
2018-06-11,AKRA.JK,0.0,0.0,0.0
2018-06-12,AKRA.JK,0.0,0.0,0.0
2018-06-13,AKRA.JK,0.0,0.0,0.0
2018-06-14,AKRA.JK,0.0,0.0,0.0
2018-06-15,AKRA.JK,0.0,0.0,0.0
2018-06-18,AKRA.JK,0.0,0.0,0.0
2018-06-19,AKRA.JK,0.0,0.0,0.0
2018-06-20,AKRA.JK,3340116519.02,16255543237.12,-12915426718.1
2018-06-21,AKRA.JK,1426278268.96,5397803206.1,-3971524937.15
2018-06-22,AKRA.JK,7264067020.21,9756609281.69,-2492542261.48
2018-06-25,AKRA.JK,3705179331.91,701730097.75,3003449234.16
2018-06-26,AKRA.JK,6339271347.16,1738965933.63,4600305413.53
2018-06-27,AKRA.JK,3749980615.23,3873302640.23,-123322025.0
2018-06-28,AKRA.JK,1218111722.23,4482116920.76,-3264005198.53
2018-06-29,AKRA.JK,2308374256.29,2139627182.19,168747074.1
2018-07-02,AKRA.JK,730532726.22,1971103976.14,-1240571249.91
2018-07-03,AKRA.JK,1016793638.52,1904883578.71,-888089940.19
2018-07-04,AKRA.JK,1747084791.95,932337542.32,814747249.64
2018-07-05,AKRA.JK,1664910119.18,1309765013.78,355145105.4
2018-07-06,AKRA.JK,1508070999.18,817680090.86,690390908.31
2018-07-09,AKRA.JK,1850171833.82,924871973.36,925299860.46
2018-07-10,AKRA.JK,10938132062.04,2359105237.54,8579026824.5
2018-07-11,AKRA.JK,3111392841.86,1866988271.8,1244404570.06
2018-07-12,AKRA.JK,5032433058.27,3684549020.72,1347884037.55
2018-07-13,AKRA.JK,3263358128.45,4115532904.39,-852174775.94
2018-07-16,AKRA.JK,1235442498.21,646827553.86,588614944.35
2018-07-17,AKRA.JK,1305266402.92,700802943.4,604463459.52
2018-07-18,AKRA.JK,1388716492.3,1081840781.01,306875711.29
2018-07-19,AKRA.JK,2415215487.99,2743462426.26,-328246938.27
2018-07-20,AKRA.JK,1898760184.67,4909510467.64,-3010750282.97
2018-07-23,AKRA.JK,3505321026.2,4361042137.92,-855721111.72
2018-07-24,AKRA.JK,4075415400.7,4153703873.05,-78288472.35
2018-07-25,AKRA.JK,3286205091.74,5750776968.5,-2464571876.76
2018-07-26,AKRA.JK,3825769882.11,4151281244.78,-325511362.67
2018-07-27,AKRA.JK,2122571002.73,1964160027.73,158410975.0
2018-07-30,AKRA.JK,1218203916.79,2423648367.69,-1205444450.9
2018-07-31,AKRA.JK,915112409.16,1883517200.81,-968404791.64
2018-08-01,AKRA.JK,4081635142.09,3578826188.76,502808953.33
2018-08-02,AKRA.JK,1903818565.91,2202188076.44,-298369510.54
2018-08-03,AKRA.JK,1690919500.76,2133197942.22,-442278441.47
2018-08-06,AKRA.JK,1322587481.33,1176162480.09,146425001.24
2018-08-07,AKRA.JK,2595097989.04,1485765961.67,1109332027.37
2018-08-08,AKRA.JK,3635647330.16,3256987420.93,378659909.23
2018-08-09,AKRA.JK,3870244113.55,5833887474.96,-1963643361.41
2018-08-10,AKRA.JK,968569184.9,987710921.99,-19141737.09
2018-08-13,AKRA.JK,1071619620.58,3019573010.82,-1947953390.24
2018-08-14,AKRA.JK,2022646083.07,3058128605.99,-1035482522.92
2018-08-15,AKRA.JK,5399213742.46,6113020853.85,-713807111.4
2018-08-16,AKRA.JK,6073123345.38,7577932598.36,-1504809252.99
2018-08-17,AKRA.JK,0.0,0.0,0.0
2018-08-20,AKRA.JK,7027533830.71,6067153719.01,960380111.7
2018-08-21,AKRA.JK,5888622400.01,3805503331.6,2083119068.41
2018-08-22,AKRA.JK,0.0,0.0,0.0
2018-08-23,AKRA.JK,1055892825.48,3350123187.81,-2294230362.34
2018-08-24,AKRA.JK,2379938572.72,5108899197.26,-2728960624.54
2018-08-27,AKRA.JK,4037099164.25,4392392499.99,-355293335.74
2018-08-28,AKRA.JK,5161980989.97,8851163770.15,-3689182780.18
2018-08-29,AKRA.JK,2635276596.62,3110655068.95,-475378472.32
