date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2023-07-07,AMMN.JK,88455180687.88,81846320906.0,6608859781.88
2023-07-10,AMMN.JK,16599098387.98,14799526426.61,1799571961.37
2023-07-11,AMMN.JK,8232965598.1,9136956744.46,-903991146.36
2023-07-12,AMMN.JK,5434519117.18,3744189558.7,1690329558.48
2023-07-13,AMMN.JK,6146537666.79,6197731797.2,-51194130.41
2023-07-14,AMMN.JK,8336612251.41,5075950169.34,3260662082.07
2023-07-17,AMMN.JK,17180818155.63,13043867033.98,4136951121.66
2023-07-18,AMMN.JK,27589939482.91,8798171002.25,18791768480.66
2023-07-20,AMMN.JK,7108610743.55,10702200922.77,-3593590179.22
2023-07-21,AMMN.JK,4815486194.61,3033470391.25,1782015803.36
2023-07-24,AMMN.JK,30492360664.69,5225375673.34,25266984991.34
2023-07-25,AMMN.JK,26320026639.01,580116490.0,25739910149.01
2023-07-26,AMMN.JK,9617258247.96,11422517362.21,-1805259114.25
2023-07-27,AMMN.JK,31493146360.03,4343770818.26,27149375541.77
2023-07-28,AMMN.JK,88816853183.67,5766456806.7,83050396376.97
2023-07-31,AMMN.JK,62453027598.94,11013354398.05,51439673200.89
2023-08-01,AMMN.JK,31022313411.54,35354241673.14,-4331928261.6
2023-08-02,AMMN.JK,94728587457.44,65717804374.05,29010783083.39
2023-08-03,AMMN.JK,19881360281.43,20002365790.94,-121005509.51
2023-08-04,AMMN.JK,12879673872.59,8634504513.34,4245169359.25
2023-08-07,AMMN.JK,33323587074.98,15951232946.41,17372354128.57
2023-08-08,AMMN.JK,23384106483.71,16100179291.29,7283927192.42
2023-08-09,AMMN.JK,16405950769.21,11735605002.61,4670345766.6
2023-08-10,AMMN.JK,18489710478.73,17362327452.84,1127383025.9
2023-08-11,AMMN.JK,10072682658.75,10328748621.33,-256065962.58
2023-08-14,AMMN.JK,7866730540.62,4142842681.12,3723887859.5
2023-08-15,AMMN.JK,37660976324.98,11909140760.77,25751835564.21
2023-08-16,AMMN.JK,18467068773.38,6535207826.09,11931860947.29
2023-08-18,AMMN.JK,12191274944.56,7899744003.06,4291530941.5
2023-08-21,AMMN.JK,20175461628.94,8196776510.73,11978685118.21
2023-08-22,AMMN.JK,44714860548.84,9083755228.95,35631105319.89
2023-08-23,AMMN.JK,34273897192.89,7568792911.11,26705104281.78
2023-08-24,AMMN.JK,63961645103.6,25439928564.92,38521716538.68
2023-08-25,AMMN.JK,44784994153.25,8976609804.8,35808384348.45
2023-08-28,AMMN.JK,48419351958.88,15996228594.8,32423123364.08
2023-08-29,AMMN.JK,114938857867.06,28492702820.69,86446155046.37
2023-08-30,AMMN.JK,82734306048.7,67271342244.17,15462963804.53
2023-08-31,AMMN.JK,50303543189.87,40931743166.44,9371800023.42
2023-09-01,AMMN.JK,90613844609.69,22977171059.62,67636673550.06
2023-09-04,AMMN.JK,50606079451.12,12155758358.45,38450321092.67
2023-09-05,AMMN.JK,30035145072.3,23325250953.44,6709894118.86
2023-09-06,AMMN.JK,100416084893.89,30104337667.89,70311747226.0
2023-09-07,AMMN.JK,68068532344.52,20693518739.27,47375013605.25
2023-09-08,AMMN.JK,77950350246.28,25222095045.98,52728255200.31
2023-09-11,AMMN.JK,109045568808.48,184859905653.47,-75814336844.99
2023-09-12,AMMN.JK,124925867144.29,26200285095.93,98725582048.36
2023-09-13,AMMN.JK,44013548605.18,44363064031.81,-349515426.63
2023-09-14,AMMN.JK,57350539590.33,75955706775.54,-18605167185.21
2023-09-15,AMMN.JK,26692246104.35,64494700993.01,-37802454888.66
2023-09-18,AMMN.JK,13323237376.58,147931536592.6,-134608299216.02
2023-09-19,AMMN.JK,80869495935.66,29108580507.51,51760915428.15
2023-09-20,AMMN.JK,27388005055.87,42823304269.63,-15435299213.76
2023-09-21,AMMN.JK,15444409089.73,18153708299.14,-2709299209.41
2023-09-22,AMMN.JK,40103324090.74,17836107552.95,22267216537.79
2023-09-25,AMMN.JK,67779455426.56,21858722356.12,45920733070.44
2023-09-26,AMMN.JK,64837032538.12,58639512273.79,6197520264.34
2023-09-27,AMMN.JK,30952101622.52,36901286927.42,-5949185304.9
2023-09-29,AMMN.JK,59497484557.2,14032283315.48,45465201241.72
2023-10-02,AMMN.JK,120887949646.4,42093246813.64,78794702832.77
2023-10-03,AMMN.JK,47414789999.11,17417625170.06,29997164829.05
2023-10-04,AMMN.JK,16159834555.88,43060396956.84,-26900562400.97
2023-10-05,AMMN.JK,34098399772.97,15929199275.49,18169200497.48
2023-10-06,AMMN.JK,33506042027.43,43830655760.38,-10324613732.96
2023-10-09,AMMN.JK,79813452658.06,35220388475.26,44593064182.8
2023-10-10,AMMN.JK,60303122923.92,45196504615.24,15106618308.68
2023-10-11,AMMN.JK,81902597106.24,37248109746.14,44654487360.1
2023-10-12,AMMN.JK,28633586347.83,27312420583.57,1321165764.26
2023-10-13,AMMN.JK,23648489204.92,32272368890.51,-8623879685.59
