date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,AMRT.JK,0.0,0.0,0.0
2018-01-02,AMRT.JK,1172666.04,423655.83,749010.21
2018-01-03,AMRT.JK,1318189.82,3821314.83,-2503125.01
2018-01-04,AMRT.JK,146456025.59,345201939.8,-198745914.21
2018-01-05,AMRT.JK,1150673.9,809578.52,341095.38
2018-01-08,AMRT.JK,4504061.49,3186219.04,1317842.45
2018-01-09,AMRT.JK,35714780.91,32869215.23,2845565.69
2018-01-10,AMRT.JK,17080941.14,28441318.33,-11360377.19
2018-01-11,AMRT.JK,2407976.55,3958631.2,-1550654.65
2018-01-12,AMRT.JK,1801872.81,2760519.08,-958646.26
2018-01-15,AMRT.JK,9614156.89,12032817.92,-2418661.03
2018-01-16,AMRT.JK,14161441.55,18419480.21,-4258038.67
2018-01-17,AMRT.JK,13847452.24,4056067.79,9791384.45
2018-01-18,AMRT.JK,10395942.5,5394596.61,5001345.89
2018-01-19,AMRT.JK,3309663.71,3178881.88,130781.82
2018-01-22,AMRT.JK,9196743.93,11680366.6,-2483622.67
2018-01-23,AMRT.JK,6795625.99,7976295.35,-1180669.36
2018-01-24,AMRT.JK,571091.31,659192.6,-88101.29
2018-01-25,AMRT.JK,5421362.63,2803705.8,2617656.83
2018-01-26,AMRT.JK,1418850.01,809369.76,609480.25
2018-01-29,AMRT.JK,27132209.33,35629206.5,-8496997.18
2018-01-30,AMRT.JK,61341.31,87382.62,-26041.31
2018-01-31,AMRT.JK,22167047.3,14807128.18,7359919.13
2018-02-01,AMRT.JK,4950682.35,6161852.68,-1211170.33
2018-02-02,AMRT.JK,16477760.05,16526246.27,-48486.23
2018-02-05,AMRT.JK,2221227.59,925838.58,1295389.01
2018-02-06,AMRT.JK,394497.53,976771.29,-582273.76
2018-02-07,AMRT.JK,11361533.11,5136273.76,6225259.35
2018-02-08,AMRT.JK,3758346.31,4242315.2,-483968.89
2018-02-09,AMRT.JK,2857854.26,10874496.35,-8016642.08
2018-02-12,AMRT.JK,2901038.06,1848203.84,1052834.22
2018-02-13,AMRT.JK,1494829.25,1607124.14,-112294.89
2018-02-14,AMRT.JK,2692884.65,1433094.31,1259790.34
2018-02-15,AMRT.JK,1962953.3,1398859.73,564093.58
2018-02-16,AMRT.JK,0.0,0.0,0.0
2018-02-19,AMRT.JK,2532456.51,3691931.73,-1159475.22
2018-02-20,AMRT.JK,5295872.46,15033754.11,-9737881.65
2018-02-21,AMRT.JK,1161565.55,875937.26,285628.29
2018-02-22,AMRT.JK,3518089.42,2657506.91,860582.51
2018-02-23,AMRT.JK,1315109.31,1406163.77,-91054.46
2018-02-26,AMRT.JK,1196813.09,1160438.29,36374.8
2018-02-27,AMRT.JK,4427798.56,2230431.12,2197367.45
2018-02-28,AMRT.JK,138004.73,334119.84,-196115.11
2018-03-01,AMRT.JK,3010215.14,4420120.4,-1409905.26
2018-03-02,AMRT.JK,9031260.34,14704694.2,-5673433.86
2018-03-05,AMRT.JK,491321.85,553744.52,-62422.68
2018-03-06,AMRT.JK,152298.17,231030.57,-78732.4
2018-03-07,AMRT.JK,47456334.05,96622400.16,-49166066.11
2018-03-08,AMRT.JK,10842914.35,620372.06,10222542.29
2018-03-09,AMRT.JK,63755.39,78706.27,-14950.88
2018-03-12,AMRT.JK,89910.79,94710.85,-4800.06
2018-03-13,AMRT.JK,925349.83,2440391.84,-1515042.01
2018-03-14,AMRT.JK,385388.09,349321.88,36066.21
2018-03-15,AMRT.JK,4408.48,5064.01,-655.53
2018-03-16,AMRT.JK,18666522.04,13921043.06,4745478.98
2018-03-19,AMRT.JK,4971056.66,5030800.71,-59744.04
2018-03-20,AMRT.JK,16056070.92,16788831.89,-732760.97
2018-03-21,AMRT.JK,14976.95,34071.24,-19094.29
2018-03-22,AMRT.JK,333695.25,202213.69,131481.56
2018-03-23,AMRT.JK,166757.73,61267.26,105490.47
2018-03-26,AMRT.JK,860922.92,2120506.06,-1259583.14
2018-03-27,AMRT.JK,5633157.91,9874388.58,-4241230.67
2018-03-28,AMRT.JK,5192494.33,14320246.84,-9127752.51
2018-03-29,AMRT.JK,13390533.66,279030.77,13111502.9
2018-03-30,AMRT.JK,0.0,0.0,0.0
2018-04-02,AMRT.JK,4050114.26,13268595.8,-9218481.54
2018-04-03,AMRT.JK,193341.71,279212.65,-85870.94
2018-04-04,AMRT.JK,1016337.28,1241509.6,-225172.31
2018-04-05,AMRT.JK,73466640.28,64739869.07,8726771.21
2018-04-06,AMRT.JK,297957337.33,456929812.56,-158972475.23
2018-04-09,AMRT.JK,239877.97,280951.82,-41073.85
2018-04-10,AMRT.JK,29551795.78,22922909.42,6628886.37
2018-04-11,AMRT.JK,28225433.67,20708536.75,7516896.93
2018-04-12,AMRT.JK,58452088.13,116258438.57,-57806350.43
2018-04-13,AMRT.JK,124734795.1,127732683.04,-2997887.94
2018-04-16,AMRT.JK,0.0,0.0,0.0
2018-04-17,AMRT.JK,0.0,0.0,0.0
2018-04-18,AMRT.JK,121522719.45,49481078.84,72041640.62
2018-04-19,AMRT.JK,0.0,0.0,0.0
2018-04-20,AMRT.JK,0.0,0.0,0.0
2018-04-23,AMRT.JK,2837669.69,1685419.58,1152250.11
2018-04-24,AMRT.JK,43803389.14,42526652.86,1276736.28
2018-04-25,AMRT.JK,0.0,0.0,0.0
2018-04-26,AMRT.JK,0.0,0.0,0.0
2018-04-27,AMRT.JK,0.0,0.0,0.0
2018-04-30,AMRT.JK,50102544.16,2322522.1,47780022.06
2018-05-01,AMRT.JK,0.0,0.0,0.0
2018-05-02,AMRT.JK,4295023.92,44303927.21,-40008903.28
2018-05-03,AMRT.JK,1897934.73,3781217.15,-1883282.42
2018-05-04,AMRT.JK,3139378.19,1246025.97,1893352.22
2018-05-07,AMRT.JK,3479466.79,7502340.02,-4022873.23
2018-05-08,AMRT.JK,34713808.6,30472083.29,4241725.31
2018-05-09,AMRT.JK,7821073.96,16666741.66,-8845667.71
2018-05-10,AMRT.JK,0.0,0.0,0.0
2018-05-11,AMRT.JK,920144635.96,300517368.43,619627267.53
2018-05-14,AMRT.JK,5714873446.32,2176883142.74,3537990303.58
2018-05-15,AMRT.JK,1303686730.72,755229044.59,548457686.13
2018-05-16,AMRT.JK,1393250725.24,1305424750.21,87825975.03
2018-05-17,AMRT.JK,44371602.33,43605267.59,766334.74
2018-05-18,AMRT.JK,7433706.36,8108226.07,-674519.71
2018-05-21,AMRT.JK,323339853.97,301175168.24,22164685.73
2018-05-22,AMRT.JK,1680678761.54,1293326384.29,387352377.25
2018-05-23,AMRT.JK,1266507037.96,1022804451.46,243702586.5
2018-05-24,AMRT.JK,7737905.24,8342537.78,-604632.54
2018-05-25,AMRT.JK,6048330.63,6186741.65,-138411.02
2018-05-28,AMRT.JK,1410604.28,753669.93,656934.35
2018-05-29,AMRT.JK,0.0,0.0,0.0
2018-05-30,AMRT.JK,41861328.94,10719776.98,31141551.96
2018-05-31,AMRT.JK,144778515.09,73804667.39,70973847.7
2018-06-01,AMRT.JK,0.0,0.0,0.0
2018-06-04,AMRT.JK,66915219.08,28282781.42,38632437.66
2018-06-05,AMRT.JK,6480247077.59,765328701.36,5714918376.23
2018-06-06,AMRT.JK,1228321009.13,6086792418.04,-4858471408.91
2018-06-07,AMRT.JK,72883652.97,75932324.61,-3048671.64
2018-06-08,AMRT.JK,8464913.06,784479.87,7680433.19
2018-06-11,AMRT.JK,0.0,0.0,0.0
2018-06-12,AMRT.JK,0.0,0.0,0.0
2018-06-13,AMRT.JK,0.0,0.0,0.0
2018-06-14,AMRT.JK,0.0,0.0,0.0
2018-06-15,AMRT.JK,0.0,0.0,0.0
2018-06-18,AMRT.JK,0.0,0.0,0.0
2018-06-19,AMRT.JK,0.0,0.0,0.0
2018-06-20,AMRT.JK,593333107.42,1628089458.61,-1034756351.19
2018-06-21,AMRT.JK,176542843.9,166303349.49,10239494.41
2018-06-22,AMRT.JK,2705944180.23,3422221490.95,-716277310.72
2018-06-25,AMRT.JK,1238227.8,2547049.98,-1308822.18
2018-06-26,AMRT.JK,87312105.3,63213881.19,24098224.11
2018-06-27,AMRT.JK,333607895.94,497224680.78,-163616784.84
2018-06-28,AMRT.JK,790386.91,1351838.66,-561451.76
2018-06-29,AMRT.JK,49520728.62,3291653.38,46229075.24
2018-07-02,AMRT.JK,1561761283.29,5078363306.07,-3516602022.78
2018-07-03,AMRT.JK,9774651.93,12086020.9,-2311368.97
2018-07-04,AMRT.JK,2417696726.16,2356846958.25,60849767.91
2018-07-05,AMRT.JK,4130267750.88,3795700950.75,334566800.13
2018-07-06,AMRT.JK,4343493631.05,4279591369.27,63902261.78
2018-07-09,AMRT.JK,4036897145.27,3980354767.78,56542377.49
2018-07-10,AMRT.JK,1253341459.45,1447672802.07,-194331342.62
2018-07-11,AMRT.JK,4008418309.2,2748612266.79,1259806042.41
2018-07-12,AMRT.JK,1629873990.85,1821686516.07,-191812525.23
2018-07-13,AMRT.JK,1096748089.4,823509599.07,273238490.33
2018-07-16,AMRT.JK,1930289564.08,1040569073.73,889720490.35
2018-07-17,AMRT.JK,6493625081.22,1132808798.49,5360816282.72
2018-07-18,AMRT.JK,1924016819.31,243318961.57,1680697857.74
2018-07-19,AMRT.JK,140265883.93,160677547.69,-20411663.76
2018-07-20,AMRT.JK,241822109.76,261245285.08,-19423175.32
2018-07-23,AMRT.JK,326120545.3,338912904.38,-12792359.08
2018-07-24,AMRT.JK,28575014.94,59804754.74,-31229739.8
2018-07-25,AMRT.JK,147958930.91,526212912.49,-378253981.59
2018-07-26,AMRT.JK,583030422.51,401289667.16,181740755.34
2018-07-27,AMRT.JK,113426848.26,102396434.97,11030413.28
2018-07-30,AMRT.JK,144914457.64,125842949.73,19071507.91
2018-07-31,AMRT.JK,15738964.34,11288450.03,4450514.31
2018-08-01,AMRT.JK,1403360572.48,1372814161.88,30546410.59
2018-08-02,AMRT.JK,84584709.91,132774275.04,-48189565.13
2018-08-03,AMRT.JK,1862220.32,1121035.15,741185.17
2018-08-06,AMRT.JK,122040484.07,113102570.39,8937913.67
2018-08-07,AMRT.JK,62213708.04,127126277.02,-64912568.97
2018-08-08,AMRT.JK,21293545.53,14481841.12,6811704.41
2018-08-09,AMRT.JK,62698609.44,55073870.35,7624739.09
2018-08-10,AMRT.JK,568991058.36,574729721.03,-5738662.67
