date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,ANTM.JK,0.0,0.0,0.0
2018-01-02,ANTM.JK,4248714271.93,2990951060.56,1257763211.37
2018-01-03,ANTM.JK,3567226911.67,3860387239.64,-293160327.97
2018-01-04,ANTM.JK,1408922955.46,801007695.36,607915260.11
2018-01-05,ANTM.JK,5858355544.21,2499753072.25,3358602471.96
2018-01-08,ANTM.JK,1063586203.85,1401037560.17,-337451356.33
2018-01-09,ANTM.JK,4739286943.54,3759154557.73,980132385.81
2018-01-10,ANTM.JK,1909031877.45,2391838706.88,-482806829.43
2018-01-11,ANTM.JK,801836502.19,658288580.82,143547921.37
2018-01-12,ANTM.JK,5140490985.21,2575341934.93,2565149050.28
2018-01-15,ANTM.JK,3559077626.26,5747913490.43,-2188835864.17
2018-01-16,ANTM.JK,44279979570.72,4841239422.86,39438740147.86
2018-01-17,ANTM.JK,23874676272.19,7990253316.8,15884422955.39
2018-01-18,ANTM.JK,30709632860.52,22090585191.41,8619047669.1
2018-01-19,ANTM.JK,5585854111.13,1916561861.1,3669292250.03
2018-01-22,ANTM.JK,15284663234.84,8223956905.46,7060706329.37
2018-01-23,ANTM.JK,26810505442.6,11072515754.24,15737989688.36
2018-01-24,ANTM.JK,2346562621.94,5064369859.41,-2717807237.46
2018-01-25,ANTM.JK,41750028379.96,4994482434.7,36755545945.26
2018-01-26,ANTM.JK,20018884631.07,15643331046.26,4375553584.8
2018-01-29,ANTM.JK,37720856340.73,6309345717.06,31411510623.67
2018-01-30,ANTM.JK,15524187546.8,12933429042.99,2590758503.82
2018-01-31,ANTM.JK,13138968302.52,10490716840.41,2648251462.11
2018-02-01,ANTM.JK,9830821275.12,11336233631.57,-1505412356.45
2018-02-02,ANTM.JK,14510945004.42,14046852497.1,464092507.32
2018-02-05,ANTM.JK,2838387038.96,9205100464.33,-6366713425.37
2018-02-06,ANTM.JK,20650619038.15,34179774747.17,-13529155709.02
2018-02-07,ANTM.JK,10276323963.59,5267207482.04,5009116481.55
2018-02-08,ANTM.JK,1648013328.13,2795344387.95,-1147331059.83
2018-02-09,ANTM.JK,4530744124.77,10186128036.72,-5655383911.96
2018-02-12,ANTM.JK,8022871528.24,3444354214.3,4578517313.94
2018-02-13,ANTM.JK,8995319624.61,4086296658.61,4909022966.0
2018-02-14,ANTM.JK,6607790457.06,4728695089.89,1879095367.17
2018-02-15,ANTM.JK,20889691465.8,10274142651.2,10615548814.6
2018-02-16,ANTM.JK,0.0,0.0,0.0
2018-02-19,ANTM.JK,6190372662.07,3137829950.19,3052542711.88
2018-02-20,ANTM.JK,1976673403.18,3486631449.26,-1509958046.08
2018-02-21,ANTM.JK,4063269782.34,3361416584.2,701853198.14
2018-02-22,ANTM.JK,1608918287.61,2552502567.66,-943584280.05
2018-02-23,ANTM.JK,5196856880.01,5349922835.71,-153065955.7
2018-02-26,ANTM.JK,2770720301.69,2233793907.97,536926393.72
2018-02-27,ANTM.JK,32378688911.02,6885758821.02,25492930090.01
2018-02-28,ANTM.JK,4799627589.66,4047448948.76,752178640.9
2018-03-01,ANTM.JK,6663200243.12,10879841562.23,-4216641319.11
2018-03-02,ANTM.JK,1454061879.46,2755510883.55,-1301449004.08
2018-03-05,ANTM.JK,2472833064.02,3740400652.95,-1267567588.94
2018-03-06,ANTM.JK,2607449071.55,2920757383.75,-313308312.2
2018-03-07,ANTM.JK,8507111910.51,18942254520.88,-10435142610.37
2018-03-08,ANTM.JK,3556936188.72,5035631047.2,-1478694858.47
2018-03-09,ANTM.JK,979335821.44,2183167651.66,-1203831830.22
2018-03-12,ANTM.JK,10462809074.03,2231736045.96,8231073028.07
2018-03-13,ANTM.JK,2991069573.84,5053420595.73,-2062351021.89
2018-03-14,ANTM.JK,2412297014.81,2476263980.86,-63966966.05
2018-03-15,ANTM.JK,2283795036.53,4329216621.43,-2045421584.89
2018-03-16,ANTM.JK,1110349246.28,1959489361.42,-849140115.14
2018-03-19,ANTM.JK,1322188351.51,3353895088.19,-2031706736.67
2018-03-20,ANTM.JK,2973590312.93,5318440461.95,-2344850149.03
2018-03-21,ANTM.JK,3572808794.11,1618521293.63,1954287500.47
2018-03-22,ANTM.JK,1364258268.53,2236845285.32,-872587016.79
2018-03-23,ANTM.JK,1347508318.84,3469497741.52,-2121989422.68
2018-03-26,ANTM.JK,3281051729.27,4009175312.85,-728123583.58
2018-03-27,ANTM.JK,4758058757.95,6953699437.68,-2195640679.73
2018-03-28,ANTM.JK,2373186105.42,3454989102.67,-1081802997.25
2018-03-29,ANTM.JK,8011798279.18,5404854428.07,2606943851.11
2018-03-30,ANTM.JK,0.0,0.0,0.0
2018-04-02,ANTM.JK,4615698435.95,1989934935.26,2625763500.69
2018-04-03,ANTM.JK,8314875865.39,5265519966.01,3049355899.38
2018-04-04,ANTM.JK,2238071590.82,8153875264.47,-5915803673.65
2018-04-05,ANTM.JK,9433861576.99,3264740579.43,6169120997.56
2018-04-06,ANTM.JK,6999625091.08,6238206027.26,761419063.82
2018-04-09,ANTM.JK,17362026222.57,3031878446.4,14330147776.16
2018-04-10,ANTM.JK,3833883595.39,3670293087.21,163590508.18
2018-04-11,ANTM.JK,11403481730.86,5880864376.96,5522617353.9
2018-04-12,ANTM.JK,8071952734.7,8063766712.34,8186022.36
2018-04-13,ANTM.JK,8120841189.97,5955266459.51,2165574730.46
2018-04-16,ANTM.JK,2493630407.9,4135658487.53,-1642028079.63
2018-04-17,ANTM.JK,2924390749.81,2350633415.81,573757334.0
2018-04-18,ANTM.JK,10042475102.12,5512105609.77,4530369492.35
2018-04-19,ANTM.JK,80339227149.74,15745149867.53,64594077282.21
2018-04-20,ANTM.JK,4648015661.0,11559723169.49,-6911707508.5
2018-04-23,ANTM.JK,4357167294.98,7589317772.74,-3232150477.76
2018-04-24,ANTM.JK,5165583314.64,15572063955.01,-10406480640.36
2018-04-25,ANTM.JK,5768155903.15,8008045276.95,-2239889373.8
2018-04-26,ANTM.JK,1805963036.89,3516251736.59,-1710288699.7
2018-04-27,ANTM.JK,3425030082.12,3600145218.69,-175115136.57
2018-04-30,ANTM.JK,5743740846.05,3444078727.28,2299662118.77
2018-05-01,ANTM.JK,0.0,0.0,0.0
2018-05-02,ANTM.JK,7429938960.53,3957073513.92,3472865446.61
2018-05-03,ANTM.JK,1156863990.28,3473716343.94,-2316852353.65
2018-05-04,ANTM.JK,2757347592.45,3618744110.09,-861396517.65
2018-05-07,ANTM.JK,1744689092.95,3480142449.84,-1735453356.89
2018-05-08,ANTM.JK,3243882279.47,5970413265.67,-2726530986.2
2018-05-09,ANTM.JK,5182995844.8,2855640002.56,2327355842.24
2018-05-10,ANTM.JK,0.0,0.0,0.0
2018-05-11,ANTM.JK,1842426897.37,1602406323.08,240020574.29
2018-05-14,ANTM.JK,3604483323.96,2657722767.42,946760556.54
2018-05-15,ANTM.JK,1596202225.52,1493669635.34,102532590.18
2018-05-16,ANTM.JK,4421774510.11,5560697933.48,-1138923423.37
2018-05-17,ANTM.JK,4291056966.9,2449966905.91,1841090060.99
