date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,ARTO.JK,0.0,0.0,0.0
2018-01-02,ARTO.JK,0.0,0.0,0.0
2018-01-03,ARTO.JK,5673.28,22918.94,-17245.66
2018-01-04,ARTO.JK,10906.63,9739.73,1166.91
2018-01-05,ARTO.JK,11933.75,12258.45,-324.7
2018-01-08,ARTO.JK,976045.84,2422766.8,-1446720.96
2018-01-09,ARTO.JK,103722.44,32543.04,71179.4
2018-01-10,ARTO.JK,8877.24,747.84,8129.4
2018-01-11,ARTO.JK,0.0,0.0,0.0
2018-01-12,ARTO.JK,0.0,0.0,0.0
2018-01-15,ARTO.JK,812.49,328700.36,-327887.87
2018-01-16,ARTO.JK,147086.23,87932.49,59153.73
2018-01-17,ARTO.JK,137730.38,257166.41,-119436.03
2018-01-18,ARTO.JK,51803.18,15392.28,36410.9
2018-01-19,ARTO.JK,2597.29,1441.71,1155.58
2018-01-22,ARTO.JK,0.0,0.0,0.0
2018-01-23,ARTO.JK,4193.78,1047.38,3146.4
2018-01-24,ARTO.JK,0.0,0.0,0.0
2018-01-25,ARTO.JK,583152.78,1819216.65,-1236063.87
2018-01-26,ARTO.JK,3344.0,3391.64,-47.64
2018-01-29,ARTO.JK,46304761.08,1767300.33,44537460.75
2018-01-30,ARTO.JK,14511806.1,20671646.69,-6159840.59
2018-01-31,ARTO.JK,1856523.69,1540412.92,316110.77
2018-02-01,ARTO.JK,145111.9,284648.2,-139536.3
2018-02-02,ARTO.JK,120192.71,46727.0,73465.71
2018-02-05,ARTO.JK,188553.2,136864.73,51688.47
2018-02-06,ARTO.JK,2369510.23,1750815.64,618694.58
2018-02-07,ARTO.JK,1877597.86,1125632.94,751964.92
2018-02-08,ARTO.JK,7731382.08,6735256.51,996125.57
2018-02-09,ARTO.JK,1298414.24,1253650.8,44763.45
2018-02-12,ARTO.JK,239031.82,467899.59,-228867.76
2018-02-13,ARTO.JK,8064.04,6009.59,2054.45
2018-02-14,ARTO.JK,30817.99,33622.26,-2804.27
2018-02-15,ARTO.JK,43047.6,52882.25,-9834.65
2018-02-16,ARTO.JK,0.0,0.0,0.0
2018-02-19,ARTO.JK,567608.38,437245.51,130362.87
2018-02-20,ARTO.JK,8136204.73,2803099.69,5333105.05
2018-02-21,ARTO.JK,566059.79,3753306.68,-3187246.89
2018-02-22,ARTO.JK,76351.93,406867.57,-330515.64
2018-02-23,ARTO.JK,15570.3,3362.71,12207.59
2018-02-26,ARTO.JK,298811.98,1100065.96,-801253.99
2018-02-27,ARTO.JK,507974.89,123803.63,384171.26
2018-02-28,ARTO.JK,166840.08,540137.63,-373297.55
2018-03-01,ARTO.JK,42572.61,18947.11,23625.5
2018-03-02,ARTO.JK,20942460.85,12529268.96,8413191.89
2018-03-05,ARTO.JK,9913247.77,11479209.03,-1565961.26
2018-03-06,ARTO.JK,0.0,0.0,0.0
2018-03-07,ARTO.JK,3966.54,3485.45,481.09
2018-03-08,ARTO.JK,847939.83,1069832.98,-221893.15
2018-03-09,ARTO.JK,163789.92,167107.02,-3317.1
2018-03-12,ARTO.JK,215517.57,270009.68,-54492.11
2018-03-13,ARTO.JK,11285.35,4543.21,6742.14
2018-03-14,ARTO.JK,18691.58,58569.93,-39878.35
2018-03-15,ARTO.JK,8188.27,2844.88,5343.38
2018-03-16,ARTO.JK,5911.62,7302.53,-1390.91
2018-03-19,ARTO.JK,7833.02,6314.45,1518.57
2018-03-20,ARTO.JK,227.21,10262.62,-10035.41
2018-03-21,ARTO.JK,605578.1,1243422.25,-637844.14
2018-03-22,ARTO.JK,56210.53,3686.76,52523.76
2018-03-23,ARTO.JK,0.0,0.0,0.0
2018-03-26,ARTO.JK,5444.17,1119.82,4324.36
2018-03-27,ARTO.JK,325237.32,292518.44,32718.88
2018-03-28,ARTO.JK,0.0,4868.66,-4868.66
2018-03-29,ARTO.JK,5848260.15,0.0,5848260.15
2018-03-30,ARTO.JK,0.0,0.0,0.0
2018-04-02,ARTO.JK,966810.92,2586794.45,-1619983.52
2018-04-03,ARTO.JK,23117.11,48247.28,-25130.16
2018-04-04,ARTO.JK,0.0,0.0,0.0
2018-04-05,ARTO.JK,22135.55,4346.23,17789.32
2018-04-06,ARTO.JK,2793.53,1048006.34,-1045212.81
2018-04-09,ARTO.JK,247365.58,196932.98,50432.59
2018-04-10,ARTO.JK,79296.5,36663.5,42633.0
2018-04-11,ARTO.JK,18978.37,22196.47,-3218.11
2018-04-12,ARTO.JK,11099.36,269469.58,-258370.22
2018-04-13,ARTO.JK,4736851.34,79240.5,4657610.84
2018-04-16,ARTO.JK,0.0,0.0,0.0
2018-04-17,ARTO.JK,0.0,0.0,0.0
2018-04-18,ARTO.JK,26250.68,16705.05,9545.63
2018-04-19,ARTO.JK,0.0,0.0,0.0
2018-04-20,ARTO.JK,0.0,0.0,0.0
2018-04-23,ARTO.JK,10503.78,56022.38,-45518.6
2018-04-24,ARTO.JK,9881.97,61066.99,-51185.02
2018-04-25,ARTO.JK,0.0,0.0,0.0
2018-04-26,ARTO.JK,0.0,0.0,0.0
2018-04-27,ARTO.JK,0.0,0.0,0.0
2018-04-30,ARTO.JK,94258.86,90124.03,4134.84
2018-05-01,ARTO.JK,0.0,0.0,0.0
2018-05-02,ARTO.JK,5431.9,1045.53,4386.37
2018-05-03,ARTO.JK,10424.92,6842.32,3582.61
2018-05-04,ARTO.JK,10416.13,14676.89,-4260.76
2018-05-07,ARTO.JK,17739.13,13008.76,4730.37
2018-05-08,ARTO.JK,2322.05,16449.83,-14127.78
2018-05-09,ARTO.JK,156781.43,40536.53,116244.9
2018-05-10,ARTO.JK,0.0,0.0,0.0
2018-05-11,ARTO.JK,2410558.73,2917579.42,-507020.7
2018-05-14,ARTO.JK,18053.38,11802.98,6250.4
2018-05-15,ARTO.JK,8908.86,8679.17,229.69
2018-05-16,ARTO.JK,6006.3,5236.4,769.89
2018-05-17,ARTO.JK,555324.59,300011.0,255313.6
2018-05-18,ARTO.JK,15673.6,15372.56,301.03
2018-05-21,ARTO.JK,0.0,0.0,0.0
2018-05-22,ARTO.JK,1040738.71,1535640.17,-494901.46
2018-05-23,ARTO.JK,164936.54,342647.51,-177710.97
2018-05-24,ARTO.JK,64445.53,76229.05,-11783.51
2018-05-25,ARTO.JK,453289.39,360608.72,92680.67
2018-05-28,ARTO.JK,155687.77,193397.87,-37710.1
2018-05-29,ARTO.JK,0.0,0.0,0.0
2018-05-30,ARTO.JK,691876.17,743304.7,-51428.53
2018-05-31,ARTO.JK,0.0,0.0,0.0
2018-06-01,ARTO.JK,0.0,0.0,0.0
2018-06-04,ARTO.JK,0.0,0.0,0.0
2018-06-05,ARTO.JK,0.0,0.0,0.0
2018-06-06,ARTO.JK,372192.03,724298.82,-352106.78
2018-06-07,ARTO.JK,118996.27,153717.88,-34721.61
2018-06-08,ARTO.JK,227123.97,265954.99,-38831.02
2018-06-11,ARTO.JK,0.0,0.0,0.0
2018-06-12,ARTO.JK,0.0,0.0,0.0
2018-06-13,ARTO.JK,0.0,0.0,0.0
2018-06-14,ARTO.JK,0.0,0.0,0.0
2018-06-15,ARTO.JK,0.0,0.0,0.0
2018-06-18,ARTO.JK,0.0,0.0,0.0
2018-06-19,ARTO.JK,0.0,0.0,0.0
2018-06-20,ARTO.JK,56022.42,114675.55,-58653.13
2018-06-21,ARTO.JK,31616.7,70305.15,-38688.44
2018-06-22,ARTO.JK,58467.05,115574.35,-57107.3
2018-06-25,ARTO.JK,4126772.14,1203177.13,2923595.02
2018-06-26,ARTO.JK,212676.86,55907.02,156769.84
2018-06-27,ARTO.JK,0.0,0.0,0.0
2018-06-28,ARTO.JK,32115.74,22340.37,9775.37
2018-06-29,ARTO.JK,258202.17,297990.83,-39788.66
2018-07-02,ARTO.JK,592722.69,714609.34,-121886.66
2018-07-03,ARTO.JK,107668.35,181898.25,-74229.91
2018-07-04,ARTO.JK,106073.59,217166.21,-111092.61
2018-07-05,ARTO.JK,69789.2,8800.03,60989.17
2018-07-06,ARTO.JK,2329877.68,851698.34,1478179.35
2018-07-09,ARTO.JK,36518.83,56041.17,-19522.35
2018-07-10,ARTO.JK,60341.07,526069.9,-465728.83
2018-07-11,ARTO.JK,31910.2,106559.88,-74649.67
2018-07-12,ARTO.JK,1042536.02,126929.13,915606.89
2018-07-13,ARTO.JK,0.0,0.0,0.0
2018-07-16,ARTO.JK,9218.74,85430.89,-76212.15
2018-07-17,ARTO.JK,178154.42,45011.05,133143.37
2018-07-18,ARTO.JK,323008.97,77742.94,245266.02
2018-07-19,ARTO.JK,0.0,0.0,0.0
2018-07-20,ARTO.JK,0.0,0.0,0.0
2018-07-23,ARTO.JK,0.0,0.0,0.0
2018-07-24,ARTO.JK,417574.82,289783.38,127791.44
2018-07-25,ARTO.JK,0.0,0.0,0.0
2018-07-26,ARTO.JK,0.0,0.0,0.0
2018-07-27,ARTO.JK,71851.53,37975.48,33876.05
2018-07-30,ARTO.JK,178932.64,258598.49,-79665.85
2018-07-31,ARTO.JK,1432.81,7510.59,-6077.77
2018-08-01,ARTO.JK,327231.67,167370.69,159860.98
2018-08-02,ARTO.JK,4323.7,4163.52,160.18
2018-08-03,ARTO.JK,0.0,0.0,0.0
2018-08-06,ARTO.JK,73973.34,22622.59,51350.75
2018-08-07,ARTO.JK,265626.36,389415.32,-123788.96
2018-08-08,ARTO.JK,4906748.98,4843118.7,63630.27
2018-08-09,ARTO.JK,2452.51,2466.63,-14.12
2018-08-10,ARTO.JK,53084.58,32196.3,20888.27
2018-08-13,ARTO.JK,5006.14,6066.8,-1060.66
2018-08-14,ARTO.JK,0.0,0.0,0.0
2018-08-15,ARTO.JK,2572715.57,6283607.53,-3710891.96
2018-08-16,ARTO.JK,459105.49,241740.27,217365.23
2018-08-17,ARTO.JK,0.0,0.0,0.0
2018-08-20,ARTO.JK,0.0,0.0,0.0
2018-08-21,ARTO.JK,0.0,0.0,0.0
2018-08-22,ARTO.JK,0.0,0.0,0.0
