date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,BBCA.JK,0.0,0.0,0.0
2018-01-02,BBCA.JK,32768860552.72,29335174326.8,3433686225.92
2018-01-03,BBCA.JK,37773515696.89,37282704079.45,490811617.44
2018-01-04,BBCA.JK,18889281809.41,11838237795.94,7051044013.47
2018-01-05,BBCA.JK,13851264396.9,13791454837.05,59809559.85
2018-01-08,BBCA.JK,36556647081.94,27116777767.46,9439869314.48
2018-01-09,BBCA.JK,33262613909.54,24540177385.48,8722436524.06
2018-01-10,BBCA.JK,21952603347.97,26317366240.3,-4364762892.33
2018-01-11,BBCA.JK,35844550599.97,26493163476.67,9351387123.3
2018-01-12,BBCA.JK,28170720701.77,41887377331.26,-13716656629.48
2018-01-15,BBCA.JK,14279546172.92,17103729102.9,-2824182929.97
2018-01-16,BBCA.JK,20838595380.08,19786386047.55,1052209332.53
2018-01-17,BBCA.JK,74671131769.0,126618154186.02,-51947022417.02
2018-01-18,BBCA.JK,31635716808.9,21864955843.66,9770760965.24
2018-01-19,BBCA.JK,20420935015.81,21372510062.67,-951575046.86
2018-01-22,BBCA.JK,49095643642.11,46831032629.24,2264611012.87
2018-01-23,BBCA.JK,42855967812.45,35360413696.23,7495554116.22
2018-01-24,BBCA.JK,63116320728.58,60703189605.89,2413131122.69
2018-01-25,BBCA.JK,21482296448.23,20808227834.51,674068613.72
2018-01-26,BBCA.JK,16020261889.08,13497924787.3,2522337101.78
2018-01-29,BBCA.JK,62689013614.17,49972041779.02,12716971835.16
2018-01-30,BBCA.JK,71042587455.88,79340922226.79,-8298334770.92
2018-01-31,BBCA.JK,18085356566.68,21863361279.02,-3778004712.34
2018-02-01,BBCA.JK,139400071431.94,65355866072.98,74044205358.96
2018-02-02,BBCA.JK,41074788092.51,22767036926.5,18307751166.01
2018-02-05,BBCA.JK,10874522933.96,11379052107.28,-504529173.32
2018-02-06,BBCA.JK,39239954698.86,56958931956.11,-17718977257.24
2018-02-07,BBCA.JK,61627628529.79,65921735506.1,-4294106976.31
2018-02-08,BBCA.JK,17902215781.76,13862553531.31,4039662250.45
2018-02-09,BBCA.JK,34455108389.73,41257345465.02,-6802237075.28
2018-02-12,BBCA.JK,23028692705.24,27770476006.62,-4741783301.38
2018-02-13,BBCA.JK,22340925534.37,14965500645.04,7375424889.34
2018-02-14,BBCA.JK,37189409976.73,50087631049.01,-12898221072.28
2018-02-15,BBCA.JK,10799308776.3,13775371469.1,-2976062692.8
2018-02-16,BBCA.JK,0.0,0.0,0.0
2018-02-19,BBCA.JK,19665962022.82,7431309790.91,12234652231.91
2018-02-20,BBCA.JK,13367722049.09,16819083168.56,-3451361119.47
2018-02-21,BBCA.JK,16238102701.06,16521474686.13,-283371985.08
2018-02-22,BBCA.JK,29660380249.04,34310173044.52,-4649792795.48
2018-02-23,BBCA.JK,50541716839.13,38235820708.02,12305896131.11
2018-02-26,BBCA.JK,41589590688.24,87902527273.65,-46312936585.4
2018-02-27,BBCA.JK,43012037332.67,43994878503.39,-982841170.72
2018-02-28,BBCA.JK,59473899253.01,81942550275.84,-22468651022.83
2018-03-01,BBCA.JK,75220796076.29,81817633985.57,-6596837909.28
2018-03-02,BBCA.JK,23318143452.59,35350900652.0,-12032757199.41
2018-03-05,BBCA.JK,52173171252.97,58659291439.01,-6486120186.04
2018-03-06,BBCA.JK,54670681641.4,49209860419.2,5460821222.2
2018-03-07,BBCA.JK,43369753199.15,55404626055.61,-12034872856.46
2018-03-08,BBCA.JK,43286416508.1,20990970969.65,22295445538.45
2018-03-09,BBCA.JK,37937749832.26,40644778665.81,-2707028833.54
2018-03-12,BBCA.JK,48429499533.51,32903741208.99,15525758324.52
2018-03-13,BBCA.JK,46922061940.51,64034361156.84,-17112299216.34
2018-03-14,BBCA.JK,30589355568.08,36884154342.21,-6294798774.13
2018-03-15,BBCA.JK,31570619615.64,35244834181.34,-3674214565.69
2018-03-16,BBCA.JK,36882576845.44,38770679840.05,-1888102994.6
2018-03-19,BBCA.JK,27179527849.24,29552368646.41,-2372840797.17
2018-03-20,BBCA.JK,39672861661.73,47478941514.34,-7806079852.61
2018-03-21,BBCA.JK,48876290137.07,49802671872.46,-926381735.39
2018-03-22,BBCA.JK,40695847133.64,36972724330.23,3723122803.42
2018-03-23,BBCA.JK,44957141097.07,27120587699.03,17836553398.04
2018-03-26,BBCA.JK,46722334002.83,93091618470.89,-46369284468.06
2018-03-27,BBCA.JK,56330506116.87,42030087401.85,14300418715.01
2018-03-28,BBCA.JK,15487937340.19,20463958656.64,-4976021316.45
2018-03-29,BBCA.JK,24612989596.71,27565077918.17,-2952088321.45
2018-03-30,BBCA.JK,0.0,0.0,0.0
2018-04-02,BBCA.JK,9100190136.07,8740730887.32,359459248.75
2018-04-03,BBCA.JK,14737536136.97,15374351722.8,-636815585.83
2018-04-04,BBCA.JK,33691972269.52,41473807728.76,-7781835459.23
2018-04-05,BBCA.JK,3832459111.91,4635955415.71,-803496303.8
2018-04-06,BBCA.JK,21315165146.95,30358998157.11,-9043833010.16
2018-04-09,BBCA.JK,11008740706.23,9519392973.64,1489347732.59
2018-04-10,BBCA.JK,54291640514.03,27838582983.76,26453057530.27
2018-04-11,BBCA.JK,16951638898.08,17899716136.04,-948077237.96
2018-04-12,BBCA.JK,30575276050.89,35217767228.53,-4642491177.64
2018-04-13,BBCA.JK,47043449914.8,51125798177.4,-4082348262.6
2018-04-16,BBCA.JK,0.0,0.0,0.0
2018-04-17,BBCA.JK,0.0,0.0,0.0
2018-04-18,BBCA.JK,29020435775.03,25262917812.01,3757517963.02
2018-04-19,BBCA.JK,0.0,0.0,0.0
2018-04-20,BBCA.JK,0.0,0.0,0.0
2018-04-23,BBCA.JK,18641051374.49,17565129180.81,1075922193.68
2018-04-24,BBCA.JK,23529566590.87,22933902234.83,595664356.04
2018-04-25,BBCA.JK,0.0,0.0,0.0
2018-04-26,BBCA.JK,0.0,0.0,0.0
2018-04-27,BBCA.JK,0.0,0.0,0.0
2018-04-30,BBCA.JK,31220761372.93,90301891579.23,-59081130206.3
2018-05-01,BBCA.JK,0.0,0.0,0.0
2018-05-02,BBCA.JK,75827749039.6,24262189436.47,51565559603.13
2018-05-03,BBCA.JK,37818741608.79,89888465495.36,-52069723886.57
2018-05-04,BBCA.JK,40683844840.72,61089376593.07,-20405531752.35
2018-05-07,BBCA.JK,35393868302.48,24362760059.76,11031108242.72
2018-05-08,BBCA.JK,29473804677.95,48414954844.38,-18941150166.43
2018-05-09,BBCA.JK,40674346346.05,10777310199.41,29897036146.64
2018-05-10,BBCA.JK,0.0,0.0,0.0
2018-05-11,BBCA.JK,52702597998.58,65580691957.07,-12878093958.5
2018-05-14,BBCA.JK,19197492038.72,13237865375.63,5959626663.09
2018-05-15,BBCA.JK,30112537888.9,68602785003.0,-38490247114.1
2018-05-16,BBCA.JK,68162223994.36,52409483350.32,15752740644.03
