date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,BBRI.JK,0.0,0.0,0.0
2018-01-02,BBRI.JK,36423274463.75,38139885285.91,-1716610822.17
2018-01-03,BBRI.JK,10625928556.69,12265968135.74,-1640039579.04
2018-01-04,BBRI.JK,17624244545.97,29587198380.95,-11962953834.98
2018-01-05,BBRI.JK,44781401882.05,21659867722.63,23121534159.42
2018-01-08,BBRI.JK,20662630284.14,17187652047.91,3474978236.23
2018-01-09,BBRI.JK,28884001357.49,28995270213.46,-111268855.97
2018-01-10,BBRI.JK,23637230615.04,41394909906.99,-17757679291.94
2018-01-11,BBRI.JK,34840897926.6,37091536835.04,-2250638908.44
2018-01-12,BBRI.JK,35698968486.15,36653892782.8,-954924296.65
2018-01-15,BBRI.JK,16608472442.68,15125524199.24,1482948243.44
2018-01-16,BBRI.JK,14259493357.06,8392694659.44,5866798697.62
2018-01-17,BBRI.JK,18124622818.16,16719161857.06,1405460961.1
2018-01-18,BBRI.JK,22344629029.28,25409863500.98,-3065234471.7
2018-01-19,BBRI.JK,26320632648.56,29946567398.58,-3625934750.02
2018-01-22,BBRI.JK,15041170905.12,13184054705.32,1857116199.8
2018-01-23,BBRI.JK,122460050800.75,7305921188.0,115154129612.75
2018-01-24,BBRI.JK,27422150014.15,58132992010.93,-30710841996.77
2018-01-25,BBRI.JK,22654744138.85,35627587075.67,-12972842936.83
2018-01-26,BBRI.JK,66716160355.35,39744135193.61,26972025161.74
2018-01-29,BBRI.JK,44047462688.98,63056287619.43,-19008824930.45
2018-01-30,BBRI.JK,34956695540.07,67335958189.44,-32379262649.37
2018-01-31,BBRI.JK,91310792244.39,131382800147.0,-40072007902.6
2018-02-01,BBRI.JK,66717683182.15,57952542557.29,8765140624.86
2018-02-02,BBRI.JK,50887547347.99,34452940872.28,16434606475.71
2018-02-05,BBRI.JK,41417367738.88,28158293155.82,13259074583.06
2018-02-06,BBRI.JK,66826314048.51,153688540943.16,-86862226894.65
2018-02-07,BBRI.JK,45186934540.18,36691528662.19,8495405877.98
2018-02-08,BBRI.JK,41606173713.78,35073108356.55,6533065357.24
2018-02-09,BBRI.JK,11407243220.77,13313381344.91,-1906138124.14
2018-02-12,BBRI.JK,30090026433.98,13174390942.9,16915635491.08
