date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,BBTN.JK,0.0,0.0,0.0
2018-01-02,BBTN.JK,5260103916.89,4468114877.51,791989039.38
2018-01-03,BBTN.JK,6581425448.31,7189317241.9,-607891793.58
2018-01-04,BBTN.JK,4301216692.33,12334596922.2,-8033380229.87
2018-01-05,BBTN.JK,10477340321.2,12440695287.68,-1963354966.48
2018-01-08,BBTN.JK,11348028209.85,13529185066.47,-2181156856.62
2018-01-09,BBTN.JK,17817459575.66,9506355049.21,8311104526.44
2018-01-10,BBTN.JK,15185326784.19,5287116585.77,9898210198.41
2018-01-11,BBTN.JK,9962843936.18,8842571376.62,1120272559.56
2018-01-12,BBTN.JK,7226468147.19,6043454649.36,1183013497.82
2018-01-15,BBTN.JK,2394535555.58,2462266714.41,-67731158.82
2018-01-16,BBTN.JK,4543833040.77,3883755670.79,660077369.98
2018-01-17,BBTN.JK,7793727873.08,7268877444.12,524850428.96
2018-01-18,BBTN.JK,8967420811.92,7057183375.03,1910237436.88
2018-01-19,BBTN.JK,2508435261.82,2946238956.57,-437803694.75
2018-01-22,BBTN.JK,3284397086.94,3530374427.24,-245977340.3
2018-01-23,BBTN.JK,11255178087.66,9207079506.8,2048098580.86
2018-01-24,BBTN.JK,11288981246.2,10874812624.86,414168621.34
2018-01-25,BBTN.JK,5000929197.9,8652414177.31,-3651484979.41
2018-01-26,BBTN.JK,3563587461.82,3935538162.74,-371950700.93
2018-01-29,BBTN.JK,6215166426.16,4613553565.05,1601612861.11
2018-01-30,BBTN.JK,2328822360.94,2838010142.17,-509187781.24
2018-01-31,BBTN.JK,11736412878.72,6409736691.85,5326676186.86
2018-02-01,BBTN.JK,2598776517.18,3330158663.48,-731382146.3
2018-02-02,BBTN.JK,5689912839.02,3200803346.38,2489109492.65
2018-02-05,BBTN.JK,5342271152.82,6019624188.76,-677353035.94
2018-02-06,BBTN.JK,7338835552.46,14122999257.75,-6784163705.3
2018-02-07,BBTN.JK,9337917592.54,8692671981.56,645245610.98
2018-02-08,BBTN.JK,2557021258.98,2029745322.63,527275936.35
2018-02-09,BBTN.JK,3233510975.56,4800030990.75,-1566520015.19
2018-02-12,BBTN.JK,7277240668.67,3386173000.12,3891067668.55
2018-02-13,BBTN.JK,12291483854.21,8733244231.31,3558239622.9
2018-02-14,BBTN.JK,9736983389.55,6520646206.64,3216337182.91
2018-02-15,BBTN.JK,3948006504.16,5154669332.97,-1206662828.8
2018-02-16,BBTN.JK,0.0,0.0,0.0
2018-02-19,BBTN.JK,10200956749.53,5213137019.74,4987819729.79
2018-02-20,BBTN.JK,3817126494.08,5083489042.78,-1266362548.7
2018-02-21,BBTN.JK,7596439786.44,8270893050.61,-674453264.17
2018-02-22,BBTN.JK,2179564366.86,2242677337.0,-63112970.14
2018-02-23,BBTN.JK,4842194029.03,6996856747.49,-2154662718.46
2018-02-26,BBTN.JK,1874237840.83,3161960271.64,-1287722430.81
2018-02-27,BBTN.JK,4234801482.84,2480171084.17,1754630398.67
2018-02-28,BBTN.JK,14421691019.9,12041458575.2,2380232444.7
2018-03-01,BBTN.JK,3489949651.12,3004347037.68,485602613.43
2018-03-02,BBTN.JK,7493354019.14,7439682357.71,53671661.43
2018-03-05,BBTN.JK,4809774800.56,3445319665.94,1364455134.62
2018-03-06,BBTN.JK,5101876905.72,9295783651.11,-4193906745.39
2018-03-07,BBTN.JK,3561382360.22,4064986704.77,-503604344.55
2018-03-08,BBTN.JK,5258622759.74,2557631826.49,2700990933.24
2018-03-09,BBTN.JK,2564780779.41,3636659203.65,-1071878424.23
2018-03-12,BBTN.JK,3750905402.12,6537119029.51,-2786213627.39
2018-03-13,BBTN.JK,2049495349.89,1255893194.79,793602155.1
2018-03-14,BBTN.JK,2286355608.3,3499253480.08,-1212897871.78
2018-03-15,BBTN.JK,1195826323.82,3574829245.57,-2379002921.74
2018-03-16,BBTN.JK,13999540039.98,5680288475.95,8319251564.03
2018-03-19,BBTN.JK,1429913892.3,932150339.52,497763552.78
2018-03-20,BBTN.JK,2198235415.09,5408168390.91,-3209932975.82
2018-03-21,BBTN.JK,2656675723.87,1485421036.99,1171254686.89
2018-03-22,BBTN.JK,16793249470.98,8193052749.32,8600196721.66
2018-03-23,BBTN.JK,1436966949.34,2142236929.2,-705269979.86
2018-03-26,BBTN.JK,4341904114.05,4253536184.51,88367929.54
2018-03-27,BBTN.JK,1740847679.84,4179470810.94,-2438623131.11
2018-03-28,BBTN.JK,2178487256.7,1873800754.92,304686501.78
2018-03-29,BBTN.JK,7532231195.49,3325485186.63,4206746008.87
2018-03-30,BBTN.JK,0.0,0.0,0.0
2018-04-02,BBTN.JK,1227084797.24,2363254372.35,-1136169575.1
2018-04-03,BBTN.JK,4108571370.4,2730726908.57,1377844461.83
2018-04-04,BBTN.JK,4529306045.46,21847144123.54,-17317838078.08
2018-04-05,BBTN.JK,6837146703.01,5737004506.97,1100142196.04
2018-04-06,BBTN.JK,2988092550.77,2794616339.83,193476210.94
2018-04-09,BBTN.JK,1970234552.98,1413227853.55,557006699.44
2018-04-10,BBTN.JK,6056580182.22,3840366861.58,2216213320.64
2018-04-11,BBTN.JK,3374397294.52,3016865300.44,357531994.09
2018-04-12,BBTN.JK,2397899924.22,2478200397.79,-80300473.57
2018-04-13,BBTN.JK,1167462284.51,1900681816.42,-733219531.91
2018-04-16,BBTN.JK,0.0,0.0,0.0
2018-04-17,BBTN.JK,0.0,0.0,0.0
2018-04-18,BBTN.JK,4340378575.54,3096154847.66,1244223727.88
2018-04-19,BBTN.JK,0.0,0.0,0.0
2018-04-20,BBTN.JK,0.0,0.0,0.0
2018-04-23,BBTN.JK,2284110360.88,1079580927.26,1204529433.63
2018-04-24,BBTN.JK,2069920588.77,3598841333.4,-1528920744.64
2018-04-25,BBTN.JK,0.0,0.0,0.0
2018-04-26,BBTN.JK,0.0,0.0,0.0
2018-04-27,BBTN.JK,0.0,0.0,0.0
2018-04-30,BBTN.JK,293254649.71,12579617928.52,-12286363278.81
2018-05-01,BBTN.JK,0.0,0.0,0.0
2018-05-02,BBTN.JK,7695549634.7,7367557268.78,327992365.92
2018-05-03,BBTN.JK,650980717.91,4700519677.37,-4049538959.46
2018-05-04,BBTN.JK,617121805.02,30699129902.7,-30082008097.69
2018-05-07,BBTN.JK,25050997541.74,2054001524.07,22996996017.67
2018-05-08,BBTN.JK,1880732896.75,7624994022.53,-5744261125.78
2018-05-09,BBTN.JK,15885466711.74,5097734167.12,10787732544.61
