date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,BMRI.JK,0.0,0.0,0.0
2018-01-02,BMRI.JK,19766269552.88,34211992412.33,-14445722859.45
2018-01-03,BMRI.JK,15392210271.36,26279169507.91,-10886959236.56
2018-01-04,BMRI.JK,53211129427.01,29331333249.06,23879796177.95
2018-01-05,BMRI.JK,24108399326.58,22048438778.36,2059960548.22
2018-01-08,BMRI.JK,42665927209.3,27774345774.99,14891581434.32
2018-01-09,BMRI.JK,29809820287.67,32634634283.08,-2824813995.41
2018-01-10,BMRI.JK,31262007170.4,28791034474.92,2470972695.48
2018-01-11,BMRI.JK,28860170997.79,15112846952.27,13747324045.53
2018-01-12,BMRI.JK,20902130716.11,16972023843.98,3930106872.13
2018-01-15,BMRI.JK,6187984907.82,4315189867.54,1872795040.28
2018-01-16,BMRI.JK,15880265509.42,15529782263.05,350483246.38
2018-01-17,BMRI.JK,11171726415.83,19244380576.62,-8072654160.79
2018-01-18,BMRI.JK,15695795916.95,15958555827.85,-262759910.9
2018-01-19,BMRI.JK,17235767429.1,23295411457.87,-6059644028.77
2018-01-22,BMRI.JK,20175242258.84,20705792140.95,-530549882.11
2018-01-23,BMRI.JK,27007031224.08,18835676748.66,8171354475.42
2018-01-24,BMRI.JK,35982182105.23,32200613550.3,3781568554.93
2018-01-25,BMRI.JK,11975503637.41,16507168453.22,-4531664815.81
2018-01-26,BMRI.JK,35971570371.27,27162647285.15,8808923086.11
2018-01-29,BMRI.JK,29707714945.1,37092663842.57,-7384948897.48
2018-01-30,BMRI.JK,16905064240.95,25218647769.67,-8313583528.71
2018-01-31,BMRI.JK,40083283199.91,27364676422.5,12718606777.4
2018-02-01,BMRI.JK,33524606230.6,27412059466.84,6112546763.77
2018-02-02,BMRI.JK,21013561752.65,28199899817.02,-7186338064.37
2018-02-05,BMRI.JK,10703545638.38,9155584616.75,1547961021.63
2018-02-06,BMRI.JK,18592731505.92,25176504204.51,-6583772698.59
2018-02-07,BMRI.JK,16608807717.04,11087673566.91,5521134150.12
2018-02-08,BMRI.JK,15275067832.16,12486174075.68,2788893756.48
2018-02-09,BMRI.JK,84054664628.85,69385823107.88,14668841520.97
2018-02-12,BMRI.JK,24504685225.58,24248197465.25,256487760.33
2018-02-13,BMRI.JK,27939004362.99,18196339405.54,9742664957.45
2018-02-14,BMRI.JK,13098380879.78,9797333734.98,3301047144.8
2018-02-15,BMRI.JK,23849049376.51,25206815323.59,-1357765947.08
2018-02-16,BMRI.JK,0.0,0.0,0.0
2018-02-19,BMRI.JK,8985753742.58,5222461929.93,3763291812.65
2018-02-20,BMRI.JK,37919452620.79,4833497621.6,33085954999.19
2018-02-21,BMRI.JK,31016150645.96,57803135533.62,-26786984887.66
2018-02-22,BMRI.JK,6867264037.49,11317363351.52,-4450099314.03
2018-02-23,BMRI.JK,21676008386.67,28826379438.05,-7150371051.37
2018-02-26,BMRI.JK,5268038258.83,12388747923.15,-7120709664.32
2018-02-27,BMRI.JK,31916035543.76,20548825011.44,11367210532.33
2018-02-28,BMRI.JK,21208893910.9,27882901924.78,-6674008013.88
