date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,BRPT.JK,0.0,0.0,0.0
2018-01-02,BRPT.JK,2087900375.72,2983162594.62,-895262218.9
2018-01-03,BRPT.JK,1700280174.22,8330125161.73,-6629844987.51
2018-01-04,BRPT.JK,2170798132.24,9742758829.75,-7571960697.51
2018-01-05,BRPT.JK,8672345065.14,4026104655.12,4646240410.01
2018-01-08,BRPT.JK,12575493936.55,14021227321.31,-1445733384.76
2018-01-09,BRPT.JK,17434906218.19,9970314962.32,7464591255.87
2018-01-10,BRPT.JK,7230724280.97,6893159478.49,337564802.48
2018-01-11,BRPT.JK,8516472827.97,13235736764.28,-4719263936.32
2018-01-12,BRPT.JK,4133251383.49,3500012437.79,633238945.7
2018-01-15,BRPT.JK,15573604198.67,4576311731.72,10997292466.95
2018-01-16,BRPT.JK,16275993516.63,7951771381.66,8324222134.97
2018-01-17,BRPT.JK,5177590308.01,9144491092.29,-3966900784.29
2018-01-18,BRPT.JK,7108547940.85,7591759385.74,-483211444.89
2018-01-19,BRPT.JK,4639223591.0,6190677391.03,-1551453800.03
2018-01-22,BRPT.JK,1816789631.78,3678600270.71,-1861810638.93
2018-01-23,BRPT.JK,14796958253.7,4953062533.47,9843895720.23
2018-01-24,BRPT.JK,3014035263.68,3598227118.69,-584191855.01
2018-01-25,BRPT.JK,20247266358.74,5296754799.68,14950511559.06
2018-01-26,BRPT.JK,10133457274.39,3951997503.45,6181459770.95
2018-01-29,BRPT.JK,29726889476.07,5708548073.18,24018341402.89
2018-01-30,BRPT.JK,4486388218.49,5151947243.58,-665559025.09
2018-01-31,BRPT.JK,39955227815.12,8801072840.74,31154154974.37
2018-02-01,BRPT.JK,16316508271.35,7991699511.96,8324808759.38
2018-02-02,BRPT.JK,4150209395.37,13485593999.11,-9335384603.74
2018-02-05,BRPT.JK,2319402755.39,4658774840.21,-2339372084.82
2018-02-06,BRPT.JK,5660155794.1,21865407329.99,-16205251535.88
2018-02-07,BRPT.JK,6083290135.35,9332224556.61,-3248934421.26
2018-02-08,BRPT.JK,6331829224.53,5936259904.21,395569320.32
2018-02-09,BRPT.JK,5667891193.66,14632567905.31,-8964676711.64
2018-02-12,BRPT.JK,2534450249.77,2010555930.23,523894319.54
2018-02-13,BRPT.JK,5085995326.34,3989032624.68,1096962701.66
2018-02-14,BRPT.JK,16199434363.38,3783331843.62,12416102519.76
2018-02-15,BRPT.JK,8874751119.86,8859987571.98,14763547.88
2018-02-16,BRPT.JK,0.0,0.0,0.0
2018-02-19,BRPT.JK,9439623824.79,8000888274.3,1438735550.49
2018-02-20,BRPT.JK,4083050479.32,6012112813.63,-1929062334.3
2018-02-21,BRPT.JK,5607032488.34,3188217283.24,2418815205.1
2018-02-22,BRPT.JK,10861598245.39,7675028384.76,3186569860.63
2018-02-23,BRPT.JK,6005493545.48,3108899822.95,2896593722.52
2018-02-26,BRPT.JK,12322361103.01,9907651278.76,2414709824.25
2018-02-27,BRPT.JK,6976238685.59,11131658270.87,-4155419585.28
2018-02-28,BRPT.JK,10965433265.97,11778310289.48,-812877023.52
2018-03-01,BRPT.JK,13186450663.86,24563479834.95,-11377029171.08
2018-03-02,BRPT.JK,7022899815.6,3974812396.78,3048087418.81
2018-03-05,BRPT.JK,9397080222.28,9532221063.94,-135140841.65
2018-03-06,BRPT.JK,4647003518.2,12321414313.23,-7674410795.03
2018-03-07,BRPT.JK,4535903427.49,8115408426.51,-3579504999.01
2018-03-08,BRPT.JK,2672989742.88,2826942431.42,-153952688.54
2018-03-09,BRPT.JK,15939525745.8,7160533770.07,8778991975.72
2018-03-12,BRPT.JK,10798132068.3,7995486854.2,2802645214.1
2018-03-13,BRPT.JK,8325763210.33,6592622612.76,1733140597.57
2018-03-14,BRPT.JK,2919800682.98,5754248027.83,-2834447344.85
2018-03-15,BRPT.JK,10036915610.41,10798362266.26,-761446655.85
2018-03-16,BRPT.JK,41091871537.54,53459447977.7,-12367576440.17
2018-03-19,BRPT.JK,3388608240.11,5343088985.5,-1954480745.39
2018-03-20,BRPT.JK,2838558404.03,5984078802.74,-3145520398.71
2018-03-21,BRPT.JK,8709912597.64,7501400803.63,1208511794.01
2018-03-22,BRPT.JK,7151930921.48,2177919131.4,4974011790.08
2018-03-23,BRPT.JK,4145074142.51,6858703871.63,-2713629729.12
2018-03-26,BRPT.JK,4007501655.25,5601251561.78,-1593749906.54
2018-03-27,BRPT.JK,7029571510.5,10774191558.43,-3744620047.92
2018-03-28,BRPT.JK,7090028385.05,9133457927.92,-2043429542.87
2018-03-29,BRPT.JK,6698523058.83,6549007763.85,149515294.98
2018-03-30,BRPT.JK,0.0,0.0,0.0
2018-04-02,BRPT.JK,10411037445.19,6094462251.55,4316575193.65
2018-04-03,BRPT.JK,3755018817.53,4420495577.35,-665476759.82
2018-04-04,BRPT.JK,6150363858.6,7945955835.89,-1795591977.28
2018-04-05,BRPT.JK,5929600197.69,7783694590.11,-1854094392.42
2018-04-06,BRPT.JK,3020807024.31,2526185980.59,494621043.73
2018-04-09,BRPT.JK,17526563696.4,8784835928.8,8741727767.6
2018-04-10,BRPT.JK,11871809831.25,5952837953.15,5918971878.1
2018-04-11,BRPT.JK,8624185744.71,4459838868.62,4164346876.09
2018-04-12,BRPT.JK,5533957651.58,5427925599.48,106032052.1
2018-04-13,BRPT.JK,12143126814.33,4786373135.3,7356753679.04
2018-04-16,BRPT.JK,0.0,0.0,0.0
2018-04-17,BRPT.JK,0.0,0.0,0.0
2018-04-18,BRPT.JK,3871328161.55,7584667342.13,-3713339180.58
2018-04-19,BRPT.JK,0.0,0.0,0.0
2018-04-20,BRPT.JK,0.0,0.0,0.0
2018-04-23,BRPT.JK,6278038609.78,2095006002.73,4183032607.05
2018-04-24,BRPT.JK,5066583867.5,4599247662.41,467336205.1
2018-04-25,BRPT.JK,0.0,0.0,0.0
2018-04-26,BRPT.JK,0.0,0.0,0.0
2018-04-27,BRPT.JK,0.0,0.0,0.0
2018-04-30,BRPT.JK,3679367123.52,14326725504.39,-10647358380.87
2018-05-01,BRPT.JK,0.0,0.0,0.0
2018-05-02,BRPT.JK,4907241869.68,5335849837.65,-428607967.97
2018-05-03,BRPT.JK,873820558.85,3872715417.09,-2998894858.24
2018-05-04,BRPT.JK,4941274623.1,8598277933.04,-3657003309.94
2018-05-07,BRPT.JK,8286247724.01,6513656961.04,1772590762.97
2018-05-08,BRPT.JK,5515207049.77,10108035682.06,-4592828632.29
2018-05-09,BRPT.JK,8871709861.49,6815023504.85,2056686356.64
2018-05-10,BRPT.JK,0.0,0.0,0.0
2018-05-11,BRPT.JK,18864435049.89,9129134561.53,9735300488.36
2018-05-14,BRPT.JK,10934514267.54,6105748345.54,4828765922.0
2018-05-15,BRPT.JK,1466996058.67,3857566966.5,-2390570907.83
2018-05-16,BRPT.JK,3453576118.93,8388177744.6,-4934601625.67
2018-05-17,BRPT.JK,7185327607.08,4815361810.69,2369965796.4
2018-05-18,BRPT.JK,2905404041.12,7015137461.95,-4109733420.83
2018-05-21,BRPT.JK,1253928757.31,2959298251.64,-1705369494.33
2018-05-22,BRPT.JK,6214675392.2,5066365392.05,1148310000.15
2018-05-23,BRPT.JK,10350776310.3,927075495.18,9423700815.12
2018-05-24,BRPT.JK,5646470174.1,5584198233.47,62271940.64
2018-05-25,BRPT.JK,1465506201.6,3300324880.13,-1834818678.53
2018-05-28,BRPT.JK,11464160045.18,4826611727.3,6637548317.88
2018-05-29,BRPT.JK,0.0,0.0,0.0
2018-05-30,BRPT.JK,5002041009.62,11764584774.01,-6762543764.39
2018-05-31,BRPT.JK,3386574192.1,12806472709.73,-9419898517.63
2018-06-01,BRPT.JK,0.0,0.0,0.0
2018-06-04,BRPT.JK,9436779756.39,8193313860.67,1243465895.72
2018-06-05,BRPT.JK,3742663765.11,1755039109.98,1987624655.12
2018-06-06,BRPT.JK,3238194165.01,2443278006.79,794916158.22
2018-06-07,BRPT.JK,2285067747.28,4787683931.87,-2502616184.59
2018-06-08,BRPT.JK,7477525506.93,4783750890.48,2693774616.45
2018-06-11,BRPT.JK,0.0,0.0,0.0
2018-06-12,BRPT.JK,0.0,0.0,0.0
2018-06-13,BRPT.JK,0.0,0.0,0.0
2018-06-14,BRPT.JK,0.0,0.0,0.0
2018-06-15,BRPT.JK,0.0,0.0,0.0
2018-06-18,BRPT.JK,0.0,0.0,0.0
2018-06-19,BRPT.JK,0.0,0.0,0.0
2018-06-20,BRPT.JK,4693739272.31,8443510317.07,-3749771044.76
2018-06-21,BRPT.JK,8715810353.5,8901707217.81,-185896864.31
2018-06-22,BRPT.JK,4800160280.87,3304004645.75,1496155635.13
2018-06-25,BRPT.JK,8479265536.14,9562291376.65,-1083025840.5
2018-06-26,BRPT.JK,3336387375.68,2067201235.17,1269186140.51
2018-06-27,BRPT.JK,720660117.59,2331933553.5,-1611273435.91
2018-06-28,BRPT.JK,470835602.88,7342160180.51,-6871324577.62
2018-06-29,BRPT.JK,11434115548.35,4824164349.23,6609951199.13
2018-07-02,BRPT.JK,2137723761.77,1980475821.8,157247939.98
2018-07-03,BRPT.JK,503640317.63,2861534648.97,-2357894331.34
2018-07-04,BRPT.JK,4421913563.96,11569041701.06,-7147128137.1
2018-07-05,BRPT.JK,3695030755.63,4900237770.31,-1205207014.68
2018-07-06,BRPT.JK,4834442931.8,10369341403.43,-5534898471.63
2018-07-09,BRPT.JK,6057316494.03,1477594043.51,4579722450.52
2018-07-10,BRPT.JK,2959322682.37,6698709997.81,-3739387315.44
2018-07-11,BRPT.JK,3312627622.48,4841366680.95,-1528739058.47
2018-07-12,BRPT.JK,15531712033.36,2149682095.94,13382029937.42
2018-07-13,BRPT.JK,9006272381.14,5412067154.81,3594205226.33
2018-07-16,BRPT.JK,2682122684.12,5520499947.23,-2838377263.11
2018-07-17,BRPT.JK,3679876483.78,5507726940.0,-1827850456.23
2018-07-18,BRPT.JK,2844331220.62,5162364003.76,-2318032783.14
2018-07-19,BRPT.JK,2101697261.84,1440515020.95,661182240.88
2018-07-20,BRPT.JK,889163137.53,1218179629.82,-329016492.28
2018-07-23,BRPT.JK,6798450350.56,2526310895.06,4272139455.51
2018-07-24,BRPT.JK,2353973956.82,1305730903.11,1048243053.71
2018-07-25,BRPT.JK,1539489258.41,2303468125.2,-763978866.79
2018-07-26,BRPT.JK,1292035456.77,4244628199.59,-2952592742.82
2018-07-27,BRPT.JK,2761794269.63,1839903683.56,921890586.07
2018-07-30,BRPT.JK,2249823012.86,2667751880.14,-417928867.28
2018-07-31,BRPT.JK,1640514442.79,2127745417.96,-487230975.18
2018-08-01,BRPT.JK,2708074333.78,2188428143.46,519646190.32
2018-08-02,BRPT.JK,2296693226.29,3315206010.49,-1018512784.2
2018-08-03,BRPT.JK,902271159.98,1009315893.38,-107044733.39
2018-08-06,BRPT.JK,3181352749.85,2966195274.25,215157475.6
2018-08-07,BRPT.JK,2711334362.89,1983720877.28,727613485.61
2018-08-08,BRPT.JK,2258522983.14,2632262138.38,-373739155.24
2018-08-09,BRPT.JK,7259899400.2,2255219106.66,5004680293.54
2018-08-10,BRPT.JK,5985109673.34,1262423069.66,4722686603.68
2018-08-13,BRPT.JK,605321124.36,2772255481.33,-2166934356.97
2018-08-14,BRPT.JK,1225293104.79,5411230690.69,-4185937585.91
2018-08-15,BRPT.JK,1198178133.71,1239523818.61,-41345684.9
2018-08-16,BRPT.JK,798260226.45,1563985536.94,-765725310.49
2018-08-17,BRPT.JK,0.0,0.0,0.0
2018-08-20,BRPT.JK,3643065224.99,1834293103.08,1808772121.91
2018-08-21,BRPT.JK,1665401861.66,1167674401.64,497727460.02
2018-08-22,BRPT.JK,0.0,0.0,0.0
2018-08-23,BRPT.JK,905605224.68,1473791047.57,-568185822.89
2018-08-24,BRPT.JK,814376297.28,1329805323.57,-515429026.29
2018-08-27,BRPT.JK,853305733.77,1003297401.85,-149991668.09
2018-08-28,BRPT.JK,2431060276.68,2926455115.12,-495394838.44
2018-08-29,BRPT.JK,2334475062.28,1583099221.17,751375841.1
2018-08-30,BRPT.JK,589377693.58,1219033432.63,-629655739.06
2018-08-31,BRPT.JK,791715664.09,1378732540.72,-587016876.62
2018-09-03,BRPT.JK,495500673.39,612309241.66,-116808568.26
2018-09-04,BRPT.JK,1649850587.32,1750342802.87,-100492215.56
2018-09-05,BRPT.JK,472852956.71,2951486476.6,-2478633519.89
2018-09-06,BRPT.JK,3313984932.08,1840205792.61,1473779139.48
2018-09-07,BRPT.JK,1314646185.45,971063299.79,343582885.67
2018-09-10,BRPT.JK,388323531.6,541111118.0,-152787586.39
2018-09-11,BRPT.JK,0.0,0.0,0.0
2018-09-12,BRPT.JK,796092831.82,1455126139.16,-659033307.34
2018-09-13,BRPT.JK,1825086105.37,1351851863.58,473234241.79
2018-09-14,BRPT.JK,3312062939.92,487112200.43,2824950739.5
2018-09-17,BRPT.JK,2884494223.04,4041321834.52,-1156827611.48
2018-09-18,BRPT.JK,1339406887.42,966692308.08,372714579.33
2018-09-19,BRPT.JK,1721126402.69,1540474717.53,180651685.16
2018-09-20,BRPT.JK,5477597637.29,976677249.55,4500920387.74
2018-09-21,BRPT.JK,3646420566.35,2769130304.18,877290262.17
2018-09-24,BRPT.JK,621524099.26,864222670.99,-242698571.73
2018-09-25,BRPT.JK,975266699.28,1167178184.4,-191911485.12
2018-09-26,BRPT.JK,959124556.6,842395868.06,116728688.54
2018-09-27,BRPT.JK,4821039386.82,3522659421.61,1298379965.21
2018-09-28,BRPT.JK,1006085252.97,1048043748.77,-41958495.8
2018-10-01,BRPT.JK,548256117.68,724953764.42,-176697646.75
2018-10-02,BRPT.JK,317940196.64,1653245334.42,-1335305137.78
2018-10-03,BRPT.JK,508293316.55,905032156.06,-396738839.51
2018-10-04,BRPT.JK,830686271.41,3922565923.44,-3091879652.03
2018-10-05,BRPT.JK,1273128378.78,1203804904.27,69323474.51
2018-10-08,BRPT.JK,1048630480.54,1160335869.56,-111705389.02
2018-10-09,BRPT.JK,6941428355.37,1085839378.95,5855588976.43
2018-10-10,BRPT.JK,2233069103.79,1345795213.15,887273890.63
2018-10-11,BRPT.JK,7935902607.85,3490873556.83,4445029051.02
2018-10-12,BRPT.JK,615909834.19,636206424.24,-20296590.05
2018-10-15,BRPT.JK,1085875242.21,2694182679.64,-1608307437.43
2018-10-16,BRPT.JK,1056987862.06,720959636.8,336028225.27
2018-10-17,BRPT.JK,914782655.83,792424270.78,122358385.05
2018-10-18,BRPT.JK,208406666.52,200007593.03,8399073.48
2018-10-19,BRPT.JK,2652297376.35,1865161829.72,787135546.63
2018-10-22,BRPT.JK,912732104.75,842754302.45,69977802.3
2018-10-23,BRPT.JK,1215816534.07,1170171177.54,45645356.52
2018-10-24,BRPT.JK,791557884.07,970167128.99,-178609244.91
2018-10-25,BRPT.JK,695731293.0,642291973.39,53439319.61
2018-10-26,BRPT.JK,300704251.19,423774252.77,-123070001.58
2018-10-29,BRPT.JK,301650176.96,383441429.88,-81791252.92
2018-10-30,BRPT.JK,9026281543.69,1778346492.01,7247935051.68
2018-10-31,BRPT.JK,3967426792.67,4140127873.41,-172701080.74
2018-11-01,BRPT.JK,1692319516.22,1727272097.51,-34952581.29
2018-11-02,BRPT.JK,480201501.87,592089769.56,-111888267.69
2018-11-05,BRPT.JK,409785367.5,395941281.63,13844085.87
2018-11-06,BRPT.JK,738442476.7,1094222329.68,-355779852.98
2018-11-07,BRPT.JK,614384983.78,378248443.76,236136540.02
2018-11-08,BRPT.JK,521179772.75,616960098.79,-95780326.05
2018-11-09,BRPT.JK,654827429.38,856708482.89,-201881053.52
2018-11-12,BRPT.JK,1804824488.49,2521258647.64,-716434159.15
2018-11-13,BRPT.JK,839546558.03,548753362.54,290793195.5
2018-11-14,BRPT.JK,1871289225.63,622867949.44,1248421276.19
2018-11-15,BRPT.JK,1213163805.97,1677704664.21,-464540858.24
2018-11-16,BRPT.JK,3051197022.04,1548682542.98,1502514479.06
2018-11-19,BRPT.JK,610344192.35,701441373.45,-91097181.1
2018-11-20,BRPT.JK,0.0,0.0,0.0
2018-11-21,BRPT.JK,2782964062.74,448479022.59,2334485040.16
2018-11-22,BRPT.JK,1028711565.86,1495319641.45,-466608075.59
2018-11-23,BRPT.JK,1427045546.75,1132764220.77,294281325.98
2018-11-26,BRPT.JK,5692297732.66,3135304829.84,2556992902.82
2018-11-27,BRPT.JK,701458903.37,1068016896.72,-366557993.35
2018-11-28,BRPT.JK,1923199074.15,2230172381.74,-306973307.6
2018-11-29,BRPT.JK,1970087249.0,1412228147.27,557859101.74
2018-11-30,BRPT.JK,3075627129.51,1443155601.06,1632471528.45
2018-12-03,BRPT.JK,1196282568.11,1649073393.67,-452790825.56
2018-12-04,BRPT.JK,2557764518.36,1830192721.17,727571797.19
2018-12-05,BRPT.JK,1017543142.49,1648110171.49,-630567028.99
2018-12-06,BRPT.JK,1125521450.16,1007655430.17,117866019.99
2018-12-07,BRPT.JK,599172650.19,539377116.92,59795533.27
2018-12-10,BRPT.JK,452128852.64,317108594.22,135020258.42
2018-12-11,BRPT.JK,2845739367.09,950926589.11,1894812777.97
