date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,BSDE.JK,0.0,0.0,0.0
2018-01-02,BSDE.JK,648128481.58,633042089.73,15086391.85
2018-01-03,BSDE.JK,1732256252.07,2047590146.86,-315333894.78
2018-01-04,BSDE.JK,2758815260.11,1947784754.9,811030505.21
2018-01-05,BSDE.JK,2568921495.65,3398001013.61,-829079517.95
2018-01-08,BSDE.JK,3915984094.43,3142662130.73,773321963.7
2018-01-09,BSDE.JK,3353147612.26,3969234612.12,-616086999.86
2018-01-10,BSDE.JK,3757651825.94,6551623721.45,-2793971895.51
2018-01-11,BSDE.JK,2397208479.95,2433190273.61,-35981793.66
2018-01-12,BSDE.JK,1616560599.06,1082391250.75,534169348.31
2018-01-15,BSDE.JK,5214087606.93,3141904450.49,2072183156.43
2018-01-16,BSDE.JK,4301573143.69,4434062386.39,-132489242.7
2018-01-17,BSDE.JK,5220108418.21,4981904655.11,238203763.1
2018-01-18,BSDE.JK,3689330931.5,2737327281.78,952003649.72
2018-01-19,BSDE.JK,2172277110.01,3574698383.16,-1402421273.15
2018-01-22,BSDE.JK,2394103086.92,3335354337.22,-941251250.3
2018-01-23,BSDE.JK,2272902777.46,1571794293.48,701108483.98
2018-01-24,BSDE.JK,4289487589.65,1982899918.41,2306587671.24
2018-01-25,BSDE.JK,2661004172.4,3023289313.5,-362285141.1
2018-01-26,BSDE.JK,7190743067.35,2841188409.22,4349554658.13
2018-01-29,BSDE.JK,22223158762.36,7532241177.55,14690917584.81
2018-01-30,BSDE.JK,1821336918.54,5510985468.72,-3689648550.18
2018-01-31,BSDE.JK,4272662936.86,1751518705.12,2521144231.74
2018-02-01,BSDE.JK,9799744240.77,3325709787.65,6474034453.12
2018-02-02,BSDE.JK,7897690951.21,6036399359.48,1861291591.73
2018-02-05,BSDE.JK,1483355101.36,3690703826.46,-2207348725.1
2018-02-06,BSDE.JK,4321811580.77,12231012340.48,-7909200759.7
2018-02-07,BSDE.JK,2524877310.38,1186944509.9,1337932800.48
2018-02-08,BSDE.JK,940122633.6,1052632333.17,-112509699.57
2018-02-09,BSDE.JK,2488926424.95,4017245493.69,-1528319068.74
2018-02-12,BSDE.JK,3423594863.17,3511642930.89,-88048067.72
2018-02-13,BSDE.JK,3227174521.08,2254130451.11,973044069.97
2018-02-14,BSDE.JK,4695920507.81,3747307725.92,948612781.89
2018-02-15,BSDE.JK,1420627603.73,1312603007.15,108024596.57
2018-02-16,BSDE.JK,0.0,0.0,0.0
2018-02-19,BSDE.JK,1956206064.38,1210262807.41,745943256.97
2018-02-20,BSDE.JK,1664567968.25,2642714781.92,-978146813.67
2018-02-21,BSDE.JK,3554010222.39,3698671244.23,-144661021.84
2018-02-22,BSDE.JK,1386874066.9,2160471303.17,-773597236.28
2018-02-23,BSDE.JK,2330812374.03,2227485142.15,103327231.87
2018-02-26,BSDE.JK,1132928615.38,1724555285.43,-591626670.05
2018-02-27,BSDE.JK,2191647527.48,1212562232.31,979085295.16
2018-02-28,BSDE.JK,35257790055.77,3974310576.64,31283479479.13
2018-03-01,BSDE.JK,6592678978.28,21570170573.7,-14977491595.42
2018-03-02,BSDE.JK,4494584327.64,4057645218.1,436939109.55
2018-03-05,BSDE.JK,3289064564.61,4460963241.07,-1171898676.46
2018-03-06,BSDE.JK,5055598792.26,9086988885.06,-4031390092.8
2018-03-07,BSDE.JK,2756830690.17,5875620639.62,-3118789949.46
2018-03-08,BSDE.JK,4295094053.33,2588795714.7,1706298338.63
2018-03-09,BSDE.JK,3872036182.4,3720676376.26,151359806.14
2018-03-12,BSDE.JK,2847875738.37,4191373580.7,-1343497842.33
2018-03-13,BSDE.JK,4054903389.73,7310248529.54,-3255345139.82
2018-03-14,BSDE.JK,2603859219.64,4693544045.44,-2089684825.8
2018-03-15,BSDE.JK,9566253670.56,7098071144.94,2468182525.62
2018-03-16,BSDE.JK,12016774600.64,9463549130.11,2553225470.53
2018-03-19,BSDE.JK,2923947590.6,2170564335.34,753383255.27
2018-03-20,BSDE.JK,3043596957.41,6951330171.29,-3907733213.88
2018-03-21,BSDE.JK,4616418106.1,1753183710.42,2863234395.68
2018-03-22,BSDE.JK,1829664468.33,2255592652.03,-425928183.7
2018-03-23,BSDE.JK,1620879362.62,2599602630.11,-978723267.49
2018-03-26,BSDE.JK,1877121262.04,1270882947.2,606238314.84
2018-03-27,BSDE.JK,1459424326.3,2286155255.93,-826730929.63
2018-03-28,BSDE.JK,1440273905.19,1305988257.49,134285647.71
2018-03-29,BSDE.JK,4885486758.46,2359636159.56,2525850598.9
2018-03-30,BSDE.JK,0.0,0.0,0.0
2018-04-02,BSDE.JK,1511862995.3,1725192122.81,-213329127.51
2018-04-03,BSDE.JK,3653591751.66,4433810560.24,-780218808.58
2018-04-04,BSDE.JK,2208766287.9,5168360966.91,-2959594679.01
2018-04-05,BSDE.JK,3519116580.26,2436309496.23,1082807084.02
2018-04-06,BSDE.JK,5220954599.89,3060211951.41,2160742648.48
2018-04-09,BSDE.JK,1281699354.1,677073894.32,604625459.78
2018-04-10,BSDE.JK,4006680251.14,6669853349.77,-2663173098.63
2018-04-11,BSDE.JK,8426093615.47,6539726668.99,1886366946.48
2018-04-12,BSDE.JK,3415857246.36,3964871814.14,-549014567.78
2018-04-13,BSDE.JK,784847107.85,749381084.38,35466023.48
2018-04-16,BSDE.JK,0.0,0.0,0.0
2018-04-17,BSDE.JK,0.0,0.0,0.0
2018-04-18,BSDE.JK,12569450337.6,5046590599.58,7522859738.02
2018-04-19,BSDE.JK,0.0,0.0,0.0
