date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-05-08,BTPS.JK,8271841550.33,8448627519.21,-176785968.88
2018-05-09,BTPS.JK,2307796658.17,1710497653.27,597299004.9
2018-05-11,BTPS.JK,6107290844.19,2659283984.36,3448006859.83
2018-05-14,BTPS.JK,2132972027.43,2148775509.02,-15803481.59
2018-05-15,BTPS.JK,0.0,0.0,0.0
2018-05-16,BTPS.JK,0.0,0.0,0.0
2018-05-17,BTPS.JK,7306231120.04,1568207963.16,5738023156.88
2018-05-18,BTPS.JK,3322380495.81,3271295652.21,51084843.6
2018-05-21,BTPS.JK,1733761642.59,1524707112.83,209054529.76
2018-05-22,BTPS.JK,3244125867.27,2761186549.26,482939318.01
2018-05-23,BTPS.JK,3047706852.84,2731923351.98,315783500.86
2018-05-24,BTPS.JK,3845837949.92,4035103687.28,-189265737.36
2018-05-25,BTPS.JK,1135543381.37,1192095783.4,-56552402.04
2018-05-28,BTPS.JK,5737854750.62,4503409644.92,1234445105.7
2018-05-29,BTPS.JK,0.0,0.0,0.0
2018-05-30,BTPS.JK,1213299368.81,2018406250.69,-805106881.87
2018-05-31,BTPS.JK,843737190.31,1135616512.08,-291879321.77
2018-06-01,BTPS.JK,0.0,0.0,0.0
2018-06-04,BTPS.JK,1150251858.67,831732067.39,318519791.28
2018-06-05,BTPS.JK,2205627805.08,2646802309.19,-441174504.11
2018-06-06,BTPS.JK,1062297528.02,1491820440.95,-429522912.94
2018-06-07,BTPS.JK,2022368936.82,3445800563.48,-1423431626.66
2018-06-08,BTPS.JK,1583705090.83,1523345413.37,60359677.46
2018-06-11,BTPS.JK,0.0,0.0,0.0
2018-06-12,BTPS.JK,0.0,0.0,0.0
2018-06-13,BTPS.JK,0.0,0.0,0.0
2018-06-14,BTPS.JK,0.0,0.0,0.0
2018-06-15,BTPS.JK,0.0,0.0,0.0
2018-06-18,BTPS.JK,0.0,0.0,0.0
2018-06-19,BTPS.JK,0.0,0.0,0.0
2018-06-20,BTPS.JK,12354961225.72,4403027817.94,7951933407.78
2018-06-21,BTPS.JK,5762587830.21,5101181786.83,661406043.39
2018-06-22,BTPS.JK,18349452118.34,12932380408.41,5417071709.93
2018-06-25,BTPS.JK,5222682139.34,5294037663.85,-71355524.52
2018-06-26,BTPS.JK,1564575679.88,1525965331.39,38610348.49
2018-06-27,BTPS.JK,1846482378.62,1689718567.89,156763810.73
2018-06-28,BTPS.JK,6486267242.78,6347767904.32,138499338.46
2018-06-29,BTPS.JK,4077725468.76,4272777445.7,-195051976.93
2018-07-02,BTPS.JK,952144237.8,1042670011.07,-90525773.27
2018-07-03,BTPS.JK,554858189.02,528070749.53,26787439.49
2018-07-04,BTPS.JK,5124013086.81,5557048424.87,-433035338.06
2018-07-05,BTPS.JK,3684450431.96,3760531192.45,-76080760.49
2018-07-06,BTPS.JK,7095454282.77,7179875435.44,-84421152.68
2018-07-09,BTPS.JK,9795521047.04,9502830297.43,292690749.61
2018-07-10,BTPS.JK,6055342204.06,5861748218.6,193593985.46
2018-07-11,BTPS.JK,2790613633.78,3532011093.76,-741397459.98
2018-07-12,BTPS.JK,3901739054.57,2525492301.31,1376246753.25
2018-07-13,BTPS.JK,7368475441.8,9585483666.48,-2217008224.68
2018-07-16,BTPS.JK,3524498136.61,3530285550.76,-5787414.15
2018-07-17,BTPS.JK,11421668275.96,4673265656.12,6748402619.83
