date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2021-08-06,BUKA.JK,73999604201.3,74028199355.71,-28595154.42
2021-08-09,BUKA.JK,919366186723.47,231333152058.2,688033034665.27
2021-08-10,BUKA.JK,11829005632.0,105197851565.25,-93368845933.25
2021-08-12,BUKA.JK,132549288550.55,715162172855.82,-582612884305.27
2021-08-13,BUKA.JK,185453221431.53,326303507484.39,-140850286052.86
2021-08-16,BUKA.JK,42654853627.4,238466863701.72,-195812010074.31
2021-08-18,BUKA.JK,14121667865.0,152363883596.45,-138242215731.45
2021-08-19,BUKA.JK,480336613476.34,40220112543.35,440116500932.99
2021-08-20,BUKA.JK,45714861676.75,143810778434.64,-98095916757.89
2021-08-23,BUKA.JK,70903400880.67,9420640733.32,61482760147.35
2021-08-24,BUKA.JK,30606570386.5,32367752516.67,-1761182130.17
2021-08-25,BUKA.JK,15868017998.09,16730634652.79,-862616654.7
2021-08-26,BUKA.JK,17780268997.24,59637939747.36,-41857670750.12
2021-08-27,BUKA.JK,30523622262.36,25092414543.66,5431207718.7
2021-08-30,BUKA.JK,20292494128.38,9514067639.76,10778426488.62
2021-08-31,BUKA.JK,220729614879.38,46242149494.79,174487465384.59
2021-09-01,BUKA.JK,28691481112.79,150265443849.78,-121573962736.99
2021-09-02,BUKA.JK,28173114959.87,39060393550.6,-10887278590.73
2021-09-03,BUKA.JK,18686882078.79,14725140580.55,3961741498.23
2021-09-06,BUKA.JK,9080882016.83,8431519860.49,649362156.34
2021-09-07,BUKA.JK,11207923688.3,28933857488.23,-17725933799.93
2021-09-08,BUKA.JK,7012776034.5,21311472257.69,-14298696223.19
2021-09-09,BUKA.JK,21702919116.42,60011709576.58,-38308790460.16
2021-09-10,BUKA.JK,10714892180.25,3186585987.23,7528306193.02
2021-09-13,BUKA.JK,9964925116.89,9481482092.79,483443024.1
2021-09-14,BUKA.JK,22604412612.55,17741583094.73,4862829517.82
2021-09-15,BUKA.JK,16074060742.23,11012324858.85,5061735883.38
2021-09-16,BUKA.JK,15366443477.39,25566421934.49,-10199978457.1
2021-09-17,BUKA.JK,14469841554.33,11848401181.11,2621440373.21
2021-09-20,BUKA.JK,5264960933.02,9519460223.36,-4254499290.34
2021-09-21,BUKA.JK,6583152738.05,4890730964.74,1692421773.31
2021-09-22,BUKA.JK,5211804423.91,6070206238.56,-858401814.65
2021-09-23,BUKA.JK,155597841975.43,49256616444.56,106341225530.87
2021-09-24,BUKA.JK,35443941867.08,38375126776.4,-2931184909.32
2021-09-27,BUKA.JK,5813869088.5,10399289352.08,-4585420263.58
2021-09-28,BUKA.JK,31283173757.3,11491350362.35,19791823394.95
2021-09-29,BUKA.JK,15047823396.24,70683704822.78,-55635881426.54
2021-09-30,BUKA.JK,17757720022.71,10272839413.6,7484880609.11
2021-10-01,BUKA.JK,13677925322.93,23366921423.02,-9688996100.1
2021-10-04,BUKA.JK,19783584676.01,35018879294.46,-15235294618.45
2021-10-05,BUKA.JK,21569796264.36,39283384739.26,-17713588474.9
2021-10-06,BUKA.JK,16008016557.46,10131612256.91,5876404300.55
2021-10-07,BUKA.JK,7917685044.52,11074380882.52,-3156695838.01
2021-10-08,BUKA.JK,14138485019.16,16535737664.47,-2397252645.31
2021-10-11,BUKA.JK,4859902106.76,18191495236.03,-13331593129.27
2021-10-12,BUKA.JK,13282094460.99,102003525566.45,-88721431105.46
2021-10-13,BUKA.JK,51127917819.51,207136273927.04,-156008356107.53
2021-10-14,BUKA.JK,50590711444.22,5422782609.52,45167928834.7
2021-10-15,BUKA.JK,7256492608.44,13195368086.88,-5938875478.43
2021-10-18,BUKA.JK,8178862486.57,27953983017.69,-19775120531.12
2021-10-19,BUKA.JK,27864009818.02,64149188156.69,-36285178338.67
2021-10-21,BUKA.JK,13107792995.45,19395120300.63,-6287327305.18
2021-10-22,BUKA.JK,13484801782.09,22603848520.92,-9119046738.83
2021-10-25,BUKA.JK,110311143143.17,6190741920.51,104120401222.66
2021-10-26,BUKA.JK,11641506991.74,47011036891.29,-35369529899.55
2021-10-27,BUKA.JK,26043628084.01,14765961415.51,11277666668.5
2021-10-28,BUKA.JK,10350253769.08,15686741561.84,-5336487792.76
2021-10-29,BUKA.JK,8800832691.98,9637596825.19,-836764133.2
2021-11-01,BUKA.JK,15201094233.5,28700217823.73,-13499123590.23
2021-11-02,BUKA.JK,9512923157.5,16922371490.47,-7409448332.96
2021-11-03,BUKA.JK,47163763503.68,10343221074.74,36820542428.94
2021-11-04,BUKA.JK,13761343294.89,26815374801.07,-13054031506.17
2021-11-05,BUKA.JK,14581143299.51,22863681573.54,-8282538274.03
2021-11-08,BUKA.JK,18402132001.96,13413080452.32,4989051549.63
2021-11-09,BUKA.JK,48678187749.16,10173236113.99,38504951635.17
2021-11-10,BUKA.JK,129924897314.71,13068786583.16,116856110731.55
2021-11-11,BUKA.JK,16459422215.08,23613465889.08,-7154043674.0
2021-11-12,BUKA.JK,24348063084.16,26736457374.19,-2388394290.03
2021-11-15,BUKA.JK,5888566371.05,7785069406.69,-1896503035.63
2021-11-16,BUKA.JK,3849365518.91,18678851239.68,-14829485720.77
2021-11-17,BUKA.JK,45883617671.91,17565199859.88,28318417812.03
2021-11-18,BUKA.JK,4543181230.24,9826821418.69,-5283640188.45
2021-11-19,BUKA.JK,41352259989.7,18111479407.71,23240780581.99
2021-11-22,BUKA.JK,2498331883.86,31310168123.82,-28811836239.96
2021-11-23,BUKA.JK,11811702831.95,16585824237.05,-4774121405.11
2021-11-24,BUKA.JK,9411030895.68,11271442526.65,-1860411630.97
2021-11-25,BUKA.JK,14528461333.8,112958374420.06,-98429913086.26
2021-11-26,BUKA.JK,24973101660.04,143617384447.41,-118644282787.36
2021-11-29,BUKA.JK,17390737674.0,30533502534.2,-13142764860.2
2021-11-30,BUKA.JK,5769038347.89,24368155489.59,-18599117141.69
2021-12-01,BUKA.JK,15866369969.96,83579722618.46,-67713352648.5
2021-12-02,BUKA.JK,49585687821.03,72888502904.34,-23302815083.31
2021-12-03,BUKA.JK,13922928961.33,27647539087.92,-13724610126.58
2021-12-06,BUKA.JK,7319864740.23,70101682885.68,-62781818145.45
2021-12-07,BUKA.JK,42047677831.15,105803430748.72,-63755752917.57
2021-12-08,BUKA.JK,203300468700.03,5231170635.55,198069298064.47
2021-12-09,BUKA.JK,52386967459.17,23861279686.21,28525687772.96
2021-12-10,BUKA.JK,27682922672.52,11857020963.62,15825901708.9
2021-12-13,BUKA.JK,6223274086.05,10117452769.28,-3894178683.23
2021-12-14,BUKA.JK,6407727167.32,16602321143.17,-10194593975.85
2021-12-15,BUKA.JK,2278090872.86,15865745600.03,-13587654727.17
2021-12-16,BUKA.JK,8418914281.17,9582820315.61,-1163906034.44
2021-12-17,BUKA.JK,18464803094.24,9449597027.82,9015206066.42
2021-12-20,BUKA.JK,1663366500.53,4920236793.9,-3256870293.37
2021-12-21,BUKA.JK,5832164138.76,5888776929.62,-56612790.86
2021-12-22,BUKA.JK,6135328590.83,7899137871.11,-1763809280.28
2021-12-23,BUKA.JK,5429457322.56,7118834929.22,-1689377606.67
2021-12-24,BUKA.JK,7008454735.35,7486809466.65,-478354731.3
2021-12-27,BUKA.JK,8255277406.64,5622665497.31,2632611909.33
2021-12-28,BUKA.JK,7012296739.85,24938762428.77,-17926465688.92
2021-12-29,BUKA.JK,31196620086.09,8161119273.03,23035500813.06
2021-12-30,BUKA.JK,3899264173.63,18452473917.64,-14553209744.01
2022-01-03,BUKA.JK,5525337015.24,8532823124.33,-3007486109.09
2022-01-04,BUKA.JK,199479445921.08,130184874.42,199349261046.66
2022-01-05,BUKA.JK,10669479677.62,50147631812.47,-39478152134.86
2022-01-06,BUKA.JK,25625736833.55,20084413881.78,5541322951.77
2022-01-07,BUKA.JK,21489114115.09,22461660906.19,-972546791.1
2022-01-10,BUKA.JK,6596236749.52,23126182274.71,-16529945525.2
2022-01-11,BUKA.JK,29078521044.85,45365875550.95,-16287354506.1
2022-01-12,BUKA.JK,8661255193.6,68254769210.14,-59593514016.53
2022-01-13,BUKA.JK,7255693835.73,16064273105.42,-8808579269.69
2022-01-14,BUKA.JK,9183414168.44,33106062979.69,-23922648811.25
2022-01-17,BUKA.JK,7853828778.52,43754710381.02,-35900881602.5
2022-01-18,BUKA.JK,17263389881.98,42646271367.44,-25382881485.46
2022-01-19,BUKA.JK,69299231709.72,11127058590.35,58172173119.37
2022-01-20,BUKA.JK,28006545431.88,20928578047.05,7077967384.83
2022-01-21,BUKA.JK,4296610586.3,10062713789.65,-5766103203.36
2022-01-24,BUKA.JK,5880644641.12,11682224927.58,-5801580286.46
2022-01-25,BUKA.JK,4653825094.89,20966560800.65,-16312735705.75
2022-01-26,BUKA.JK,18481847956.29,8843681746.6,9638166209.69
2022-01-27,BUKA.JK,2347984513.5,20631587569.33,-18283603055.83
2022-01-28,BUKA.JK,25367859578.43,10933876145.61,14433983432.81
