date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,BUMI.JK,0.0,0.0,0.0
2018-01-02,BUMI.JK,4193755041.51,4488051520.06,-294296478.55
2018-01-03,BUMI.JK,19804846256.89,10435321317.54,9369524939.35
2018-01-04,BUMI.JK,14993706504.06,9290057348.83,5703649155.23
2018-01-05,BUMI.JK,85645285933.16,9966656198.53,75678629734.62
2018-01-08,BUMI.JK,45276766544.53,35064566038.01,10212200506.52
2018-01-09,BUMI.JK,20744298106.67,22086525121.42,-1342227014.74
2018-01-10,BUMI.JK,11831033941.83,28212196650.47,-16381162708.63
2018-01-11,BUMI.JK,50447746766.15,23165056647.44,27282690118.71
2018-01-12,BUMI.JK,32901958412.02,35583921829.91,-2681963417.89
2018-01-15,BUMI.JK,9135016417.58,19967064554.91,-10832048137.32
2018-01-16,BUMI.JK,6817353090.18,12935351572.43,-6117998482.25
2018-01-17,BUMI.JK,19796349353.23,24222740455.79,-4426391102.55
2018-01-18,BUMI.JK,21976876056.63,14830820487.21,7146055569.42
2018-01-19,BUMI.JK,16996878948.98,16381053208.11,615825740.86
2018-01-22,BUMI.JK,43496526001.54,16066151384.38,27430374617.16
2018-01-23,BUMI.JK,54698746382.32,44261466878.46,10437279503.86
2018-01-24,BUMI.JK,197462159531.83,3320535683.03,194141623848.8
2018-01-25,BUMI.JK,148610812039.74,27596278907.75,121014533132.0
2018-01-26,BUMI.JK,25511412988.24,45204061612.13,-19692648623.89
2018-01-29,BUMI.JK,58749742757.37,26602855236.4,32146887520.97
2018-01-30,BUMI.JK,17104975672.38,71144964585.82,-54039988913.43
2018-01-31,BUMI.JK,23015990257.11,35152313665.5,-12136323408.39
2018-02-01,BUMI.JK,34834786384.35,58426211308.46,-23591424924.11
2018-02-02,BUMI.JK,32829224577.35,13754271942.0,19074952635.35
2018-02-05,BUMI.JK,21619107554.33,40981448758.89,-19362341204.55
2018-02-06,BUMI.JK,8727887916.86,30036775736.63,-21308887819.76
2018-02-07,BUMI.JK,23100279603.1,32631075043.64,-9530795440.54
2018-02-08,BUMI.JK,30390985360.47,9451859742.57,20939125617.9
2018-02-09,BUMI.JK,4888718907.8,15299401758.93,-10410682851.14
2018-02-12,BUMI.JK,87754124431.07,5033887576.87,82720236854.2
2018-02-13,BUMI.JK,50663619689.55,36412116489.43,14251503200.11
2018-02-14,BUMI.JK,20942313778.84,37981463574.41,-17039149795.57
2018-02-15,BUMI.JK,24626304736.57,19000469899.62,5625834836.95
2018-02-16,BUMI.JK,0.0,0.0,0.0
2018-02-19,BUMI.JK,25987933125.29,15957355679.75,10030577445.54
2018-02-20,BUMI.JK,42449377825.55,57619904160.97,-15170526335.42
2018-02-21,BUMI.JK,172472124513.58,57270494363.22,115201630150.37
2018-02-22,BUMI.JK,13243016958.14,34242769491.41,-20999752533.27
2018-02-23,BUMI.JK,14510099216.64,24755493325.89,-10245394109.25
2018-02-26,BUMI.JK,17098964898.23,25145684816.54,-8046719918.31
2018-02-27,BUMI.JK,13294266785.47,15801551322.15,-2507284536.68
2018-02-28,BUMI.JK,8167378480.64,7408153825.57,759224655.07
2018-03-01,BUMI.JK,9388837612.28,13584187996.47,-4195350384.18
2018-03-02,BUMI.JK,10784995322.53,20794119466.8,-10009124144.26
2018-03-05,BUMI.JK,11411493938.14,10586582504.38,824911433.76
2018-03-06,BUMI.JK,24266147835.08,9027335741.29,15238812093.79
2018-03-07,BUMI.JK,7014527336.55,47263960156.77,-40249432820.22
2018-03-08,BUMI.JK,27066807356.75,27722247085.68,-655439728.94
2018-03-09,BUMI.JK,12895823065.24,13285387894.23,-389564829.0
2018-03-12,BUMI.JK,17306433055.88,13174238714.26,4132194341.62
2018-03-13,BUMI.JK,4826879915.38,9213855240.37,-4386975324.98
2018-03-14,BUMI.JK,7298102102.79,31885787863.63,-24587685760.84
2018-03-15,BUMI.JK,12999412302.36,21222246694.92,-8222834392.56
2018-03-16,BUMI.JK,35095527819.24,14173102999.89,20922424819.35
2018-03-19,BUMI.JK,20173874974.56,19646859315.5,527015659.06
2018-03-20,BUMI.JK,15820141505.22,14474372137.42,1345769367.8
2018-03-21,BUMI.JK,21869530693.83,6740775190.36,15128755503.47
2018-03-22,BUMI.JK,3847631105.55,8753315941.07,-4905684835.52
2018-03-23,BUMI.JK,21149187092.22,19363048248.59,1786138843.62
2018-03-26,BUMI.JK,6575083263.68,7698114269.71,-1123031006.03
2018-03-27,BUMI.JK,4621565128.72,4632051559.82,-10486431.1
2018-03-28,BUMI.JK,6384827227.68,14738014438.73,-8353187211.05
2018-03-29,BUMI.JK,10728568199.6,6120852520.05,4607715679.55
2018-03-30,BUMI.JK,0.0,0.0,0.0
2018-04-02,BUMI.JK,9482698348.28,7313342676.77,2169355671.51
2018-04-03,BUMI.JK,6280878476.2,8936944564.62,-2656066088.42
2018-04-04,BUMI.JK,5223520260.84,15524534221.59,-10301013960.75
2018-04-05,BUMI.JK,7388239706.16,4505820782.54,2882418923.61
2018-04-06,BUMI.JK,3134665120.31,3770873486.88,-636208366.56
2018-04-09,BUMI.JK,5679147906.37,8917043829.66,-3237895923.29
2018-04-10,BUMI.JK,4117026213.27,3626473115.31,490553097.96
2018-04-11,BUMI.JK,26384531410.3,16110147669.97,10274383740.34
2018-04-12,BUMI.JK,6266589823.15,10834808346.77,-4568218523.62
2018-04-13,BUMI.JK,4623878821.89,4746763755.31,-122884933.42
2018-04-16,BUMI.JK,1945794537.58,1921603557.15,24190980.43
2018-04-17,BUMI.JK,21250798869.12,12382653651.04,8868145218.08
2018-04-18,BUMI.JK,10478173517.47,14714157315.95,-4235983798.48
2018-04-19,BUMI.JK,9804301509.45,17531793622.13,-7727492112.68
2018-04-20,BUMI.JK,6854721748.34,5761539437.07,1093182311.27
2018-04-23,BUMI.JK,3016390670.12,3949643219.2,-933252549.08
2018-04-24,BUMI.JK,5278883004.53,11380056285.51,-6101173280.98
2018-04-25,BUMI.JK,1709579789.5,5521097752.05,-3811517962.54
2018-04-26,BUMI.JK,1428192190.53,6828779397.63,-5400587207.11
2018-04-27,BUMI.JK,8366412485.47,13307716972.32,-4941304486.85
2018-04-30,BUMI.JK,6636814429.17,2613317946.15,4023496483.02
2018-05-01,BUMI.JK,0.0,0.0,0.0
2018-05-02,BUMI.JK,28070779437.26,577846215.28,27492933221.97
2018-05-03,BUMI.JK,5047421532.01,29600646308.23,-24553224776.21
2018-05-04,BUMI.JK,2079255924.99,10372928002.92,-8293672077.93
2018-05-07,BUMI.JK,3371662411.44,1931155245.67,1440507165.77
2018-05-08,BUMI.JK,2280813786.89,8963615731.38,-6682801944.48
2018-05-09,BUMI.JK,4356033523.27,6106833457.29,-1750799934.03
2018-05-10,BUMI.JK,0.0,0.0,0.0
2018-05-11,BUMI.JK,13566637188.58,6697200969.35,6869436219.24
2018-05-14,BUMI.JK,3588106795.5,7831458737.04,-4243351941.54
2018-05-15,BUMI.JK,8191213424.07,2257518223.57,5933695200.5
2018-05-16,BUMI.JK,45313184840.79,8957434656.5,36355750184.29
2018-05-17,BUMI.JK,31051635415.68,12098965992.78,18952669422.9
2018-05-18,BUMI.JK,5070660906.64,10380048386.31,-5309387479.68
2018-05-21,BUMI.JK,4672418686.2,9983567574.29,-5311148888.08
2018-05-22,BUMI.JK,1624244754.29,3502775550.84,-1878530796.56
2018-05-23,BUMI.JK,6962843292.13,5201118126.64,1761725165.49
2018-05-24,BUMI.JK,10169077286.88,7034297792.07,3134779494.81
2018-05-25,BUMI.JK,10757189329.47,6607129711.09,4150059618.39
2018-05-28,BUMI.JK,4990188197.12,4568888755.6,421299441.52
2018-05-29,BUMI.JK,0.0,0.0,0.0
2018-05-30,BUMI.JK,1920391132.15,8056360338.78,-6135969206.63
2018-05-31,BUMI.JK,26284483250.08,6821400710.52,19463082539.56
2018-06-01,BUMI.JK,0.0,0.0,0.0
2018-06-04,BUMI.JK,4696221449.51,6901444890.21,-2205223440.7
2018-06-05,BUMI.JK,19499733671.18,13600741019.69,5898992651.48
2018-06-06,BUMI.JK,4155927305.14,6971074235.15,-2815146930.0
2018-06-07,BUMI.JK,1624973535.4,1487926701.38,137046834.02
2018-06-08,BUMI.JK,7534386213.25,6179173023.55,1355213189.7
2018-06-11,BUMI.JK,0.0,0.0,0.0
2018-06-12,BUMI.JK,0.0,0.0,0.0
2018-06-13,BUMI.JK,0.0,0.0,0.0
2018-06-14,BUMI.JK,0.0,0.0,0.0
2018-06-15,BUMI.JK,0.0,0.0,0.0
2018-06-18,BUMI.JK,0.0,0.0,0.0
2018-06-19,BUMI.JK,0.0,0.0,0.0
2018-06-20,BUMI.JK,997363981.16,1348810889.07,-351446907.91
2018-06-21,BUMI.JK,4416898543.61,6579151955.72,-2162253412.11
2018-06-22,BUMI.JK,3155006721.09,9582535578.83,-6427528857.74
2018-06-25,BUMI.JK,2125062587.04,9735318130.46,-7610255543.42
2018-06-26,BUMI.JK,1227026439.03,6539217585.48,-5312191146.45
2018-06-27,BUMI.JK,1875364611.43,16391431984.83,-14516067373.41
2018-06-28,BUMI.JK,1727533799.87,4917071479.45,-3189537679.58
2018-06-29,BUMI.JK,16471306705.67,0.0,16471306705.67
2018-07-02,BUMI.JK,3071615469.82,15473825322.82,-12402209853.0
2018-07-03,BUMI.JK,1829871724.13,7927031509.01,-6097159784.89
2018-07-04,BUMI.JK,5364360503.58,3186160270.97,2178200232.61
2018-07-05,BUMI.JK,4877247614.37,2405153403.46,2472094210.91
2018-07-06,BUMI.JK,2398905131.05,2929363356.4,-530458225.35
2018-07-09,BUMI.JK,1664585724.45,911287389.46,753298334.99
2018-07-10,BUMI.JK,7111089613.57,3397586452.61,3713503160.97
2018-07-11,BUMI.JK,8285117396.02,4014982700.03,4270134695.98
2018-07-12,BUMI.JK,5176266865.36,2931446779.36,2244820086.0
2018-07-13,BUMI.JK,2374635880.08,3001455960.02,-626820079.94
2018-07-16,BUMI.JK,1978831537.0,2183601742.49,-204770205.49
2018-07-17,BUMI.JK,1107702204.43,2813481618.59,-1705779414.17
2018-07-18,BUMI.JK,6757495936.31,3507266265.04,3250229671.27
2018-07-19,BUMI.JK,1884549511.85,1613272322.97,271277188.88
2018-07-20,BUMI.JK,1428303792.75,2001218398.92,-572914606.17
2018-07-23,BUMI.JK,1352429989.07,1044505581.54,307924407.53
2018-07-24,BUMI.JK,33757706608.33,2204547097.49,31553159510.84
2018-07-25,BUMI.JK,25255210371.12,8477607005.22,16777603365.9
2018-07-26,BUMI.JK,8343492497.42,16128304099.23,-7784811601.81
2018-07-27,BUMI.JK,21710242049.48,3825335475.92,17884906573.56
2018-07-30,BUMI.JK,18007834182.4,8266650466.11,9741183716.29
2018-07-31,BUMI.JK,10141553910.11,27106916030.35,-16965362120.24
2018-08-01,BUMI.JK,1818034756.65,2437561847.5,-619527090.85
2018-08-02,BUMI.JK,3756630591.78,3368407091.8,388223499.99
2018-08-03,BUMI.JK,3032574548.09,3050559679.93,-17985131.84
2018-08-06,BUMI.JK,5984609686.94,5380355823.93,604253863.01
2018-08-07,BUMI.JK,3484793984.05,7926398102.71,-4441604118.66
2018-08-08,BUMI.JK,3272878050.96,7509648381.31,-4236770330.36
2018-08-09,BUMI.JK,3656473169.95,15979437577.94,-12322964407.99
2018-08-10,BUMI.JK,1625194961.49,1765217719.18,-140022757.69
2018-08-13,BUMI.JK,4906679891.77,20282095086.21,-15375415194.44
2018-08-14,BUMI.JK,4537385382.43,5641228887.96,-1103843505.53
2018-08-15,BUMI.JK,4117729922.76,2416504977.5,1701224945.26
2018-08-16,BUMI.JK,2134524111.88,3939057609.97,-1804533498.09
2018-08-17,BUMI.JK,0.0,0.0,0.0
2018-08-20,BUMI.JK,8775020900.1,2689285698.33,6085735201.77
2018-08-21,BUMI.JK,3189679697.88,4103755198.44,-914075500.56
2018-08-22,BUMI.JK,0.0,0.0,0.0
2018-08-23,BUMI.JK,1263523405.76,2247975205.57,-984451799.81
2018-08-24,BUMI.JK,1742897385.07,2609586705.86,-866689320.79
2018-08-27,BUMI.JK,2997316466.39,1320873068.68,1676443397.71
2018-08-28,BUMI.JK,2129070450.28,2815025979.71,-685955529.43
2018-08-29,BUMI.JK,51073106896.26,3252353074.87,47820753821.39
2018-08-30,BUMI.JK,4041587901.57,20754360228.12,-16712772326.56
2018-08-31,BUMI.JK,10030467112.01,1633966999.11,8396500112.9
2018-09-03,BUMI.JK,2489485261.7,11785764153.55,-9296278891.85
2018-09-04,BUMI.JK,2575810944.45,4649021685.55,-2073210741.1
2018-09-05,BUMI.JK,1405227696.44,7424392655.49,-6019164959.05
2018-09-06,BUMI.JK,3025927163.24,2993691731.19,32235432.05
2018-09-07,BUMI.JK,2325358114.32,3125318177.29,-799960062.97
2018-09-10,BUMI.JK,4244664372.78,2657092321.15,1587572051.63
2018-09-11,BUMI.JK,0.0,0.0,0.0
2018-09-12,BUMI.JK,7360848332.59,2541385422.55,4819462910.04
2018-09-13,BUMI.JK,12477296718.38,9867510492.13,2609786226.25
2018-09-14,BUMI.JK,3200501328.27,3418476234.11,-217974905.84
2018-09-17,BUMI.JK,1794181351.67,2949737738.65,-1155556386.98
2018-09-18,BUMI.JK,924209621.6,675950226.97,248259394.64
2018-09-19,BUMI.JK,8755428110.11,7803557105.13,951871004.98
2018-09-20,BUMI.JK,3188769604.24,2766903307.7,421866296.54
2018-09-21,BUMI.JK,5500591640.68,5861158062.92,-360566422.24
2018-09-24,BUMI.JK,5647314982.22,7125977842.14,-1478662859.92
2018-09-25,BUMI.JK,3688218309.48,2593230669.35,1094987640.13
2018-09-26,BUMI.JK,1273856132.64,2415056216.32,-1141200083.68
2018-09-27,BUMI.JK,2688768748.52,4560284034.25,-1871515285.73
2018-09-28,BUMI.JK,2123880379.75,1879968508.69,243911871.06
2018-10-01,BUMI.JK,6265901954.08,6018825010.74,247076943.33
2018-10-02,BUMI.JK,2722740617.37,6634160410.56,-3911419793.19
2018-10-03,BUMI.JK,6077011464.46,6022849482.55,54161981.91
2018-10-04,BUMI.JK,6253453971.48,12934936309.01,-6681482337.53
2018-10-05,BUMI.JK,2761735454.38,3099508468.05,-337773013.67
2018-10-08,BUMI.JK,637941871.28,902218994.07,-264277122.79
2018-10-09,BUMI.JK,4107466359.54,3247361222.97,860105136.57
2018-10-10,BUMI.JK,4265510775.04,4141230149.71,124280625.33
2018-10-11,BUMI.JK,1980846285.68,13674507297.77,-11693661012.09
2018-10-12,BUMI.JK,2356516873.8,1635260535.01,721256338.79
2018-10-15,BUMI.JK,1354722750.2,18259826885.25,-16905104135.05
2018-10-16,BUMI.JK,4337253525.54,3344883442.68,992370082.86
2018-10-17,BUMI.JK,5580299313.0,3571384629.54,2008914683.46
2018-10-18,BUMI.JK,3894883325.49,9435035213.34,-5540151887.86
2018-10-19,BUMI.JK,2708529316.23,3108675901.76,-400146585.52
2018-10-22,BUMI.JK,937041558.9,1489860562.63,-552819003.73
2018-10-23,BUMI.JK,2196456428.31,3622435924.3,-1425979496.0
2018-10-24,BUMI.JK,2490630741.16,1775524292.64,715106448.52
2018-10-25,BUMI.JK,2269796659.96,2736320273.29,-466523613.33
2018-10-26,BUMI.JK,4458301073.23,4010860254.21,447440819.02
2018-10-29,BUMI.JK,968128715.52,2452407887.26,-1484279171.74
2018-10-30,BUMI.JK,2650479693.43,4579702418.46,-1929222725.03
2018-10-31,BUMI.JK,3305740241.49,1046199033.26,2259541208.23
2018-11-01,BUMI.JK,1793672197.82,2532701659.34,-739029461.52
2018-11-02,BUMI.JK,1117681679.08,1809971963.39,-692290284.3
2018-11-05,BUMI.JK,1764723819.11,1772905064.94,-8181245.83
2018-11-06,BUMI.JK,1890792822.38,1520800688.42,369992133.97
2018-11-07,BUMI.JK,2640310613.31,1271903167.55,1368407445.76
2018-11-08,BUMI.JK,22901727342.11,833455717.45,22068271624.66
2018-11-09,BUMI.JK,2876535790.06,9268638728.43,-6392102938.37
2018-11-12,BUMI.JK,1951236475.51,2752643379.93,-801406904.42
2018-11-13,BUMI.JK,2619315686.66,5729360651.36,-3110044964.7
2018-11-14,BUMI.JK,2257172904.36,11136331785.01,-8879158880.65
2018-11-15,BUMI.JK,2916773527.67,3059619843.44,-142846315.77
2018-11-16,BUMI.JK,6869300180.3,3210337953.7,3658962226.6
2018-11-19,BUMI.JK,1648688101.09,4459345543.86,-2810657442.77
2018-11-20,BUMI.JK,0.0,0.0,0.0
2018-11-21,BUMI.JK,942414261.86,6794004576.48,-5851590314.62
2018-11-22,BUMI.JK,4694064377.28,6166780436.27,-1472716058.99
2018-11-23,BUMI.JK,2537472115.52,3429569367.13,-892097251.61
2018-11-26,BUMI.JK,468087580.59,6006003836.62,-5537916256.02
2018-11-27,BUMI.JK,1289097230.4,5347152080.68,-4058054850.28
2018-11-28,BUMI.JK,2306204286.77,6561997421.48,-4255793134.71
2018-11-29,BUMI.JK,1801743230.54,1077124757.76,724618472.78
