date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,CPIN.JK,0.0,0.0,0.0
2018-01-02,CPIN.JK,3938623769.72,202642414.64,3735981355.08
2018-01-03,CPIN.JK,2128564027.2,1299459516.84,829104510.36
2018-01-04,CPIN.JK,14559947691.33,1554960228.38,13004987462.96
2018-01-05,CPIN.JK,4938354165.35,3213492411.31,1724861754.04
2018-01-08,CPIN.JK,1241818546.9,14045456413.94,-12803637867.04
2018-01-09,CPIN.JK,3782653786.72,4952089674.02,-1169435887.3
2018-01-10,CPIN.JK,4068610145.53,4108145332.11,-39535186.58
2018-01-11,CPIN.JK,1253238943.07,2218295933.02,-965056989.95
2018-01-12,CPIN.JK,1166944547.45,860533329.59,306411217.86
2018-01-15,CPIN.JK,568658762.66,522916650.23,45742112.44
2018-01-16,CPIN.JK,3143752929.56,1473427987.67,1670324941.9
2018-01-17,CPIN.JK,3900520265.27,1739370348.0,2161149917.28
2018-01-18,CPIN.JK,3919471768.89,2188002932.68,1731468836.21
2018-01-19,CPIN.JK,3152505881.0,2310194991.85,842310889.15
2018-01-22,CPIN.JK,700911484.59,2003926446.85,-1303014962.26
2018-01-23,CPIN.JK,2412858651.19,1016747206.05,1396111445.14
2018-01-24,CPIN.JK,2929173941.36,1768778691.43,1160395249.92
2018-01-25,CPIN.JK,2870903009.78,2143373677.08,727529332.7
2018-01-26,CPIN.JK,2224539164.73,1860710572.34,363828592.39
2018-01-29,CPIN.JK,2190955995.51,4133855724.04,-1942899728.53
2018-01-30,CPIN.JK,627890732.06,1252369293.4,-624478561.34
2018-01-31,CPIN.JK,1443214225.52,2017246120.22,-574031894.7
2018-02-01,CPIN.JK,4300936017.18,5983950283.45,-1683014266.27
2018-02-02,CPIN.JK,5701470429.23,8270003326.27,-2568532897.04
2018-02-05,CPIN.JK,925706752.3,2215374966.96,-1289668214.66
2018-02-06,CPIN.JK,1752027988.98,3410048555.95,-1658020566.97
2018-02-07,CPIN.JK,3317454600.01,1023810326.87,2293644273.14
2018-02-08,CPIN.JK,467250509.65,724234602.39,-256984092.74
2018-02-09,CPIN.JK,1587484649.87,2279633193.38,-692148543.51
2018-02-12,CPIN.JK,3214363683.11,1000811850.08,2213551833.03
2018-02-13,CPIN.JK,2502675470.3,756521501.93,1746153968.37
2018-02-14,CPIN.JK,4133227005.4,4405895835.86,-272668830.45
2018-02-15,CPIN.JK,1320095042.91,823362379.49,496732663.42
2018-02-16,CPIN.JK,0.0,0.0,0.0
2018-02-19,CPIN.JK,2290917263.02,549753127.39,1741164135.63
2018-02-20,CPIN.JK,805949818.27,1022379289.2,-216429470.93
2018-02-21,CPIN.JK,5033498860.12,3543454200.42,1490044659.71
2018-02-22,CPIN.JK,731274188.2,614905933.53,116368254.67
2018-02-23,CPIN.JK,1167860247.13,4543202069.52,-3375341822.39
2018-02-26,CPIN.JK,940150799.85,422646113.68,517504686.17
2018-02-27,CPIN.JK,1213653806.97,1227016411.29,-13362604.32
2018-02-28,CPIN.JK,1493942157.5,3352782923.73,-1858840766.23
2018-03-01,CPIN.JK,1922780112.34,660121095.64,1262659016.7
2018-03-02,CPIN.JK,1087692027.96,2515222678.02,-1427530650.06
2018-03-05,CPIN.JK,530161663.75,285786465.91,244375197.84
2018-03-06,CPIN.JK,1390223215.86,3724309844.76,-2334086628.91
2018-03-07,CPIN.JK,519591674.2,2198627493.84,-1679035819.65
2018-03-08,CPIN.JK,3216451002.18,1973164470.65,1243286531.53
2018-03-09,CPIN.JK,1412594197.92,2057311524.13,-644717326.21
2018-03-12,CPIN.JK,1663654694.77,498586129.71,1165068565.06
2018-03-13,CPIN.JK,2032070541.66,1908621927.27,123448614.39
2018-03-14,CPIN.JK,2837143548.3,521811478.51,2315332069.79
2018-03-15,CPIN.JK,659074610.06,3258194793.78,-2599120183.72
2018-03-16,CPIN.JK,4217025640.41,4518548703.15,-301523062.74
2018-03-19,CPIN.JK,540872722.05,294772819.78,246099902.28
2018-03-20,CPIN.JK,665992887.8,1559536106.32,-893543218.52
2018-03-21,CPIN.JK,1453335249.43,833337883.03,619997366.4
2018-03-22,CPIN.JK,690672477.54,1539658152.29,-848985674.75
2018-03-23,CPIN.JK,3505105396.36,1544820637.06,1960284759.3
2018-03-26,CPIN.JK,324913184.95,1049465685.8,-724552500.86
2018-03-27,CPIN.JK,470470638.48,1644688579.87,-1174217941.4
2018-03-28,CPIN.JK,526437235.25,412727811.34,113709423.91
2018-03-29,CPIN.JK,4934667206.67,734076147.03,4200591059.64
2018-03-30,CPIN.JK,0.0,0.0,0.0
2018-04-02,CPIN.JK,530003206.0,434187892.18,95815313.82
2018-04-03,CPIN.JK,1222123476.83,1125842363.59,96281113.24
2018-04-04,CPIN.JK,126580698.74,440072758.03,-313492059.28
2018-04-05,CPIN.JK,322833926.56,184046559.83,138787366.72
2018-04-06,CPIN.JK,1157514203.66,803315139.7,354199063.96
2018-04-09,CPIN.JK,3340605021.46,1365061989.15,1975543032.32
2018-04-10,CPIN.JK,11602585659.52,3868671978.34,7733913681.18
2018-04-11,CPIN.JK,12549144244.82,10529056256.49,2020087988.33
2018-04-12,CPIN.JK,1632910492.38,1570872478.3,62038014.08
2018-04-13,CPIN.JK,667624026.63,893210537.21,-225586510.58
2018-04-16,CPIN.JK,0.0,0.0,0.0
2018-04-17,CPIN.JK,0.0,0.0,0.0
2018-04-18,CPIN.JK,3073350705.43,3373353770.74,-300003065.3
2018-04-19,CPIN.JK,0.0,0.0,0.0
2018-04-20,CPIN.JK,0.0,0.0,0.0
2018-04-23,CPIN.JK,1317819345.13,1823092900.53,-505273555.39
2018-04-24,CPIN.JK,2152724813.69,3019036164.94,-866311351.24
2018-04-25,CPIN.JK,0.0,0.0,0.0
2018-04-26,CPIN.JK,0.0,0.0,0.0
2018-04-27,CPIN.JK,0.0,0.0,0.0
2018-04-30,CPIN.JK,6478639350.61,4839857964.21,1638781386.4
2018-05-01,CPIN.JK,0.0,0.0,0.0
2018-05-02,CPIN.JK,6796376784.28,1723293998.37,5073082785.91
2018-05-03,CPIN.JK,1419616354.43,3620155191.55,-2200538837.13
2018-05-04,CPIN.JK,688770664.16,1516477969.29,-827707305.13
2018-05-07,CPIN.JK,2493306701.38,1657092930.91,836213770.47
2018-05-08,CPIN.JK,1020798887.05,4754216854.31,-3733417967.26
2018-05-09,CPIN.JK,2293570618.24,8007671897.94,-5714101279.7
2018-05-10,CPIN.JK,0.0,0.0,0.0
2018-05-11,CPIN.JK,4205021512.28,1183203829.88,3021817682.4
2018-05-14,CPIN.JK,1577208765.53,955396626.01,621812139.51
2018-05-15,CPIN.JK,2392702231.53,2176983226.44,215719005.09
2018-05-16,CPIN.JK,1992651715.13,4460532037.7,-2467880322.57
2018-05-17,CPIN.JK,1632034365.07,2108736825.26,-476702460.19
2018-05-18,CPIN.JK,2347979957.26,1764542477.34,583437479.92
2018-05-21,CPIN.JK,1399971683.61,1142282787.05,257688896.56
2018-05-22,CPIN.JK,1106721054.12,1844949863.11,-738228808.99
2018-05-23,CPIN.JK,595742696.64,636865553.91,-41122857.26
2018-05-24,CPIN.JK,3481147530.46,706050037.98,2775097492.48
2018-05-25,CPIN.JK,6753203805.56,1697357319.1,5055846486.46
2018-05-28,CPIN.JK,3064623813.06,3691064998.24,-626441185.17
2018-05-29,CPIN.JK,0.0,0.0,0.0
2018-05-30,CPIN.JK,1777964557.02,3879320826.29,-2101356269.28
2018-05-31,CPIN.JK,13939208579.04,11452151224.59,2487057354.45
2018-06-01,CPIN.JK,0.0,0.0,0.0
2018-06-04,CPIN.JK,2699853471.74,2092048742.75,607804728.99
2018-06-05,CPIN.JK,5634992170.52,2862355891.23,2772636279.29
2018-06-06,CPIN.JK,5095878942.46,4557747904.94,538131037.52
2018-06-07,CPIN.JK,1717217028.49,3747382433.67,-2030165405.18
2018-06-08,CPIN.JK,4009557741.32,18756364740.46,-14746806999.14
2018-06-11,CPIN.JK,0.0,0.0,0.0
