date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,EMTK.JK,0.0,0.0,0.0
2018-01-02,EMTK.JK,0.0,0.0,0.0
2018-01-03,EMTK.JK,21594821.81,21209274.53,385547.28
2018-01-04,EMTK.JK,0.0,0.0,0.0
2018-01-05,EMTK.JK,114208.12,119751.61,-5543.48
2018-01-08,EMTK.JK,45585.08,62945.93,-17360.84
2018-01-09,EMTK.JK,0.0,0.0,0.0
2018-01-10,EMTK.JK,143771.89,363025.52,-219253.62
2018-01-11,EMTK.JK,10535265.43,9532462.2,1002803.23
2018-01-12,EMTK.JK,0.0,0.0,0.0
2018-01-15,EMTK.JK,80412.27,115897.94,-35485.67
2018-01-16,EMTK.JK,0.0,0.0,0.0
2018-01-17,EMTK.JK,0.0,0.0,0.0
2018-01-18,EMTK.JK,71444.73,90818.67,-19373.94
2018-01-19,EMTK.JK,3001378.63,926132.18,2075246.45
2018-01-22,EMTK.JK,0.0,0.0,0.0
2018-01-23,EMTK.JK,97340.05,109509.01,-12168.96
2018-01-24,EMTK.JK,467831.78,560388.35,-92556.56
2018-01-25,EMTK.JK,9618684.74,6906928.67,2711756.07
2018-01-26,EMTK.JK,1819763.04,1727786.36,91976.68
2018-01-29,EMTK.JK,75633035.76,26718767.71,48914268.05
2018-01-30,EMTK.JK,9371652.13,6502496.22,2869155.91
2018-01-31,EMTK.JK,19179498.34,4110057.09,15069441.24
2018-02-01,EMTK.JK,59467.53,166442.26,-106974.74
2018-02-02,EMTK.JK,2497822.56,763275.31,1734547.25
2018-02-05,EMTK.JK,0.0,0.0,0.0
2018-02-06,EMTK.JK,504382.36,12655612.8,-12151230.45
2018-02-07,EMTK.JK,91821601.11,44333655.75,47487945.36
2018-02-08,EMTK.JK,12122303.56,13672072.22,-1549768.66
2018-02-09,EMTK.JK,0.0,0.0,0.0
2018-02-12,EMTK.JK,13607720.95,15070047.78,-1462326.83
2018-02-13,EMTK.JK,0.0,0.0,0.0
2018-02-14,EMTK.JK,0.0,0.0,0.0
2018-02-15,EMTK.JK,0.0,0.0,0.0
2018-02-16,EMTK.JK,0.0,0.0,0.0
2018-02-19,EMTK.JK,0.0,0.0,0.0
2018-02-20,EMTK.JK,0.0,0.0,0.0
2018-02-21,EMTK.JK,0.0,0.0,0.0
2018-02-22,EMTK.JK,0.0,0.0,0.0
2018-02-23,EMTK.JK,0.0,0.0,0.0
2018-02-26,EMTK.JK,127463860.62,695547450.19,-568083589.57
2018-02-27,EMTK.JK,9375665.61,2383448.81,6992216.8
2018-02-28,EMTK.JK,37117.2,256431.4,-219314.2
2018-03-01,EMTK.JK,1146223.09,126553.6,1019669.49
2018-03-02,EMTK.JK,0.0,0.0,0.0
2018-03-05,EMTK.JK,0.0,0.0,0.0
2018-03-06,EMTK.JK,0.0,0.0,0.0
