date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,ERAA.JK,0.0,0.0,0.0
2018-01-02,ERAA.JK,350530085.2,656143734.46,-305613649.26
2018-01-03,ERAA.JK,206292392.18,255194011.33,-48901619.14
2018-01-04,ERAA.JK,208204848.6,718277710.46,-510072861.86
2018-01-05,ERAA.JK,1422785577.76,1032389086.32,390396491.44
2018-01-08,ERAA.JK,1588674200.01,850502870.75,738171329.25
2018-01-09,ERAA.JK,1426356713.09,740083034.13,686273678.96
2018-01-10,ERAA.JK,807717474.75,1206566081.2,-398848606.45
2018-01-11,ERAA.JK,344169029.39,570514108.19,-226345078.8
2018-01-12,ERAA.JK,303911557.02,452515563.57,-148604006.56
2018-01-15,ERAA.JK,1001348055.75,666517005.96,334831049.79
2018-01-16,ERAA.JK,402072395.34,514056127.39,-111983732.05
2018-01-17,ERAA.JK,1311999735.96,732525538.38,579474197.57
2018-01-18,ERAA.JK,792273679.14,622723212.69,169550466.45
2018-01-19,ERAA.JK,642192999.07,379871332.35,262321666.72
2018-01-22,ERAA.JK,898240033.81,821697732.42,76542301.4
2018-01-23,ERAA.JK,454902650.22,324324485.58,130578164.64
2018-01-24,ERAA.JK,534434942.91,718064002.52,-183629059.6
2018-01-25,ERAA.JK,652318133.18,744022456.89,-91704323.71
2018-01-26,ERAA.JK,371317588.27,263322297.54,107995290.74
2018-01-29,ERAA.JK,15150390145.5,724545530.5,14425844615.0
2018-01-30,ERAA.JK,884960566.96,2385641007.31,-1500680440.35
2018-01-31,ERAA.JK,3575532041.78,505556357.35,3069975684.43
2018-02-01,ERAA.JK,2080700208.75,1574577868.24,506122340.5
2018-02-02,ERAA.JK,1034839653.59,1822214666.94,-787375013.35
2018-02-05,ERAA.JK,1414923441.14,1958832320.83,-543908879.69
2018-02-06,ERAA.JK,845534155.95,4744717836.54,-3899183680.59
2018-02-07,ERAA.JK,1082391917.19,798144445.2,284247471.99
2018-02-08,ERAA.JK,2279365480.24,592840182.21,1686525298.03
2018-02-09,ERAA.JK,1572838917.72,630099214.3,942739703.42
2018-02-12,ERAA.JK,3304001010.67,1520974546.14,1783026464.53
2018-02-13,ERAA.JK,9720840050.74,1546491848.06,8174348202.68
2018-02-14,ERAA.JK,1857915246.02,2331746508.49,-473831262.46
2018-02-15,ERAA.JK,505160905.2,402369688.05,102791217.16
2018-02-16,ERAA.JK,0.0,0.0,0.0
2018-02-19,ERAA.JK,349110715.2,283633518.88,65477196.31
2018-02-20,ERAA.JK,272444481.45,603210755.23,-330766273.79
2018-02-21,ERAA.JK,670399914.76,449921480.78,220478433.98
2018-02-22,ERAA.JK,3110027608.18,615543457.97,2494484150.22
2018-02-23,ERAA.JK,2473792196.23,1548998513.37,924793682.85
2018-02-26,ERAA.JK,425854411.51,698138747.86,-272284336.35
2018-02-27,ERAA.JK,969242233.83,1055820418.07,-86578184.23
2018-02-28,ERAA.JK,1774781862.91,613592136.47,1161189726.44
2018-03-01,ERAA.JK,5425347357.81,926474041.77,4498873316.04
2018-03-02,ERAA.JK,3743559810.54,508200119.6,3235359690.94
2018-03-05,ERAA.JK,11929141788.17,694690749.79,11234451038.38
2018-03-06,ERAA.JK,4305777521.6,3172546878.05,1133230643.56
2018-03-07,ERAA.JK,306748765.69,2825601503.75,-2518852738.06
2018-03-08,ERAA.JK,5084963789.49,3561905181.01,1523058608.49
2018-03-09,ERAA.JK,8165497896.39,638008218.62,7527489677.77
2018-03-12,ERAA.JK,7725480129.33,1519171819.56,6206308309.77
2018-03-13,ERAA.JK,3165536232.02,3068543794.74,96992437.28
2018-03-14,ERAA.JK,2438760495.43,2665554194.94,-226793699.51
2018-03-15,ERAA.JK,1842205525.49,2967649643.37,-1125444117.88
