date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,ESSA.JK,0.0,0.0,0.0
2018-01-02,ESSA.JK,7295644.87,74947012.26,-67651367.39
2018-01-03,ESSA.JK,65434020.42,36604773.1,28829247.32
2018-01-04,ESSA.JK,42531941.23,51647483.33,-9115542.1
2018-01-05,ESSA.JK,9991221.68,8526846.67,1464375.0
2018-01-08,ESSA.JK,41616193.19,33459344.09,8156849.1
2018-01-09,ESSA.JK,18546223.94,16039661.46,2506562.49
2018-01-10,ESSA.JK,1148183034.14,12775881.74,1135407152.4
2018-01-11,ESSA.JK,424421000.26,268515450.8,155905549.46
2018-01-12,ESSA.JK,293513066.3,66294594.35,227218471.95
2018-01-15,ESSA.JK,207649442.56,234482032.35,-26832589.79
2018-01-16,ESSA.JK,194710759.22,429359951.78,-234649192.56
2018-01-17,ESSA.JK,274009725.0,254802230.17,19207494.83
2018-01-18,ESSA.JK,2620193137.22,75866573.8,2544326563.42
2018-01-19,ESSA.JK,739628400.0,239182912.57,500445487.44
2018-01-22,ESSA.JK,147153026.41,446655873.72,-299502847.31
2018-01-23,ESSA.JK,853407862.98,382083276.7,471324586.28
2018-01-24,ESSA.JK,384778286.33,646130291.81,-261352005.49
2018-01-25,ESSA.JK,543528882.04,627438342.4,-83909460.36
2018-01-26,ESSA.JK,1924373929.8,42029035.07,1882344894.73
2018-01-29,ESSA.JK,7587626114.31,113075690.74,7474550423.57
2018-01-30,ESSA.JK,1053977522.05,291737719.52,762239802.52
2018-01-31,ESSA.JK,507671248.82,481034152.04,26637096.78
2018-02-01,ESSA.JK,704856756.19,1485649318.93,-780792562.73
2018-02-02,ESSA.JK,168160612.64,477630459.95,-309469847.31
2018-02-05,ESSA.JK,4851864284.43,0.0,4851864284.43
2018-02-06,ESSA.JK,539224949.64,1969662870.8,-1430437921.16
2018-02-07,ESSA.JK,1144681946.97,970229839.39,174452107.58
2018-02-08,ESSA.JK,2086238116.79,218439573.34,1867798543.46
2018-02-09,ESSA.JK,2538958924.12,843656186.81,1695302737.31
2018-02-12,ESSA.JK,696021704.0,1262785717.63,-566764013.63
2018-02-13,ESSA.JK,196988267.13,313816475.23,-116828208.1
2018-02-14,ESSA.JK,500641942.5,417332059.26,83309883.24
2018-02-15,ESSA.JK,317787548.81,433931802.77,-116144253.96
2018-02-16,ESSA.JK,0.0,0.0,0.0
2018-02-19,ESSA.JK,459910201.99,1177777044.77,-717866842.79
2018-02-20,ESSA.JK,538941773.51,1330425541.73,-791483768.23
2018-02-21,ESSA.JK,796157066.34,926054425.43,-129897359.1
2018-02-22,ESSA.JK,187794013.09,325197010.15,-137402997.06
2018-02-23,ESSA.JK,286173687.94,377327891.81,-91154203.87
2018-02-26,ESSA.JK,3809638080.67,32771319.48,3776866761.19
2018-02-27,ESSA.JK,38446275792.73,797586742.0,37648689050.73
2018-02-28,ESSA.JK,4164065748.19,4123249550.21,40816197.98
2018-03-01,ESSA.JK,3093163410.43,1572111230.84,1521052179.59
2018-03-02,ESSA.JK,492017067.42,1318061721.72,-826044654.3
2018-03-05,ESSA.JK,685421236.59,1935511378.79,-1250090142.2
2018-03-06,ESSA.JK,2505593405.54,1871016020.8,634577384.74
2018-03-07,ESSA.JK,147679535.65,922336069.38,-774656533.73
2018-03-08,ESSA.JK,458905044.01,790920601.97,-332015557.95
