date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,EXCL.JK,0.0,0.0,0.0
2018-01-02,EXCL.JK,667169994.12,1099609188.79,-432439194.66
2018-01-03,EXCL.JK,1659533900.92,981840318.53,677693582.39
2018-01-04,EXCL.JK,2624782799.56,2343434827.72,281347971.84
2018-01-05,EXCL.JK,3453481059.57,1366148070.9,2087332988.67
2018-01-08,EXCL.JK,7066832421.88,823425580.02,6243406841.86
2018-01-09,EXCL.JK,3291981162.15,705646711.81,2586334450.34
2018-01-10,EXCL.JK,620425972.06,1699946698.0,-1079520725.94
2018-01-11,EXCL.JK,2668449969.65,1256081108.33,1412368861.31
2018-01-12,EXCL.JK,806066886.23,1673971871.68,-867904985.45
2018-01-15,EXCL.JK,1499594571.78,2046235985.5,-546641413.72
2018-01-16,EXCL.JK,1646404005.41,1137136947.28,509267058.14
2018-01-17,EXCL.JK,1972996834.99,2395952530.97,-422955695.98
2018-01-18,EXCL.JK,1374199526.86,1580354674.9,-206155148.04
2018-01-19,EXCL.JK,473961286.86,800033372.48,-326072085.62
2018-01-22,EXCL.JK,592579002.77,2350511124.36,-1757932121.6
2018-01-23,EXCL.JK,2750507112.4,829035181.7,1921471930.7
2018-01-24,EXCL.JK,580222440.27,737724420.09,-157501979.82
2018-01-25,EXCL.JK,1105096488.51,2852951174.97,-1747854686.46
2018-01-26,EXCL.JK,1526655294.59,446305167.74,1080350126.85
2018-01-29,EXCL.JK,2591379099.05,2524172476.49,67206622.57
2018-01-30,EXCL.JK,602232241.56,2245936939.75,-1643704698.19
2018-01-31,EXCL.JK,2671710924.29,3407069712.2,-735358787.91
2018-02-01,EXCL.JK,4465136862.95,5823732657.0,-1358595794.06
2018-02-02,EXCL.JK,4160968590.57,1876590403.81,2284378186.76
2018-02-05,EXCL.JK,1358602736.63,2147845048.97,-789242312.34
2018-02-06,EXCL.JK,1409226106.37,2748422189.62,-1339196083.25
2018-02-07,EXCL.JK,2565308095.04,1143828132.8,1421479962.24
2018-02-08,EXCL.JK,403540173.56,704035441.11,-300495267.55
2018-02-09,EXCL.JK,681227527.99,1149200951.87,-467973423.88
2018-02-12,EXCL.JK,1559188858.66,1401240909.69,157947948.98
2018-02-13,EXCL.JK,692951271.34,218743162.53,474208108.81
2018-02-14,EXCL.JK,778188208.07,1297640855.24,-519452647.16
2018-02-15,EXCL.JK,809346607.92,916658935.32,-107312327.4
2018-02-16,EXCL.JK,0.0,0.0,0.0
2018-02-19,EXCL.JK,2005891272.15,2020026246.56,-14134974.41
2018-02-20,EXCL.JK,1636954199.31,1654029435.93,-17075236.62
2018-02-21,EXCL.JK,2307198620.75,1988196868.15,319001752.59
2018-02-22,EXCL.JK,1032206397.22,988465043.06,43741354.15
2018-02-23,EXCL.JK,2219224758.75,1290679190.43,928545568.32
2018-02-26,EXCL.JK,1630287516.33,1472140585.33,158146931.0
2018-02-27,EXCL.JK,4301333051.48,2852780071.81,1448552979.67
2018-02-28,EXCL.JK,3471543616.64,6245506982.13,-2773963365.5
2018-03-01,EXCL.JK,1677177367.29,2993081182.73,-1315903815.44
2018-03-02,EXCL.JK,1538281143.5,2344849203.74,-806568060.24
2018-03-05,EXCL.JK,770793008.48,509805800.27,260987208.21
2018-03-06,EXCL.JK,908366540.53,859532501.49,48834039.04
2018-03-07,EXCL.JK,531028980.86,1845937429.36,-1314908448.5
2018-03-08,EXCL.JK,881060395.7,1368132091.68,-487071695.99
2018-03-09,EXCL.JK,1185176997.85,760175562.44,425001435.41
2018-03-12,EXCL.JK,3127399189.27,3986016277.14,-858617087.87
2018-03-13,EXCL.JK,794212419.3,1767353346.63,-973140927.34
2018-03-14,EXCL.JK,1129863730.95,2218402781.08,-1088539050.13
2018-03-15,EXCL.JK,2007228969.56,3260566726.15,-1253337756.59
2018-03-16,EXCL.JK,2240462942.11,4808765784.61,-2568302842.5
2018-03-19,EXCL.JK,3780663849.01,965007223.01,2815656626.0
2018-03-20,EXCL.JK,996724013.81,1769572740.34,-772848726.54
2018-03-21,EXCL.JK,1182423558.16,739089069.8,443334488.35
2018-03-22,EXCL.JK,413225136.17,799398628.43,-386173492.26
2018-03-23,EXCL.JK,726010917.92,1555597328.44,-829586410.52
2018-03-26,EXCL.JK,1248924720.63,533744167.52,715180553.12
2018-03-27,EXCL.JK,2314858125.33,1991952363.63,322905761.69
2018-03-28,EXCL.JK,2107798585.9,2316929104.55,-209130518.65
2018-03-29,EXCL.JK,1194690571.25,867192600.58,327497970.67
2018-03-30,EXCL.JK,0.0,0.0,0.0
2018-04-02,EXCL.JK,571066619.16,1533255589.1,-962188969.94
2018-04-03,EXCL.JK,552139691.99,1431512297.38,-879372605.39
2018-04-04,EXCL.JK,4772404393.21,357537736.17,4414866657.04
2018-04-05,EXCL.JK,2594261841.67,1701377219.74,892884621.93
2018-04-06,EXCL.JK,810585132.22,906611724.23,-96026592.01
2018-04-09,EXCL.JK,473566736.44,454052075.66,19514660.77
2018-04-10,EXCL.JK,6166075534.1,794037960.9,5372037573.2
2018-04-11,EXCL.JK,2135382438.64,1945381900.36,190000538.29
2018-04-12,EXCL.JK,435736483.35,849841138.47,-414104655.12
