date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,GGRM.JK,0.0,0.0,0.0
2018-01-02,GGRM.JK,2366348975.2,4524097941.7,-2157748966.5
2018-01-03,GGRM.JK,4630535740.49,5031550160.2,-401014419.72
2018-01-04,GGRM.JK,7565558654.12,2017487587.03,5548071067.09
2018-01-05,GGRM.JK,4847770501.28,3391669130.41,1456101370.87
2018-01-08,GGRM.JK,4196673519.24,3953418155.85,243255363.39
2018-01-09,GGRM.JK,3238636831.68,8385528235.28,-5146891403.6
2018-01-10,GGRM.JK,2838989283.87,2599556153.13,239433130.74
2018-01-11,GGRM.JK,1839076727.8,2006962341.48,-167885613.68
2018-01-12,GGRM.JK,6447979723.14,5352473010.41,1095506712.72
2018-01-15,GGRM.JK,2021460586.05,3476066998.13,-1454606412.08
2018-01-16,GGRM.JK,2789044034.91,1369433048.98,1419610985.92
2018-01-17,GGRM.JK,4914823649.95,9543408564.75,-4628584914.8
2018-01-18,GGRM.JK,3407404394.39,2080556930.88,1326847463.52
2018-01-19,GGRM.JK,4999028719.95,5099532693.5,-100503973.55
2018-01-22,GGRM.JK,7586469465.37,5555911686.06,2030557779.31
2018-01-23,GGRM.JK,20322100355.73,15307319995.16,5014780360.57
2018-01-24,GGRM.JK,6889813939.86,5154973303.36,1734840636.49
2018-01-25,GGRM.JK,2910800972.92,4557984066.39,-1647183093.47
2018-01-26,GGRM.JK,2206491250.39,2523447333.06,-316956082.68
2018-01-29,GGRM.JK,5878366247.65,11254443900.75,-5376077653.09
2018-01-30,GGRM.JK,4441351010.87,10011652275.83,-5570301264.96
2018-01-31,GGRM.JK,8979099518.68,5471399393.12,3507700125.56
2018-02-01,GGRM.JK,6967088722.79,5088745040.0,1878343682.79
2018-02-02,GGRM.JK,2613578857.04,3099448667.68,-485869810.63
2018-02-05,GGRM.JK,3053580968.78,2612476157.23,441104811.55
2018-02-06,GGRM.JK,3736474308.84,2543762073.29,1192712235.55
2018-02-07,GGRM.JK,11805836195.71,8904628835.24,2901207360.47
2018-02-08,GGRM.JK,4269088852.12,4503198861.83,-234110009.71
2018-02-09,GGRM.JK,3935567295.46,6838692559.0,-2903125263.54
2018-02-12,GGRM.JK,8689991806.44,14986101225.98,-6296109419.54
2018-02-13,GGRM.JK,5872837867.26,5142341873.2,730495994.06
2018-02-14,GGRM.JK,5709511958.81,5978475882.45,-268963923.64
2018-02-15,GGRM.JK,2608866094.06,1915390784.69,693475309.37
2018-02-16,GGRM.JK,0.0,0.0,0.0
2018-02-19,GGRM.JK,4720511301.62,3100590102.25,1619921199.37
2018-02-20,GGRM.JK,3045714482.48,4042145052.11,-996430569.63
2018-02-21,GGRM.JK,7588636110.89,10550977008.79,-2962340897.9
2018-02-22,GGRM.JK,2231313154.0,2792372236.01,-561059082.01
2018-02-23,GGRM.JK,4652583774.92,2378856397.1,2273727377.82
2018-02-26,GGRM.JK,2974523895.69,5821263359.48,-2846739463.8
2018-02-27,GGRM.JK,4193301870.64,3194254390.77,999047479.88
2018-02-28,GGRM.JK,3161447144.95,2867564765.94,293882379.01
2018-03-01,GGRM.JK,3608427927.62,3473102402.8,135325524.82
2018-03-02,GGRM.JK,8608451805.59,8666570809.59,-58119004.0
2018-03-05,GGRM.JK,2765033032.98,3458203125.06,-693170092.08
2018-03-06,GGRM.JK,2253269246.76,1817199980.0,436069266.76
2018-03-07,GGRM.JK,3463788174.81,8749550501.36,-5285762326.56
2018-03-08,GGRM.JK,10286118734.75,3792204287.62,6493914447.13
2018-03-09,GGRM.JK,3864646203.67,7417738237.47,-3553092033.8
2018-03-12,GGRM.JK,14119028666.75,20605932380.72,-6486903713.97
