date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-05-17,HEAL.JK,1644422590.13,2112224069.23,-467801479.1
2018-05-18,HEAL.JK,959214775.19,1379686358.22,-420471583.03
2018-05-21,HEAL.JK,935970335.19,3564493203.08,-2628522867.89
2018-05-22,HEAL.JK,671335841.85,434506859.37,236828982.48
2018-05-23,HEAL.JK,493598402.77,577689404.86,-84091002.09
2018-05-24,HEAL.JK,1713704996.48,423830892.01,1289874104.47
2018-05-25,HEAL.JK,562720192.88,482494454.33,80225738.55
2018-05-28,HEAL.JK,596349132.38,540420871.2,55928261.17
2018-05-29,HEAL.JK,0.0,0.0,0.0
2018-05-30,HEAL.JK,724735390.54,371727775.23,353007615.31
2018-05-31,HEAL.JK,122074917.2,95871183.65,26203733.55
2018-06-01,HEAL.JK,0.0,0.0,0.0
2018-06-04,HEAL.JK,595264156.1,698770134.22,-103505978.12
2018-06-05,HEAL.JK,160143112.91,97270699.18,62872413.73
2018-06-06,HEAL.JK,440703886.35,112062872.57,328641013.78
2018-06-07,HEAL.JK,301553211.03,258495949.2,43057261.83
2018-06-08,HEAL.JK,162870295.07,87521399.05,75348896.02
2018-06-11,HEAL.JK,0.0,0.0,0.0
2018-06-12,HEAL.JK,0.0,0.0,0.0
2018-06-13,HEAL.JK,0.0,0.0,0.0
2018-06-14,HEAL.JK,0.0,0.0,0.0
2018-06-15,HEAL.JK,0.0,0.0,0.0
2018-06-18,HEAL.JK,0.0,0.0,0.0
2018-06-19,HEAL.JK,0.0,0.0,0.0
2018-06-20,HEAL.JK,146552058.6,235050119.0,-88498060.4
2018-06-21,HEAL.JK,466762903.05,585258625.3,-118495722.25
2018-06-22,HEAL.JK,380001038.91,178296300.6,201704738.31
2018-06-25,HEAL.JK,116192326.07,121944065.86,-5751739.79
2018-06-26,HEAL.JK,35932386.06,52891311.61,-16958925.55
2018-06-27,HEAL.JK,396598012.04,162839299.44,233758712.6
2018-06-28,HEAL.JK,88878242.44,198869824.55,-109991582.11
2018-06-29,HEAL.JK,101150116.03,102624754.9,-1474638.87
2018-07-02,HEAL.JK,68362264.82,77003696.42,-8641431.6
2018-07-03,HEAL.JK,969704495.0,690309679.42,279394815.58
2018-07-04,HEAL.JK,113849371.53,106256197.65,7593173.88
2018-07-05,HEAL.JK,199616297.73,268414130.59,-68797832.87
2018-07-06,HEAL.JK,416933339.15,510338894.89,-93405555.73
2018-07-09,HEAL.JK,612948414.01,659432064.96,-46483650.95
2018-07-10,HEAL.JK,128477884.19,211604701.9,-83126817.72
2018-07-11,HEAL.JK,427790249.04,578850041.45,-151059792.41
2018-07-12,HEAL.JK,257571892.89,247019796.61,10552096.28
2018-07-13,HEAL.JK,218249949.73,293465529.64,-75215579.91
2018-07-16,HEAL.JK,290262344.65,260382596.76,29879747.89
2018-07-17,HEAL.JK,95477473.76,112214484.2,-16737010.43
2018-07-18,HEAL.JK,110862053.86,104380207.9,6481845.95
2018-07-19,HEAL.JK,73374785.95,64744279.99,8630505.97
2018-07-20,HEAL.JK,70692735.25,69794022.33,898712.92
