date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,HMSP.JK,0.0,0.0,0.0
2018-01-02,HMSP.JK,3018924477.62,3316241283.12,-297316805.5
2018-01-03,HMSP.JK,2290002912.52,7889454569.83,-5599451657.31
2018-01-04,HMSP.JK,4674738818.86,2378208244.26,2296530574.6
2018-01-05,HMSP.JK,5315267170.81,1962166560.34,3353100610.48
2018-01-08,HMSP.JK,6970477935.85,6333647907.13,636830028.71
2018-01-09,HMSP.JK,11822251010.66,8283113333.23,3539137677.44
2018-01-10,HMSP.JK,2685536894.4,4265691202.76,-1580154308.36
2018-01-11,HMSP.JK,7593005214.74,6783642503.78,809362710.96
2018-01-12,HMSP.JK,4253430153.02,2866797489.65,1386632663.38
2018-01-15,HMSP.JK,2385536538.65,3804466537.9,-1418929999.25
2018-01-16,HMSP.JK,4718105250.07,6230354847.9,-1512249597.82
2018-01-17,HMSP.JK,5428725464.83,4951634451.23,477091013.6
2018-01-18,HMSP.JK,13471318697.41,5087045310.8,8384273386.61
2018-01-19,HMSP.JK,6751450598.95,3549971420.96,3201479177.99
2018-01-22,HMSP.JK,3864683031.72,3328569594.59,536113437.12
2018-01-23,HMSP.JK,15135419493.89,1541546079.94,13593873413.96
2018-01-24,HMSP.JK,2691158005.89,9183309283.06,-6492151277.17
2018-01-25,HMSP.JK,4311934950.76,7356588063.44,-3044653112.68
2018-01-26,HMSP.JK,3522854684.14,3291894787.55,230959896.59
2018-01-29,HMSP.JK,7236966557.43,8276607941.19,-1039641383.76
2018-01-30,HMSP.JK,3016597080.8,7770384045.24,-4753786964.44
2018-01-31,HMSP.JK,10522769437.43,20020395751.37,-9497626313.93
2018-02-01,HMSP.JK,9099726061.46,18370770297.01,-9271044235.54
2018-02-02,HMSP.JK,6542067143.67,6062963059.0,479104084.67
2018-02-05,HMSP.JK,4828437351.55,2764765486.33,2063671865.22
2018-02-06,HMSP.JK,10123984609.49,11663498309.03,-1539513699.55
2018-02-07,HMSP.JK,10601233477.65,8239932693.77,2361300783.88
2018-02-08,HMSP.JK,3543182438.33,5110771152.42,-1567588714.1
2018-02-09,HMSP.JK,8929002517.33,12176583550.06,-3247581032.73
2018-02-12,HMSP.JK,2081893779.68,2126720072.75,-44826293.07
2018-02-13,HMSP.JK,4071754950.22,3419996092.17,651758858.04
2018-02-14,HMSP.JK,4185417093.98,3342955922.99,842461171.0
2018-02-15,HMSP.JK,2295615195.16,3115564511.9,-819949316.74
2018-02-16,HMSP.JK,0.0,0.0,0.0
2018-02-19,HMSP.JK,7018146829.42,5549158830.04,1468987999.37
2018-02-20,HMSP.JK,3816950571.09,6816673435.87,-2999722864.78
2018-02-21,HMSP.JK,4454438367.6,6297850916.5,-1843412548.91
2018-02-22,HMSP.JK,3601905641.33,4413781722.29,-811876080.96
2018-02-23,HMSP.JK,2451672599.47,2897207239.16,-445534639.69
2018-02-26,HMSP.JK,5385729514.4,14318408367.6,-8932678853.21
2018-02-27,HMSP.JK,9990696967.32,4396584926.38,5594112040.94
2018-02-28,HMSP.JK,11294921482.64,6941013014.31,4353908468.33
2018-03-01,HMSP.JK,5191434080.82,5781812449.71,-590378368.89
2018-03-02,HMSP.JK,2591291869.96,2506316699.85,84975170.1
2018-03-05,HMSP.JK,8045160940.21,9927326939.21,-1882165999.0
2018-03-06,HMSP.JK,2608683370.07,3193659960.55,-584976590.48
2018-03-07,HMSP.JK,3468436196.29,12138618217.53,-8670182021.24
2018-03-08,HMSP.JK,5080593511.85,5804930968.91,-724337457.06
2018-03-09,HMSP.JK,6351455727.52,12769051865.07,-6417596137.55
2018-03-12,HMSP.JK,11768977350.55,14238807917.2,-2469830566.64
2018-03-13,HMSP.JK,6239186572.79,14842072989.02,-8602886416.23
2018-03-14,HMSP.JK,8252128293.37,3504894179.76,4747234113.61
2018-03-15,HMSP.JK,8281344477.62,14375982586.79,-6094638109.17
2018-03-16,HMSP.JK,21097441235.1,10702864921.22,10394576313.88
2018-03-19,HMSP.JK,3881375805.89,7000175261.13,-3118799455.24
2018-03-20,HMSP.JK,4354728407.9,6687381601.67,-2332653193.76
2018-03-21,HMSP.JK,8216809277.91,8028286591.87,188522686.04
2018-03-22,HMSP.JK,3853724888.83,3602040435.72,251684453.1
2018-03-23,HMSP.JK,6620874702.9,13943807979.32,-7322933276.42
2018-03-26,HMSP.JK,7361443549.37,7101528988.33,259914561.04
2018-03-27,HMSP.JK,14267728705.71,7504297570.0,6763431135.71
2018-03-28,HMSP.JK,3226873233.09,8245778675.54,-5018905442.45
2018-03-29,HMSP.JK,13933443543.0,14971088444.88,-1037644901.88
2018-03-30,HMSP.JK,0.0,0.0,0.0
2018-04-02,HMSP.JK,14289770223.76,5263165040.74,9026605183.02
2018-04-03,HMSP.JK,4153349974.56,6288593078.81,-2135243104.25
2018-04-04,HMSP.JK,4372716106.59,5456508397.19,-1083792290.59
2018-04-05,HMSP.JK,6230509607.75,5851940555.56,378569052.2
2018-04-06,HMSP.JK,3291298560.92,2325653731.99,965644828.93
2018-04-09,HMSP.JK,8506433795.66,8563010271.82,-56576476.16
2018-04-10,HMSP.JK,17231923104.33,9756957140.34,7474965963.99
2018-04-11,HMSP.JK,5787124933.07,5204955484.45,582169448.62
2018-04-12,HMSP.JK,2086321398.14,3914196766.76,-1827875368.62
2018-04-13,HMSP.JK,2028676276.41,3046693613.33,-1018017336.93
2018-04-16,HMSP.JK,5472130221.23,2903368952.24,2568761268.99
2018-04-17,HMSP.JK,2889227978.57,4214440992.69,-1325213014.12
2018-04-18,HMSP.JK,2710605775.48,1647715516.29,1062890259.2
2018-04-19,HMSP.JK,5738659664.24,4203031179.93,1535628484.31
2018-04-20,HMSP.JK,3945261267.68,11048579559.25,-7103318291.57
2018-04-23,HMSP.JK,1903962254.59,2266397289.07,-362435034.48
2018-04-24,HMSP.JK,3669142125.68,4761699343.24,-1092557217.56
2018-04-25,HMSP.JK,2943811964.93,7829068189.31,-4885256224.38
2018-04-26,HMSP.JK,3021121218.42,23968590343.03,-20947469124.61
2018-04-27,HMSP.JK,4562014990.79,12188551220.26,-7626536229.47
2018-04-30,HMSP.JK,11949458861.55,11465745471.71,483713389.83
2018-05-01,HMSP.JK,0.0,0.0,0.0
2018-05-02,HMSP.JK,6473213010.14,10133267320.33,-3660054310.19
2018-05-03,HMSP.JK,2616425708.56,7089776145.52,-4473350436.96
2018-05-04,HMSP.JK,6245361671.07,7333338062.82,-1087976391.75
2018-05-07,HMSP.JK,30572659501.16,2616244121.45,27956415379.71
2018-05-08,HMSP.JK,5306237058.5,9392625881.59,-4086388823.08
2018-05-09,HMSP.JK,8505208635.77,955139689.79,7550068945.98
2018-05-10,HMSP.JK,0.0,0.0,0.0
2018-05-11,HMSP.JK,32320395442.09,10046619600.28,22273775841.81
2018-05-14,HMSP.JK,3376433732.74,2063089411.3,1313344321.44
2018-05-15,HMSP.JK,1823330185.22,4291952468.4,-2468622283.18
2018-05-16,HMSP.JK,1841338338.93,1318247370.91,523090968.03
2018-05-17,HMSP.JK,3579706934.73,6242436701.68,-2662729766.95
2018-05-18,HMSP.JK,4817469317.63,8105821368.64,-3288352051.01
2018-05-21,HMSP.JK,2835521494.66,5457949156.09,-2622427661.43
2018-05-22,HMSP.JK,5510625470.44,7128022138.73,-1617396668.29
2018-05-23,HMSP.JK,4297622749.07,1756497161.49,2541125587.58
2018-05-24,HMSP.JK,4822981504.79,1347658702.62,3475322802.18
2018-05-25,HMSP.JK,5343703238.11,3638209293.48,1705493944.63
2018-05-28,HMSP.JK,6774801727.92,4016311123.0,2758490604.92
2018-05-29,HMSP.JK,0.0,0.0,0.0
2018-05-30,HMSP.JK,10130129840.99,11704588773.41,-1574458932.41
2018-05-31,HMSP.JK,36168205986.39,46768636277.4,-10600430291.01
2018-06-01,HMSP.JK,0.0,0.0,0.0
2018-06-04,HMSP.JK,2439516895.15,4853368223.79,-2413851328.64
2018-06-05,HMSP.JK,8010338147.45,3773691963.6,4236646183.85
2018-06-06,HMSP.JK,1047890207.23,1847571747.25,-799681540.02
2018-06-07,HMSP.JK,1814845176.43,2347441257.24,-532596080.81
2018-06-08,HMSP.JK,6634734455.87,12344196294.85,-5709461838.98
2018-06-11,HMSP.JK,0.0,0.0,0.0
