date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,HRUM.JK,0.0,0.0,0.0
2018-01-02,HRUM.JK,288901404.17,306495176.48,-17593772.31
2018-01-03,HRUM.JK,785370345.65,847536028.62,-62165682.97
2018-01-04,HRUM.JK,2380056444.78,592080630.68,1787975814.09
2018-01-05,HRUM.JK,6131514777.45,237478970.44,5894035807.02
2018-01-08,HRUM.JK,5243245149.34,1931151556.41,3312093592.93
2018-01-09,HRUM.JK,931622825.02,1158602810.61,-226979985.59
2018-01-10,HRUM.JK,3246628632.78,1836724066.41,1409904566.37
2018-01-11,HRUM.JK,440746922.12,1832869384.05,-1392122461.94
2018-01-12,HRUM.JK,1042287315.57,1142154379.8,-99867064.23
2018-01-15,HRUM.JK,2581710640.16,796425508.54,1785285131.62
2018-01-16,HRUM.JK,2536017637.17,841911587.07,1694106050.1
2018-01-17,HRUM.JK,1148262788.19,1897442532.29,-749179744.1
2018-01-18,HRUM.JK,3828835669.84,825689280.72,3003146389.12
2018-01-19,HRUM.JK,4457795035.34,1203613773.43,3254181261.91
2018-01-22,HRUM.JK,1680291098.5,1682003229.12,-1712130.62
2018-01-23,HRUM.JK,16131612388.88,0.0,16131612388.88
2018-01-24,HRUM.JK,1762672858.38,2460000989.38,-697328131.0
2018-01-25,HRUM.JK,12112038003.8,922391071.04,11189646932.75
2018-01-26,HRUM.JK,2703314433.24,4086044765.87,-1382730332.64
2018-01-29,HRUM.JK,7237198724.76,5658241583.45,1578957141.31
2018-01-30,HRUM.JK,3641604880.83,6953175457.85,-3311570577.02
2018-01-31,HRUM.JK,4544659327.09,6085580851.48,-1540921524.39
2018-02-01,HRUM.JK,2153346787.03,4411854024.25,-2258507237.23
2018-02-02,HRUM.JK,2519531878.28,1967487280.24,552044598.04
2018-02-05,HRUM.JK,1106681829.75,1258648260.13,-151966430.37
2018-02-06,HRUM.JK,1519994083.02,3670921565.04,-2150927482.02
2018-02-07,HRUM.JK,790199381.22,763137710.29,27061670.92
2018-02-08,HRUM.JK,1391528656.06,1679895121.1,-288366465.04
2018-02-09,HRUM.JK,1079837067.38,3112336274.19,-2032499206.81
2018-02-12,HRUM.JK,1616005764.76,403793242.13,1212212522.63
2018-02-13,HRUM.JK,1266882576.89,770888962.69,495993614.19
2018-02-14,HRUM.JK,2011249692.62,1081915841.22,929333851.4
2018-02-15,HRUM.JK,1686517445.36,1839936294.37,-153418849.01
2018-02-16,HRUM.JK,0.0,0.0,0.0
2018-02-19,HRUM.JK,636143062.88,708665439.04,-72522376.16
2018-02-20,HRUM.JK,199256494.34,528674652.88,-329418158.53
2018-02-21,HRUM.JK,1130401710.05,701920456.6,428481253.46
2018-02-22,HRUM.JK,10337534682.96,2416994062.49,7920540620.47
2018-02-23,HRUM.JK,10662537657.66,3134411338.32,7528126319.34
2018-02-26,HRUM.JK,763120987.8,1319095344.5,-555974356.7
2018-02-27,HRUM.JK,674814852.24,1341200326.87,-666385474.64
2018-02-28,HRUM.JK,339137187.22,317763145.66,21374041.56
2018-03-01,HRUM.JK,3246849996.15,1423175301.8,1823674694.35
2018-03-02,HRUM.JK,1588007790.21,8758330635.41,-7170322845.19
2018-03-05,HRUM.JK,891208133.89,2890044218.01,-1998836084.12
2018-03-06,HRUM.JK,726798814.02,877641019.49,-150842205.47
2018-03-07,HRUM.JK,635016921.51,3340956669.75,-2705939748.24
2018-03-08,HRUM.JK,1458852958.12,9221447211.48,-7762594253.36
2018-03-09,HRUM.JK,4020159053.83,4441318275.97,-421159222.15
2018-03-12,HRUM.JK,3217392995.31,713971167.21,2503421828.1
2018-03-13,HRUM.JK,922159090.43,2120830501.77,-1198671411.34
2018-03-14,HRUM.JK,1098335984.4,5644360717.05,-4546024732.65
2018-03-15,HRUM.JK,2921178953.9,2548119761.39,373059192.51
2018-03-16,HRUM.JK,1048396400.65,608686506.82,439709893.83
2018-03-19,HRUM.JK,2721633754.67,759096756.43,1962536998.24
2018-03-20,HRUM.JK,543297353.71,1016743103.97,-473445750.26
2018-03-21,HRUM.JK,2544917987.27,758065305.09,1786852682.18
2018-03-22,HRUM.JK,406692330.76,480113500.67,-73421169.91
2018-03-23,HRUM.JK,374019907.18,301053686.23,72966220.96
2018-03-26,HRUM.JK,1202635388.67,385818714.89,816816673.78
2018-03-27,HRUM.JK,286181054.1,1369992129.26,-1083811075.15
2018-03-28,HRUM.JK,282447876.57,229278165.16,53169711.42
2018-03-29,HRUM.JK,748603041.53,875931695.05,-127328653.52
2018-03-30,HRUM.JK,0.0,0.0,0.0
2018-04-02,HRUM.JK,449462073.6,424408374.08,25053699.52
2018-04-03,HRUM.JK,575456988.72,975121681.39,-399664692.67
2018-04-04,HRUM.JK,473706924.38,1172889019.08,-699182094.7
2018-04-05,HRUM.JK,307368365.93,141045762.73,166322603.2
2018-04-06,HRUM.JK,571161621.73,268134964.9,303026656.83
2018-04-09,HRUM.JK,4009507702.09,605216104.98,3404291597.11
2018-04-10,HRUM.JK,3885780221.3,2437381380.72,1448398840.58
2018-04-11,HRUM.JK,3024243580.4,3521104968.06,-496861387.66
2018-04-12,HRUM.JK,367737798.59,1230116086.64,-862378288.05
2018-04-13,HRUM.JK,324579614.53,291567215.24,33012399.29
2018-04-16,HRUM.JK,0.0,0.0,0.0
2018-04-17,HRUM.JK,0.0,0.0,0.0
2018-04-18,HRUM.JK,1377620359.09,681711642.46,695908716.63
2018-04-19,HRUM.JK,0.0,0.0,0.0
2018-04-20,HRUM.JK,0.0,0.0,0.0
2018-04-23,HRUM.JK,780194662.39,542910189.56,237284472.83
2018-04-24,HRUM.JK,346981004.08,557706164.38,-210725160.3
2018-04-25,HRUM.JK,0.0,0.0,0.0
2018-04-26,HRUM.JK,0.0,0.0,0.0
2018-04-27,HRUM.JK,0.0,0.0,0.0
2018-04-30,HRUM.JK,0.0,1090127579.86,-1090127579.86
2018-05-01,HRUM.JK,0.0,0.0,0.0
2018-05-02,HRUM.JK,934914069.51,208067332.78,726846736.74
2018-05-03,HRUM.JK,122330227.89,1273235485.76,-1150905257.87
2018-05-04,HRUM.JK,108740729.79,265524933.13,-156784203.34
2018-05-07,HRUM.JK,397357034.24,493197187.61,-95840153.38
2018-05-08,HRUM.JK,597644715.59,1706209339.86,-1108564624.27
2018-05-09,HRUM.JK,557216551.91,409533676.97,147682874.93
2018-05-10,HRUM.JK,0.0,0.0,0.0
2018-05-11,HRUM.JK,336145844.05,326954189.39,9191654.66
2018-05-14,HRUM.JK,1137863905.62,677763814.02,460100091.6
2018-05-15,HRUM.JK,892042752.33,375372246.2,516670506.12
2018-05-16,HRUM.JK,795673256.43,522559751.29,273113505.14
2018-05-17,HRUM.JK,2178092272.67,189428652.51,1988663620.16
