date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,INCO.JK,0.0,0.0,0.0
2018-01-02,INCO.JK,8405424666.82,1722727510.54,6682697156.27
2018-01-03,INCO.JK,10597225242.69,7083811465.32,3513413777.37
2018-01-04,INCO.JK,3795986841.16,2352538856.14,1443447985.02
2018-01-05,INCO.JK,4592941274.37,2273147343.52,2319793930.85
2018-01-08,INCO.JK,2864657255.68,2653211623.62,211445632.06
2018-01-09,INCO.JK,3852440195.15,3017315891.93,835124303.22
2018-01-10,INCO.JK,8415473836.59,7403487719.4,1011986117.19
2018-01-11,INCO.JK,5065080523.15,7256902484.59,-2191821961.45
2018-01-12,INCO.JK,2406820606.97,2046073198.01,360747408.97
2018-01-15,INCO.JK,2479240355.88,1743141179.32,736099176.56
2018-01-16,INCO.JK,21662172054.21,9595515789.88,12066656264.32
2018-01-17,INCO.JK,2709207358.85,2341754150.49,367453208.36
2018-01-18,INCO.JK,2246691166.2,2460461296.8,-213770130.59
2018-01-19,INCO.JK,2995628123.24,2302666488.48,692961634.76
2018-01-22,INCO.JK,5729511020.91,5090667578.31,638843442.6
2018-01-23,INCO.JK,17979366064.75,20989669220.03,-3010303155.27
2018-01-24,INCO.JK,1502514248.77,825561664.0,676952584.78
2018-01-25,INCO.JK,31684094474.69,3806347609.15,27877746865.54
2018-01-26,INCO.JK,5507906530.43,3993003092.06,1514903438.38
2018-01-29,INCO.JK,4917528495.86,1390288737.32,3527239758.54
2018-01-30,INCO.JK,7414327619.56,15552153404.53,-8137825784.97
2018-01-31,INCO.JK,4947743759.58,4640077483.5,307666276.08
2018-02-01,INCO.JK,2814685060.86,2024194083.83,790490977.03
2018-02-02,INCO.JK,5616808548.62,5274331870.87,342476677.76
2018-02-05,INCO.JK,1328680180.83,3830782119.15,-2502101938.32
2018-02-06,INCO.JK,1662563087.83,4463956441.31,-2801393353.48
2018-02-07,INCO.JK,10801749533.97,3060938021.06,7740811512.91
2018-02-08,INCO.JK,1001281021.17,1905025465.95,-903744444.77
2018-02-09,INCO.JK,624469619.52,1876875785.18,-1252406165.66
2018-02-12,INCO.JK,1215781214.27,794660571.38,421120642.89
2018-02-13,INCO.JK,4546936978.12,2339257213.57,2207679764.56
2018-02-14,INCO.JK,4280201904.64,4297090895.58,-16888990.94
2018-02-15,INCO.JK,12901429613.68,7349517304.6,5551912309.08
2018-02-16,INCO.JK,0.0,0.0,0.0
2018-02-19,INCO.JK,3837949093.93,4097393840.64,-259444746.71
2018-02-20,INCO.JK,3798057536.32,7302271766.2,-3504214229.88
2018-02-21,INCO.JK,6286746286.76,10796419596.38,-4509673309.62
2018-02-22,INCO.JK,7361386835.29,15751752125.83,-8390365290.53
2018-02-23,INCO.JK,7027448424.84,14050504837.13,-7023056412.29
2018-02-26,INCO.JK,12738661369.31,6052570990.11,6686090379.19
2018-02-27,INCO.JK,5634598692.03,4235986009.28,1398612682.75
2018-02-28,INCO.JK,4891850651.35,8459400456.81,-3567549805.47
2018-03-01,INCO.JK,3873675030.92,9009600580.88,-5135925549.96
2018-03-02,INCO.JK,3370770930.67,12657438627.43,-9286667696.76
2018-03-05,INCO.JK,6294202961.19,6834955399.21,-540752438.02
2018-03-06,INCO.JK,3451024655.31,6681004314.96,-3229979659.66
2018-03-07,INCO.JK,6872643197.27,8715531198.91,-1842888001.64
2018-03-08,INCO.JK,1397906363.83,3620098353.15,-2222191989.32
2018-03-09,INCO.JK,9052915148.04,7570904105.92,1482011042.11
2018-03-12,INCO.JK,9839985308.74,1391039637.14,8448945671.6
2018-03-13,INCO.JK,4868753953.56,9412552991.25,-4543799037.7
2018-03-14,INCO.JK,5005192859.79,3801207524.35,1203985335.44
2018-03-15,INCO.JK,4220848220.99,5238243580.12,-1017395359.13
2018-03-16,INCO.JK,1761995089.97,4151328701.75,-2389333611.78
2018-03-19,INCO.JK,1170727962.99,7537072143.14,-6366344180.15
2018-03-20,INCO.JK,6676408478.58,4778692802.83,1897715675.76
2018-03-21,INCO.JK,9459882639.84,1706275210.31,7753607429.54
2018-03-22,INCO.JK,2989028321.52,5612381091.27,-2623352769.75
2018-03-23,INCO.JK,743425205.31,3335648085.32,-2592222880.01
2018-03-26,INCO.JK,4440175991.88,6487958441.91,-2047782450.03
2018-03-27,INCO.JK,2631306820.06,2594510488.43,36796331.63
2018-03-28,INCO.JK,719400214.26,2228171256.31,-1508771042.04
2018-03-29,INCO.JK,3357985029.04,2112786692.85,1245198336.19
2018-03-30,INCO.JK,0.0,0.0,0.0
2018-04-02,INCO.JK,4883775766.23,2452741439.95,2431034326.28
2018-04-03,INCO.JK,10237558165.11,2286527326.41,7951030838.71
2018-04-04,INCO.JK,5794477051.94,7523201651.89,-1728724599.95
2018-04-05,INCO.JK,1864931566.54,2088557120.54,-223625553.99
2018-04-06,INCO.JK,424723254.84,488996624.43,-64273369.59
2018-04-09,INCO.JK,3428671899.76,1634447495.51,1794224404.25
2018-04-10,INCO.JK,3191630295.05,1949105325.55,1242524969.49
2018-04-11,INCO.JK,4433188331.72,2291751802.5,2141436529.23
2018-04-12,INCO.JK,2595830874.61,2936129201.34,-340298326.73
2018-04-13,INCO.JK,8355487854.27,2486442221.76,5869045632.52
2018-04-16,INCO.JK,0.0,0.0,0.0
2018-04-17,INCO.JK,0.0,0.0,0.0
2018-04-18,INCO.JK,6329997356.82,1458325221.92,4871672134.9
2018-04-19,INCO.JK,0.0,0.0,0.0
2018-04-20,INCO.JK,0.0,0.0,0.0
2018-04-23,INCO.JK,11230206304.22,1610429715.64,9619776588.58
2018-04-24,INCO.JK,5232107554.19,11457777152.87,-6225669598.68
2018-04-25,INCO.JK,0.0,0.0,0.0
2018-04-26,INCO.JK,0.0,0.0,0.0
2018-04-27,INCO.JK,0.0,0.0,0.0
2018-04-30,INCO.JK,1191404849.45,14698005017.32,-13506600167.87
2018-05-01,INCO.JK,0.0,0.0,0.0
2018-05-02,INCO.JK,8718561135.05,2788946234.02,5929614901.02
2018-05-03,INCO.JK,1167564760.88,2478695305.17,-1311130544.29
2018-05-04,INCO.JK,237013729.76,648311608.02,-411297878.27
2018-05-07,INCO.JK,1717898910.38,1563866182.39,154032727.99
2018-05-08,INCO.JK,2156075254.18,1675474674.99,480600579.19
2018-05-09,INCO.JK,3809692014.37,3460452475.53,349239538.84
2018-05-10,INCO.JK,0.0,0.0,0.0
2018-05-11,INCO.JK,4659943182.98,1621700210.07,3038242972.91
2018-05-14,INCO.JK,4078796237.8,675142113.98,3403654123.82
2018-05-15,INCO.JK,8352350974.62,3591519900.6,4760831074.02
2018-05-16,INCO.JK,1329064845.86,1464205897.52,-135141051.66
2018-05-17,INCO.JK,2438884506.04,1196505951.6,1242378554.43
2018-05-18,INCO.JK,7620364061.47,2816246077.3,4804117984.18
2018-05-21,INCO.JK,15929628471.99,6742876690.42,9186751781.57
2018-05-22,INCO.JK,1405041950.32,3170870881.64,-1765828931.32
2018-05-23,INCO.JK,3054118813.68,4067433045.87,-1013314232.19
2018-05-24,INCO.JK,3689601256.38,1486433689.77,2203167566.61
2018-05-25,INCO.JK,8808216355.37,4855385031.26,3952831324.11
2018-05-28,INCO.JK,871479365.51,1838662672.51,-967183307.0
2018-05-29,INCO.JK,0.0,0.0,0.0
2018-05-30,INCO.JK,1941702707.01,1485552086.37,456150620.64
2018-05-31,INCO.JK,7542900636.64,3510424396.69,4032476239.95
2018-06-01,INCO.JK,0.0,0.0,0.0
2018-06-04,INCO.JK,10008006302.87,7068457219.84,2939549083.03
2018-06-05,INCO.JK,9454540591.97,3713347875.73,5741192716.24
2018-06-06,INCO.JK,19860887716.8,4340152761.44,15520734955.35
2018-06-07,INCO.JK,1764550953.02,3170715009.69,-1406164056.68
2018-06-08,INCO.JK,3715211456.79,2324031674.0,1391179782.79
2018-06-11,INCO.JK,0.0,0.0,0.0
2018-06-12,INCO.JK,0.0,0.0,0.0
2018-06-13,INCO.JK,0.0,0.0,0.0
2018-06-14,INCO.JK,0.0,0.0,0.0
2018-06-15,INCO.JK,0.0,0.0,0.0
2018-06-18,INCO.JK,0.0,0.0,0.0
2018-06-19,INCO.JK,0.0,0.0,0.0
2018-06-20,INCO.JK,2545128777.08,6968979676.44,-4423850899.36
2018-06-21,INCO.JK,4021606566.66,4022027315.58,-420748.91
2018-06-22,INCO.JK,6790317482.3,5101598079.61,1688719402.69
2018-06-25,INCO.JK,5273189703.95,2456285378.32,2816904325.62
2018-06-26,INCO.JK,1538204682.52,4606572609.85,-3068367927.33
2018-06-27,INCO.JK,4115422487.4,4932446804.62,-817024317.23
2018-06-28,INCO.JK,1169461995.31,3370441619.51,-2200979624.19
2018-06-29,INCO.JK,3431726509.3,1015074174.38,2416652334.93
2018-07-02,INCO.JK,2040901385.83,1363706257.54,677195128.28
2018-07-03,INCO.JK,1079613824.97,1729715573.05,-650101748.09
2018-07-04,INCO.JK,826628663.51,589429820.56,237198842.96
2018-07-05,INCO.JK,9558567309.16,3653957550.78,5904609758.37
2018-07-06,INCO.JK,2067893114.22,5079196274.93,-3011303160.71
2018-07-09,INCO.JK,676053528.12,975113046.08,-299059517.96
2018-07-10,INCO.JK,1904448731.32,1915695691.08,-11246959.76
2018-07-11,INCO.JK,22386644864.03,3219944235.61,19166700628.42
2018-07-12,INCO.JK,3715832596.08,6872593176.18,-3156760580.09
2018-07-13,INCO.JK,8106305836.18,1123091984.92,6983213851.26
2018-07-16,INCO.JK,5271240901.69,5147367713.46,123873188.23
2018-07-17,INCO.JK,837850875.88,2365894112.51,-1528043236.63
2018-07-18,INCO.JK,4476476062.79,4206605819.67,269870243.12
2018-07-19,INCO.JK,1723370725.45,1850851463.31,-127480737.87
2018-07-20,INCO.JK,1942859759.97,3311172210.48,-1368312450.5
2018-07-23,INCO.JK,3794571707.01,4133715868.74,-339144161.73
2018-07-24,INCO.JK,3424349990.92,3737054048.85,-312704057.93
2018-07-25,INCO.JK,4937420089.0,3390220265.79,1547199823.21
2018-07-26,INCO.JK,4866782298.13,3358948452.02,1507833846.11
2018-07-27,INCO.JK,9029137560.08,2961799572.79,6067337987.3
2018-07-30,INCO.JK,7741183054.24,3165168727.71,4576014326.54
2018-07-31,INCO.JK,1802945529.84,10452770200.21,-8649824670.37
2018-08-01,INCO.JK,7821735433.18,2434849882.26,5386885550.91
2018-08-02,INCO.JK,2677840927.31,7505248225.71,-4827407298.4
2018-08-03,INCO.JK,1799469838.64,7868825630.6,-6069355791.96
2018-08-06,INCO.JK,6681511182.36,3843244127.57,2838267054.79
2018-08-07,INCO.JK,7025499208.77,2489987966.94,4535511241.84
2018-08-08,INCO.JK,2748715137.92,3499303582.17,-750588444.25
2018-08-09,INCO.JK,1034463520.75,907917109.09,126546411.66
2018-08-10,INCO.JK,1450546347.69,2530726259.4,-1080179911.71
2018-08-13,INCO.JK,1606635020.15,8032023152.1,-6425388131.94
2018-08-14,INCO.JK,1179999735.62,3669782639.42,-2489782903.79
2018-08-15,INCO.JK,2594841411.32,1730914902.53,863926508.79
2018-08-16,INCO.JK,1309898994.42,4814663119.23,-3504764124.81
2018-08-17,INCO.JK,0.0,0.0,0.0
2018-08-20,INCO.JK,11100527439.89,818965766.81,10281561673.08
2018-08-21,INCO.JK,2818118662.26,5215004932.99,-2396886270.73
2018-08-22,INCO.JK,0.0,0.0,0.0
2018-08-23,INCO.JK,3150509583.79,3044749885.78,105759698.01
2018-08-24,INCO.JK,1422577784.65,3208186601.79,-1785608817.14
2018-08-27,INCO.JK,972873992.44,1081876961.21,-109002968.77
2018-08-28,INCO.JK,1084707731.46,1030572208.12,54135523.34
2018-08-29,INCO.JK,2131938294.75,2254975534.37,-123037239.62
2018-08-30,INCO.JK,1003586882.58,1301430070.88,-297843188.3
2018-08-31,INCO.JK,1896378577.69,3338696398.25,-1442317820.56
2018-09-03,INCO.JK,1983220745.22,14679470044.91,-12696249299.7
2018-09-04,INCO.JK,5274605161.59,8483029147.77,-3208423986.18
2018-09-05,INCO.JK,1131061216.62,15773640215.32,-14642578998.7
2018-09-06,INCO.JK,10170318903.93,4501046817.34,5669272086.59
2018-09-07,INCO.JK,2801261671.52,3462473651.51,-661211979.99
2018-09-10,INCO.JK,8096141370.21,2032452515.52,6063688854.69
2018-09-11,INCO.JK,0.0,0.0,0.0
2018-09-12,INCO.JK,1930717850.31,2412410765.94,-481692915.63
2018-09-13,INCO.JK,11421113622.8,4281621424.28,7139492198.52
2018-09-14,INCO.JK,2566198917.28,4282126567.45,-1715927650.16
2018-09-17,INCO.JK,1232744324.41,4827170903.0,-3594426578.59
2018-09-18,INCO.JK,3071634030.5,4596294540.91,-1524660510.42
2018-09-19,INCO.JK,17193045304.83,5172029095.12,12021016209.72
2018-09-20,INCO.JK,23705065996.53,4761736449.13,18943329547.41
2018-09-21,INCO.JK,8381160340.8,2484776465.62,5896383875.18
2018-09-24,INCO.JK,4967334428.28,9745555659.63,-4778221231.36
