date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,INDF.JK,0.0,0.0,0.0
2018-01-02,INDF.JK,4041954023.9,5731312239.46,-1689358215.56
2018-01-03,INDF.JK,15102753793.86,8608537410.61,6494216383.26
2018-01-04,INDF.JK,8764028498.46,5335974809.51,3428053688.95
2018-01-05,INDF.JK,4813947737.41,6338171404.54,-1524223667.13
2018-01-08,INDF.JK,9643982749.91,4579848923.78,5064133826.13
2018-01-09,INDF.JK,8533936772.26,10933999673.48,-2400062901.21
2018-01-10,INDF.JK,7345591529.23,6912755182.57,432836346.65
2018-01-11,INDF.JK,4805929488.13,4022791237.31,783138250.82
2018-01-12,INDF.JK,8588987752.49,8454989788.83,133997963.66
2018-01-15,INDF.JK,1198733968.16,1369083078.87,-170349110.71
2018-01-16,INDF.JK,10669973885.22,7993704715.89,2676269169.34
2018-01-17,INDF.JK,8933616495.97,7306515118.04,1627101377.93
2018-01-18,INDF.JK,5672075311.75,6973352580.73,-1301277268.97
2018-01-19,INDF.JK,5287861048.54,4065100926.65,1222760121.89
2018-01-22,INDF.JK,16585589509.09,9375861071.63,7209728437.46
2018-01-23,INDF.JK,8492119651.27,6617077773.43,1875041877.84
2018-01-24,INDF.JK,5429849024.67,5706842938.07,-276993913.4
2018-01-25,INDF.JK,5088296244.51,6954041820.66,-1865745576.15
2018-01-26,INDF.JK,2016036533.43,1620011692.41,396024841.02
2018-01-29,INDF.JK,6101756800.89,6765546001.11,-663789200.23
2018-01-30,INDF.JK,4104896829.65,12042230854.05,-7937334024.4
2018-01-31,INDF.JK,7377338975.89,9896735613.63,-2519396637.74
2018-02-01,INDF.JK,7008433135.84,9853216725.23,-2844783589.39
2018-02-02,INDF.JK,2243501221.76,2170453124.04,73048097.72
2018-02-05,INDF.JK,6079791648.0,5393490371.85,686301276.15
2018-02-06,INDF.JK,13410596544.18,21291310797.65,-7880714253.47
2018-02-07,INDF.JK,15437492911.65,5391194211.95,10046298699.7
2018-02-08,INDF.JK,1585016686.43,2390694919.97,-805678233.54
2018-02-09,INDF.JK,4497390551.81,7623835395.6,-3126444843.79
2018-02-12,INDF.JK,3971206036.33,3693668439.54,277537596.79
2018-02-13,INDF.JK,6052095820.79,6082920953.24,-30825132.45
2018-02-14,INDF.JK,3195018977.35,2606244740.55,588774236.8
2018-02-15,INDF.JK,2937322978.81,3249769049.01,-312446070.2
2018-02-16,INDF.JK,0.0,0.0,0.0
