date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,INTP.JK,0.0,0.0,0.0
2018-01-02,INTP.JK,3901808519.47,743946746.95,3157861772.53
2018-01-03,INTP.JK,8095135236.85,6419054367.28,1676080869.57
2018-01-04,INTP.JK,4025733911.17,3627882046.76,397851864.41
2018-01-05,INTP.JK,1774366923.7,1440120487.01,334246436.69
2018-01-08,INTP.JK,1056943783.4,926879987.55,130063795.85
2018-01-09,INTP.JK,1254106467.44,1490431089.94,-236324622.5
2018-01-10,INTP.JK,941423392.97,674144436.95,267278956.02
2018-01-11,INTP.JK,1023888421.92,1220735714.51,-196847292.59
2018-01-12,INTP.JK,1044526384.39,1060909113.14,-16382728.75
2018-01-15,INTP.JK,1278654054.54,2370876280.89,-1092222226.35
2018-01-16,INTP.JK,875271671.28,815122308.62,60149362.65
2018-01-17,INTP.JK,4841571220.06,1944431803.99,2897139416.07
2018-01-18,INTP.JK,1214564094.04,1423414423.04,-208850329.0
2018-01-19,INTP.JK,2882048387.97,5478714680.55,-2596666292.57
2018-01-22,INTP.JK,2353735428.93,10081539080.97,-7727803652.04
2018-01-23,INTP.JK,3931364119.9,3138635449.74,792728670.16
2018-01-24,INTP.JK,2330976271.49,3405416000.03,-1074439728.54
2018-01-25,INTP.JK,4630721638.54,6641978616.53,-2011256977.99
2018-01-26,INTP.JK,9097304203.79,3469584610.4,5627719593.39
2018-01-29,INTP.JK,3976982029.52,3363846638.87,613135390.65
2018-01-30,INTP.JK,1067124041.99,1797597351.24,-730473309.25
2018-01-31,INTP.JK,4343123368.96,2827158917.14,1515964451.82
2018-02-01,INTP.JK,1426755649.21,1260110591.97,166645057.24
2018-02-02,INTP.JK,2012416784.71,6055738541.34,-4043321756.62
2018-02-05,INTP.JK,1952702575.61,3958506684.23,-2005804108.61
2018-02-06,INTP.JK,1251507296.87,2298907515.07,-1047400218.2
2018-02-07,INTP.JK,4422105222.59,1718063511.96,2704041710.64
2018-02-08,INTP.JK,2405790518.07,1277910028.31,1127880489.76
2018-02-09,INTP.JK,2900571401.07,1137366574.92,1763204826.15
2018-02-12,INTP.JK,633221435.93,1730480006.77,-1097258570.85
2018-02-13,INTP.JK,1087513935.45,791468340.27,296045595.18
2018-02-14,INTP.JK,4801680983.98,4961318407.64,-159637423.67
2018-02-15,INTP.JK,3086148414.17,3680464236.54,-594315822.37
2018-02-16,INTP.JK,0.0,0.0,0.0
2018-02-19,INTP.JK,3958414198.5,1604969964.8,2353444233.7
2018-02-20,INTP.JK,728646323.41,820066526.27,-91420202.86
2018-02-21,INTP.JK,8498621339.57,5591007984.7,2907613354.87
2018-02-22,INTP.JK,1117422518.09,2196372046.93,-1078949528.83
