date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,ISAT.JK,0.0,0.0,0.0
2018-01-02,ISAT.JK,69877418.62,93766489.33,-23889070.7
2018-01-03,ISAT.JK,132858173.28,139306902.06,-6448728.78
2018-01-04,ISAT.JK,205601818.02,150965515.13,54636302.89
2018-01-05,ISAT.JK,168295377.74,158142590.9,10152786.84
2018-01-08,ISAT.JK,1417843185.48,145619363.39,1272223822.1
2018-01-09,ISAT.JK,1216441971.04,229979122.03,986462849.01
2018-01-10,ISAT.JK,849528327.06,915113119.58,-65584792.51
2018-01-11,ISAT.JK,6301578978.27,575436318.13,5726142660.14
2018-01-12,ISAT.JK,3153462390.38,4943836110.65,-1790373720.28
2018-01-15,ISAT.JK,160270958.56,508426807.33,-348155848.76
2018-01-16,ISAT.JK,1221960368.03,2723959556.52,-1501999188.49
2018-01-17,ISAT.JK,760043508.93,2074936726.28,-1314893217.35
2018-01-18,ISAT.JK,2254261753.28,1472347481.3,781914271.98
2018-01-19,ISAT.JK,329405017.56,236096097.13,93308920.43
2018-01-22,ISAT.JK,118453810.47,111480697.52,6973112.95
2018-01-23,ISAT.JK,365622782.55,232801469.97,132821312.58
2018-01-24,ISAT.JK,709774767.49,280584506.09,429190261.4
2018-01-25,ISAT.JK,103919079.17,198145381.39,-94226302.22
2018-01-26,ISAT.JK,182065989.59,113160363.59,68905626.0
2018-01-29,ISAT.JK,370999564.92,367275615.03,3723949.89
2018-01-30,ISAT.JK,241336073.93,616396270.57,-375060196.64
2018-01-31,ISAT.JK,714745319.79,1045520065.86,-330774746.07
2018-02-01,ISAT.JK,513605163.81,427151332.77,86453831.04
2018-02-02,ISAT.JK,187262687.45,113774760.15,73487927.3
2018-02-05,ISAT.JK,250521502.99,666937585.96,-416416082.97
2018-02-06,ISAT.JK,286522228.64,444142760.02,-157620531.39
2018-02-07,ISAT.JK,97049316.22,79668902.42,17380413.79
2018-02-08,ISAT.JK,91478070.93,118253375.2,-26775304.26
2018-02-09,ISAT.JK,41052355.34,32720385.65,8331969.68
2018-02-12,ISAT.JK,235435014.34,248776906.75,-13341892.41
2018-02-13,ISAT.JK,81716356.26,81341993.12,374363.14
2018-02-14,ISAT.JK,508665344.97,158976502.79,349688842.18
2018-02-15,ISAT.JK,385055692.85,301609109.15,83446583.69
2018-02-16,ISAT.JK,0.0,0.0,0.0
2018-02-19,ISAT.JK,97448616.82,86268154.66,11180462.15
2018-02-20,ISAT.JK,68294692.1,111701459.56,-43406767.46
2018-02-21,ISAT.JK,147894770.86,122527193.82,25367577.04
2018-02-22,ISAT.JK,110996701.97,94439409.53,16557292.44
2018-02-23,ISAT.JK,139832239.18,92636809.18,47195430.0
2018-02-26,ISAT.JK,145778403.72,140983567.75,4794835.97
2018-02-27,ISAT.JK,101744179.18,149917963.48,-48173784.31
2018-02-28,ISAT.JK,287765002.71,234081131.93,53683870.78
2018-03-01,ISAT.JK,219530297.76,435696559.29,-216166261.53
2018-03-02,ISAT.JK,32620298.04,34288009.85,-1667711.81
2018-03-05,ISAT.JK,200087042.39,115986301.03,84100741.36
2018-03-06,ISAT.JK,239567808.3,201742059.11,37825749.19
2018-03-07,ISAT.JK,201820440.98,144814284.14,57006156.84
2018-03-08,ISAT.JK,245903591.68,328623481.37,-82719889.7
2018-03-09,ISAT.JK,138379798.72,194468689.38,-56088890.67
2018-03-12,ISAT.JK,253855130.01,81063057.93,172792072.08
2018-03-13,ISAT.JK,201283049.46,241605643.85,-40322594.39
2018-03-14,ISAT.JK,17456336.17,20173890.23,-2717554.06
2018-03-15,ISAT.JK,43980616.34,208040332.96,-164059716.62
2018-03-16,ISAT.JK,34268086.86,57893876.63,-23625789.77
2018-03-19,ISAT.JK,5974634.64,12986564.58,-7011929.94
2018-03-20,ISAT.JK,29280695.95,72669719.43,-43389023.48
2018-03-21,ISAT.JK,76346746.7,67910161.38,8436585.32
2018-03-22,ISAT.JK,52032194.86,51865510.25,166684.62
2018-03-23,ISAT.JK,23186269.55,17563649.54,5622620.0
2018-03-26,ISAT.JK,216498997.59,236020202.73,-19521205.14
2018-03-27,ISAT.JK,90017866.98,91203200.24,-1185333.26
2018-03-28,ISAT.JK,94480974.65,144135096.08,-49654121.43
2018-03-29,ISAT.JK,17234206.48,38781787.83,-21547581.36
2018-03-30,ISAT.JK,0.0,0.0,0.0
2018-04-02,ISAT.JK,25831328.52,25765059.48,66269.04
2018-04-03,ISAT.JK,204251141.26,84012758.12,120238383.14
2018-04-04,ISAT.JK,127212291.33,121567641.57,5644649.77
2018-04-05,ISAT.JK,53998947.85,122868676.43,-68869728.58
2018-04-06,ISAT.JK,722298571.52,487885234.39,234413337.13
2018-04-09,ISAT.JK,11618058.32,10364471.09,1253587.23
2018-04-10,ISAT.JK,82234701.11,92389488.57,-10154787.46
2018-04-11,ISAT.JK,362245129.85,380499034.48,-18253904.63
2018-04-12,ISAT.JK,45076044.64,43167210.42,1908834.22
2018-04-13,ISAT.JK,382337289.69,491709810.78,-109372521.09
2018-04-16,ISAT.JK,0.0,0.0,0.0
2018-04-17,ISAT.JK,0.0,0.0,0.0
2018-04-18,ISAT.JK,529820097.7,939631562.07,-409811464.37
2018-04-19,ISAT.JK,0.0,0.0,0.0
2018-04-20,ISAT.JK,0.0,0.0,0.0
2018-04-23,ISAT.JK,445166958.41,450554550.95,-5387592.54
2018-04-24,ISAT.JK,146962248.5,220153434.18,-73191185.68
2018-04-25,ISAT.JK,0.0,0.0,0.0
2018-04-26,ISAT.JK,0.0,0.0,0.0
2018-04-27,ISAT.JK,0.0,0.0,0.0
2018-04-30,ISAT.JK,0.0,941427038.43,-941427038.43
2018-05-01,ISAT.JK,0.0,0.0,0.0
2018-05-02,ISAT.JK,500988312.88,508654386.11,-7666073.23
2018-05-03,ISAT.JK,344160455.1,495804762.01,-151644306.91
2018-05-04,ISAT.JK,47225073.38,69937095.66,-22712022.27
2018-05-07,ISAT.JK,76847268.89,149569048.49,-72721779.6
2018-05-08,ISAT.JK,45425647.82,230801091.54,-185375443.72
2018-05-09,ISAT.JK,151726071.57,152175539.79,-449468.22
2018-05-10,ISAT.JK,0.0,0.0,0.0
2018-05-11,ISAT.JK,94378825.18,75255352.89,19123472.29
2018-05-14,ISAT.JK,43877482.09,181178319.7,-137300837.61
2018-05-15,ISAT.JK,263953472.05,433703337.99,-169749865.94
2018-05-16,ISAT.JK,441335948.52,458674053.23,-17338104.71
2018-05-17,ISAT.JK,952997867.87,1197884181.29,-244886313.42
2018-05-18,ISAT.JK,112169819.4,101481692.48,10688126.92
2018-05-21,ISAT.JK,361798670.41,479860973.31,-118062302.9
2018-05-22,ISAT.JK,157416384.04,227335583.36,-69919199.32
2018-05-23,ISAT.JK,112503090.65,97144641.53,15358449.12
2018-05-24,ISAT.JK,580967122.02,869076802.71,-288109680.69
2018-05-25,ISAT.JK,1155864274.07,570952369.41,584911904.66
2018-05-28,ISAT.JK,2583913301.96,1119963810.57,1463949491.39
2018-05-29,ISAT.JK,0.0,0.0,0.0
2018-05-30,ISAT.JK,1529617309.76,1044410523.28,485206786.49
2018-05-31,ISAT.JK,1432765594.72,1790710602.37,-357945007.65
2018-06-01,ISAT.JK,0.0,0.0,0.0
2018-06-04,ISAT.JK,831622068.28,605161037.12,226461031.17
2018-06-05,ISAT.JK,2297979264.46,1075532406.82,1222446857.64
2018-06-06,ISAT.JK,524090546.5,769699631.78,-245609085.28
2018-06-07,ISAT.JK,269655577.84,445778330.7,-176122752.87
2018-06-08,ISAT.JK,527695552.88,700917263.18,-173221710.3
2018-06-11,ISAT.JK,0.0,0.0,0.0
2018-06-12,ISAT.JK,0.0,0.0,0.0
2018-06-13,ISAT.JK,0.0,0.0,0.0
2018-06-14,ISAT.JK,0.0,0.0,0.0
2018-06-15,ISAT.JK,0.0,0.0,0.0
