date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,ITMG.JK,0.0,0.0,0.0
2018-01-02,ITMG.JK,464748479.75,632140870.54,-167392390.79
2018-01-03,ITMG.JK,599190277.98,1316519694.96,-717329416.98
2018-01-04,ITMG.JK,866334510.83,722937599.15,143396911.68
2018-01-05,ITMG.JK,2192467078.91,735283523.25,1457183555.66
2018-01-08,ITMG.JK,5165577540.37,202459319.54,4963118220.84
2018-01-09,ITMG.JK,1623951995.92,1141994394.75,481957601.18
2018-01-10,ITMG.JK,1374709882.73,712413890.18,662295992.55
2018-01-11,ITMG.JK,511776572.42,765023030.61,-253246458.2
2018-01-12,ITMG.JK,1548087698.11,1396190461.71,151897236.4
2018-01-15,ITMG.JK,2099807917.74,541130599.39,1558677318.35
2018-01-16,ITMG.JK,2917385964.71,1196332426.57,1721053538.15
2018-01-17,ITMG.JK,1842950287.06,1089408440.86,753541846.19
2018-01-18,ITMG.JK,1336626336.17,1445007062.45,-108380726.28
2018-01-19,ITMG.JK,2652201566.96,1065672497.37,1586529069.59
2018-01-22,ITMG.JK,2097590666.99,199483032.94,1898107634.05
2018-01-23,ITMG.JK,2236842285.43,2088630867.42,148211418.01
2018-01-24,ITMG.JK,2657164233.72,837741590.6,1819422643.12
2018-01-25,ITMG.JK,1673064039.32,935834669.56,737229369.76
2018-01-26,ITMG.JK,529418614.81,643777978.92,-114359364.1
2018-01-29,ITMG.JK,3749850261.0,1270706315.68,2479143945.32
2018-01-30,ITMG.JK,1525054531.52,4974492100.4,-3449437568.88
2018-01-31,ITMG.JK,2634685967.03,2113947231.89,520738735.14
2018-02-01,ITMG.JK,2509931151.1,1674791982.76,835139168.34
2018-02-02,ITMG.JK,2677278120.76,7636802488.08,-4959524367.31
2018-02-05,ITMG.JK,1005114288.84,1046246731.17,-41132442.34
2018-02-06,ITMG.JK,1875216438.04,3703141663.01,-1827925224.97
2018-02-07,ITMG.JK,676632688.89,868327536.35,-191694847.46
2018-02-08,ITMG.JK,1875806903.34,1495292032.22,380514871.12
2018-02-09,ITMG.JK,237977697.83,445304489.77,-207326791.94
2018-02-12,ITMG.JK,418720344.26,346473035.23,72247309.03
2018-02-13,ITMG.JK,2530300303.73,1718469800.93,811830502.81
2018-02-14,ITMG.JK,929040143.71,668929232.83,260110910.88
2018-02-15,ITMG.JK,2290774305.2,789753771.54,1501020533.66
2018-02-16,ITMG.JK,0.0,0.0,0.0
2018-02-19,ITMG.JK,1690933428.62,1613385661.95,77547766.67
2018-02-20,ITMG.JK,1825605016.95,1597832285.51,227772731.44
2018-02-21,ITMG.JK,1194065072.02,1647069288.37,-453004216.35
2018-02-22,ITMG.JK,3739216166.95,1187980274.3,2551235892.65
2018-02-23,ITMG.JK,3255726848.14,1017402230.68,2238324617.46
2018-02-26,ITMG.JK,1226235213.13,1679234730.77,-452999517.64
2018-02-27,ITMG.JK,1352600894.52,3077025046.4,-1724424151.88
2018-02-28,ITMG.JK,2872551908.86,2196204360.62,676347548.24
2018-03-01,ITMG.JK,363557033.53,597919505.55,-234362472.02
2018-03-02,ITMG.JK,936719236.15,3618998659.55,-2682279423.4
2018-03-05,ITMG.JK,1115123462.59,3894723884.96,-2779600422.36
2018-03-06,ITMG.JK,2045058736.11,2523391356.35,-478332620.24
2018-03-07,ITMG.JK,1932880331.28,3699978878.32,-1767098547.05
2018-03-08,ITMG.JK,7532671725.28,5187647790.24,2345023935.04
2018-03-09,ITMG.JK,1778699554.17,1136772981.52,641926572.66
2018-03-12,ITMG.JK,5762231616.82,753177998.28,5009053618.54
2018-03-13,ITMG.JK,815384387.55,1879889358.16,-1064504970.62
2018-03-14,ITMG.JK,816546138.99,4629530383.17,-3812984244.18
2018-03-15,ITMG.JK,653350500.06,1078126932.14,-424776432.08
2018-03-16,ITMG.JK,6957099490.03,763265838.56,6193833651.46
2018-03-19,ITMG.JK,680226842.32,1164489792.27,-484262949.95
2018-03-20,ITMG.JK,354549287.05,699590178.43,-345040891.38
2018-03-21,ITMG.JK,2123237745.2,606611770.8,1516625974.4
2018-03-22,ITMG.JK,2436342569.69,1456916994.98,979425574.71
2018-03-23,ITMG.JK,1956300529.34,1081485953.82,874814575.52
2018-03-26,ITMG.JK,1422938888.23,1042681664.88,380257223.35
2018-03-27,ITMG.JK,5460462673.71,3015968407.83,2444494265.88
2018-03-28,ITMG.JK,1204064474.59,4367578170.9,-3163513696.31
2018-03-29,ITMG.JK,1715499232.48,1368590029.55,346909202.93
2018-03-30,ITMG.JK,0.0,0.0,0.0
2018-04-02,ITMG.JK,1275756706.5,1188485590.62,87271115.88
2018-04-03,ITMG.JK,3140836034.28,2265014472.81,875821561.46
2018-04-04,ITMG.JK,731574793.86,1374424200.29,-642849406.43
2018-04-05,ITMG.JK,3224788979.83,943866491.18,2280922488.65
2018-04-06,ITMG.JK,1120971713.98,1107427798.98,13543915.0
2018-04-09,ITMG.JK,449831072.16,442433108.73,7397963.43
2018-04-10,ITMG.JK,1866582170.45,601710654.88,1264871515.57
2018-04-11,ITMG.JK,916101158.78,2723202799.18,-1807101640.4
2018-04-12,ITMG.JK,732853139.65,842537516.35,-109684376.69
2018-04-13,ITMG.JK,586786165.8,655624676.74,-68838510.94
2018-04-16,ITMG.JK,975976868.49,1121178260.29,-145201391.8
2018-04-17,ITMG.JK,1774841960.88,1623254663.34,151587297.53
2018-04-18,ITMG.JK,355252285.8,440050540.4,-84798254.6
2018-04-19,ITMG.JK,1276633556.47,457218255.83,819415300.65
2018-04-20,ITMG.JK,304382252.43,372787536.09,-68405283.66
2018-04-23,ITMG.JK,614579031.54,802518356.48,-187939324.95
2018-04-24,ITMG.JK,662786465.26,1828082868.67,-1165296403.41
2018-04-25,ITMG.JK,643188355.77,2543367289.5,-1900178933.73
2018-04-26,ITMG.JK,814369190.51,1860039962.68,-1045670772.18
2018-04-27,ITMG.JK,956111121.62,3675709625.98,-2719598504.36
2018-04-30,ITMG.JK,1924661770.88,1871323939.71,53337831.16
2018-05-01,ITMG.JK,0.0,0.0,0.0
2018-05-02,ITMG.JK,1313916346.25,915961250.65,397955095.6
2018-05-03,ITMG.JK,263217641.19,2635840814.79,-2372623173.6
2018-05-04,ITMG.JK,2065199898.03,1815175707.47,250024190.56
2018-05-07,ITMG.JK,1719104496.98,716409586.41,1002694910.57
2018-05-08,ITMG.JK,151268147.4,528625564.89,-377357417.48
2018-05-09,ITMG.JK,3004059747.69,1032814875.58,1971244872.1
2018-05-10,ITMG.JK,0.0,0.0,0.0
2018-05-11,ITMG.JK,5258028364.32,350231237.0,4907797127.32
2018-05-14,ITMG.JK,2493686586.82,1888107237.7,605579349.11
2018-05-15,ITMG.JK,1607567497.15,1008341124.07,599226373.07
2018-05-16,ITMG.JK,2019833529.9,765860694.82,1253972835.08
2018-05-17,ITMG.JK,856914154.58,2184177593.2,-1327263438.62
2018-05-18,ITMG.JK,825170770.2,1131863875.66,-306693105.46
2018-05-21,ITMG.JK,2907947086.19,1173248721.79,1734698364.4
2018-05-22,ITMG.JK,491760802.41,855948170.82,-364187368.41
2018-05-23,ITMG.JK,899725319.04,4313987184.86,-3414261865.82
2018-05-24,ITMG.JK,835599202.32,1400234384.31,-564635181.98
2018-05-25,ITMG.JK,1164278331.03,476895053.23,687383277.8
2018-05-28,ITMG.JK,369334473.53,261368287.16,107966186.36
2018-05-29,ITMG.JK,0.0,0.0,0.0
2018-05-30,ITMG.JK,3795382901.21,2147943727.15,1647439174.06
2018-05-31,ITMG.JK,908495826.73,1005558904.17,-97063077.44
2018-06-01,ITMG.JK,0.0,0.0,0.0
2018-06-04,ITMG.JK,2494657874.8,1107698253.16,1386959621.64
2018-06-05,ITMG.JK,2752359089.55,543069451.58,2209289637.97
2018-06-06,ITMG.JK,2019912992.08,3545253189.47,-1525340197.39
2018-06-07,ITMG.JK,1366364283.98,2761977113.78,-1395612829.8
2018-06-08,ITMG.JK,1094966477.34,1073256935.29,21709542.05
2018-06-11,ITMG.JK,0.0,0.0,0.0
2018-06-12,ITMG.JK,0.0,0.0,0.0
2018-06-13,ITMG.JK,0.0,0.0,0.0
2018-06-14,ITMG.JK,0.0,0.0,0.0
2018-06-15,ITMG.JK,0.0,0.0,0.0
2018-06-18,ITMG.JK,0.0,0.0,0.0
2018-06-19,ITMG.JK,0.0,0.0,0.0
2018-06-20,ITMG.JK,2041561945.17,8050160317.14,-6008598371.97
2018-06-21,ITMG.JK,1592837455.22,9071236323.39,-7478398868.17
2018-06-22,ITMG.JK,2039336734.21,4724324310.16,-2684987575.95
2018-06-25,ITMG.JK,1109310844.86,3083896639.3,-1974585794.43
2018-06-26,ITMG.JK,1016772159.11,1231023356.2,-214251197.09
2018-06-27,ITMG.JK,1543534583.82,3108351134.32,-1564816550.5
2018-06-28,ITMG.JK,2389365035.8,3254902375.36,-865537339.56
2018-06-29,ITMG.JK,1707543050.72,995897846.72,711645204.01
2018-07-02,ITMG.JK,1652356450.67,2488349909.92,-835993459.24
2018-07-03,ITMG.JK,942521142.31,2725141313.33,-1782620171.02
2018-07-04,ITMG.JK,3182959071.89,675241818.65,2507717253.23
2018-07-05,ITMG.JK,2127253446.53,558043938.57,1569209507.96
2018-07-06,ITMG.JK,6942146042.69,865336904.39,6076809138.3
2018-07-09,ITMG.JK,3295542801.24,2351002871.38,944539929.86
2018-07-10,ITMG.JK,887129667.37,572449323.27,314680344.1
2018-07-11,ITMG.JK,1082176428.03,743745014.63,338431413.4
2018-07-12,ITMG.JK,994169274.06,1693419233.84,-699249959.78
