date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,JPFA.JK,0.0,0.0,0.0
2018-01-02,JPFA.JK,1046763976.56,354482205.2,692281771.36
2018-01-03,JPFA.JK,2461216276.76,735375904.19,1725840372.57
2018-01-04,JPFA.JK,1672385624.42,1376302633.25,296082991.17
2018-01-05,JPFA.JK,365372280.28,440835533.36,-75463253.08
2018-01-08,JPFA.JK,327490046.21,997502505.55,-670012459.34
2018-01-09,JPFA.JK,619037893.44,720215446.96,-101177553.52
2018-01-10,JPFA.JK,1441283664.1,430919286.8,1010364377.3
2018-01-11,JPFA.JK,1144086753.07,2224791997.55,-1080705244.49
2018-01-12,JPFA.JK,220077671.65,176194798.81,43882872.83
2018-01-15,JPFA.JK,454424438.22,156306373.92,298118064.3
2018-01-16,JPFA.JK,240277009.47,293617787.03,-53340777.56
2018-01-17,JPFA.JK,252841186.26,201796747.32,51044438.93
2018-01-18,JPFA.JK,1313000891.69,636242410.68,676758481.01
2018-01-19,JPFA.JK,1516548956.94,673363577.91,843185379.04
2018-01-22,JPFA.JK,540946269.74,732144002.43,-191197732.69
2018-01-23,JPFA.JK,176167265.24,553541966.9,-377374701.66
2018-01-24,JPFA.JK,828258511.79,297626417.55,530632094.24
2018-01-25,JPFA.JK,504380686.41,713195553.04,-208814866.63
2018-01-26,JPFA.JK,165876273.5,196050504.94,-30174231.44
2018-01-29,JPFA.JK,599892103.22,262687768.28,337204334.94
2018-01-30,JPFA.JK,745315393.72,861166896.42,-115851502.7
2018-01-31,JPFA.JK,855826672.63,945896427.75,-90069755.12
2018-02-01,JPFA.JK,998296492.95,1153763717.22,-155467224.27
2018-02-02,JPFA.JK,2597059574.77,759206281.96,1837853292.81
2018-02-05,JPFA.JK,2290905901.96,1514572425.34,776333476.62
2018-02-06,JPFA.JK,1118884706.76,3365460274.88,-2246575568.13
2018-02-07,JPFA.JK,752626589.33,849023780.96,-96397191.62
2018-02-08,JPFA.JK,168757393.11,141392960.93,27364432.19
2018-02-09,JPFA.JK,144808368.03,379816593.72,-235008225.69
2018-02-12,JPFA.JK,2392028461.72,183689505.2,2208338956.52
2018-02-13,JPFA.JK,994339581.35,1318745734.43,-324406153.08
2018-02-14,JPFA.JK,370335361.0,403338677.02,-33003316.01
2018-02-15,JPFA.JK,383791018.3,350757321.39,33033696.91
2018-02-16,JPFA.JK,0.0,0.0,0.0
2018-02-19,JPFA.JK,685278444.16,560540753.34,124737690.82
2018-02-20,JPFA.JK,237328774.33,197677887.07,39650887.26
2018-02-21,JPFA.JK,331951752.86,1182524011.43,-850572258.57
2018-02-22,JPFA.JK,729556094.46,300456626.94,429099467.51
2018-02-23,JPFA.JK,328993028.36,275430489.98,53562538.38
2018-02-26,JPFA.JK,1840650443.42,1453049364.29,387601079.13
2018-02-27,JPFA.JK,1125646332.02,652657826.37,472988505.65
2018-02-28,JPFA.JK,436310508.64,365912637.6,70397871.04
2018-03-01,JPFA.JK,1561493928.83,2165814440.86,-604320512.04
2018-03-02,JPFA.JK,446620030.89,564657792.82,-118037761.93
2018-03-05,JPFA.JK,103930243.17,118250411.61,-14320168.44
2018-03-06,JPFA.JK,60334306.34,71886769.07,-11552462.73
2018-03-07,JPFA.JK,608908468.96,1693697521.59,-1084789052.63
2018-03-08,JPFA.JK,147044798.12,259779968.05,-112735169.92
2018-03-09,JPFA.JK,179363137.74,262302498.38,-82939360.63
2018-03-12,JPFA.JK,222371118.18,136344181.9,86026936.28
2018-03-13,JPFA.JK,206601218.26,155010771.32,51590446.94
2018-03-14,JPFA.JK,146579753.47,222243939.24,-75664185.78
2018-03-15,JPFA.JK,257631283.2,727873215.52,-470241932.32
2018-03-16,JPFA.JK,343142571.02,162200128.34,180942442.68
2018-03-19,JPFA.JK,104501286.26,98395606.67,6105679.59
2018-03-20,JPFA.JK,52249210.08,74647613.35,-22398403.27
2018-03-21,JPFA.JK,235072650.72,137959099.75,97113550.97
2018-03-22,JPFA.JK,159090143.51,181903365.59,-22813222.08
2018-03-23,JPFA.JK,127306859.92,309778234.19,-182471374.27
2018-03-26,JPFA.JK,324630550.67,412440226.16,-87809675.49
2018-03-27,JPFA.JK,416832920.52,432520350.57,-15687430.05
2018-03-28,JPFA.JK,91023727.42,84836123.16,6187604.27
2018-03-29,JPFA.JK,88245737.55,77129374.19,11116363.36
2018-03-30,JPFA.JK,0.0,0.0,0.0
2018-04-02,JPFA.JK,261944153.29,23464988.72,238479164.57
2018-04-03,JPFA.JK,311554254.76,522792394.73,-211238139.97
2018-04-04,JPFA.JK,91904555.57,124075639.21,-32171083.64
2018-04-05,JPFA.JK,804275766.11,443630050.96,360645715.15
2018-04-06,JPFA.JK,1025351004.64,634803415.35,390547589.29
2018-04-09,JPFA.JK,439903727.7,358864881.41,81038846.29
2018-04-10,JPFA.JK,1069901239.2,923493027.18,146408212.02
2018-04-11,JPFA.JK,139917366.32,199152719.85,-59235353.53
2018-04-12,JPFA.JK,287996415.81,331214910.93,-43218495.12
2018-04-13,JPFA.JK,220004421.27,233190024.4,-13185603.13
2018-04-16,JPFA.JK,0.0,0.0,0.0
2018-04-17,JPFA.JK,0.0,0.0,0.0
2018-04-18,JPFA.JK,868726029.11,628958020.83,239768008.28
2018-04-19,JPFA.JK,0.0,0.0,0.0
2018-04-20,JPFA.JK,0.0,0.0,0.0
2018-04-23,JPFA.JK,958007526.4,489301753.01,468705773.4
2018-04-24,JPFA.JK,76374568.17,233846672.2,-157472104.03
2018-04-25,JPFA.JK,0.0,0.0,0.0
2018-04-26,JPFA.JK,0.0,0.0,0.0
2018-04-27,JPFA.JK,0.0,0.0,0.0
2018-04-30,JPFA.JK,152513741.69,362322009.31,-209808267.62
2018-05-01,JPFA.JK,0.0,0.0,0.0
