date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,JSMR.JK,0.0,0.0,0.0
2018-01-02,JSMR.JK,1438929757.1,2758736184.63,-1319806427.53
2018-01-03,JSMR.JK,6752775471.38,4387145069.88,2365630401.5
2018-01-04,JSMR.JK,5094863170.09,6025665475.94,-930802305.85
2018-01-05,JSMR.JK,3656168179.47,1545796135.9,2110372043.57
2018-01-08,JSMR.JK,11702516534.97,7555890575.96,4146625959.01
2018-01-09,JSMR.JK,3390067260.7,7288259215.98,-3898191955.28
2018-01-10,JSMR.JK,5664207283.94,9528509981.6,-3864302697.65
2018-01-11,JSMR.JK,7131661740.42,11761039393.13,-4629377652.72
2018-01-12,JSMR.JK,12977903996.0,14221385666.16,-1243481670.15
2018-01-15,JSMR.JK,1625654294.77,1407850179.72,217804115.04
2018-01-16,JSMR.JK,1319879417.54,816306341.06,503573076.47
2018-01-17,JSMR.JK,4548292681.22,5927102403.24,-1378809722.03
2018-01-18,JSMR.JK,9614476679.6,9815109102.26,-200632422.66
2018-01-19,JSMR.JK,4849114421.4,5523895923.12,-674781501.73
2018-01-22,JSMR.JK,3816255100.35,8910723564.84,-5094468464.5
2018-01-23,JSMR.JK,5298684231.23,3674712340.83,1623971890.4
2018-01-24,JSMR.JK,2602092244.01,5068649140.0,-2466556895.99
2018-01-25,JSMR.JK,5497066770.25,22329555692.28,-16832488922.04
2018-01-26,JSMR.JK,15038567208.43,15243260095.3,-204692886.87
2018-01-29,JSMR.JK,12850076972.17,13685745125.57,-835668153.4
2018-01-30,JSMR.JK,8586537651.83,14952655455.63,-6366117803.8
2018-01-31,JSMR.JK,12539786575.31,7507966095.37,5031820479.94
2018-02-01,JSMR.JK,4894352363.99,8206930183.64,-3312577819.65
2018-02-02,JSMR.JK,2157155880.91,2226501418.9,-69345538.0
2018-02-05,JSMR.JK,1788513390.93,1691765003.94,96748386.99
2018-02-06,JSMR.JK,6657477562.89,6405402305.32,252075257.57
2018-02-07,JSMR.JK,1770474970.66,1142320890.82,628154079.84
2018-02-08,JSMR.JK,5827388240.06,3786135890.95,2041252349.12
2018-02-09,JSMR.JK,3137524759.6,4635486491.49,-1497961731.89
2018-02-12,JSMR.JK,2515181699.87,2701662672.64,-186480972.77
2018-02-13,JSMR.JK,6373273742.85,4614567588.19,1758706154.66
2018-02-14,JSMR.JK,13626626161.36,19082927387.74,-5456301226.38
2018-02-15,JSMR.JK,4418286059.19,6291406214.05,-1873120154.86
2018-02-16,JSMR.JK,0.0,0.0,0.0
2018-02-19,JSMR.JK,7148612967.22,6356858475.05,791754492.17
2018-02-20,JSMR.JK,3535996390.95,7201812064.75,-3665815673.79
2018-02-21,JSMR.JK,8892692149.24,7761524018.46,1131168130.77
2018-02-22,JSMR.JK,8137690581.85,9045236969.17,-907546387.32
2018-02-23,JSMR.JK,5213631670.73,9174081467.02,-3960449796.29
2018-02-26,JSMR.JK,1521869875.93,3612587517.84,-2090717641.91
2018-02-27,JSMR.JK,9511740054.5,13866618998.76,-4354878944.26
2018-02-28,JSMR.JK,5010822071.23,3188859107.51,1821962963.71
2018-03-01,JSMR.JK,10788643382.49,6893168688.88,3895474693.61
2018-03-02,JSMR.JK,7749079515.99,11149465505.94,-3400385989.95
2018-03-05,JSMR.JK,2872351653.92,2890825354.42,-18473700.5
2018-03-06,JSMR.JK,2929700622.29,2786484358.93,143216263.36
2018-03-07,JSMR.JK,5246905824.51,7286096291.81,-2039190467.3
2018-03-08,JSMR.JK,3461864940.15,3808181361.17,-346316421.02
2018-03-09,JSMR.JK,957074251.7,1221612606.29,-264538354.59
2018-03-12,JSMR.JK,1789624749.91,1355090233.63,434534516.28
2018-03-13,JSMR.JK,2796118337.54,3380683229.71,-584564892.17
2018-03-14,JSMR.JK,2997152141.38,7101689063.87,-4104536922.5
2018-03-15,JSMR.JK,3221176659.77,4801739524.74,-1580562864.96
2018-03-16,JSMR.JK,2140395148.08,3214524955.92,-1074129807.85
2018-03-19,JSMR.JK,2606670981.2,2463611578.89,143059402.31
2018-03-20,JSMR.JK,796312941.35,905522421.76,-109209480.41
2018-03-21,JSMR.JK,5499666558.19,1736159550.13,3763507008.05
2018-03-22,JSMR.JK,1416664173.43,3835082041.17,-2418417867.74
2018-03-23,JSMR.JK,2091966528.69,5178144388.76,-3086177860.07
2018-03-26,JSMR.JK,2912655072.42,6473346901.19,-3560691828.77
2018-03-27,JSMR.JK,4650617128.48,3566916384.26,1083700744.22
2018-03-28,JSMR.JK,1204814972.34,1297056488.5,-92241516.16
2018-03-29,JSMR.JK,2807695175.31,1438033014.04,1369662161.28
2018-03-30,JSMR.JK,0.0,0.0,0.0
2018-04-02,JSMR.JK,1502961812.33,1020952507.56,482009304.77
2018-04-03,JSMR.JK,1257351850.07,1198342230.39,59009619.68
2018-04-04,JSMR.JK,1515142367.95,3911016802.67,-2395874434.71
2018-04-05,JSMR.JK,1043097229.71,960456811.97,82640417.74
2018-04-06,JSMR.JK,782488750.18,797268379.0,-14779628.82
2018-04-09,JSMR.JK,1593084042.53,1775027755.76,-181943713.23
2018-04-10,JSMR.JK,10445160767.49,5654355264.91,4790805502.58
2018-04-11,JSMR.JK,4294577989.52,2540397904.96,1754180084.55
2018-04-12,JSMR.JK,2546603966.36,4974914374.74,-2428310408.38
2018-04-13,JSMR.JK,703685173.65,816925538.15,-113240364.51
2018-04-16,JSMR.JK,0.0,0.0,0.0
2018-04-17,JSMR.JK,0.0,0.0,0.0
2018-04-18,JSMR.JK,2767302567.19,2568316052.8,198986514.4
2018-04-19,JSMR.JK,0.0,0.0,0.0
2018-04-20,JSMR.JK,0.0,0.0,0.0
2018-04-23,JSMR.JK,1465730996.1,3323806380.15,-1858075384.05
2018-04-24,JSMR.JK,672866440.82,781065225.05,-108198784.23
2018-04-25,JSMR.JK,0.0,0.0,0.0
2018-04-26,JSMR.JK,0.0,0.0,0.0
2018-04-27,JSMR.JK,0.0,0.0,0.0
2018-04-30,JSMR.JK,2780524398.89,4280350526.49,-1499826127.59
2018-05-01,JSMR.JK,0.0,0.0,0.0
2018-05-02,JSMR.JK,1269037305.2,1572729807.31,-303692502.11
2018-05-03,JSMR.JK,1005768855.46,3342477179.82,-2336708324.36
2018-05-04,JSMR.JK,354527774.89,571163598.57,-216635823.67
2018-05-07,JSMR.JK,1761522322.89,1102153203.41,659369119.47
2018-05-08,JSMR.JK,1589351127.6,4661635213.81,-3072284086.21
2018-05-09,JSMR.JK,2421672414.78,1449477828.05,972194586.72
2018-05-10,JSMR.JK,0.0,0.0,0.0
2018-05-11,JSMR.JK,1744987903.62,1440970234.04,304017669.58
2018-05-14,JSMR.JK,1709552957.35,1771822646.51,-62269689.16
2018-05-15,JSMR.JK,748891277.8,968992983.91,-220101706.11
2018-05-16,JSMR.JK,859710842.77,1140509300.98,-280798458.21
2018-05-17,JSMR.JK,1278357990.97,1885559305.73,-607201314.77
2018-05-18,JSMR.JK,2526007422.15,3777041335.29,-1251033913.13
2018-05-21,JSMR.JK,1403289843.65,1264619232.42,138670611.23
2018-05-22,JSMR.JK,2384401804.89,1920821111.01,463580693.88
2018-05-23,JSMR.JK,4055260685.21,3203580792.98,851679892.23
2018-05-24,JSMR.JK,14149686022.5,2848610508.5,11301075514.0
2018-05-25,JSMR.JK,5174335414.49,4323353533.75,850981880.73
2018-05-28,JSMR.JK,2275461013.3,1335717908.81,939743104.49
2018-05-29,JSMR.JK,0.0,0.0,0.0
2018-05-30,JSMR.JK,2590559871.15,5565494315.57,-2974934444.41
2018-05-31,JSMR.JK,13105086411.31,4573445700.73,8531640710.58
2018-06-01,JSMR.JK,0.0,0.0,0.0
2018-06-04,JSMR.JK,14332072772.98,3890626594.94,10441446178.04
2018-06-05,JSMR.JK,9013422018.71,5891520548.85,3121901469.86
2018-06-06,JSMR.JK,2726873599.28,5811855746.55,-3084982147.27
2018-06-07,JSMR.JK,4697547898.54,2779977545.33,1917570353.21
2018-06-08,JSMR.JK,2900246130.6,3773179641.31,-872933510.71
2018-06-11,JSMR.JK,0.0,0.0,0.0
2018-06-12,JSMR.JK,0.0,0.0,0.0
2018-06-13,JSMR.JK,0.0,0.0,0.0
2018-06-14,JSMR.JK,0.0,0.0,0.0
2018-06-15,JSMR.JK,0.0,0.0,0.0
2018-06-18,JSMR.JK,0.0,0.0,0.0
2018-06-19,JSMR.JK,0.0,0.0,0.0
2018-06-20,JSMR.JK,4012572661.79,7793604598.88,-3781031937.1
2018-06-21,JSMR.JK,1322851973.24,2146909159.66,-824057186.42
2018-06-22,JSMR.JK,2205256242.02,6714623040.01,-4509366797.99
2018-06-25,JSMR.JK,1062040590.76,912756579.14,149284011.62
2018-06-26,JSMR.JK,684392193.49,1245026482.58,-560634289.09
2018-06-27,JSMR.JK,2862881381.28,2040833241.44,822048139.85
2018-06-28,JSMR.JK,2304166369.72,3245170939.82,-941004570.1
2018-06-29,JSMR.JK,2029697773.24,2641238729.35,-611540956.11
2018-07-02,JSMR.JK,1360352654.47,1313121611.85,47231042.62
2018-07-03,JSMR.JK,648167882.12,2151386334.82,-1503218452.71
