date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,KLBF.JK,0.0,0.0,0.0
2018-01-02,KLBF.JK,6180091968.01,2915037638.62,3265054329.39
2018-01-03,KLBF.JK,1162981350.83,2084077110.35,-921095759.51
2018-01-04,KLBF.JK,2517519469.71,1062127521.8,1455391947.91
2018-01-05,KLBF.JK,5388502845.95,2845717814.86,2542785031.1
2018-01-08,KLBF.JK,3920478629.97,2103103101.01,1817375528.97
2018-01-09,KLBF.JK,4991526867.14,4612572584.79,378954282.36
2018-01-10,KLBF.JK,1450068973.92,3650647319.08,-2200578345.16
2018-01-11,KLBF.JK,2155161762.55,2103056125.58,52105636.97
2018-01-12,KLBF.JK,2115147204.48,5612129988.15,-3496982783.67
2018-01-15,KLBF.JK,2863017606.22,3700407245.81,-837389639.59
2018-01-16,KLBF.JK,4254921892.04,1293676177.96,2961245714.08
2018-01-17,KLBF.JK,2310184236.01,3261924569.67,-951740333.66
2018-01-18,KLBF.JK,2772327028.15,2661286291.76,111040736.39
2018-01-19,KLBF.JK,5006257139.48,9677950780.98,-4671693641.5
2018-01-22,KLBF.JK,1069004717.53,1433429293.64,-364424576.11
2018-01-23,KLBF.JK,5980032327.1,2422527178.54,3557505148.56
2018-01-24,KLBF.JK,5787770659.31,7274375246.15,-1486604586.84
2018-01-25,KLBF.JK,7691376295.17,7566744080.39,124632214.78
2018-01-26,KLBF.JK,5911695300.11,11216880714.14,-5305185414.03
2018-01-29,KLBF.JK,10997888505.89,10675073102.47,322815403.42
2018-01-30,KLBF.JK,3292680050.55,6265628169.54,-2972948118.99
2018-01-31,KLBF.JK,7850029985.73,8751864765.17,-901834779.44
2018-02-01,KLBF.JK,5964378709.77,3589617254.78,2374761454.98
2018-02-02,KLBF.JK,3366126367.4,4915936012.69,-1549809645.29
2018-02-05,KLBF.JK,3374444801.78,3467808754.79,-93363953.01
2018-02-06,KLBF.JK,6865663810.93,9323047021.11,-2457383210.18
2018-02-07,KLBF.JK,4059538853.68,1854820800.25,2204718053.42
2018-02-08,KLBF.JK,2658653086.26,3151054096.34,-492401010.08
2018-02-09,KLBF.JK,934270732.71,1582808550.66,-648537817.96
2018-02-12,KLBF.JK,1843930644.34,2224677640.13,-380746995.78
2018-02-13,KLBF.JK,3383223940.69,3958651226.76,-575427286.07
2018-02-14,KLBF.JK,5221028180.69,4670760888.69,550267291.99
2018-02-15,KLBF.JK,13071147200.64,16897924999.37,-3826777798.73
2018-02-16,KLBF.JK,0.0,0.0,0.0
2018-02-19,KLBF.JK,2767890020.95,1309015423.02,1458874597.93
2018-02-20,KLBF.JK,2547513069.0,2816777927.82,-269264858.81
2018-02-21,KLBF.JK,8122778375.04,5317072988.78,2805705386.26
2018-02-22,KLBF.JK,3298517308.89,4803726681.37,-1505209372.48
2018-02-23,KLBF.JK,6752953131.39,8040102481.19,-1287149349.8
2018-02-26,KLBF.JK,1327220461.96,1147117056.0,180103405.96
2018-02-27,KLBF.JK,4315542271.06,3862009980.26,453532290.8
2018-02-28,KLBF.JK,6157354245.87,7759352250.75,-1601998004.88
