date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,LPKR.JK,0.0,0.0,0.0
2018-01-02,LPKR.JK,849354451.17,1109736400.07,-260381948.9
2018-01-03,LPKR.JK,1063789319.42,1097599501.78,-33810182.36
2018-01-04,LPKR.JK,1297436507.65,777885420.76,519551086.89
2018-01-05,LPKR.JK,837907574.07,764310452.4,73597121.67
2018-01-08,LPKR.JK,1104893101.23,658650562.47,446242538.76
2018-01-09,LPKR.JK,2385484923.83,2082069357.96,303415565.87
2018-01-10,LPKR.JK,954701974.72,946660025.91,8041948.81
2018-01-11,LPKR.JK,1462493200.5,2756128445.78,-1293635245.28
2018-01-12,LPKR.JK,612469176.29,771380909.61,-158911733.32
2018-01-15,LPKR.JK,948314344.68,799930854.46,148383490.22
2018-01-16,LPKR.JK,545239236.96,460283904.88,84955332.08
2018-01-17,LPKR.JK,9597381371.98,3149488982.79,6447892389.18
2018-01-18,LPKR.JK,2364216378.98,1357979779.17,1006236599.81
2018-01-19,LPKR.JK,910929114.36,1120764170.22,-209835055.86
2018-01-22,LPKR.JK,952565879.73,1495203852.45,-542637972.72
2018-01-23,LPKR.JK,1983998377.31,1319340929.83,664657447.48
2018-01-24,LPKR.JK,1467132710.27,1038572238.1,428560472.17
2018-01-25,LPKR.JK,973901868.83,2032034408.45,-1058132539.62
2018-01-26,LPKR.JK,13331346912.05,749969123.9,12581377788.15
2018-01-29,LPKR.JK,23442307228.32,3627304185.72,19815003042.6
2018-01-30,LPKR.JK,739819625.23,2308667917.72,-1568848292.49
2018-01-31,LPKR.JK,3434202029.78,3849425286.51,-415223256.72
2018-02-01,LPKR.JK,932561608.69,548428238.21,384133370.47
2018-02-02,LPKR.JK,581090867.3,966703821.51,-385612954.21
2018-02-05,LPKR.JK,952813080.65,2176821694.53,-1224008613.88
2018-02-06,LPKR.JK,592783370.39,4574505754.49,-3981722384.1
2018-02-07,LPKR.JK,2933486170.45,2285891277.68,647594892.78
