date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,LPPF.JK,0.0,0.0,0.0
2018-01-02,LPPF.JK,1460954293.34,226544018.34,1234410274.99
2018-01-03,LPPF.JK,1144982477.05,527380495.2,617601981.85
2018-01-04,LPPF.JK,2131161011.36,1604495162.08,526665849.28
2018-01-05,LPPF.JK,1756714859.62,409734303.43,1346980556.19
2018-01-08,LPPF.JK,1774598613.12,3583821098.48,-1809222485.36
2018-01-09,LPPF.JK,1585764476.63,2705992751.91,-1120228275.28
2018-01-10,LPPF.JK,1130249901.29,987493131.35,142756769.95
2018-01-11,LPPF.JK,3444384174.14,1151000060.77,2293384113.37
2018-01-12,LPPF.JK,941204004.08,6534374062.67,-5593170058.59
2018-01-15,LPPF.JK,982656482.23,663820031.31,318836450.93
2018-01-16,LPPF.JK,2264161415.03,5240471612.28,-2976310197.26
2018-01-17,LPPF.JK,3255692228.47,2078877415.91,1176814812.57
2018-01-18,LPPF.JK,4052996230.06,4575281197.87,-522284967.81
2018-01-19,LPPF.JK,4529494892.24,1745690544.23,2783804348.0
2018-01-22,LPPF.JK,1696638961.87,4450358966.61,-2753720004.74
2018-01-23,LPPF.JK,6966930700.48,1548176737.73,5418753962.75
2018-01-24,LPPF.JK,1892826362.08,1450188649.2,442637712.88
2018-01-25,LPPF.JK,3766450927.46,3690228511.52,76222415.94
2018-01-26,LPPF.JK,1399608922.13,1308816107.12,90792815.01
2018-01-29,LPPF.JK,1268721948.33,1876800225.04,-608078276.71
2018-01-30,LPPF.JK,5342028371.2,7062132383.83,-1720104012.63
2018-01-31,LPPF.JK,2261763913.85,1512246257.86,749517655.99
2018-02-01,LPPF.JK,1426227542.37,980299705.6,445927836.77
2018-02-02,LPPF.JK,980129742.41,2908070454.49,-1927940712.08
2018-02-05,LPPF.JK,1073521320.61,2292407769.28,-1218886448.67
2018-02-06,LPPF.JK,1141211653.82,4921060518.53,-3779848864.7
2018-02-07,LPPF.JK,3598670431.83,833910035.22,2764760396.61
2018-02-08,LPPF.JK,969615163.36,700577098.99,269038064.37
2018-02-09,LPPF.JK,295854521.15,849924260.82,-554069739.67
2018-02-12,LPPF.JK,1052909770.33,813869411.94,239040358.39
2018-02-13,LPPF.JK,1332424767.45,284705400.23,1047719367.23
2018-02-14,LPPF.JK,691579993.69,1523915459.94,-832335466.24
2018-02-15,LPPF.JK,395853468.52,199135091.04,196718377.49
2018-02-16,LPPF.JK,0.0,0.0,0.0
2018-02-19,LPPF.JK,2162925514.0,380256793.76,1782668720.24
2018-02-20,LPPF.JK,1806141320.26,2011160984.34,-205019664.08
2018-02-21,LPPF.JK,405774616.99,2019963977.7,-1614189360.7
2018-02-22,LPPF.JK,760075475.68,2133065785.06,-1372990309.38
2018-02-23,LPPF.JK,1955668857.58,3020278702.76,-1064609845.18
2018-02-26,LPPF.JK,1541526406.86,2329047184.77,-787520777.92
2018-02-27,LPPF.JK,1338278996.35,10113407106.69,-8775128110.33
2018-02-28,LPPF.JK,21936955402.15,221575797.74,21715379604.41
2018-03-01,LPPF.JK,6965133548.05,1357844830.17,5607288717.88
2018-03-02,LPPF.JK,449912932.86,1451173911.16,-1001260978.3
2018-03-05,LPPF.JK,2641584630.74,1276642277.37,1364942353.37
2018-03-06,LPPF.JK,2318962666.65,1774499071.28,544463595.36
2018-03-07,LPPF.JK,1924564109.99,4683107408.04,-2758543298.04
2018-03-08,LPPF.JK,2106872253.08,4346934341.21,-2240062088.13
2018-03-09,LPPF.JK,1936960262.66,335077684.19,1601882578.47
2018-03-12,LPPF.JK,6017685755.93,1301613091.69,4716072664.24
2018-03-13,LPPF.JK,1837071603.53,1516687257.62,320384345.91
2018-03-14,LPPF.JK,1481550061.53,4149731302.12,-2668181240.59
2018-03-15,LPPF.JK,3987389012.36,1987725429.96,1999663582.4
2018-03-16,LPPF.JK,3652098754.46,3834658516.59,-182559762.14
2018-03-19,LPPF.JK,1788771299.59,1593224274.77,195547024.82
2018-03-20,LPPF.JK,2164139131.66,3103243325.63,-939104193.97
2018-03-21,LPPF.JK,2176064051.1,3173802554.56,-997738503.46
2018-03-22,LPPF.JK,1617403975.94,1954867849.62,-337463873.69
2018-03-23,LPPF.JK,1127428516.92,3243455722.95,-2116027206.03
2018-03-26,LPPF.JK,2884505169.06,2340273341.96,544231827.1
2018-03-27,LPPF.JK,3094111231.31,3165905493.96,-71794262.65
2018-03-28,LPPF.JK,1716434922.39,4284355882.7,-2567920960.31
2018-03-29,LPPF.JK,4787106297.95,1740877176.27,3046229121.68
2018-03-30,LPPF.JK,0.0,0.0,0.0
2018-04-02,LPPF.JK,746605876.54,2122212012.67,-1375606136.14
2018-04-03,LPPF.JK,3117126762.29,1261893919.56,1855232842.73
2018-04-04,LPPF.JK,1241656973.33,1172228193.78,69428779.55
2018-04-05,LPPF.JK,3366479812.01,2614760900.38,751718911.63
2018-04-06,LPPF.JK,1320955163.93,1397609352.19,-76654188.26
2018-04-09,LPPF.JK,2472441892.31,2186236239.26,286205653.05
2018-04-10,LPPF.JK,1525286206.02,2273195978.68,-747909772.66
2018-04-11,LPPF.JK,2187267684.91,3015832721.09,-828565036.18
2018-04-12,LPPF.JK,2300076437.22,3086617146.19,-786540708.97
2018-04-13,LPPF.JK,2063209219.72,3142784792.17,-1079575572.45
2018-04-16,LPPF.JK,0.0,0.0,0.0
2018-04-17,LPPF.JK,0.0,0.0,0.0
2018-04-18,LPPF.JK,1427792682.0,2740680544.11,-1312887862.11
2018-04-19,LPPF.JK,0.0,0.0,0.0
2018-04-20,LPPF.JK,0.0,0.0,0.0
