date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,MAPI.JK,0.0,0.0,0.0
2018-01-02,MAPI.JK,645359340.64,365496080.04,279863260.6
2018-01-03,MAPI.JK,1593734694.96,1775290467.98,-181555773.02
2018-01-04,MAPI.JK,2580205348.19,1851338648.84,728866699.35
2018-01-05,MAPI.JK,737076338.43,1109619410.97,-372543072.54
2018-01-08,MAPI.JK,1474033602.36,824274233.9,649759368.46
2018-01-09,MAPI.JK,3266301017.03,2427271115.2,839029901.83
2018-01-10,MAPI.JK,552154210.08,958226112.99,-406071902.91
2018-01-11,MAPI.JK,1291943608.09,830182894.85,461760713.24
2018-01-12,MAPI.JK,6081459431.15,2358071376.25,3723388054.9
2018-01-15,MAPI.JK,2445320277.96,2368665875.85,76654402.12
2018-01-16,MAPI.JK,1764460829.73,1886031373.84,-121570544.11
2018-01-17,MAPI.JK,1349294191.36,957655236.1,391638955.26
2018-01-18,MAPI.JK,6964719434.21,1921573772.53,5043145661.67
2018-01-19,MAPI.JK,1083351502.1,1798103318.82,-714751816.72
2018-01-22,MAPI.JK,1631986491.95,698375118.92,933611373.04
2018-01-23,MAPI.JK,900574701.45,712973033.94,187601667.51
2018-01-24,MAPI.JK,2163166567.67,780970469.45,1382196098.22
2018-01-25,MAPI.JK,1532360004.76,2020115012.83,-487755008.07
2018-01-26,MAPI.JK,1553634943.12,2287037583.94,-733402640.82
2018-01-29,MAPI.JK,3538456498.75,687430284.15,2851026214.6
2018-01-30,MAPI.JK,3823693961.9,3153415564.5,670278397.4
2018-01-31,MAPI.JK,645344710.49,2110022224.3,-1464677513.8
2018-02-01,MAPI.JK,1209199631.04,2362859336.92,-1153659705.87
2018-02-02,MAPI.JK,1637802050.54,852387677.48,785414373.06
2018-02-05,MAPI.JK,1526236738.31,2805753658.27,-1279516919.96
2018-02-06,MAPI.JK,1110384716.72,1252559744.06,-142175027.34
2018-02-07,MAPI.JK,4733032371.34,2213929446.0,2519102925.34
2018-02-08,MAPI.JK,3670806663.56,2433610674.72,1237195988.83
2018-02-09,MAPI.JK,957874793.12,1723312226.04,-765437432.92
2018-02-12,MAPI.JK,769336376.32,855994492.1,-86658115.79
2018-02-13,MAPI.JK,1376741196.57,1656124515.15,-279383318.58
2018-02-14,MAPI.JK,2847877109.98,2753194889.15,94682220.83
2018-02-15,MAPI.JK,266974384.57,231799448.53,35174936.04
2018-02-16,MAPI.JK,0.0,0.0,0.0
2018-02-19,MAPI.JK,606396985.1,328974911.72,277422073.38
2018-02-20,MAPI.JK,855801720.0,1187042843.22,-331241123.22
2018-02-21,MAPI.JK,1946135198.01,683640214.21,1262494983.8
2018-02-22,MAPI.JK,319017679.19,271687118.38,47330560.81
2018-02-23,MAPI.JK,209398559.11,145025689.86,64372869.26
2018-02-26,MAPI.JK,479439508.52,599597781.82,-120158273.3
2018-02-27,MAPI.JK,101831180.06,80157336.34,21673843.72
2018-02-28,MAPI.JK,877403058.19,663616238.98,213786819.21
2018-03-01,MAPI.JK,477066020.83,1119673397.95,-642607377.12
2018-03-02,MAPI.JK,593415123.39,825839053.52,-232423930.13
2018-03-05,MAPI.JK,608140664.08,876740329.42,-268599665.34
2018-03-06,MAPI.JK,453328102.49,315519540.79,137808561.7
2018-03-07,MAPI.JK,469926603.4,630345060.55,-160418457.15
2018-03-08,MAPI.JK,965894462.14,509915919.93,455978542.21
2018-03-09,MAPI.JK,1107740459.08,755583027.6,352157431.48
2018-03-12,MAPI.JK,2090639352.45,775893732.9,1314745619.56
2018-03-13,MAPI.JK,1061963619.99,1321958388.22,-259994768.23
2018-03-14,MAPI.JK,284233234.76,249261996.6,34971238.17
2018-03-15,MAPI.JK,180025347.84,508070307.39,-328044959.56
2018-03-16,MAPI.JK,3508758878.96,3559499176.06,-50740297.1
2018-03-19,MAPI.JK,1356955260.49,1633867098.85,-276911838.36
2018-03-20,MAPI.JK,1228903176.12,400900932.9,828002243.23
2018-03-21,MAPI.JK,3939790595.27,2207221463.02,1732569132.26
2018-03-22,MAPI.JK,509440111.49,1567997153.49,-1058557042.01
2018-03-23,MAPI.JK,972442510.42,808410783.61,164031726.81
2018-03-26,MAPI.JK,3021773057.5,1175058809.13,1846714248.37
2018-03-27,MAPI.JK,490073299.32,1781155091.92,-1291081792.6
2018-03-28,MAPI.JK,911495688.55,441219349.93,470276338.63
2018-03-29,MAPI.JK,937040480.4,794919988.06,142120492.34
2018-03-30,MAPI.JK,0.0,0.0,0.0
2018-04-02,MAPI.JK,3703292514.4,1510652255.1,2192640259.3
2018-04-03,MAPI.JK,1286547431.3,716011759.78,570535671.52
2018-04-04,MAPI.JK,140450335.88,173878385.65,-33428049.76
2018-04-05,MAPI.JK,107715700.3,182633917.24,-74918216.94
2018-04-06,MAPI.JK,102211687.99,902667431.43,-800455743.45
2018-04-09,MAPI.JK,805622360.48,118027354.51,687595005.97
2018-04-10,MAPI.JK,759655544.03,1046986420.89,-287330876.87
2018-04-11,MAPI.JK,1786436292.28,443089003.44,1343347288.84
2018-04-12,MAPI.JK,460074607.43,721937213.23,-261862605.8
2018-04-13,MAPI.JK,879887680.37,395426254.28,484461426.1
2018-04-16,MAPI.JK,0.0,0.0,0.0
2018-04-17,MAPI.JK,0.0,0.0,0.0
2018-04-18,MAPI.JK,952607860.9,1623895478.98,-671287618.08
2018-04-19,MAPI.JK,0.0,0.0,0.0
2018-04-20,MAPI.JK,0.0,0.0,0.0
2018-04-23,MAPI.JK,312501682.54,301041015.16,11460667.37
2018-04-24,MAPI.JK,678536259.93,602224680.56,76311579.36
2018-04-25,MAPI.JK,0.0,0.0,0.0
2018-04-26,MAPI.JK,0.0,0.0,0.0
2018-04-27,MAPI.JK,0.0,0.0,0.0
2018-04-30,MAPI.JK,2971121331.58,2777791978.28,193329353.3
2018-05-01,MAPI.JK,0.0,0.0,0.0
2018-05-02,MAPI.JK,0.0,473558192.59,-473558192.59
2018-05-03,MAPI.JK,3049236003.54,17529066.99,3031706936.55
2018-05-04,MAPI.JK,0.0,388145891.26,-388145891.26
2018-05-07,MAPI.JK,3160638442.88,104209420.0,3056429022.87
2018-05-08,MAPI.JK,1785354371.76,4637446185.21,-2852091813.46
2018-05-09,MAPI.JK,2434759164.98,1774162165.72,660596999.27
2018-05-10,MAPI.JK,0.0,0.0,0.0
2018-05-11,MAPI.JK,5570722577.46,1234585104.16,4336137473.3
2018-05-14,MAPI.JK,0.0,52015968.22,-52015968.22
2018-05-15,MAPI.JK,2113087230.25,0.0,2113087230.25
2018-05-16,MAPI.JK,2866055188.12,1629995159.13,1236060028.99
2018-05-17,MAPI.JK,1947866954.73,1838366969.55,109499985.18
2018-05-18,MAPI.JK,632340175.47,711327988.54,-78987813.07
2018-05-21,MAPI.JK,471115387.0,843366340.43,-372250953.43
2018-05-22,MAPI.JK,765401061.24,1695043331.87,-929642270.63
2018-05-23,MAPI.JK,1541052559.51,1444543235.97,96509323.54
2018-05-24,MAPI.JK,549556559.38,283630650.29,265925909.09
2018-05-25,MAPI.JK,1347248282.33,885406062.3,461842220.02
2018-05-28,MAPI.JK,1048012496.47,581563195.99,466449300.48
2018-05-29,MAPI.JK,0.0,0.0,0.0
2018-05-30,MAPI.JK,2715627435.27,2078886192.56,636741242.71
2018-05-31,MAPI.JK,2692997230.35,5087340927.92,-2394343697.57
2018-06-01,MAPI.JK,0.0,0.0,0.0
2018-06-04,MAPI.JK,774791046.95,1272441377.56,-497650330.61
2018-06-05,MAPI.JK,1563631899.93,1962632551.83,-399000651.9
2018-06-06,MAPI.JK,1049289200.02,579156696.34,470132503.68
2018-06-07,MAPI.JK,5501398567.37,343941262.26,5157457305.11
2018-06-08,MAPI.JK,2592789735.39,4790352965.13,-2197563229.74
2018-06-11,MAPI.JK,0.0,0.0,0.0
2018-06-12,MAPI.JK,0.0,0.0,0.0
2018-06-13,MAPI.JK,0.0,0.0,0.0
2018-06-14,MAPI.JK,0.0,0.0,0.0
2018-06-15,MAPI.JK,0.0,0.0,0.0
2018-06-18,MAPI.JK,0.0,0.0,0.0
2018-06-19,MAPI.JK,0.0,0.0,0.0
2018-06-20,MAPI.JK,1133280659.24,3046957959.8,-1913677300.56
2018-06-21,MAPI.JK,1153155319.49,999942587.55,153212731.94
2018-06-22,MAPI.JK,411199323.71,712155056.35,-300955732.64
2018-06-25,MAPI.JK,1618427433.14,871121902.03,747305531.11
2018-06-26,MAPI.JK,546431807.83,524412892.48,22018915.35
2018-06-27,MAPI.JK,605199782.04,516917790.18,88281991.86
2018-06-28,MAPI.JK,866135551.34,1250325653.57,-384190102.22
2018-06-29,MAPI.JK,2330358896.78,374472155.94,1955886740.84
2018-07-02,MAPI.JK,230588866.84,1688042219.17,-1457453352.33
2018-07-03,MAPI.JK,449145943.63,2337158939.92,-1888012996.29
2018-07-04,MAPI.JK,1316037590.82,560294636.24,755742954.58
2018-07-05,MAPI.JK,609463618.37,588059070.09,21404548.28
2018-07-06,MAPI.JK,900749874.74,819730147.33,81019727.41
2018-07-09,MAPI.JK,1095552442.46,1212371517.11,-116819074.64
2018-07-10,MAPI.JK,760984311.11,1237085484.23,-476101173.12
2018-07-11,MAPI.JK,1088531709.65,2059156267.21,-970624557.56
2018-07-12,MAPI.JK,1549759222.88,1919342936.64,-369583713.75
2018-07-13,MAPI.JK,1170827747.14,790316174.25,380511572.89
2018-07-16,MAPI.JK,255153358.19,487016370.22,-231863012.03
2018-07-17,MAPI.JK,609162876.26,2232821207.83,-1623658331.57
