date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2023-04-18,MBMA.JK,201367878779.54,192760447649.06,8607431130.48
2023-04-26,MBMA.JK,4481128884.72,41520257165.52,-37039128280.8
2023-04-27,MBMA.JK,39832804625.81,49656653744.8,-9823849118.99
2023-04-28,MBMA.JK,16489109072.54,11279949206.0,5209159866.53
2023-05-02,MBMA.JK,11888096922.69,32563696574.8,-20675599652.11
2023-05-03,MBMA.JK,14876703727.2,24368709226.23,-9492005499.03
2023-05-04,MBMA.JK,7778940889.03,5991979310.96,1786961578.08
2023-05-05,MBMA.JK,15065628871.6,22859177934.49,-7793549062.88
2023-05-08,MBMA.JK,8247392660.86,6575901431.49,1671491229.37
2023-05-09,MBMA.JK,8961860404.89,12411326083.9,-3449465679.0
2023-05-10,MBMA.JK,5242925565.47,8093690332.0,-2850764766.52
2023-05-11,MBMA.JK,9399644922.31,12626103321.17,-3226458398.86
2023-05-12,MBMA.JK,6690501554.26,5784623862.24,905877692.02
2023-05-15,MBMA.JK,2188675430.66,895174018.38,1293501412.27
2023-05-16,MBMA.JK,2022015369.98,4159311474.93,-2137296104.94
2023-05-17,MBMA.JK,1616999493.87,1069419205.21,547580288.66
2023-05-19,MBMA.JK,1284934463.73,3520401212.71,-2235466748.98
2023-05-22,MBMA.JK,3782605676.78,6500606255.09,-2718000578.31
2023-05-23,MBMA.JK,3617934869.57,1135448870.56,2482485999.02
2023-05-24,MBMA.JK,1931396581.93,2887631990.79,-956235408.86
2023-05-25,MBMA.JK,2283947151.64,1236206439.61,1047740712.03
2023-05-26,MBMA.JK,2565617783.78,2777860239.76,-212242455.98
2023-05-29,MBMA.JK,2777345465.56,3868944918.19,-1091599452.63
2023-05-30,MBMA.JK,993891772.32,1050723910.4,-56832138.08
2023-05-31,MBMA.JK,987529137.51,1290345742.44,-302816604.92
2023-06-05,MBMA.JK,7841696523.78,1811779123.75,6029917400.04
2023-06-06,MBMA.JK,3612566830.51,6010538288.46,-2397971457.95
2023-06-07,MBMA.JK,1319658986.73,1402339957.72,-82680970.99
2023-06-08,MBMA.JK,2172748910.89,1892401835.44,280347075.45
2023-06-09,MBMA.JK,4084094319.06,4060103297.21,23991021.85
2023-06-12,MBMA.JK,1316131102.94,2261753858.95,-945622756.02
2023-06-13,MBMA.JK,4154623042.48,4858285944.55,-703662902.07
2023-06-14,MBMA.JK,5753594796.77,1877558739.84,3876036056.92
2023-06-15,MBMA.JK,9055570299.8,3494060439.18,5561509860.62
2023-06-16,MBMA.JK,4531107062.49,4226950167.65,304156894.84
2023-06-19,MBMA.JK,2355842610.24,2238212407.77,117630202.47
2023-06-20,MBMA.JK,1079787408.1,1130482845.05,-50695436.95
2023-06-21,MBMA.JK,2470090630.66,2585819896.59,-115729265.93
2023-06-22,MBMA.JK,982374159.38,1048226046.02,-65851886.64
2023-06-23,MBMA.JK,5397365085.95,3975277409.61,1422087676.35
2023-06-26,MBMA.JK,516423509.79,855320466.96,-338896957.17
2023-06-27,MBMA.JK,5298126639.69,6171542300.78,-873415661.09
2023-07-03,MBMA.JK,840817360.47,1105931752.47,-265114392.0
2023-07-04,MBMA.JK,875946538.15,1452812566.57,-576866028.42
2023-07-05,MBMA.JK,924026064.16,711348997.68,212677066.49
2023-07-06,MBMA.JK,6214306956.21,7638570427.24,-1424263471.03
2023-07-07,MBMA.JK,1566038878.0,2238099277.9,-672060399.9
2023-07-10,MBMA.JK,1085833787.48,1698029933.48,-612196146.0
2023-07-11,MBMA.JK,3203916631.93,3904834435.51,-700917803.58
2023-07-12,MBMA.JK,2384892634.07,4573152796.31,-2188260162.24
2023-07-13,MBMA.JK,7936695374.1,4863997390.22,3072697983.88
2023-07-14,MBMA.JK,3167821752.79,5126147206.98,-1958325454.19
2023-07-17,MBMA.JK,2778736495.96,2480880654.22,297855841.74
2023-07-18,MBMA.JK,3154512531.74,3465278939.29,-310766407.56
2023-07-20,MBMA.JK,1306316281.13,1476867249.03,-170550967.9
2023-07-21,MBMA.JK,1753652683.71,1599775351.52,153877332.19
2023-07-24,MBMA.JK,2119566254.81,2891113264.56,-771547009.75
2023-07-25,MBMA.JK,1771888710.58,2406796465.02,-634907754.44
2023-07-26,MBMA.JK,5280056863.75,6641135640.33,-1361078776.58
2023-07-27,MBMA.JK,2686150183.55,3848965532.08,-1162815348.53
2023-07-28,MBMA.JK,3476982023.19,1895148125.27,1581833897.92
2023-07-31,MBMA.JK,1103836345.52,858440724.43,245395621.09
2023-08-01,MBMA.JK,1090144379.36,946209321.39,143935057.97
2023-08-02,MBMA.JK,1651078133.86,3829560167.21,-2178482033.35
2023-08-03,MBMA.JK,1973006099.22,1261390148.62,711615950.6
2023-08-04,MBMA.JK,836772712.56,537437270.13,299335442.43
2023-08-07,MBMA.JK,862572449.72,925122943.06,-62550493.34
2023-08-08,MBMA.JK,2984617188.02,2374750424.28,609866763.74
2023-08-09,MBMA.JK,939195082.08,1119952891.43,-180757809.35
2023-08-10,MBMA.JK,1304503547.26,1952518232.04,-648014684.77
2023-08-11,MBMA.JK,190028566.62,216315159.21,-26286592.59
2023-08-14,MBMA.JK,285012994.0,466803295.02,-181790301.02
2023-08-15,MBMA.JK,1772915834.5,1802212239.34,-29296404.84
2023-08-16,MBMA.JK,490655327.1,528275978.63,-37620651.54
2023-08-18,MBMA.JK,802969058.89,850284622.72,-47315563.83
2023-08-21,MBMA.JK,838955998.44,1234637610.88,-395681612.44
2023-08-22,MBMA.JK,2171275157.16,1597712220.32,573562936.84
2023-08-23,MBMA.JK,44496270785.43,2363292859.88,42132977925.55
2023-08-24,MBMA.JK,9381897572.96,18402535644.62,-9020638071.66
2023-08-25,MBMA.JK,2421357251.67,8097618203.35,-5676260951.68
2023-08-28,MBMA.JK,17122232332.36,1743522241.84,15378710090.52
2023-08-29,MBMA.JK,4996743985.48,14618090765.43,-9621346779.95
2023-08-30,MBMA.JK,32176647207.18,5121707028.84,27054940178.35
2023-08-31,MBMA.JK,11921426314.13,11946696958.83,-25270644.69
2023-09-01,MBMA.JK,3922048191.4,4104846882.88,-182798691.47
2023-09-04,MBMA.JK,78533930825.52,11069931036.56,67463999788.96
2023-09-05,MBMA.JK,10078915596.66,16649004683.79,-6570089087.13
2023-09-06,MBMA.JK,29593526681.12,7047655125.7,22545871555.43
2023-09-07,MBMA.JK,11201393608.7,30994907066.51,-19793513457.81
2023-09-08,MBMA.JK,3038044734.61,10686535689.77,-7648490955.16
2023-09-11,MBMA.JK,11243596552.93,9515956138.44,1727640414.49
2023-09-12,MBMA.JK,4161620791.6,3029283521.08,1132337270.51
2023-09-13,MBMA.JK,3269253683.27,4145136339.18,-875882655.91
2023-09-14,MBMA.JK,20093111271.87,12363018081.09,7730093190.78
2023-09-15,MBMA.JK,12244467975.44,11946163873.6,298304101.84
2023-09-18,MBMA.JK,42192853991.06,15483628224.06,26709225766.99
2023-09-19,MBMA.JK,62216468930.57,33093092677.01,29123376253.56
2023-09-20,MBMA.JK,5554389935.14,5280080505.45,274309429.7
2023-09-21,MBMA.JK,13873412472.09,15274162686.18,-1400750214.09
2023-09-22,MBMA.JK,7370593179.0,4868205054.06,2502388124.94
2023-09-25,MBMA.JK,15990288912.44,28216769429.79,-12226480517.35
2023-09-26,MBMA.JK,7719666119.01,45228720880.77,-37509054761.76
2023-09-27,MBMA.JK,22971509623.88,17485136651.01,5486372972.87
2023-09-29,MBMA.JK,2552227669.36,14786751183.49,-12234523514.13
2023-10-02,MBMA.JK,10765921186.4,14140747903.04,-3374826716.64
2023-10-03,MBMA.JK,5804906506.5,6204651246.94,-399744740.43
2023-10-04,MBMA.JK,3875807718.25,16571712024.63,-12695904306.38
2023-10-05,MBMA.JK,4979862309.52,9316664697.44,-4336802387.92
2023-10-06,MBMA.JK,6782546841.4,1759450399.67,5023096441.72
2023-10-09,MBMA.JK,1082121469.1,4729025079.14,-3646903610.04
2023-10-10,MBMA.JK,3542360990.86,3306968075.45,235392915.41
2023-10-11,MBMA.JK,3381276593.56,7969098999.33,-4587822405.78
2023-10-12,MBMA.JK,5030813498.4,14627372045.98,-9596558547.58
2023-10-13,MBMA.JK,7028914973.26,14532654805.36,-7503739832.1
2023-10-16,MBMA.JK,9017142899.05,3530419423.94,5486723475.11
2023-10-17,MBMA.JK,3484114480.2,3522197382.54,-38082902.33
2023-10-18,MBMA.JK,27181946059.56,3810536797.87,23371409261.69
2023-10-19,MBMA.JK,1633231830.19,9229058373.01,-7595826542.82
2023-10-20,MBMA.JK,3200272200.28,2384191008.22,816081192.06
2023-10-23,MBMA.JK,2272036809.06,7308353883.55,-5036317074.49
2023-10-24,MBMA.JK,2565208685.99,1608121124.38,957087561.61
2023-10-25,MBMA.JK,1855269997.51,1676750108.84,178519888.67
2023-10-26,MBMA.JK,1302988446.43,1917433557.71,-614445111.28
2023-10-27,MBMA.JK,653986360.86,344417191.5,309569169.36
2023-10-30,MBMA.JK,965084882.05,2248134141.51,-1283049259.47
2023-10-31,MBMA.JK,1650997738.12,3802639234.42,-2151641496.3
2023-11-01,MBMA.JK,1386573453.8,2051085496.58,-664512042.78
2023-11-02,MBMA.JK,1260555293.52,970151666.38,290403627.14
2023-11-03,MBMA.JK,3893773692.32,1540358740.13,2353414952.2
2023-11-06,MBMA.JK,729187968.32,1177751919.67,-448563951.34
2023-11-07,MBMA.JK,1052130145.61,3121470191.01,-2069340045.41
2023-11-08,MBMA.JK,1568692718.22,1958836070.03,-390143351.81
2023-11-09,MBMA.JK,1343238856.94,3340667210.35,-1997428353.4
2023-11-10,MBMA.JK,569476101.74,1708407606.29,-1138931504.55
2023-11-13,MBMA.JK,7775751391.21,2297422599.35,5478328791.86
2023-11-14,MBMA.JK,5491700693.8,4397471716.74,1094228977.05
2023-11-15,MBMA.JK,3846544117.25,2009905400.59,1836638716.66
2023-11-16,MBMA.JK,963029139.85,3407098643.09,-2444069503.24
2023-11-17,MBMA.JK,2997314605.44,1815479717.39,1181834888.05
2023-11-20,MBMA.JK,1648262264.79,3269678003.76,-1621415738.98
2023-11-21,MBMA.JK,2022905339.81,1169018357.26,853886982.54
2023-11-22,MBMA.JK,1437284331.76,10311461058.75,-8874176726.99
2023-11-23,MBMA.JK,1782952082.85,2395679314.05,-612727231.2
2023-11-24,MBMA.JK,1533731110.7,1051270773.15,482460337.54
2023-11-27,MBMA.JK,14790687985.78,1501453458.33,13289234527.45
2023-11-28,MBMA.JK,867889773.44,1284128584.05,-416238810.61
2023-11-29,MBMA.JK,2769461012.21,1331346504.27,1438114507.94
2023-11-30,MBMA.JK,844799109.78,735023984.41,109775125.38
2023-12-01,MBMA.JK,1729024195.64,6727879641.78,-4998855446.14
2023-12-04,MBMA.JK,1275561958.01,4196237343.76,-2920675385.75
2023-12-05,MBMA.JK,4223149497.74,9784106567.4,-5560957069.67
2023-12-06,MBMA.JK,14738087606.55,3374884327.63,11363203278.93
2023-12-07,MBMA.JK,1973971365.39,9318895671.44,-7344924306.05
2023-12-08,MBMA.JK,3217695500.35,6869669484.6,-3651973984.26
2023-12-11,MBMA.JK,2355279589.42,3504574663.43,-1149295074.01
2023-12-12,MBMA.JK,1923585752.58,1722780618.86,200805133.73
2023-12-13,MBMA.JK,711500593.72,2236138714.83,-1524638121.11
2023-12-14,MBMA.JK,1294965991.0,746000784.27,548965206.74
2023-12-15,MBMA.JK,6377800795.61,2131501818.72,4246298976.9
2023-12-18,MBMA.JK,1205066784.07,3125127102.4,-1920060318.33
2023-12-19,MBMA.JK,3143242176.84,3534753362.06,-391511185.22
