date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,MDKA.JK,0.0,0.0,0.0
2018-01-02,MDKA.JK,184296926.64,42279045.05,142017881.59
2018-01-03,MDKA.JK,1300079.22,3167769.68,-1867690.45
2018-01-04,MDKA.JK,18346207.88,19061332.67,-715124.79
2018-01-05,MDKA.JK,58724771.18,100379868.4,-41655097.22
2018-01-08,MDKA.JK,43774560.92,20805783.66,22968777.27
2018-01-09,MDKA.JK,23257353.76,15232045.47,8025308.29
2018-01-10,MDKA.JK,56863381.84,83512673.56,-26649291.72
2018-01-11,MDKA.JK,22982.84,20098.74,2884.1
2018-01-12,MDKA.JK,145121350.77,46900860.45,98220490.32
2018-01-15,MDKA.JK,29303485.41,38251653.07,-8948167.65
2018-01-16,MDKA.JK,15542519.02,18674730.33,-3132211.31
2018-01-17,MDKA.JK,755656498.08,309456696.33,446199801.75
2018-01-18,MDKA.JK,67320939.1,91452735.64,-24131796.55
2018-01-19,MDKA.JK,19075.83,10190.68,8885.16
2018-01-22,MDKA.JK,10889563.53,22577639.13,-11688075.6
2018-01-23,MDKA.JK,18915330.24,10322703.51,8592626.73
2018-01-24,MDKA.JK,82557.08,86483.79,-3926.71
2018-01-25,MDKA.JK,8342831.23,9071965.02,-729133.8
2018-01-26,MDKA.JK,33335554.26,29553445.29,3782108.97
2018-01-29,MDKA.JK,2829913.45,2391316.52,438596.94
2018-01-30,MDKA.JK,11483232.67,12789041.19,-1305808.51
2018-01-31,MDKA.JK,100376284.04,108679979.62,-8303695.58
2018-02-01,MDKA.JK,27661997.67,26211438.7,1450558.97
2018-02-02,MDKA.JK,35952617.51,27458962.01,8493655.49
2018-02-05,MDKA.JK,3680997.48,7529757.91,-3848760.44
2018-02-06,MDKA.JK,211096453.84,61123957.78,149972496.06
2018-02-07,MDKA.JK,34779467.08,39342794.25,-4563327.18
2018-02-08,MDKA.JK,20520085.72,21805736.51,-1285650.79
2018-02-09,MDKA.JK,3785645.23,2246995.21,1538650.03
2018-02-12,MDKA.JK,7435851.94,7392171.83,43680.11
2018-02-13,MDKA.JK,8774445.38,19289733.54,-10515288.16
2018-02-14,MDKA.JK,79215808.48,67177943.0,12037865.48
2018-02-15,MDKA.JK,29429211.73,29987185.16,-557973.43
2018-02-16,MDKA.JK,0.0,0.0,0.0
2018-02-19,MDKA.JK,42662248.82,54820864.51,-12158615.68
2018-02-20,MDKA.JK,4353909.32,3141847.53,1212061.8
2018-02-21,MDKA.JK,832714.49,791136.0,41578.49
2018-02-22,MDKA.JK,43376909.45,66516002.39,-23139092.93
2018-02-23,MDKA.JK,86879505.11,36724657.52,50154847.59
2018-02-26,MDKA.JK,2542472.61,4465876.33,-1923403.73
2018-02-27,MDKA.JK,23051173.03,21557108.05,1494064.98
2018-02-28,MDKA.JK,7219168.89,6969756.26,249412.62
2018-03-01,MDKA.JK,33979192.37,32934297.14,1044895.22
2018-03-02,MDKA.JK,73507438.67,80250371.53,-6742932.86
2018-03-05,MDKA.JK,14687130.61,13978202.0,708928.62
2018-03-06,MDKA.JK,562599.28,435132.12,127467.16
2018-03-07,MDKA.JK,16027719.98,30331257.65,-14303537.67
2018-03-08,MDKA.JK,40421647.43,30793787.0,9627860.43
2018-03-09,MDKA.JK,62111540.13,66101289.7,-3989749.57
2018-03-12,MDKA.JK,0.0,0.0,0.0
2018-03-13,MDKA.JK,7115863.77,7146185.93,-30322.16
2018-03-14,MDKA.JK,254706446.14,186341664.94,68364781.2
2018-03-15,MDKA.JK,141762855.7,187595537.38,-45832681.68
2018-03-16,MDKA.JK,148438639.03,183241569.28,-34802930.25
2018-03-19,MDKA.JK,247782093.02,150991280.4,96790812.62
2018-03-20,MDKA.JK,172678005.74,131094216.38,41583789.36
2018-03-21,MDKA.JK,92821046.46,6559228.0,86261818.46
2018-03-22,MDKA.JK,71619211.46,172537589.34,-100918377.88
2018-03-23,MDKA.JK,59136358.23,30171257.67,28965100.56
2018-03-26,MDKA.JK,552332453.2,60138468.53,492193984.66
2018-03-27,MDKA.JK,449019954.46,341757102.6,107262851.86
2018-03-28,MDKA.JK,12603015.68,53873903.83,-41270888.15
2018-03-29,MDKA.JK,24472205.63,38124407.88,-13652202.25
2018-03-30,MDKA.JK,0.0,0.0,0.0
2018-04-02,MDKA.JK,18317484.32,30020634.77,-11703150.45
2018-04-03,MDKA.JK,14869422.74,8196148.74,6673274.0
