date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,MEDC.JK,0.0,0.0,0.0
2018-01-02,MEDC.JK,4772093676.46,4086525202.62,685568473.84
2018-01-03,MEDC.JK,4494796606.7,5338246705.63,-843450098.93
2018-01-04,MEDC.JK,1622876493.66,1575947534.83,46928958.83
2018-01-05,MEDC.JK,15516935468.04,3047077894.92,12469857573.12
2018-01-08,MEDC.JK,17307187271.41,8835079389.32,8472107882.09
2018-01-09,MEDC.JK,11679387030.26,5244528126.2,6434858904.06
2018-01-10,MEDC.JK,31136474077.65,1930791451.88,29205682625.77
2018-01-11,MEDC.JK,8405457572.28,12935739901.92,-4530282329.64
2018-01-12,MEDC.JK,8818649787.54,6117706403.88,2700943383.66
2018-01-15,MEDC.JK,20191915615.79,7839580852.22,12352334763.57
2018-01-16,MEDC.JK,29433132243.03,1549190114.81,27883942128.22
2018-01-17,MEDC.JK,7695684847.34,6331910398.59,1363774448.74
2018-01-18,MEDC.JK,39266031351.02,18577975741.72,20688055609.3
2018-01-19,MEDC.JK,6618779285.01,9356903414.89,-2738124129.88
2018-01-22,MEDC.JK,4650130169.1,3781417907.43,868712261.66
2018-01-23,MEDC.JK,3467679729.35,3406223981.83,61455747.52
2018-01-24,MEDC.JK,9424257383.65,12073385803.29,-2649128419.64
2018-01-25,MEDC.JK,18684415989.36,3645555576.78,15038860412.58
2018-01-26,MEDC.JK,3219722783.22,4358430478.84,-1138707695.63
2018-01-29,MEDC.JK,9550984656.1,11471949928.2,-1920965272.1
2018-01-30,MEDC.JK,2610480765.82,16210055959.87,-13599575194.05
2018-01-31,MEDC.JK,6801870304.6,6630632232.99,171238071.61
2018-02-01,MEDC.JK,4784096937.64,6587872881.29,-1803775943.66
2018-02-02,MEDC.JK,33672919555.32,6507694210.89,27165225344.42
2018-02-05,MEDC.JK,6284657852.1,13123051801.74,-6838393949.64
2018-02-06,MEDC.JK,3598561993.63,24193642701.96,-20595080708.33
2018-02-07,MEDC.JK,5611286789.01,6064535192.78,-453248403.77
2018-02-08,MEDC.JK,6436563668.59,6362324821.7,74238846.89
2018-02-09,MEDC.JK,1071616002.77,6200432962.93,-5128816960.16
2018-02-12,MEDC.JK,13309806303.09,3112426800.1,10197379502.99
2018-02-13,MEDC.JK,13807166606.08,7773187120.24,6033979485.84
2018-02-14,MEDC.JK,6634756184.98,6245380330.33,389375854.65
2018-02-15,MEDC.JK,8324125119.39,6080463558.48,2243661560.92
2018-02-16,MEDC.JK,0.0,0.0,0.0
2018-02-19,MEDC.JK,11875143271.64,4174211129.7,7700932141.94
2018-02-20,MEDC.JK,20294945413.32,12450349780.08,7844595633.24
2018-02-21,MEDC.JK,25403713803.93,3822968658.16,21580745145.77
2018-02-22,MEDC.JK,24754156147.97,3113611127.29,21640545020.68
2018-02-23,MEDC.JK,13661833972.71,9996983391.88,3664850580.83
2018-02-26,MEDC.JK,7167312833.76,5816448816.91,1350864016.84
2018-02-27,MEDC.JK,9095912043.03,9388366519.35,-292454476.32
2018-02-28,MEDC.JK,37692801777.49,5222068676.14,32470733101.35
