date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,PGAS.JK,0.0,0.0,0.0
2018-01-02,PGAS.JK,1626730551.31,1148554934.31,478175617.01
2018-01-03,PGAS.JK,2253103786.07,2864013168.32,-610909382.25
2018-01-04,PGAS.JK,3009159530.76,2813336865.62,195822665.14
2018-01-05,PGAS.JK,1680237226.59,966138053.74,714099172.85
2018-01-08,PGAS.JK,9983415248.09,5508351551.94,4475063696.15
2018-01-09,PGAS.JK,1978336796.32,3455598933.47,-1477262137.15
2018-01-10,PGAS.JK,10530611710.63,8266943120.91,2263668589.72
2018-01-11,PGAS.JK,2317126253.92,3350064563.59,-1032938309.67
2018-01-12,PGAS.JK,2247421452.2,2908957904.87,-661536452.66
2018-01-15,PGAS.JK,2674856790.45,3480728844.77,-805872054.31
2018-01-16,PGAS.JK,51168843083.15,4273500788.91,46895342294.24
2018-01-17,PGAS.JK,97674573429.55,0.0,97674573429.55
2018-01-18,PGAS.JK,40905763353.81,302621432916.15,-261715669562.35
2018-01-19,PGAS.JK,67541026970.84,12516906416.62,55024120554.22
2018-01-22,PGAS.JK,87528698258.68,18648558827.61,68880139431.08
2018-01-23,PGAS.JK,168248647299.31,10730688642.71,157517958656.6
2018-01-24,PGAS.JK,72065644693.59,74853900666.39,-2788255972.8
2018-01-25,PGAS.JK,67256044410.94,81362456577.25,-14106412166.31
2018-01-26,PGAS.JK,28917780216.42,33110858727.84,-4193078511.42
2018-01-29,PGAS.JK,13650547776.47,70378968009.0,-56728420232.53
2018-01-30,PGAS.JK,19818978838.37,55714201611.73,-35895222773.36
2018-01-31,PGAS.JK,117683124250.49,4569407879.64,113113716370.86
2018-02-01,PGAS.JK,28473120210.23,76671007763.69,-48197887553.46
2018-02-02,PGAS.JK,22515119538.41,47230737344.26,-24715617805.86
2018-02-05,PGAS.JK,12424975075.93,25143531366.0,-12718556290.07
2018-02-06,PGAS.JK,70508980185.79,59633874140.67,10875106045.12
2018-02-07,PGAS.JK,22319811756.02,28266282971.92,-5946471215.89
2018-02-08,PGAS.JK,20777014824.88,11560912580.24,9216102244.64
2018-02-09,PGAS.JK,7176425442.01,19558565886.21,-12382140444.2
2018-02-12,PGAS.JK,10846472589.18,9874350233.76,972122355.42
2018-02-13,PGAS.JK,17333462451.49,17402591982.55,-69129531.05
2018-02-14,PGAS.JK,85301383681.74,14575339445.19,70726044236.55
2018-02-15,PGAS.JK,25660801754.3,18272303653.91,7388498100.4
2018-02-16,PGAS.JK,0.0,0.0,0.0
2018-02-19,PGAS.JK,56376065511.46,20181942953.2,36194122558.25
2018-02-20,PGAS.JK,15643468207.99,12712544316.55,2930923891.44
2018-02-21,PGAS.JK,87814460327.37,38425569907.33,49388890420.04
2018-02-22,PGAS.JK,8255156969.26,16578642849.22,-8323485879.96
2018-02-23,PGAS.JK,10105202536.92,14726361550.32,-4621159013.4
2018-02-26,PGAS.JK,11075351760.13,20681354627.16,-9606002867.03
2018-02-27,PGAS.JK,14620902194.04,9669319714.32,4951582479.73
2018-02-28,PGAS.JK,52169393919.68,20062227646.89,32107166272.79
2018-03-01,PGAS.JK,14172164082.15,26149459586.58,-11977295504.43
2018-03-02,PGAS.JK,18467986945.39,22035856248.04,-3567869302.66
2018-03-05,PGAS.JK,18123426238.19,18085281428.14,38144810.05
2018-03-06,PGAS.JK,6482446614.22,7879331563.8,-1396884949.58
2018-03-07,PGAS.JK,9132428971.71,48717053025.98,-39584624054.27
2018-03-08,PGAS.JK,9262040384.07,13242839942.75,-3980799558.68
2018-03-09,PGAS.JK,6125444127.39,8672911982.9,-2547467855.5
2018-03-12,PGAS.JK,21419190306.34,3909893452.93,17509296853.41
2018-03-13,PGAS.JK,10147382207.13,30894904621.91,-20747522414.78
2018-03-14,PGAS.JK,14104888443.6,15795418426.23,-1690529982.63
2018-03-15,PGAS.JK,2623332845.78,13813338749.09,-11190005903.31
2018-03-16,PGAS.JK,11731358344.17,21670761726.83,-9939403382.66
2018-03-19,PGAS.JK,3779037062.35,8940341695.75,-5161304633.4
2018-03-20,PGAS.JK,17578879466.63,8690480676.28,8888398790.36
2018-03-21,PGAS.JK,6491262678.99,4708403990.7,1782858688.29
2018-03-22,PGAS.JK,8784845237.48,6470151305.34,2314693932.14
2018-03-23,PGAS.JK,16851211258.06,13324498082.22,3526713175.84
2018-03-26,PGAS.JK,45753762375.01,10027190370.63,35726572004.38
2018-03-27,PGAS.JK,6617549822.94,11438735838.24,-4821186015.3
2018-03-28,PGAS.JK,4509991158.49,11769209553.48,-7259218394.99
2018-03-29,PGAS.JK,8350572397.36,6207274772.39,2143297624.97
2018-03-30,PGAS.JK,0.0,0.0,0.0
2018-04-02,PGAS.JK,8863010868.07,7062908912.1,1800101955.97
2018-04-03,PGAS.JK,11998618382.15,4929268930.18,7069349451.97
2018-04-04,PGAS.JK,8845722945.19,22278313745.44,-13432590800.25
2018-04-05,PGAS.JK,4438027641.43,1886127011.48,2551900629.94
2018-04-06,PGAS.JK,5928214716.81,8768837017.83,-2840622301.02
2018-04-09,PGAS.JK,7242361035.55,7122352840.25,120008195.3
2018-04-10,PGAS.JK,15691620993.03,13484877222.0,2206743771.03
2018-04-11,PGAS.JK,12538882268.48,16787508687.94,-4248626419.45
2018-04-12,PGAS.JK,2071700112.21,2321348779.47,-249648667.26
2018-04-13,PGAS.JK,2736540440.61,5201177314.66,-2464636874.05
2018-04-16,PGAS.JK,0.0,0.0,0.0
2018-04-17,PGAS.JK,0.0,0.0,0.0
2018-04-18,PGAS.JK,4929192295.44,28626871475.5,-23697679180.06
2018-04-19,PGAS.JK,0.0,0.0,0.0
2018-04-20,PGAS.JK,0.0,0.0,0.0
2018-04-23,PGAS.JK,13796027851.76,3647307676.47,10148720175.28
2018-04-24,PGAS.JK,7032447945.91,4661668755.16,2370779190.76
2018-04-25,PGAS.JK,0.0,0.0,0.0
2018-04-26,PGAS.JK,0.0,0.0,0.0
2018-04-27,PGAS.JK,0.0,0.0,0.0
2018-04-30,PGAS.JK,580038177.42,13458935738.11,-12878897560.7
2018-05-01,PGAS.JK,0.0,0.0,0.0
2018-05-02,PGAS.JK,19137720889.2,9790620970.29,9347099918.91
2018-05-03,PGAS.JK,2557703379.88,12563033474.69,-10005330094.81
2018-05-04,PGAS.JK,9360307428.39,9523116516.3,-162809087.92
