date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2023-02-24,PGEO.JK,28373534462.18,25959610770.39,2413923691.79
2023-02-27,PGEO.JK,2632937671.91,13945173920.35,-11312236248.45
2023-02-28,PGEO.JK,3258794864.9,9873804598.02,-6615009733.13
2023-03-01,PGEO.JK,2617882222.24,663790754.61,1954091467.63
2023-03-02,PGEO.JK,4561289441.3,1730285610.37,2831003830.93
2023-03-03,PGEO.JK,1682095657.36,1398771122.3,283324535.07
2023-03-06,PGEO.JK,3075462486.17,5660251836.34,-2584789350.17
2023-03-07,PGEO.JK,1115300559.24,1070776296.0,44524263.24
2023-03-08,PGEO.JK,862241898.2,800960274.17,61281624.04
2023-03-09,PGEO.JK,951280928.79,1144447424.17,-193166495.37
2023-03-10,PGEO.JK,1209770562.21,838215716.67,371554845.54
2023-03-13,PGEO.JK,135644393.12,264782955.55,-129138562.43
2023-03-14,PGEO.JK,749150242.15,1261608811.64,-512458569.49
2023-03-15,PGEO.JK,366420431.22,760734390.81,-394313959.58
2023-03-16,PGEO.JK,2318711928.33,4817553715.89,-2498841787.55
2023-03-17,PGEO.JK,1446755030.11,801987292.64,644767737.47
2023-03-20,PGEO.JK,638111037.45,798876719.26,-160765681.81
2023-03-21,PGEO.JK,423195259.85,329481321.46,93713938.38
2023-03-24,PGEO.JK,593073278.24,653336973.19,-60263694.95
2023-03-27,PGEO.JK,416492026.63,3529572920.3,-3113080893.68
2023-03-28,PGEO.JK,876174032.4,3702369695.76,-2826195663.37
2023-03-29,PGEO.JK,1548633633.55,758416132.52,790217501.03
2023-03-30,PGEO.JK,595020154.53,650868143.05,-55847988.52
2023-03-31,PGEO.JK,1297134196.45,2275090857.02,-977956660.57
2023-04-03,PGEO.JK,417637955.65,2243666261.5,-1826028305.86
2023-04-04,PGEO.JK,1302350596.94,872638010.97,429712585.97
2023-04-05,PGEO.JK,928001520.96,643643267.71,284358253.25
2023-04-06,PGEO.JK,430444928.41,780191798.54,-349746870.14
2023-04-10,PGEO.JK,354366891.92,2189522513.84,-1835155621.92
2023-04-11,PGEO.JK,5928344828.33,172928730.23,5755416098.11
2023-04-12,PGEO.JK,1751734024.05,3102534824.55,-1350800800.5
2023-04-13,PGEO.JK,3537262661.13,772089793.29,2765172867.85
2023-04-14,PGEO.JK,999246129.14,1019239750.98,-19993621.84
2023-04-17,PGEO.JK,3551299841.11,927877008.94,2623422832.16
2023-04-18,PGEO.JK,476996990.12,487683030.36,-10686040.24
2023-04-26,PGEO.JK,1335910499.24,872159603.96,463750895.28
2023-04-27,PGEO.JK,560283954.42,703868605.75,-143584651.32
2023-04-28,PGEO.JK,459444326.84,468492827.69,-9048500.85
2023-05-02,PGEO.JK,1396882342.96,883005574.57,513876768.38
2023-05-03,PGEO.JK,501471178.17,575266423.79,-73795245.61
2023-05-04,PGEO.JK,958051240.32,694988964.66,263062275.66
2023-05-05,PGEO.JK,225540051.33,461247402.21,-235707350.88
2023-05-08,PGEO.JK,1295015557.08,624561727.44,670453829.64
2023-05-09,PGEO.JK,969028677.57,966989139.66,2039537.91
2023-05-10,PGEO.JK,1158804931.34,671153164.26,487651767.08
2023-05-11,PGEO.JK,439265726.87,556797753.7,-117532026.82
2023-05-12,PGEO.JK,3237607314.13,2649542785.12,588064529.02
2023-05-15,PGEO.JK,4155811976.35,331995117.33,3823816859.03
2023-05-16,PGEO.JK,842550023.56,812035425.79,30514597.77
2023-05-17,PGEO.JK,1029061368.13,972740925.18,56320442.96
2023-05-19,PGEO.JK,1439922440.74,996363143.07,443559297.67
2023-05-22,PGEO.JK,266324060.38,1195989440.14,-929665379.76
2023-05-23,PGEO.JK,357419537.02,389118000.82,-31698463.8
2023-05-24,PGEO.JK,1301232736.69,897399315.21,403833421.48
2023-05-25,PGEO.JK,362035295.29,374388607.54,-12353312.26
2023-05-26,PGEO.JK,217246998.17,136582682.24,80664315.94
2023-05-29,PGEO.JK,562656262.07,262593402.47,300062859.6
