date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,PTPP.JK,0.0,0.0,0.0
2018-01-02,PTPP.JK,3302176241.85,4533298048.42,-1231121806.57
2018-01-03,PTPP.JK,1240061154.27,2636529595.1,-1396468440.83
2018-01-04,PTPP.JK,8285484860.69,3037784409.27,5247700451.41
2018-01-05,PTPP.JK,3192221887.65,2196694121.21,995527766.44
2018-01-08,PTPP.JK,23255825621.63,2389481481.36,20866344140.27
2018-01-09,PTPP.JK,68214738111.23,10817484494.7,57397253616.52
2018-01-10,PTPP.JK,9226158333.73,11303626487.55,-2077468153.83
2018-01-11,PTPP.JK,7103758529.79,5821689260.76,1282069269.03
2018-01-12,PTPP.JK,3705970319.21,5301543542.75,-1595573223.54
2018-01-15,PTPP.JK,4338854758.87,3510999414.82,827855344.05
2018-01-16,PTPP.JK,9561681386.92,5111658986.98,4450022399.94
2018-01-17,PTPP.JK,25295768703.36,13420970594.29,11874798109.07
2018-01-18,PTPP.JK,3832042624.57,5209219283.85,-1377176659.29
2018-01-19,PTPP.JK,1451201055.36,4313781273.64,-2862580218.28
2018-01-22,PTPP.JK,1933458864.87,3060898621.39,-1127439756.52
2018-01-23,PTPP.JK,6805483760.15,5695515415.65,1109968344.51
2018-01-24,PTPP.JK,68617357242.05,2966878843.57,65650478398.48
2018-01-25,PTPP.JK,14164360237.98,16581245704.44,-2416885466.46
2018-01-26,PTPP.JK,7824168842.59,8202639378.53,-378470535.94
2018-01-29,PTPP.JK,6551814269.88,8681955785.93,-2130141516.05
2018-01-30,PTPP.JK,4894941708.39,12098952158.63,-7204010450.24
2018-01-31,PTPP.JK,4422913018.59,3236233707.61,1186679310.98
2018-02-01,PTPP.JK,11903084069.24,6116842443.74,5786241625.5
2018-02-02,PTPP.JK,3261009743.48,3280575519.3,-19565775.83
2018-02-05,PTPP.JK,2277560682.09,4047678524.29,-1770117842.2
2018-02-06,PTPP.JK,9947184622.33,23376622761.79,-13429438139.45
2018-02-07,PTPP.JK,11810889565.33,11065487964.25,745401601.08
2018-02-08,PTPP.JK,9587550175.74,5827100058.6,3760450117.14
2018-02-09,PTPP.JK,1909550266.69,4944085365.12,-3034535098.42
2018-02-12,PTPP.JK,2008011677.06,1883959297.57,124052379.49
2018-02-13,PTPP.JK,4502208272.6,2769636000.0,1732572272.61
2018-02-14,PTPP.JK,1645403509.19,2168219500.65,-522815991.46
2018-02-15,PTPP.JK,2968025586.47,1821254603.0,1146770983.47
2018-02-16,PTPP.JK,0.0,0.0,0.0
2018-02-19,PTPP.JK,6764012081.11,2032232085.64,4731779995.47
2018-02-20,PTPP.JK,7263961190.97,8457403803.04,-1193442612.08
2018-02-21,PTPP.JK,4675492811.38,4301211890.43,374280920.95
2018-02-22,PTPP.JK,1984760948.02,2041207168.97,-56446220.94
2018-02-23,PTPP.JK,1749248391.65,2540418759.43,-791170367.77
2018-02-26,PTPP.JK,2182348535.19,2857892730.66,-675544195.47
2018-02-27,PTPP.JK,3728809323.96,4124984781.19,-396175457.23
2018-02-28,PTPP.JK,1451254014.13,1500663143.87,-49409129.73
2018-03-01,PTPP.JK,4178051060.14,2075599819.94,2102451240.2
