date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,PWON.JK,0.0,0.0,0.0
2018-01-02,PWON.JK,1314043217.25,1434918466.21,-120875248.96
2018-01-03,PWON.JK,2347748164.84,1809684952.07,538063212.77
2018-01-04,PWON.JK,1976932028.33,1813604383.37,163327644.96
2018-01-05,PWON.JK,1443023404.24,727874168.12,715149236.12
2018-01-08,PWON.JK,1494600965.87,1194659708.81,299941257.06
2018-01-09,PWON.JK,1857248148.57,3167127166.26,-1309879017.68
2018-01-10,PWON.JK,1031347762.46,1960133596.83,-928785834.37
2018-01-11,PWON.JK,956339725.37,350267327.45,606072397.92
2018-01-12,PWON.JK,1199791616.24,844609504.86,355182111.38
2018-01-15,PWON.JK,715213781.45,1084421877.0,-369208095.55
2018-01-16,PWON.JK,1488049437.48,1068132010.71,419917426.77
2018-01-17,PWON.JK,1649912933.0,3330097620.13,-1680184687.13
2018-01-18,PWON.JK,1731345552.65,822289051.75,909056500.9
2018-01-19,PWON.JK,368107192.23,400522020.94,-32414828.71
2018-01-22,PWON.JK,585103216.96,948261693.59,-363158476.64
2018-01-23,PWON.JK,3883137562.27,1357168770.74,2525968791.54
2018-01-24,PWON.JK,1888499703.88,2662440592.22,-773940888.34
2018-01-25,PWON.JK,3215346306.11,6453634322.65,-3238288016.54
2018-01-26,PWON.JK,1281905563.23,1518730040.35,-236824477.12
2018-01-29,PWON.JK,6879082145.16,3574041430.27,3305040714.89
2018-01-30,PWON.JK,1276984995.95,2337629195.66,-1060644199.72
2018-01-31,PWON.JK,1012042182.58,517101499.56,494940683.02
2018-02-01,PWON.JK,1904165490.21,3640020101.17,-1735854610.95
2018-02-02,PWON.JK,1603938081.64,2005522951.09,-401584869.44
2018-02-05,PWON.JK,899428454.26,952191384.75,-52762930.49
2018-02-06,PWON.JK,1513213363.31,2136335051.86,-623121688.55
2018-02-07,PWON.JK,2236306293.69,1061284068.49,1175022225.19
2018-02-08,PWON.JK,409405250.73,773789893.15,-364384642.42
2018-02-09,PWON.JK,607833489.27,1264867529.24,-657034039.97
2018-02-12,PWON.JK,522312324.06,490044540.27,32267783.79
2018-02-13,PWON.JK,1057641133.11,386018903.77,671622229.35
2018-02-14,PWON.JK,347295972.02,374794261.9,-27498289.88
2018-02-15,PWON.JK,289859935.67,332007470.38,-42147534.72
2018-02-16,PWON.JK,0.0,0.0,0.0
2018-02-19,PWON.JK,613002023.22,554512294.24,58489728.98
2018-02-20,PWON.JK,1388313908.0,1297169449.61,91144458.39
2018-02-21,PWON.JK,569371260.25,1236756004.04,-667384743.79
2018-02-22,PWON.JK,602828511.84,585938365.28,16890146.57
2018-02-23,PWON.JK,2979826040.42,5131193409.51,-2151367369.09
2018-02-26,PWON.JK,3318673662.07,3586430448.21,-267756786.15
2018-02-27,PWON.JK,3265716826.05,1314335380.33,1951381445.72
2018-02-28,PWON.JK,2270241782.74,2131770291.41,138471491.33
2018-03-01,PWON.JK,5266905958.36,1680635864.43,3586270093.92
2018-03-02,PWON.JK,563896217.16,1688255024.96,-1124358807.8
2018-03-05,PWON.JK,2497849443.83,1253072640.96,1244776802.87
2018-03-06,PWON.JK,914710139.07,3402767163.89,-2488057024.82
2018-03-07,PWON.JK,1740036389.2,2785453435.49,-1045417046.29
2018-03-08,PWON.JK,1340545108.63,2473178377.82,-1132633269.19
2018-03-09,PWON.JK,1152072540.38,1113599698.84,38472841.54
2018-03-12,PWON.JK,2453313880.72,1177983028.15,1275330852.58
2018-03-13,PWON.JK,844758786.46,1350019199.87,-505260413.41
2018-03-14,PWON.JK,414303182.3,878523269.84,-464220087.55
2018-03-15,PWON.JK,1429331874.03,1560024547.67,-130692673.63
2018-03-16,PWON.JK,6087496252.99,2205636865.14,3881859387.85
2018-03-19,PWON.JK,1631902587.57,1485698183.46,146204404.1
2018-03-20,PWON.JK,608966385.56,748322737.24,-139356351.69
2018-03-21,PWON.JK,527599395.31,611611053.0,-84011657.69
2018-03-22,PWON.JK,346745689.09,577976046.53,-231230357.45
2018-03-23,PWON.JK,670610947.24,1324915585.49,-654304638.25
2018-03-26,PWON.JK,1589672672.77,1289148071.62,300524601.15
2018-03-27,PWON.JK,917949144.99,746055366.99,171893778.0
2018-03-28,PWON.JK,712494902.87,805800140.58,-93305237.71
2018-03-29,PWON.JK,1107492141.89,314369017.81,793123124.07
2018-03-30,PWON.JK,0.0,0.0,0.0
2018-04-02,PWON.JK,630234382.0,986379912.9,-356145530.91
2018-04-03,PWON.JK,429630105.48,334713403.66,94916701.83
2018-04-04,PWON.JK,960372956.29,721691177.14,238681779.15
2018-04-05,PWON.JK,564488262.39,687815344.26,-123327081.87
2018-04-06,PWON.JK,608578779.18,504225702.05,104353077.13
2018-04-09,PWON.JK,776318620.49,656411989.22,119906631.28
2018-04-10,PWON.JK,313268679.23,905154549.35,-591885870.13
2018-04-11,PWON.JK,1624861256.01,1011553691.12,613307564.89
2018-04-12,PWON.JK,592075184.32,639812370.13,-47737185.8
2018-04-13,PWON.JK,557754044.84,932575637.21,-374821592.36
2018-04-16,PWON.JK,0.0,0.0,0.0
2018-04-17,PWON.JK,0.0,0.0,0.0
2018-04-18,PWON.JK,1704730196.43,1454429525.24,250300671.19
2018-04-19,PWON.JK,0.0,0.0,0.0
2018-04-20,PWON.JK,0.0,0.0,0.0
2018-04-23,PWON.JK,802618968.87,746623330.93,55995637.94
2018-04-24,PWON.JK,461088620.34,1473390229.17,-1012301608.83
2018-04-25,PWON.JK,0.0,0.0,0.0
2018-04-26,PWON.JK,0.0,0.0,0.0
2018-04-27,PWON.JK,0.0,0.0,0.0
2018-04-30,PWON.JK,963430890.38,1474772578.65,-511341688.28
2018-05-01,PWON.JK,0.0,0.0,0.0
2018-05-02,PWON.JK,1319454742.58,846249936.01,473204806.57
2018-05-03,PWON.JK,2086023359.46,5632739888.34,-3546716528.88
2018-05-04,PWON.JK,615165141.6,971234084.11,-356068942.51
2018-05-07,PWON.JK,974272958.47,684829453.66,289443504.81
2018-05-08,PWON.JK,1631244280.84,4942198392.59,-3310954111.75
2018-05-09,PWON.JK,3137570931.85,3022257073.0,115313858.85
2018-05-10,PWON.JK,0.0,0.0,0.0
2018-05-11,PWON.JK,6749659650.12,1446348291.31,5303311358.82
2018-05-14,PWON.JK,2117483483.41,3164106358.13,-1046622874.73
2018-05-15,PWON.JK,829233895.86,4839306847.6,-4010072951.74
2018-05-16,PWON.JK,2696976385.37,2206972752.81,490003632.57
2018-05-17,PWON.JK,2543113534.31,5039807214.38,-2496693680.07
2018-05-18,PWON.JK,1133858443.53,3265221815.99,-2131363372.46
2018-05-21,PWON.JK,2603729515.93,2567312954.52,36416561.41
2018-05-22,PWON.JK,2155675344.32,1518093308.48,637582035.84
2018-05-23,PWON.JK,956464932.46,1601149674.88,-644684742.42
2018-05-24,PWON.JK,15910188989.78,1053941578.21,14856247411.57
2018-05-25,PWON.JK,1139505745.87,1146054439.28,-6548693.4
2018-05-28,PWON.JK,5215119271.72,986770878.91,4228348392.81
2018-05-29,PWON.JK,0.0,0.0,0.0
2018-05-30,PWON.JK,9603993739.74,4035584159.23,5568409580.51
2018-05-31,PWON.JK,28334671199.09,60986054894.64,-32651383695.56
2018-06-01,PWON.JK,0.0,0.0,0.0
2018-06-04,PWON.JK,4907995428.2,3237625530.48,1670369897.72
2018-06-05,PWON.JK,4731796418.08,3421634686.15,1310161731.94
2018-06-06,PWON.JK,2866226573.17,1398318677.99,1467907895.18
2018-06-07,PWON.JK,4699178357.46,708429422.78,3990748934.68
2018-06-08,PWON.JK,3351462636.81,13900096486.21,-10548633849.41
2018-06-11,PWON.JK,0.0,0.0,0.0
2018-06-12,PWON.JK,0.0,0.0,0.0
2018-06-13,PWON.JK,0.0,0.0,0.0
2018-06-14,PWON.JK,0.0,0.0,0.0
2018-06-15,PWON.JK,0.0,0.0,0.0
2018-06-18,PWON.JK,0.0,0.0,0.0
2018-06-19,PWON.JK,0.0,0.0,0.0
2018-06-20,PWON.JK,2507604910.37,17827119897.07,-15319514986.7
2018-06-21,PWON.JK,2070906771.23,8288425232.47,-6217518461.24
2018-06-22,PWON.JK,6184484579.78,4360660499.2,1823824080.58
2018-06-25,PWON.JK,10733946894.49,2073821939.79,8660124954.69
2018-06-26,PWON.JK,1074033379.21,2308448846.18,-1234415466.97
2018-06-27,PWON.JK,1156494074.98,1007264073.11,149230001.88
2018-06-28,PWON.JK,592143947.76,1881885474.87,-1289741527.11
2018-06-29,PWON.JK,2159768299.6,2657585507.03,-497817207.42
2018-07-02,PWON.JK,1508756039.46,1481245591.71,27510447.74
2018-07-03,PWON.JK,1113272086.14,1178355416.65,-65083330.52
2018-07-04,PWON.JK,2977714678.48,2657507792.61,320206885.87
2018-07-05,PWON.JK,1787625437.19,440642394.35,1346983042.84
2018-07-06,PWON.JK,1418878557.99,508056305.43,910822252.56
2018-07-09,PWON.JK,3257680244.01,3451487493.37,-193807249.37
2018-07-10,PWON.JK,1651674811.69,607470752.85,1044204058.84
2018-07-11,PWON.JK,173430883.66,711135847.8,-537704964.14
2018-07-12,PWON.JK,1931886370.39,397386690.41,1534499679.98
2018-07-13,PWON.JK,1081557819.38,1254622039.07,-173064219.69
2018-07-16,PWON.JK,494104620.38,594577943.19,-100473322.81
2018-07-17,PWON.JK,1490083567.43,1115977866.65,374105700.78
2018-07-18,PWON.JK,915880687.69,2581214883.79,-1665334196.09
2018-07-19,PWON.JK,585695827.44,1271811254.6,-686115427.17
2018-07-20,PWON.JK,785746742.7,925392543.89,-139645801.19
2018-07-23,PWON.JK,870654671.97,353476035.28,517178636.69
2018-07-24,PWON.JK,1197854011.02,776657091.53,421196919.49
2018-07-25,PWON.JK,250747185.08,233510978.54,17236206.54
2018-07-26,PWON.JK,1948870505.19,7388901843.51,-5440031338.32
2018-07-27,PWON.JK,4925872170.07,2818917879.38,2106954290.69
2018-07-30,PWON.JK,1788094954.07,3040730688.91,-1252635734.83
2018-07-31,PWON.JK,5256933573.85,19943621702.43,-14686688128.59
2018-08-01,PWON.JK,4493701276.77,892502896.55,3601198380.21
2018-08-02,PWON.JK,1558526299.22,1264793260.24,293733038.98
