date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,SIDO.JK,0.0,0.0,0.0
2018-01-02,SIDO.JK,120949375.8,156623603.38,-35674227.58
2018-01-03,SIDO.JK,580165468.28,362036632.75,218128835.54
2018-01-04,SIDO.JK,63115205.91,63895757.05,-780551.14
2018-01-05,SIDO.JK,997357021.68,323256658.09,674100363.59
2018-01-08,SIDO.JK,166144504.91,130948782.17,35195722.74
2018-01-09,SIDO.JK,79798779.26,91329689.43,-11530910.18
2018-01-10,SIDO.JK,59110873.34,44064629.53,15046243.81
2018-01-11,SIDO.JK,37638272.73,39090102.18,-1451829.45
2018-01-12,SIDO.JK,64004122.29,65470668.86,-1466546.57
2018-01-15,SIDO.JK,722205345.65,696284893.42,25920452.23
2018-01-16,SIDO.JK,588901736.9,318742903.53,270158833.37
2018-01-17,SIDO.JK,107085857.58,105594630.96,1491226.62
2018-01-18,SIDO.JK,130499564.57,123580021.85,6919542.72
2018-01-19,SIDO.JK,896441440.03,358784875.45,537656564.57
2018-01-22,SIDO.JK,624227753.65,407377971.25,216849782.4
2018-01-23,SIDO.JK,120069265.99,112042697.77,8026568.22
2018-01-24,SIDO.JK,63083672.64,65590435.6,-2506762.96
2018-01-25,SIDO.JK,247989864.43,220255821.01,27734043.43
2018-01-26,SIDO.JK,1081998472.07,764475072.55,317523399.52
2018-01-29,SIDO.JK,325589664.93,205092493.1,120497171.83
2018-01-30,SIDO.JK,686627908.04,395364503.22,291263404.82
2018-01-31,SIDO.JK,209658716.6,273791648.26,-64132931.66
2018-02-01,SIDO.JK,2364532227.53,612317522.78,1752214704.75
2018-02-02,SIDO.JK,1028145450.9,358232431.18,669913019.72
2018-02-05,SIDO.JK,869804168.3,1055828476.33,-186024308.04
2018-02-06,SIDO.JK,417104005.59,1170914129.6,-753810124.01
2018-02-07,SIDO.JK,591581664.09,568713956.24,22867707.85
2018-02-08,SIDO.JK,293106674.67,180030971.48,113075703.19
2018-02-09,SIDO.JK,135424205.81,178085798.39,-42661592.59
2018-02-12,SIDO.JK,334329003.7,313155785.88,21173217.82
2018-02-13,SIDO.JK,135015243.26,152540142.06,-17524898.8
2018-02-14,SIDO.JK,1580050712.51,388899162.88,1191151549.63
2018-02-15,SIDO.JK,76547094.66,88254336.8,-11707242.14
2018-02-16,SIDO.JK,0.0,0.0,0.0
2018-02-19,SIDO.JK,233316799.3,234829991.17,-1513191.87
2018-02-20,SIDO.JK,56110703.93,50623314.01,5487389.92
2018-02-21,SIDO.JK,89686664.86,136408728.51,-46722063.66
