date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,SMGR.JK,0.0,0.0,0.0
2018-01-02,SMGR.JK,6595207996.96,2178227792.75,4416980204.21
2018-01-03,SMGR.JK,3618418762.98,4103302271.66,-484883508.68
2018-01-04,SMGR.JK,15859864521.77,1447414954.03,14412449567.74
2018-01-05,SMGR.JK,4637102696.29,5549725491.75,-912622795.46
2018-01-08,SMGR.JK,1609791027.85,1190644388.9,419146638.95
2018-01-09,SMGR.JK,11865049043.58,6762720835.47,5102328208.12
2018-01-10,SMGR.JK,1926842601.04,4492916680.53,-2566074079.49
2018-01-11,SMGR.JK,3324309364.76,3191433439.2,132875925.56
2018-01-12,SMGR.JK,2005387267.07,4216368850.55,-2210981583.49
2018-01-15,SMGR.JK,5022361560.69,5526954365.21,-504592804.52
2018-01-16,SMGR.JK,3516007910.51,2523175582.83,992832327.68
2018-01-17,SMGR.JK,22522373022.64,2165654252.41,20356718770.24
2018-01-18,SMGR.JK,2239234231.45,5503595809.93,-3264361578.49
2018-01-19,SMGR.JK,2638250356.31,3401504248.67,-763253892.36
2018-01-22,SMGR.JK,3663886577.58,5531294460.71,-1867407883.13
2018-01-23,SMGR.JK,7967785483.38,9473161192.43,-1505375709.05
2018-01-24,SMGR.JK,5831507010.92,4500301314.99,1331205695.92
2018-01-25,SMGR.JK,14713246255.19,6082080285.78,8631165969.41
2018-01-26,SMGR.JK,22280790507.59,5429437071.37,16851353436.22
2018-01-29,SMGR.JK,11093699302.39,27274112076.36,-16180412773.97
2018-01-30,SMGR.JK,1728640720.21,4202193188.97,-2473552468.76
2018-01-31,SMGR.JK,11693463861.61,4912017373.23,6781446488.38
2018-02-01,SMGR.JK,1333111351.77,4561087421.93,-3227976070.16
2018-02-02,SMGR.JK,1797369476.17,1753014279.59,44355196.57
2018-02-05,SMGR.JK,3514105085.01,5389552070.02,-1875446985.01
2018-02-06,SMGR.JK,2738380089.02,10056677087.84,-7318296998.82
2018-02-07,SMGR.JK,11699917329.97,12259565600.22,-559648270.25
2018-02-08,SMGR.JK,3434557707.75,2607768783.56,826788924.19
2018-02-09,SMGR.JK,1880955567.39,2393331897.35,-512376329.96
2018-02-12,SMGR.JK,6076141291.86,5288472817.1,787668474.76
2018-02-13,SMGR.JK,4711249970.14,2083926298.43,2627323671.71
2018-02-14,SMGR.JK,14720975267.08,5914567156.09,8806408110.99
2018-02-15,SMGR.JK,9068205756.93,5588753860.95,3479451895.98
2018-02-16,SMGR.JK,0.0,0.0,0.0
2018-02-19,SMGR.JK,11801281130.8,2276688568.04,9524592562.77
2018-02-20,SMGR.JK,3745114380.5,11097026649.09,-7351912268.59
2018-02-21,SMGR.JK,6528280922.24,2359039835.89,4169241086.35
2018-02-22,SMGR.JK,6836338782.63,4689438614.92,2146900167.71
2018-02-23,SMGR.JK,2823621763.84,10815081801.91,-7991460038.07
2018-02-26,SMGR.JK,1089959660.98,1355828011.68,-265868350.7
2018-02-27,SMGR.JK,2603120286.2,1554129002.16,1048991284.05
2018-02-28,SMGR.JK,2816253648.66,5147785981.98,-2331532333.32
2018-03-01,SMGR.JK,2717438321.55,2904280916.95,-186842595.4
2018-03-02,SMGR.JK,2889375034.18,3617044698.48,-727669664.3
2018-03-05,SMGR.JK,4359316608.31,6464576348.99,-2105259740.67
2018-03-06,SMGR.JK,2619160755.82,3495891709.86,-876730954.04
2018-03-07,SMGR.JK,2529436569.85,5994549842.55,-3465113272.7
2018-03-08,SMGR.JK,12368090421.96,6387230972.07,5980859449.89
2018-03-09,SMGR.JK,3596730441.1,6148915669.57,-2552185228.47
2018-03-12,SMGR.JK,7263957318.25,5014357782.93,2249599535.32
2018-03-13,SMGR.JK,1102850189.69,1476266620.57,-373416430.88
2018-03-14,SMGR.JK,1907381170.55,2665028579.45,-757647408.9
2018-03-15,SMGR.JK,2627282989.38,2463359097.86,163923891.53
2018-03-16,SMGR.JK,13036303888.85,12870586675.12,165717213.73
2018-03-19,SMGR.JK,2720294882.18,3087696836.29,-367401954.11
2018-03-20,SMGR.JK,1341223838.33,1387202104.75,-45978266.42
2018-03-21,SMGR.JK,4193971957.66,6787320807.18,-2593348849.52
2018-03-22,SMGR.JK,6975238429.92,13559473715.26,-6584235285.35
2018-03-23,SMGR.JK,3279212159.7,8872163485.08,-5592951325.38
2018-03-26,SMGR.JK,9208697784.21,5297707000.74,3910990783.48
2018-03-27,SMGR.JK,3405449070.7,2987996199.73,417452870.97
2018-03-28,SMGR.JK,3168887038.92,3438601591.5,-269714552.58
