date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,SRIL.JK,0.0,0.0,0.0
2018-01-02,SRIL.JK,1736161296.46,2979185955.0,-1243024658.54
2018-01-03,SRIL.JK,2051150618.29,3712561359.67,-1661410741.38
2018-01-04,SRIL.JK,14252483984.14,10272849854.05,3979634130.09
2018-01-05,SRIL.JK,779805894.98,599956387.05,179849507.93
2018-01-08,SRIL.JK,12392193906.21,5094448304.75,7297745601.46
2018-01-09,SRIL.JK,661539609.9,1195060290.61,-533520680.71
2018-01-10,SRIL.JK,11531173971.26,7759639966.15,3771534005.1
2018-01-11,SRIL.JK,8620771998.91,8457166341.29,163605657.62
2018-01-12,SRIL.JK,7545775467.81,14756530972.75,-7210755504.94
2018-01-15,SRIL.JK,2670379153.84,2704598548.92,-34219395.08
2018-01-16,SRIL.JK,5119731691.5,4645570352.82,474161338.69
2018-01-17,SRIL.JK,6293417952.84,4659367421.99,1634050530.85
2018-01-18,SRIL.JK,473368599.01,723111619.02,-249743020.01
2018-01-19,SRIL.JK,4042447912.33,4063253533.12,-20805620.79
2018-01-22,SRIL.JK,1600304058.17,1884123015.48,-283818957.31
2018-01-23,SRIL.JK,2600908095.9,2359346368.3,241561727.61
2018-01-24,SRIL.JK,1512204231.28,1487132307.17,25071924.11
2018-01-25,SRIL.JK,1292081068.63,1308322648.26,-16241579.63
2018-01-26,SRIL.JK,11914088419.06,5582210395.96,6331878023.1
2018-01-29,SRIL.JK,9545898535.01,6742952264.6,2802946270.42
2018-01-30,SRIL.JK,4920992302.94,6952153047.4,-2031160744.45
2018-01-31,SRIL.JK,1405017584.81,1987787137.06,-582769552.26
2018-02-01,SRIL.JK,2248324041.5,1266447846.62,981876194.88
2018-02-02,SRIL.JK,981295315.9,2202101386.3,-1220806070.4
2018-02-05,SRIL.JK,806576325.5,1274625771.47,-468049445.97
2018-02-06,SRIL.JK,7382899006.04,52880282770.42,-45497383764.38
2018-02-07,SRIL.JK,47948572403.79,109451097463.59,-61502525059.8
2018-02-08,SRIL.JK,27937103856.43,35527283988.55,-7590180132.12
2018-02-09,SRIL.JK,6152987032.01,8656459430.66,-2503472398.65
2018-02-12,SRIL.JK,86490640801.64,7785491109.45,78705149692.19
2018-02-13,SRIL.JK,7507866669.04,8096191751.76,-588325082.72
2018-02-14,SRIL.JK,997496562.22,995933833.04,1562729.18
2018-02-15,SRIL.JK,39257076995.44,19849333562.19,19407743433.25
2018-02-16,SRIL.JK,0.0,0.0,0.0
2018-02-19,SRIL.JK,7709167883.53,16761170385.19,-9052002501.66
2018-02-20,SRIL.JK,2902996182.15,4795355336.74,-1892359154.59
2018-02-21,SRIL.JK,4267492094.3,3832880281.87,434611812.43
2018-02-22,SRIL.JK,2110069511.11,2434509858.32,-324440347.22
2018-02-23,SRIL.JK,1670902665.32,1980803732.8,-309901067.48
2018-02-26,SRIL.JK,3603183750.05,3801405253.58,-198221503.53
2018-02-27,SRIL.JK,1899731201.35,1989994299.57,-90263098.22
2018-02-28,SRIL.JK,2824986066.52,3009794858.03,-184808791.51
2018-03-01,SRIL.JK,5899725303.64,5647689442.4,252035861.24
2018-03-02,SRIL.JK,4994715335.65,3349201823.6,1645513512.05
2018-03-05,SRIL.JK,4312176721.92,5990276599.37,-1678099877.45
2018-03-06,SRIL.JK,2021405877.84,2155744094.73,-134338216.88
2018-03-07,SRIL.JK,12034070212.45,17757932403.42,-5723862190.97
2018-03-08,SRIL.JK,1834893316.88,2735906944.81,-901013627.94
2018-03-09,SRIL.JK,2632417506.05,2065328756.73,567088749.31
2018-03-12,SRIL.JK,1320518055.77,840208331.07,480309724.7
2018-03-13,SRIL.JK,66011172855.09,16955547489.14,49055625365.95
2018-03-14,SRIL.JK,6546038165.55,5581293268.54,964744897.01
2018-03-15,SRIL.JK,2768441081.69,3492953672.95,-724512591.26
2018-03-16,SRIL.JK,1803253421.79,3436120723.7,-1632867301.91
2018-03-19,SRIL.JK,2395132487.33,2161175130.88,233957356.46
2018-03-20,SRIL.JK,2345367749.32,2334985601.38,10382147.94
2018-03-21,SRIL.JK,3591275917.35,2685317413.94,905958503.41
2018-03-22,SRIL.JK,1445987677.15,2293792174.67,-847804497.52
2018-03-23,SRIL.JK,1169067873.79,1751204987.8,-582137114.01
2018-03-26,SRIL.JK,694620275.33,694367265.68,253009.65
2018-03-27,SRIL.JK,5659449821.2,4882532754.51,776917066.69
2018-03-28,SRIL.JK,590296982.76,776308939.16,-186011956.4
2018-03-29,SRIL.JK,725582178.79,735134609.98,-9552431.19
2018-03-30,SRIL.JK,0.0,0.0,0.0
2018-04-02,SRIL.JK,710311584.39,553142924.46,157168659.94
2018-04-03,SRIL.JK,1319179880.73,1437680846.09,-118500965.36
2018-04-04,SRIL.JK,10523707306.43,15271479636.3,-4747772329.86
2018-04-05,SRIL.JK,1274940718.59,1123941694.55,150999024.04
2018-04-06,SRIL.JK,977589498.13,945763259.85,31826238.28
2018-04-09,SRIL.JK,465844603.06,326937662.69,138906940.37
2018-04-10,SRIL.JK,524580256.12,561401175.98,-36820919.87
2018-04-11,SRIL.JK,1330912473.17,1247930402.12,82982071.05
2018-04-12,SRIL.JK,677530911.75,532356390.01,145174521.75
2018-04-13,SRIL.JK,352129695.16,360383631.98,-8253936.81
2018-04-16,SRIL.JK,0.0,0.0,0.0
2018-04-17,SRIL.JK,0.0,0.0,0.0
2018-04-18,SRIL.JK,2016163018.59,2121169676.09,-105006657.5
2018-04-19,SRIL.JK,0.0,0.0,0.0
2018-04-20,SRIL.JK,0.0,0.0,0.0
2018-04-23,SRIL.JK,13775300207.29,7999884040.5,5775416166.8
2018-04-24,SRIL.JK,888022926.89,912246199.17,-24223272.29
2018-04-25,SRIL.JK,0.0,0.0,0.0
2018-04-26,SRIL.JK,0.0,0.0,0.0
2018-04-27,SRIL.JK,0.0,0.0,0.0
2018-04-30,SRIL.JK,1842018434.35,1765170800.24,76847634.1
2018-05-01,SRIL.JK,0.0,0.0,0.0
2018-05-02,SRIL.JK,1322793283.18,1708343542.33,-385550259.15
2018-05-03,SRIL.JK,1533247004.27,2431822913.47,-898575909.2
2018-05-04,SRIL.JK,824007177.01,829537420.94,-5530243.93
2018-05-07,SRIL.JK,1348545367.66,1280607362.2,67938005.45
2018-05-08,SRIL.JK,1261777232.31,1514063839.81,-252286607.49
2018-05-09,SRIL.JK,1033920403.01,1244743616.4,-210823213.39
2018-05-10,SRIL.JK,0.0,0.0,0.0
2018-05-11,SRIL.JK,694035549.59,532137355.6,161898193.99
2018-05-14,SRIL.JK,773430082.39,1124457113.76,-351027031.37
2018-05-15,SRIL.JK,709422328.59,1016709662.14,-307287333.55
2018-05-16,SRIL.JK,1433781516.57,1523918240.2,-90136723.63
2018-05-17,SRIL.JK,1958701449.06,1554068772.96,404632676.1
2018-05-18,SRIL.JK,1014863339.6,878228600.02,136634739.58
2018-05-21,SRIL.JK,894764340.45,911347128.18,-16582787.73
2018-05-22,SRIL.JK,620909218.65,636713544.89,-15804326.24
2018-05-23,SRIL.JK,1181667538.22,1065149377.44,116518160.78
2018-05-24,SRIL.JK,4287274141.1,1676335824.33,2610938316.76
2018-05-25,SRIL.JK,6560881545.96,6705029868.23,-144148322.27
2018-05-28,SRIL.JK,1498218379.61,1073426836.85,424791542.76
2018-05-29,SRIL.JK,0.0,0.0,0.0
2018-05-30,SRIL.JK,906548306.12,1098643178.72,-192094872.6
2018-05-31,SRIL.JK,16781529914.77,3630617733.59,13150912181.18
2018-06-01,SRIL.JK,0.0,0.0,0.0
2018-06-04,SRIL.JK,1898114832.72,2993382801.72,-1095267969.0
2018-06-05,SRIL.JK,3631031042.51,3270511786.4,360519256.11
2018-06-06,SRIL.JK,8646714493.8,4609467944.95,4037246548.84
2018-06-07,SRIL.JK,5979487900.43,4261310171.27,1718177729.16
2018-06-08,SRIL.JK,1587126480.79,2605264894.18,-1018138413.39
2018-06-11,SRIL.JK,0.0,0.0,0.0
2018-06-12,SRIL.JK,0.0,0.0,0.0
2018-06-13,SRIL.JK,0.0,0.0,0.0
2018-06-14,SRIL.JK,0.0,0.0,0.0
2018-06-15,SRIL.JK,0.0,0.0,0.0
2018-06-18,SRIL.JK,0.0,0.0,0.0
2018-06-19,SRIL.JK,0.0,0.0,0.0
2018-06-20,SRIL.JK,423077973.51,857932127.41,-434854153.91
2018-06-21,SRIL.JK,854320158.82,972923270.59,-118603111.76
2018-06-22,SRIL.JK,889258939.3,1187406231.92,-298147292.62
2018-06-25,SRIL.JK,1219339274.1,1518997743.1,-299658469.0
2018-06-26,SRIL.JK,3493972877.68,1629373330.0,1864599547.68
2018-06-27,SRIL.JK,698624024.83,595967701.48,102656323.35
