date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,TINS.JK,0.0,0.0,0.0
2018-01-02,TINS.JK,1009802245.53,558464490.77,451337754.76
2018-01-03,TINS.JK,2219437225.65,739658113.47,1479779112.18
2018-01-04,TINS.JK,2253043859.6,1286353803.94,966690055.67
2018-01-05,TINS.JK,701558731.89,786905277.26,-85346545.36
2018-01-08,TINS.JK,995541141.0,1644554256.33,-649013115.33
2018-01-09,TINS.JK,1659696083.59,1796573967.03,-136877883.44
2018-01-10,TINS.JK,840265315.22,845462255.24,-5196940.02
2018-01-11,TINS.JK,1133700295.19,842008754.58,291691540.61
2018-01-12,TINS.JK,9217941461.6,421306272.41,8796635189.18
2018-01-15,TINS.JK,1930761093.32,3713093894.27,-1782332800.95
2018-01-16,TINS.JK,8460523993.94,2184186503.67,6276337490.27
2018-01-17,TINS.JK,32156467951.78,4375419932.91,27781048018.86
2018-01-18,TINS.JK,10125312134.44,11191472176.21,-1066160041.76
2018-01-19,TINS.JK,4153087239.27,3719355242.86,433731996.41
2018-01-22,TINS.JK,7131857309.07,2501251026.79,4630606282.28
2018-01-23,TINS.JK,3495129688.93,4320841532.5,-825711843.58
2018-01-24,TINS.JK,2812208963.94,3551002185.73,-738793221.79
2018-01-25,TINS.JK,17652883093.23,2085212032.22,15567671061.02
2018-01-26,TINS.JK,13673031634.77,5449686651.27,8223344983.5
2018-01-29,TINS.JK,12268732015.78,5382548122.95,6886183892.84
2018-01-30,TINS.JK,3918193992.86,14271384346.58,-10353190353.73
2018-01-31,TINS.JK,3588045563.29,4428756871.7,-840711308.41
2018-02-01,TINS.JK,3889756798.99,2035954814.39,1853801984.6
2018-02-02,TINS.JK,2166583309.98,2644048411.83,-477465101.85
2018-02-05,TINS.JK,803676224.88,2882856007.15,-2079179782.26
2018-02-06,TINS.JK,3546742208.17,13587509565.03,-10040767356.86
2018-02-07,TINS.JK,3164442075.94,1256857285.59,1907584790.35
2018-02-08,TINS.JK,1521737926.47,1806596482.21,-284858555.73
2018-02-09,TINS.JK,1910227695.77,3558759969.43,-1648532273.66
2018-02-12,TINS.JK,2569547632.62,1828225061.25,741322571.36
2018-02-13,TINS.JK,4590529624.91,1702198185.03,2888331439.88
2018-02-14,TINS.JK,6245945599.59,1253376538.74,4992569060.84
2018-02-15,TINS.JK,5829901026.66,2755276932.87,3074624093.79
2018-02-16,TINS.JK,0.0,0.0,0.0
2018-02-19,TINS.JK,4822921221.32,3780198250.48,1042722970.84
2018-02-20,TINS.JK,1429917576.78,2160535489.02,-730617912.24
2018-02-21,TINS.JK,2928298990.32,1837953618.98,1090345371.34
2018-02-22,TINS.JK,682701412.35,1307601809.95,-624900397.6
2018-02-23,TINS.JK,1452356906.27,1595360194.45,-143003288.18
2018-02-26,TINS.JK,1775825749.32,1147049228.23,628776521.09
2018-02-27,TINS.JK,31884228686.07,1481860068.79,30402368617.27
2018-02-28,TINS.JK,7521141290.15,9407518107.68,-1886376817.53
2018-03-01,TINS.JK,2163720215.21,1418267713.88,745452501.33
2018-03-02,TINS.JK,1265947529.36,1453805182.64,-187857653.28
2018-03-05,TINS.JK,8948519208.71,2640260975.33,6308258233.38
2018-03-06,TINS.JK,3136704268.84,5668223569.21,-2531519300.38
2018-03-07,TINS.JK,2069673877.34,5789223464.28,-3719549586.94
2018-03-08,TINS.JK,3013727142.0,2868305646.29,145421495.71
2018-03-09,TINS.JK,2355217141.48,4079490497.05,-1724273355.57
2018-03-12,TINS.JK,2184612711.35,1248575025.47,936037685.88
2018-03-13,TINS.JK,1086318794.85,919137477.34,167181317.52
2018-03-14,TINS.JK,646317259.1,1805355028.82,-1159037769.73
2018-03-15,TINS.JK,385054813.88,2652472117.28,-2267417303.4
2018-03-16,TINS.JK,1510194187.54,2284413060.86,-774218873.32
2018-03-19,TINS.JK,1002471209.65,1758034544.5,-755563334.84
2018-03-20,TINS.JK,3259566723.47,2947428859.94,312137863.53
2018-03-21,TINS.JK,1007030395.19,436057165.86,570973229.33
2018-03-22,TINS.JK,1155877982.02,3262960406.09,-2107082424.08
2018-03-23,TINS.JK,804229507.26,1207871970.11,-403642462.85
2018-03-26,TINS.JK,476024975.69,240111388.18,235913587.51
2018-03-27,TINS.JK,857011835.61,2735508194.04,-1878496358.43
2018-03-28,TINS.JK,177402468.09,227295117.89,-49892649.8
2018-03-29,TINS.JK,587386573.12,599279957.61,-11893384.49
2018-03-30,TINS.JK,0.0,0.0,0.0
2018-04-02,TINS.JK,3418104024.34,3473672539.21,-55568514.86
2018-04-03,TINS.JK,2657713359.83,925020298.67,1732693061.16
2018-04-04,TINS.JK,1318165254.34,3053613860.98,-1735448606.64
2018-04-05,TINS.JK,2027432244.14,669970083.89,1357462160.25
2018-04-06,TINS.JK,2634997453.75,882377378.92,1752620074.83
2018-04-09,TINS.JK,5475853670.62,1647376092.59,3828477578.04
2018-04-10,TINS.JK,4665680403.77,4080516930.8,585163472.97
2018-04-11,TINS.JK,9762005468.58,3181228405.75,6580777062.84
2018-04-12,TINS.JK,1955442697.02,5306238505.61,-3350795808.6
2018-04-13,TINS.JK,1542982556.76,3023847440.45,-1480864883.69
2018-04-16,TINS.JK,0.0,0.0,0.0
2018-04-17,TINS.JK,0.0,0.0,0.0
2018-04-18,TINS.JK,4618689152.92,3674572100.57,944117052.35
2018-04-19,TINS.JK,0.0,0.0,0.0
2018-04-20,TINS.JK,0.0,0.0,0.0
2018-04-23,TINS.JK,1753971513.52,811039761.52,942931752.0
2018-04-24,TINS.JK,1858537459.68,2614772422.77,-756234963.09
2018-04-25,TINS.JK,0.0,0.0,0.0
2018-04-26,TINS.JK,0.0,0.0,0.0
2018-04-27,TINS.JK,0.0,0.0,0.0
2018-04-30,TINS.JK,530596331.16,2073338806.43,-1542742475.27
2018-05-01,TINS.JK,0.0,0.0,0.0
2018-05-02,TINS.JK,896203356.48,1633474020.89,-737270664.42
2018-05-03,TINS.JK,190186672.1,933620800.01,-743434127.91
2018-05-04,TINS.JK,563349441.39,1175004267.13,-611654825.74
2018-05-07,TINS.JK,1357867917.15,1978266398.9,-620398481.74
2018-05-08,TINS.JK,1326375991.13,1861434257.86,-535058266.73
2018-05-09,TINS.JK,2433960079.34,807924427.59,1626035651.75
2018-05-10,TINS.JK,0.0,0.0,0.0
2018-05-11,TINS.JK,787541500.12,526556240.82,260985259.3
2018-05-14,TINS.JK,498175627.79,1031265638.08,-533090010.29
2018-05-15,TINS.JK,286388784.42,152697442.7,133691341.72
2018-05-16,TINS.JK,289716766.45,614353060.36,-324636293.91
2018-05-17,TINS.JK,675169848.03,626581575.86,48588272.17
2018-05-18,TINS.JK,1408317384.84,732997738.9,675319645.93
2018-05-21,TINS.JK,2558732018.73,997691755.74,1561040262.98
2018-05-22,TINS.JK,513136885.36,778747495.44,-265610610.08
2018-05-23,TINS.JK,1113064380.41,3114972577.62,-2001908197.21
2018-05-24,TINS.JK,1351988962.33,304998697.85,1046990264.48
2018-05-25,TINS.JK,811217566.73,2006687629.63,-1195470062.9
2018-05-28,TINS.JK,1089765149.74,696248550.57,393516599.17
2018-05-29,TINS.JK,0.0,0.0,0.0
2018-05-30,TINS.JK,492387156.9,885485955.86,-393098798.96
2018-05-31,TINS.JK,316088521.53,389251952.67,-73163431.14
2018-06-01,TINS.JK,0.0,0.0,0.0
2018-06-04,TINS.JK,726340535.91,404648623.19,321691912.71
2018-06-05,TINS.JK,311429320.19,300131270.1,11298050.08
2018-06-06,TINS.JK,9295862815.83,2882507230.77,6413355585.05
2018-06-07,TINS.JK,863609386.73,1066552018.83,-202942632.11
2018-06-08,TINS.JK,543732148.02,725094373.72,-181362225.69
2018-06-11,TINS.JK,0.0,0.0,0.0
2018-06-12,TINS.JK,0.0,0.0,0.0
2018-06-13,TINS.JK,0.0,0.0,0.0
2018-06-14,TINS.JK,0.0,0.0,0.0
2018-06-15,TINS.JK,0.0,0.0,0.0
2018-06-18,TINS.JK,0.0,0.0,0.0
2018-06-19,TINS.JK,0.0,0.0,0.0
2018-06-20,TINS.JK,414570251.03,2026962095.63,-1612391844.6
2018-06-21,TINS.JK,242557951.32,452943156.34,-210385205.02
2018-06-22,TINS.JK,554959787.29,1351509869.86,-796550082.57
2018-06-25,TINS.JK,780045032.5,2991680691.33,-2211635658.83
2018-06-26,TINS.JK,616605197.55,766300038.25,-149694840.7
2018-06-27,TINS.JK,290711652.31,816912041.53,-526200389.22
2018-06-28,TINS.JK,466053168.12,974974750.15,-508921582.02
2018-06-29,TINS.JK,967250884.96,665399928.12,301850956.84
2018-07-02,TINS.JK,327125754.41,576153949.22,-249028194.82
2018-07-03,TINS.JK,1082075444.42,967993348.89,114082095.53
2018-07-04,TINS.JK,637649526.75,285597661.0,352051865.75
2018-07-05,TINS.JK,1117526225.81,1400687612.52,-283161386.71
2018-07-06,TINS.JK,282353097.61,452934511.77,-170581414.16
2018-07-09,TINS.JK,284850864.79,216843643.2,68007221.59
2018-07-10,TINS.JK,1583441021.17,1479567316.13,103873705.04
2018-07-11,TINS.JK,1204011743.63,1124629487.2,79382256.43
2018-07-12,TINS.JK,2562949243.08,2075627362.4,487321880.67
2018-07-13,TINS.JK,7118770338.47,2191769065.44,4927001273.02
2018-07-16,TINS.JK,540060787.94,1222745719.24,-682684931.3
2018-07-17,TINS.JK,1143344351.36,1517088119.95,-373743768.59
2018-07-18,TINS.JK,1196615621.39,418309895.13,778305726.25
2018-07-19,TINS.JK,326368218.42,432428449.25,-106060230.84
2018-07-20,TINS.JK,635517159.93,417760331.57,217756828.35
2018-07-23,TINS.JK,264309218.04,389482921.23,-125173703.19
2018-07-24,TINS.JK,593570412.51,713163106.57,-119592694.06
2018-07-25,TINS.JK,879987910.37,689443173.7,190544736.67
2018-07-26,TINS.JK,1640118185.02,1363805255.38,276312929.64
2018-07-27,TINS.JK,505942108.19,440913318.79,65028789.41
2018-07-30,TINS.JK,3388625830.63,908553634.42,2480072196.21
2018-07-31,TINS.JK,401669366.06,1709075533.59,-1307406167.53
2018-08-01,TINS.JK,918443645.09,574392815.23,344050829.86
2018-08-02,TINS.JK,451524258.59,1123854870.03,-672330611.45
2018-08-03,TINS.JK,966773075.82,611082259.7,355690816.12
2018-08-06,TINS.JK,670291937.24,348786595.27,321505341.97
2018-08-07,TINS.JK,787907145.34,824141412.04,-36234266.7
2018-08-08,TINS.JK,824497587.71,1239485425.81,-414987838.1
2018-08-09,TINS.JK,415795899.46,609222580.25,-193426680.78
2018-08-10,TINS.JK,1019310060.36,832127130.95,187182929.41
2018-08-13,TINS.JK,463656396.53,1280084454.3,-816428057.77
2018-08-14,TINS.JK,748577388.66,1634986215.38,-886408826.72
2018-08-15,TINS.JK,653533758.5,492715761.88,160817996.62
2018-08-16,TINS.JK,384743143.8,1007955587.41,-623212443.61
2018-08-17,TINS.JK,0.0,0.0,0.0
2018-08-20,TINS.JK,1097245234.28,478098688.68,619146545.61
2018-08-21,TINS.JK,428849366.33,683193411.96,-254344045.63
2018-08-22,TINS.JK,0.0,0.0,0.0
2018-08-23,TINS.JK,1840536036.64,1608884235.66,231651800.98
2018-08-24,TINS.JK,422206190.44,393800888.54,28405301.91
2018-08-27,TINS.JK,1003646359.6,807693273.78,195953085.82
2018-08-28,TINS.JK,417567889.18,464710888.22,-47142999.03
2018-08-29,TINS.JK,348213586.01,465038774.75,-116825188.74
