date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,TKIM.JK,0.0,0.0,0.0
2018-01-02,TKIM.JK,528917106.78,355247337.8,173669768.98
2018-01-03,TKIM.JK,161790994.33,155413082.24,6377912.09
2018-01-04,TKIM.JK,245550781.35,212897698.48,32653082.88
2018-01-05,TKIM.JK,3441390916.5,1839566937.52,1601823978.97
2018-01-08,TKIM.JK,534215342.77,689609441.65,-155394098.88
2018-01-09,TKIM.JK,659330768.61,968591299.67,-309260531.05
2018-01-10,TKIM.JK,900745533.38,555574906.8,345170626.59
2018-01-11,TKIM.JK,1940509749.1,657139073.39,1283370675.71
2018-01-12,TKIM.JK,2048789802.01,1683350491.4,365439310.6
2018-01-15,TKIM.JK,2021046246.44,1587095268.66,433950977.78
2018-01-16,TKIM.JK,6678706738.75,0.0,6678706738.75
2018-01-17,TKIM.JK,9582670300.81,5037418044.97,4545252255.84
2018-01-18,TKIM.JK,2655573456.86,1998472911.82,657100545.04
2018-01-19,TKIM.JK,12733745342.91,865474025.73,11868271317.18
2018-01-22,TKIM.JK,10994530130.03,2560405561.54,8434124568.5
2018-01-23,TKIM.JK,10333727135.33,570796179.25,9762930956.07
2018-01-24,TKIM.JK,3495758952.28,3272911721.26,222847231.02
2018-01-25,TKIM.JK,2681432739.42,930378075.81,1751054663.61
2018-01-26,TKIM.JK,2103193309.85,1541979477.02,561213832.83
2018-01-29,TKIM.JK,4960709606.45,6340002780.58,-1379293174.13
2018-01-30,TKIM.JK,1652772553.39,1818845298.12,-166072744.73
2018-01-31,TKIM.JK,17775276620.77,6294137459.35,11481139161.41
2018-02-01,TKIM.JK,7786688190.22,4184264488.41,3602423701.81
2018-02-02,TKIM.JK,1886584193.57,8319815697.02,-6433231503.45
2018-02-05,TKIM.JK,1629418244.46,3826749017.31,-2197330772.85
2018-02-06,TKIM.JK,1791270491.48,10652600972.44,-8861330480.96
2018-02-07,TKIM.JK,1663844796.59,1643539476.6,20305319.99
2018-02-08,TKIM.JK,287592619.4,613792805.1,-326200185.7
2018-02-09,TKIM.JK,1271611766.57,3287419093.33,-2015807326.76
2018-02-12,TKIM.JK,681220492.59,208171306.23,473049186.36
2018-02-13,TKIM.JK,964664814.94,648582495.04,316082319.9
2018-02-14,TKIM.JK,616208285.31,370383314.42,245824970.89
2018-02-15,TKIM.JK,1332368768.07,751463028.92,580905739.15
2018-02-16,TKIM.JK,0.0,0.0,0.0
2018-02-19,TKIM.JK,7125364423.93,1077191175.68,6048173248.25
