date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,TLKM.JK,0.0,0.0,0.0
2018-01-02,TLKM.JK,8071522345.9,12395742275.95,-4324219930.05
2018-01-03,TLKM.JK,13911446524.02,52583794179.73,-38672347655.71
2018-01-04,TLKM.JK,14161323616.88,17747560245.42,-3586236628.54
2018-01-05,TLKM.JK,19558240323.21,12357241551.97,7200998771.24
2018-01-08,TLKM.JK,23010403129.76,25587675241.18,-2577272111.42
2018-01-09,TLKM.JK,38109723055.29,59015531628.25,-20905808572.97
2018-01-10,TLKM.JK,31523490860.85,37163031544.88,-5639540684.03
2018-01-11,TLKM.JK,36638312615.79,37767827432.42,-1129514816.63
2018-01-12,TLKM.JK,19430009756.06,25300942334.11,-5870932578.05
2018-01-15,TLKM.JK,23170299983.07,25882969675.3,-2712669692.23
2018-01-16,TLKM.JK,62575319775.44,31401462922.59,31173856852.86
2018-01-17,TLKM.JK,33980530356.9,37713812391.66,-3733282034.76
2018-01-18,TLKM.JK,47542049819.79,62970185195.08,-15428135375.29
2018-01-19,TLKM.JK,31263701589.95,34161556543.33,-2897854953.38
2018-01-22,TLKM.JK,13078637384.05,18790507087.58,-5711869703.53
2018-01-23,TLKM.JK,82176047777.29,100187819666.56,-18011771889.27
2018-01-24,TLKM.JK,37947327811.17,76507385753.67,-38560057942.5
2018-01-25,TLKM.JK,89067437610.17,106156792106.35,-17089354496.19
2018-01-26,TLKM.JK,68710374754.39,19768915322.67,48941459431.72
2018-01-29,TLKM.JK,42892622542.43,75658219555.49,-32765597013.07
2018-01-30,TLKM.JK,16583206214.87,31020960294.39,-14437754079.52
2018-01-31,TLKM.JK,57277411932.38,54093090836.44,3184321095.93
2018-02-01,TLKM.JK,42704131657.18,44750384565.47,-2046252908.29
2018-02-02,TLKM.JK,14740128927.23,13321263755.52,1418865171.72
2018-02-05,TLKM.JK,15081078160.28,14055422226.45,1025655933.83
2018-02-06,TLKM.JK,40630493655.33,65581630887.95,-24951137232.62
2018-02-07,TLKM.JK,50300219423.51,44276033628.45,6024185795.06
2018-02-08,TLKM.JK,32794770502.54,25796143945.14,6998626557.4
2018-02-09,TLKM.JK,28203361252.15,50903217987.47,-22699856735.33
2018-02-12,TLKM.JK,9451802997.77,7903540101.24,1548262896.53
2018-02-13,TLKM.JK,25701785378.88,14208124239.4,11493661139.48
2018-02-14,TLKM.JK,26216407008.17,25219176117.19,997230890.98
2018-02-15,TLKM.JK,10750869190.27,15170619896.93,-4419750706.66
2018-02-16,TLKM.JK,0.0,0.0,0.0
2018-02-19,TLKM.JK,46839356885.91,42189016087.58,4650340798.34
2018-02-20,TLKM.JK,17291986005.2,15348364924.42,1943621080.78
2018-02-21,TLKM.JK,15874392208.6,16436642530.71,-562250322.11
2018-02-22,TLKM.JK,30043765174.9,41767015830.43,-11723250655.53
2018-02-23,TLKM.JK,10530697026.83,9438013924.87,1092683101.96
2018-02-26,TLKM.JK,20833614885.91,23562469282.74,-2728854396.83
2018-02-27,TLKM.JK,25603086124.54,34921086920.2,-9318000795.65
2018-02-28,TLKM.JK,46404481161.05,51625228717.93,-5220747556.88
2018-03-01,TLKM.JK,54949419974.88,36740921074.9,18208498899.98
2018-03-02,TLKM.JK,12596210204.61,10627475853.4,1968734351.21
2018-03-05,TLKM.JK,17439777064.3,22741679274.82,-5301902210.52
2018-03-06,TLKM.JK,17748583803.66,16888527281.46,860056522.2
2018-03-07,TLKM.JK,19077466978.36,21826379790.83,-2748912812.47
2018-03-08,TLKM.JK,35755858901.22,11463500287.88,24292358613.34
