date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,TOWR.JK,0.0,0.0,0.0
2018-01-02,TOWR.JK,31963261.22,44081931.4,-12118670.18
2018-01-03,TOWR.JK,854223622.35,613594362.31,240629260.04
2018-01-04,TOWR.JK,52120779.48,63768297.76,-11647518.28
2018-01-05,TOWR.JK,2414258.19,2448682.98,-34424.78
2018-01-08,TOWR.JK,36325316.78,27501550.48,8823766.3
2018-01-09,TOWR.JK,163145908.41,186872134.29,-23726225.88
2018-01-10,TOWR.JK,125389515.38,122355474.85,3034040.54
2018-01-11,TOWR.JK,40629331.48,68487932.28,-27858600.8
2018-01-12,TOWR.JK,184022614.19,95990607.21,88032006.98
2018-01-15,TOWR.JK,26800564.49,59314276.07,-32513711.58
2018-01-16,TOWR.JK,14277402.56,8194879.36,6082523.2
2018-01-17,TOWR.JK,78030396.78,91053186.82,-13022790.04
2018-01-18,TOWR.JK,277435838.55,205947132.32,71488706.23
2018-01-19,TOWR.JK,44610138993.02,58942134790.33,-14331995797.31
2018-01-22,TOWR.JK,45872814.69,28867591.42,17005223.27
2018-01-23,TOWR.JK,11699844.1,13339779.56,-1639935.46
2018-01-24,TOWR.JK,341801742.35,363035218.97,-21233476.62
2018-01-25,TOWR.JK,47939255.81,87014104.11,-39074848.29
2018-01-26,TOWR.JK,326863994.95,300271704.44,26592290.51
2018-01-29,TOWR.JK,92524704.29,131092386.89,-38567682.6
2018-01-30,TOWR.JK,24864306.23,37741410.24,-12877104.01
2018-01-31,TOWR.JK,200237446.26,378144629.46,-177907183.2
2018-02-01,TOWR.JK,498260862.5,658736714.75,-160475852.25
2018-02-02,TOWR.JK,180215015.46,138839391.42,41375624.04
2018-02-05,TOWR.JK,196548536.01,345140647.01,-148592111.0
2018-02-06,TOWR.JK,331972486.07,371726685.37,-39754199.3
2018-02-07,TOWR.JK,369320852.99,283281310.76,86039542.23
2018-02-08,TOWR.JK,393426366.75,609327922.52,-215901555.77
2018-02-09,TOWR.JK,89266731.99,168010284.92,-78743552.93
2018-02-12,TOWR.JK,956787943.23,128959260.33,827828682.9
2018-02-13,TOWR.JK,73285060.08,377794128.38,-304509068.3
2018-02-14,TOWR.JK,89884422.06,66722832.44,23161589.62
2018-02-15,TOWR.JK,534702099.36,959507816.97,-424805717.61
2018-02-16,TOWR.JK,0.0,0.0,0.0
2018-02-19,TOWR.JK,28998497.64,12437378.01,16561119.63
2018-02-20,TOWR.JK,78176517.98,178597693.03,-100421175.05
2018-02-21,TOWR.JK,989544622.3,983033449.77,6511172.53
2018-02-22,TOWR.JK,81209259.97,51726072.31,29483187.66
2018-02-23,TOWR.JK,191078637.38,110994562.55,80084074.83
2018-02-26,TOWR.JK,86496670.64,35228512.51,51268158.13
2018-02-27,TOWR.JK,98395104.46,382991700.1,-284596595.64
2018-02-28,TOWR.JK,31701287.95,42229802.11,-10528514.16
