date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,UNTR.JK,0.0,0.0,0.0
2018-01-02,UNTR.JK,4127402554.62,14021685986.68,-9894283432.06
2018-01-03,UNTR.JK,7788416756.52,21074751156.02,-13286334399.5
2018-01-04,UNTR.JK,10683696596.85,5711523258.83,4972173338.02
2018-01-05,UNTR.JK,21067605567.22,4423283415.39,16644322151.83
2018-01-08,UNTR.JK,12080108163.0,9889511120.62,2190597042.38
2018-01-09,UNTR.JK,5043902964.66,4452701201.68,591201762.98
2018-01-10,UNTR.JK,23697657655.09,9178792877.48,14518864777.61
2018-01-11,UNTR.JK,2238329113.98,2630130925.9,-391801811.92
2018-01-12,UNTR.JK,10817101527.81,10858020308.02,-40918780.21
2018-01-15,UNTR.JK,2639207827.26,2402300276.25,236907551.01
2018-01-16,UNTR.JK,9794453609.48,7925171292.2,1869282317.28
2018-01-17,UNTR.JK,7899264689.32,6348193607.15,1551071082.16
2018-01-18,UNTR.JK,2804242092.17,4091452260.41,-1287210168.24
2018-01-19,UNTR.JK,2898224301.89,2873676442.96,24547858.93
2018-01-22,UNTR.JK,8467603881.33,2842682450.3,5624921431.03
2018-01-23,UNTR.JK,6786514149.29,1415554331.02,5370959818.27
2018-01-24,UNTR.JK,11034528305.09,16114941273.7,-5080412968.61
2018-01-25,UNTR.JK,17078640135.08,17085617391.43,-6977256.35
2018-01-26,UNTR.JK,3525941955.45,4091084809.63,-565142854.18
2018-01-29,UNTR.JK,7841375167.83,7275576531.22,565798636.61
2018-01-30,UNTR.JK,7946127491.21,27367818202.75,-19421690711.54
2018-01-31,UNTR.JK,13249110701.59,10977232122.86,2271878578.73
2018-02-01,UNTR.JK,13121907545.55,14390992276.89,-1269084731.34
2018-02-02,UNTR.JK,4451471253.29,3127905180.07,1323566073.22
2018-02-05,UNTR.JK,4308298981.19,6638279822.59,-2329980841.4
2018-02-06,UNTR.JK,11164152186.42,19639626317.72,-8475474131.3
2018-02-07,UNTR.JK,17169223635.88,10360704054.16,6808519581.71
2018-02-08,UNTR.JK,5208590963.16,4075451680.85,1133139282.31
2018-02-09,UNTR.JK,14471232477.25,13979590830.41,491641646.84
2018-02-12,UNTR.JK,6036100989.97,12154728598.52,-6118627608.55
2018-02-13,UNTR.JK,8513953709.23,6806221434.22,1707732275.02
2018-02-14,UNTR.JK,2924586975.66,2928434234.62,-3847258.96
2018-02-15,UNTR.JK,3055148287.6,3301158421.63,-246010134.03
2018-02-16,UNTR.JK,0.0,0.0,0.0
2018-02-19,UNTR.JK,7834127871.69,5710339627.61,2123788244.08
2018-02-20,UNTR.JK,1386655243.67,3409892244.39,-2023237000.72
2018-02-21,UNTR.JK,9549076458.02,15463311658.07,-5914235200.06
2018-02-22,UNTR.JK,6341646056.46,16486706527.96,-10145060471.5
2018-02-23,UNTR.JK,19545774794.52,6844263300.93,12701511493.58
2018-02-26,UNTR.JK,2778027324.49,4126350747.46,-1348323422.97
2018-02-27,UNTR.JK,12844461756.67,13156775705.47,-312313948.79
2018-02-28,UNTR.JK,14974879177.68,33804037790.35,-18829158612.66
2018-03-01,UNTR.JK,18474156728.42,9040095970.68,9434060757.75
2018-03-02,UNTR.JK,7971981911.0,15073358841.56,-7101376930.57
2018-03-05,UNTR.JK,8582545904.52,14860351964.82,-6277806060.3
2018-03-06,UNTR.JK,12234497765.54,5945905572.1,6288592193.43
2018-03-07,UNTR.JK,4678964507.67,12726304115.77,-8047339608.1
2018-03-08,UNTR.JK,13323225072.76,7408667868.09,5914557204.67
2018-03-09,UNTR.JK,9710813604.1,8295812112.06,1415001492.04
2018-03-12,UNTR.JK,14091125879.22,11590493211.29,2500632667.93
2018-03-13,UNTR.JK,3876560031.3,11724276821.72,-7847716790.42
2018-03-14,UNTR.JK,3048442542.41,10428371612.17,-7379929069.76
2018-03-15,UNTR.JK,5388441981.33,6429221143.98,-1040779162.65
2018-03-16,UNTR.JK,4270539065.19,13785476744.51,-9514937679.33
2018-03-19,UNTR.JK,12258790681.29,14528882083.69,-2270091402.4
2018-03-20,UNTR.JK,10659744440.57,16999376600.23,-6339632159.66
2018-03-21,UNTR.JK,12292676240.68,7748131961.81,4544544278.87
2018-03-22,UNTR.JK,22994154753.01,16019923922.4,6974230830.61
2018-03-23,UNTR.JK,8530104949.27,14503206549.2,-5973101599.92
2018-03-26,UNTR.JK,8261253015.5,6963533948.78,1297719066.72
2018-03-27,UNTR.JK,32492781503.88,29013406139.43,3479375364.45
2018-03-28,UNTR.JK,12839794087.43,15586903004.61,-2747108917.18
2018-03-29,UNTR.JK,13347078850.58,12226127422.46,1120951428.12
2018-03-30,UNTR.JK,0.0,0.0,0.0
2018-04-02,UNTR.JK,6758880551.75,5608282386.86,1150598164.89
2018-04-03,UNTR.JK,9131306626.45,10505426462.49,-1374119836.04
2018-04-04,UNTR.JK,7431274906.62,8628540727.03,-1197265820.41
2018-04-05,UNTR.JK,15882099514.58,13026593823.4,2855505691.17
2018-04-06,UNTR.JK,5477667471.03,5364353389.44,113314081.59
2018-04-09,UNTR.JK,6391493985.61,936998742.62,5454495242.99
2018-04-10,UNTR.JK,13306359407.36,6060174986.71,7246184420.65
2018-04-11,UNTR.JK,6889700575.62,7440074121.86,-550373546.24
2018-04-12,UNTR.JK,6102619395.89,6952000413.48,-849381017.59
2018-04-13,UNTR.JK,3994844125.88,4531608208.77,-536764082.89
2018-04-16,UNTR.JK,0.0,0.0,0.0
2018-04-17,UNTR.JK,0.0,0.0,0.0
2018-04-18,UNTR.JK,19517202509.47,5821963162.03,13695239347.43
2018-04-19,UNTR.JK,0.0,0.0,0.0
2018-04-20,UNTR.JK,0.0,0.0,0.0
2018-04-23,UNTR.JK,11569695705.8,6065324021.83,5504371683.97
2018-04-24,UNTR.JK,8411390785.44,3653279867.49,4758110917.95
2018-04-25,UNTR.JK,0.0,0.0,0.0
2018-04-26,UNTR.JK,0.0,0.0,0.0
2018-04-27,UNTR.JK,0.0,0.0,0.0
2018-04-30,UNTR.JK,518623943.77,16262754515.56,-15744130571.79
2018-05-01,UNTR.JK,0.0,0.0,0.0
