date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,WSBP.JK,0.0,0.0,0.0
2018-01-02,WSBP.JK,1101340712.87,1570381803.53,-469041090.66
2018-01-03,WSBP.JK,2146090724.01,2689966601.67,-543875877.66
2018-01-04,WSBP.JK,2107602686.28,1415157667.73,692445018.55
2018-01-05,WSBP.JK,2642742092.01,1650643907.23,992098184.78
2018-01-08,WSBP.JK,27035444749.58,8686439598.87,18349005150.71
2018-01-09,WSBP.JK,14212837680.2,7844607832.86,6368229847.34
2018-01-10,WSBP.JK,5546297737.53,7683574066.78,-2137276329.24
2018-01-11,WSBP.JK,2084694412.86,2390528355.84,-305833942.98
2018-01-12,WSBP.JK,3017774472.9,4381940122.3,-1364165649.41
2018-01-15,WSBP.JK,4684643283.2,2996285970.15,1688357313.05
2018-01-16,WSBP.JK,2652489687.23,1747762170.64,904727516.6
2018-01-17,WSBP.JK,8967914814.29,3559317291.83,5408597522.46
2018-01-18,WSBP.JK,2718068671.34,4731479238.9,-2013410567.56
2018-01-19,WSBP.JK,2026485921.74,2082783967.59,-56298045.85
2018-01-22,WSBP.JK,1015337909.95,1336737550.68,-321399640.73
2018-01-23,WSBP.JK,1579782056.43,1225853171.88,353928884.54
2018-01-24,WSBP.JK,5094780804.27,2350833531.87,2743947272.4
2018-01-25,WSBP.JK,26712406771.13,1926379921.73,24786026849.4
2018-01-26,WSBP.JK,11649045511.92,13468989227.48,-1819943715.56
2018-01-29,WSBP.JK,5426849286.61,5725002601.75,-298153315.14
2018-01-30,WSBP.JK,5871973706.45,18233369291.0,-12361395584.55
2018-01-31,WSBP.JK,18211367865.09,18602991372.96,-391623507.87
2018-02-01,WSBP.JK,6215173619.65,6991771761.81,-776598142.16
2018-02-02,WSBP.JK,4280802192.08,4418416044.51,-137613852.43
2018-02-05,WSBP.JK,2889825429.73,3522322984.39,-632497554.66
2018-02-06,WSBP.JK,8516008699.71,22612204386.86,-14096195687.15
2018-02-07,WSBP.JK,2545473775.29,3204062431.14,-658588655.85
2018-02-08,WSBP.JK,17243174825.79,5168835233.57,12074339592.22
2018-02-09,WSBP.JK,3780361042.97,10552064822.21,-6771703779.24
2018-02-12,WSBP.JK,4341788498.93,2738317716.75,1603470782.18
2018-02-13,WSBP.JK,3306057288.18,3550292865.73,-244235577.54
2018-02-14,WSBP.JK,14726024084.18,7209497140.48,7516526943.69
2018-02-15,WSBP.JK,29555052257.76,15116864316.46,14438187941.3
2018-02-16,WSBP.JK,0.0,0.0,0.0
2018-02-19,WSBP.JK,14014844777.15,7633678757.38,6381166019.77
2018-02-20,WSBP.JK,6809197794.94,16888534551.85,-10079336756.91
2018-02-21,WSBP.JK,11917415164.28,11913801796.43,3613367.85
2018-02-22,WSBP.JK,9166079023.54,11448942610.06,-2282863586.52
2018-02-23,WSBP.JK,7461553881.18,12681673630.19,-5220119749.01
2018-02-26,WSBP.JK,1607450836.1,1655417749.69,-47966913.59
2018-02-27,WSBP.JK,20210735760.44,8482646336.89,11728089423.55
2018-02-28,WSBP.JK,1456027665.84,1846173867.89,-390146202.05
2018-03-01,WSBP.JK,11495601303.21,20869685963.01,-9374084659.8
