date,ticker,foreign_net_buy,foreign_net_sell,foreign_net_value
2018-01-01,WSKT.JK,0.0,0.0,0.0
2018-01-02,WSKT.JK,3599313754.31,5342696225.14,-1743382470.83
2018-01-03,WSKT.JK,4954265680.88,7797945977.49,-2843680296.61
2018-01-04,WSKT.JK,13936796934.0,3222427294.26,10714369639.73
2018-01-05,WSKT.JK,10971998721.7,7925357251.72,3046641469.98
2018-01-08,WSKT.JK,26910584283.89,7658367119.69,19252217164.2
2018-01-09,WSKT.JK,15362902050.54,4148136055.62,11214765994.92
2018-01-10,WSKT.JK,13060204873.23,11899081594.43,1161123278.8
2018-01-11,WSKT.JK,5727811046.01,3585230699.55,2142580346.46
2018-01-12,WSKT.JK,11054853403.09,12796029517.94,-1741176114.85
2018-01-15,WSKT.JK,6689285781.55,4308575724.24,2380710057.3
2018-01-16,WSKT.JK,26448287359.58,13450708287.08,12997579072.5
2018-01-17,WSKT.JK,11626958082.01,10064725507.05,1562232574.95
2018-01-18,WSKT.JK,2270874423.62,2492034789.92,-221160366.3
2018-01-19,WSKT.JK,1320901434.78,2172609087.48,-851707652.69
2018-01-22,WSKT.JK,2554296105.28,3857433008.1,-1303136902.82
2018-01-23,WSKT.JK,5824607313.86,3077464714.14,2747142599.72
2018-01-24,WSKT.JK,62430544611.33,11380712392.88,51049832218.44
2018-01-25,WSKT.JK,24377911636.59,13961226208.44,10416685428.16
2018-01-26,WSKT.JK,10036179729.92,9132260410.01,903919319.91
2018-01-29,WSKT.JK,3533309612.15,3672074225.22,-138764613.07
2018-01-30,WSKT.JK,7715937566.39,18111497250.46,-10395559684.08
2018-01-31,WSKT.JK,10540652758.67,6988990831.63,3551661927.04
2018-02-01,WSKT.JK,8613186157.45,12023862782.44,-3410676624.98
2018-02-02,WSKT.JK,4684583751.01,4033124646.42,651459104.59
2018-02-05,WSKT.JK,6089672753.78,5829226293.61,260446460.17
2018-02-06,WSKT.JK,15267959575.68,18897578952.88,-3629619377.21
2018-02-07,WSKT.JK,19072064645.38,12641562634.78,6430502010.6
2018-02-08,WSKT.JK,24585388758.47,11049700452.46,13535688306.01
2018-02-09,WSKT.JK,20061974533.03,21209244868.92,-1147270335.89
2018-02-12,WSKT.JK,8500402650.26,6669416955.94,1830985694.32
2018-02-13,WSKT.JK,10200251519.46,8154280948.33,2045970571.13
2018-02-14,WSKT.JK,6907842092.56,7342896823.35,-435054730.79
2018-02-15,WSKT.JK,7195047756.36,7930810668.75,-735762912.39
2018-02-16,WSKT.JK,0.0,0.0,0.0
2018-02-19,WSKT.JK,55813782250.87,7062176793.96,48751605456.91
2018-02-20,WSKT.JK,4530525813.55,10118969483.37,-5588443669.82
2018-02-21,WSKT.JK,7858494401.56,30526216257.94,-22667721856.39
2018-02-22,WSKT.JK,10595225357.7,10973164667.94,-377939310.24
2018-02-23,WSKT.JK,8207705861.78,18554831855.48,-10347125993.69
2018-02-26,WSKT.JK,3704003630.19,7524114812.65,-3820111182.46
2018-02-27,WSKT.JK,37345454517.56,9580601571.51,27764852946.05
2018-02-28,WSKT.JK,8422020517.96,9289882456.2,-867861938.24
2018-03-01,WSKT.JK,10661690592.41,11281888545.58,-620197953.17
2018-03-02,WSKT.JK,25979948451.34,16555053557.14,9424894894.21
2018-03-05,WSKT.JK,13581935999.04,22701772893.87,-9119836894.83
