Date,month_end_price,monthly_return,net_foreign_buy
2018-01-31,2634.619140625,,113902892990.86
2018-02-28,2709.095703125,0.0282684359767964,48243922617.68
2018-03-31,2299.47314453125,-0.1512026903003985,-54207698879.01
2018-04-30,2105.792236328125,-0.0842283845165788,-4631035909.82
2018-05-31,2210.60546875,0.0497737766403005,75572566963.36
2018-06-30,1834.2308349609373,-0.1702586187855067,-24917268331.53
2018-07-31,2020.0361328125,0.1012987538482417,65255665607.15001
2018-08-31,1805.6453857421875,-0.1061321347612807,-31727118195.82
2018-09-30,1619.8402099609375,-0.102902362362185,-12338238629.22
2018-10-31,1372.0999755859375,-0.1529411560792001,-58229258525.13
2018-11-30,1486.4415283203125,0.0833332517811225,61868838353.8
2018-12-31,1600.783203125,0.0769230895573096,127477947925.5
2019-01-31,1881.8731689453125,0.1755952744079132,106620975151.16
2019-02-28,1786.5885009765625,-0.050632885117413,9696788523.00999
2019-03-31,1891.401611328125,0.0586666209338473,38608206981.84
2019-04-30,2020.0361328125,0.0680101575011606,70634553918.87001
2019-05-31,1801.312744140625,-0.1082769684754826,-10326733671.45
2019-06-30,2000.352783203125,0.1104972136071009,56146127199.22001
2019-07-31,2040.1607666015625,0.0199004814214289,65877838888.04
2019-08-31,1736.6246337890625,-0.1487804969988326,-20196801412.84
2019-09-30,1642.0806884765625,-0.0544412093857143,5034709814.619997
2019-10-31,1547.53662109375,-0.0575757744709399,-3660294033.3200006
2019-11-30,1219.1204833984375,-0.2122186533222059,-32351991737.54
2019-12-31,1477.87255859375,0.2122448754810613,60523631105.84
2020-01-31,1224.096435546875,-0.1717171900724324,-18089685168.09
2020-02-29,970.3203735351562,-0.2073170500642314,-18275425171.48
2020-03-31,481.677001953125,-0.5035897265577995,-33443476635.149998
2020-04-30,602.0962524414062,0.25,63387378875.939995
2020-05-31,607.072265625,0.0082644812410255,10866253849.060001
2020-06-30,710.0,0.1695477461304095,99186517252.32999
2020-07-31,625.0,-0.1197183098591548,-10303334018.62
2020-08-31,650.0,0.04,776949723.9999998
2020-09-30,498.0,-0.2338461538461538,-9551416543.55
2020-10-31,740.0,0.4859437751004016,90179219614.33
2020-11-30,1040.0,0.4054054054054055,308908285014.48
2020-12-31,1440.0,0.3846153846153846,593311724215.1399
2021-01-31,1415.0,-0.0173611111111111,615724825782.94
2021-02-28,1425.0,0.0070671378091873,117606264387.42
2021-03-31,1155.0,-0.1894736842105263,-80719423717.59
2021-04-30,1110.0,-0.0389610389610389,72648197875.91
2021-05-31,1035.0,-0.0675675675675675,1227199253.2000005
2021-06-30,880.0,-0.1497584541062802,-6296517894.55
2021-07-31,875.0,-0.0056818181818182,17861961108.469997
2021-08-31,835.0,-0.0457142857142857,-621631246.1000017
2021-09-30,835.0,0.0,-2740930895.8600006
2021-10-31,920.0,0.1017964071856287,72061575210.49
2021-11-30,790.0,-0.1413043478260869,-19325710935.54
2021-12-31,635.0,-0.1962025316455696,-16026017800.689999
2022-01-31,585.0,-0.0787401574803149,316695153.4199991
2022-02-28,570.0,-0.0256410256410256,-12623769949.2
2022-03-31,550.0,-0.0350877192982456,24220298022.429996
2022-04-30,530.0,-0.0363636363636363,-396952717.6799996
2022-05-31,560.0,0.0566037735849056,9587344968.05
2022-06-30,550.0,-0.0178571428571429,10508451460.250002
2022-07-31,515.0,-0.0636363636363636,-3261781037.56
2022-08-31,565.0,0.0970873786407766,19619035141.35
2022-09-30,505.0,-0.1061946902654867,-13256037466.02
2022-10-31,480.0,-0.0495049504950495,-7437711086.76
2022-11-30,422.0,-0.1208333333333333,-5178502966.79
2022-12-31,360.0,-0.1469194312796208,-9558976885.02
2023-01-31,340.0,-0.0555555555555555,-4491935497.889999
2023-02-28,348.0,0.0235294117647058,5288633807.02
2023-03-31,226.0,-0.3505747126436781,8371378172.849999
2023-04-30,230.0,0.0176991150442478,1583334928.79
2023-05-31,202.0,-0.1217391304347825,-1705568480.65
2023-06-30,202.0,0.0,0.0
2023-07-31,202.0,0.0,0.0
2023-08-31,202.0,0.0,0.0
2023-09-30,202.0,0.0,0.0
2023-10-31,202.0,0.0,0.0
2023-11-30,202.0,0.0,0.0
2023-12-31,202.0,0.0,0.0
2024-01-31,202.0,0.0,0.0
2024-02-29,202.0,0.0,0.0
2024-03-31,202.0,0.0,0.0
2024-04-30,202.0,0.0,0.0
2024-05-31,202.0,0.0,0.0
2024-06-30,202.0,0.0,0.0
2024-07-31,202.0,0.0,0.0
2024-08-31,202.0,0.0,0.0
2024-09-30,202.0,0.0,0.0
2024-10-31,202.0,0.0,0.0
2024-11-30,202.0,0.0,0.0
2024-12-31,202.0,0.0,0.0
2025-01-31,202.0,0.0,0.0
2025-02-28,202.0,0.0,0.0
2025-03-31,202.0,0.0,0.0
2025-04-30,202.0,0.0,0.0
2025-05-31,202.0,0.0,0.0
2025-06-30,202.0,0.0,0.0
2025-07-31,202.0,0.0,0.0
2025-08-31,202.0,0.0,0.0
2025-09-30,202.0,0.0,0.0
2025-10-31,202.0,0.0,0.0
2025-11-30,202.0,0.0,0.0
2025-12-31,202.0,0.0,0.0
2026-01-31,202.0,0.0,0.0
2026-02-28,202.0,0.0,0.0
2026-03-31,202.0,0.0,0.0
2026-04-30,202.0,0.0,0.0
2026-05-31,202.0,0.0,0.0
