date,ticker,weight,rank,return_12m
2019-01,PTBA.JK,20.0,1,0.3954
2019-01,ICBP.JK,20.0,2,0.2662
2019-01,BBCA.JK,20.0,3,0.2534
2019-01,SMGR.JK,20.0,4,0.1542
2019-01,GGRM.JK,20.0,5,0.0725
2019-02,PTBA.JK,20.0,1,0.382
2019-02,BBCA.JK,20.0,2,0.2028
2019-02,ICBP.JK,20.0,3,0.1681
2019-02,SMGR.JK,20.0,4,0.1546
2019-02,GGRM.JK,20.0,5,0.1128
2019-03,PTBA.JK,20.0,1,0.5762
2019-03,INTP.JK,20.0,2,0.3884
2019-03,SMGR.JK,20.0,3,0.3612
2019-03,JSMR.JK,20.0,4,0.3219
2019-03,BBCA.JK,20.0,5,0.1953
2019-04,SMGR.JK,20.0,1,0.4205
2019-04,JSMR.JK,20.0,2,0.3959
2019-04,BBRI.JK,20.0,3,0.3571
2019-04,BBCA.JK,20.0,4,0.3171
2019-04,INTP.JK,20.0,5,0.2915
2019-05,BBRI.JK,20.0,1,0.3785
2019-05,SMGR.JK,20.0,2,0.375
2019-05,BBCA.JK,20.0,3,0.2979
2019-05,JSMR.JK,20.0,4,0.2917
2019-05,PWON.JK,20.0,5,0.2733
2019-06,SMGR.JK,20.0,1,0.6543
2019-06,BBRI.JK,20.0,2,0.5898
2019-06,INTP.JK,20.0,3,0.5061
2019-06,BBCA.JK,20.0,4,0.4132
2019-06,PWON.JK,20.0,5,0.3931
2019-07,SMGR.JK,20.0,1,0.7251
2019-07,INTP.JK,20.0,2,0.6356
2019-07,BBRI.JK,20.0,3,0.5112
2019-07,PWON.JK,20.0,4,0.4413
2019-07,MNCN.JK,20.0,5,0.4151
2019-08,SMGR.JK,20.0,1,0.4278
2019-08,ICBP.JK,20.0,2,0.4176
2019-08,BBRI.JK,20.0,3,0.3905
2019-08,MNCN.JK,20.0,4,0.389
2019-08,TLKM.JK,20.0,5,0.3292
2019-09,MNCN.JK,20.0,1,0.5553
2019-09,ICBP.JK,20.0,2,0.3906
2019-09,BBRI.JK,20.0,3,0.3544
2019-09,INDF.JK,20.0,4,0.3522
2019-09,PWON.JK,20.0,5,0.304
2019-10,MNCN.JK,20.0,1,0.7091
2019-10,SMGR.JK,20.0,2,0.4313
2019-10,BBRI.JK,20.0,3,0.384
2019-10,BBCA.JK,20.0,4,0.3464
2019-10,INDF.JK,20.0,5,0.3353
2019-11,MNCN.JK,20.0,1,0.6041
2019-11,ANTM.JK,20.0,2,0.2395
2019-11,INDF.JK,20.0,3,0.2345
2019-11,BBCA.JK,20.0,4,0.2204
2019-11,JSMR.JK,20.0,5,0.2062
2019-12,MNCN.JK,20.0,1,1.3948
2019-12,ADRO.JK,20.0,2,0.3386
2019-12,BBCA.JK,20.0,3,0.3014
2019-12,MEDC.JK,20.0,4,0.2628
2019-12,BBRI.JK,20.0,5,0.2449
2020-01,MNCN.JK,20.0,1,0.9076
2020-01,BBRI.JK,20.0,2,0.1996
2020-01,BBCA.JK,20.0,3,0.1641
2020-01,ICBP.JK,20.0,4,0.0704
2020-01,BMRI.JK,20.0,5,0.0462
2020-02,MNCN.JK,20.0,1,0.3932
2020-02,BBRI.JK,20.0,2,0.171
2020-02,BBCA.JK,20.0,3,0.1546
2020-02,BMRI.JK,20.0,4,0.1073
2020-02,ICBP.JK,20.0,5,0.0189
2020-03,MNCN.JK,20.0,1,0.2233
2020-03,ICBP.JK,20.0,2,0.1118
2020-03,INDF.JK,20.0,3,0.0208
2020-03,BBCA.JK,20.0,4,0.0151
2020-03,TLKM.JK,20.0,5,-0.1681
2020-04,ICBP.JK,20.0,1,0.0296
2020-04,MNCN.JK,20.0,2,-0.0132
2020-04,TLKM.JK,20.0,3,-0.0373
2020-04,INDF.JK,20.0,4,-0.0378
2020-04,KLBF.JK,20.0,5,-0.0504
2020-05,CPIN.JK,20.0,1,0.2071
2020-05,ERAA.JK,20.0,2,0.0681
2020-05,KLBF.JK,20.0,3,0.0261
2020-05,BBCA.JK,20.0,4,-0.09
2020-05,INDF.JK,20.0,5,-0.1071
2020-06,CPIN.JK,20.0,1,0.1786
2020-06,KLBF.JK,20.0,2,0.0143
2020-06,BBCA.JK,20.0,3,-0.0306
2020-06,INDF.JK,20.0,4,-0.0712
2020-06,ICBP.JK,20.0,5,-0.0788
2020-07,BRPT.JK,20.0,1,0.2242
2020-07,CPIN.JK,20.0,2,0.1581
2020-07,INCO.JK,20.0,3,0.1287
2020-07,KLBF.JK,20.0,4,0.0799
2020-07,BBCA.JK,20.0,5,0.0287
2020-08,CPIN.JK,20.0,1,0.2537
2020-08,UNTR.JK,20.0,2,0.1746
2020-08,ERAA.JK,20.0,3,0.1097
2020-08,INCO.JK,20.0,4,0.0737
2020-08,BBCA.JK,20.0,5,0.0498
2020-09,UNTR.JK,20.0,1,0.1842
2020-09,CPIN.JK,20.0,2,0.0749
2020-09,INCO.JK,20.0,3,0.0142
2020-09,PTBA.JK,20.0,4,0.0057
2020-09,INDF.JK,20.0,5,-0.0314
2020-10,ANTM.JK,20.0,1,0.1909
2020-10,INCO.JK,20.0,2,0.0916
2020-10,UNTR.JK,20.0,3,0.0284
2020-10,PTBA.JK,20.0,4,0.005
2020-10,ERAA.JK,20.0,5,-0.0085
2020-11,INCO.JK,20.0,1,0.5367
2020-11,ANTM.JK,20.0,2,0.5338
2020-11,ERAA.JK,20.0,3,0.2836
2020-11,ADRO.JK,20.0,4,0.2284
2020-11,UNTR.JK,20.0,5,0.1598
2020-12,ANTM.JK,20.0,1,1.3143
2020-12,INCO.JK,20.0,2,0.4011
2020-12,UNTR.JK,20.0,3,0.304
2020-12,ERAA.JK,20.0,4,0.2256
2020-12,PTPP.JK,20.0,5,0.2243
2021-01,ANTM.JK,20.0,1,2.0977
2021-01,ERAA.JK,20.0,2,0.7421
2021-01,INCO.JK,20.0,3,0.7405
2021-01,PTBA.JK,20.0,4,0.3469
2021-01,UNTR.JK,20.0,5,0.2558
2021-02,ANTM.JK,20.0,1,3.9621
2021-02,INCO.JK,20.0,2,1.4796
2021-02,ERAA.JK,20.0,3,0.6235
2021-02,TOWR.JK,20.0,4,0.6151
2021-02,UNTR.JK,20.0,5,0.4334
2021-03,ANTM.JK,20.0,1,4.0232
2021-03,ERAA.JK,20.0,2,1.7005
2021-03,JPFA.JK,20.0,3,1.0553
2021-03,BBTN.JK,20.0,4,1.0476
2021-03,INCO.JK,20.0,5,1.0278
2021-04,ANTM.JK,20.0,1,3.9407
2021-04,ERAA.JK,20.0,2,1.4206
2021-04,JPFA.JK,20.0,3,1.2421
2021-04,BBTN.JK,20.0,4,0.8068
2021-04,INCO.JK,20.0,5,0.7938
2021-05,ANTM.JK,20.0,1,3.6341
2021-05,ERAA.JK,20.0,2,1.3904
2021-05,JPFA.JK,20.0,3,1.2908
2021-05,BBTN.JK,20.0,4,1.1513
2021-05,INCO.JK,20.0,5,0.7171
2021-06,ANTM.JK,20.0,1,2.8293
2021-06,ERAA.JK,20.0,2,1.8132
2021-06,INCO.JK,20.0,3,0.6616
2021-06,JPFA.JK,20.0,4,0.4873
2021-06,BBRI.JK,20.0,5,0.3317
2021-07,ANTM.JK,20.0,1,2.4771
2021-07,TBIG.JK,20.0,2,1.5265
2021-07,MDKA.JK,20.0,3,0.6536
2021-07,TOWR.JK,20.0,4,0.3222
2021-07,ADRO.JK,20.0,5,0.2993
2021-08,ANTM.JK,20.0,1,1.9358
2021-08,TBIG.JK,20.0,2,1.4352
2021-08,MDKA.JK,20.0,3,0.6207
2021-08,TOWR.JK,20.0,4,0.3263
2021-08,TLKM.JK,20.0,5,0.2488
2021-09,ANTM.JK,20.0,1,2.2718
2021-09,TBIG.JK,20.0,2,1.2512
2021-09,ADRO.JK,20.0,3,0.6375
2021-09,MDKA.JK,20.0,4,0.5604
2021-09,EXCL.JK,20.0,5,0.5209
2021-10,ANTM.JK,20.0,1,1.2341
2021-10,TBIG.JK,20.0,2,0.99
2021-10,MDKA.JK,20.0,3,0.7268
2021-10,ADRO.JK,20.0,4,0.5769
2021-10,EXCL.JK,20.0,5,0.541
2021-11,TBIG.JK,20.0,1,1.1518
2021-11,ANTM.JK,20.0,2,1.0233
2021-11,MDKA.JK,20.0,3,0.8866
2021-11,TLKM.JK,20.0,4,0.2976
2021-11,EXCL.JK,20.0,5,0.2938
2021-12,TBIG.JK,20.0,1,0.8376
2021-12,ADRO.JK,20.0,2,0.7853
2021-12,MDKA.JK,20.0,3,0.6008
2021-12,TLKM.JK,20.0,4,0.2821
2021-12,TOWR.JK,20.0,5,0.1996
2022-01,ADRO.JK,20.0,1,1.118
2022-01,EXCL.JK,20.0,2,0.5189
2022-01,MDKA.JK,20.0,3,0.4275
2022-01,TLKM.JK,20.0,4,0.4152
2022-01,BBNI.JK,20.0,5,0.33
2022-02,ADRO.JK,20.0,1,1.3559
2022-02,TBIG.JK,20.0,2,0.3756
2022-02,MDKA.JK,20.0,3,0.3675
2022-02,BBNI.JK,20.0,4,0.3549
2022-02,EXCL.JK,20.0,5,0.3203
2022-03,ADRO.JK,20.0,1,1.5977
2022-03,MDKA.JK,20.0,2,1.107
2022-03,INCO.JK,20.0,3,0.5438
2022-03,BBNI.JK,20.0,4,0.4789
2022-03,TBIG.JK,20.0,5,0.4077
2022-04,ADRO.JK,20.0,1,2.044
2022-04,MDKA.JK,20.0,2,1.0735
2022-04,BBNI.JK,20.0,3,0.6483
2022-04,PTBA.JK,20.0,4,0.6118
2022-04,INCO.JK,20.0,5,0.5981
2022-05,ADRO.JK,20.0,1,2.0887
2022-05,MDKA.JK,20.0,2,1.069
2022-05,PTBA.JK,20.0,3,1.0498
2022-05,INCO.JK,20.0,4,0.7389
2022-05,BBNI.JK,20.0,5,0.7304
2022-06,ADRO.JK,20.0,1,1.6678
2022-06,PTBA.JK,20.0,2,1.2436
