column,dtype,null_count,null_pct,non_null_count,sample_value
Date,datetime64[us],0,0.0,59303,2018-01-01 00:00:00
ticker,str,0,0.0,59303,ADRO.JK
Open,float64,0,0.0,59303,457.1473388671875
High,float64,0,0.0,59303,457.1473388671875
Low,float64,0,0.0,59303,457.1473388671875
Close,float64,0,0.0,59303,457.1473388671875
Volume,int64,0,0.0,59303,0
daily_return,float64,30,0.05,59273,0.010752677404857858
20d_return,float64,600,1.01,58703,0.37634390943966967
60d_return,float64,1800,3.04,57503,0.09139779131956605
120d_return,float64,3600,6.07,55703,0.07876418142720687
252d_return,float64,7560,12.75,51743,-0.305911479215616
20d_high,float64,0,0.0,59303,457.1473388671875
60d_high,float64,0,0.0,59303,457.1473388671875
120d_high,float64,0,0.0,59303,457.1473388671875
252d_high,float64,0,0.0,59303,457.1473388671875
20d_low,float64,0,0.0,59303,457.1473388671875
60d_low,float64,0,0.0,59303,457.1473388671875
120d_low,float64,0,0.0,59303,457.1473388671875
252d_low,float64,0,0.0,59303,457.1473388671875
distance_from_high_252d,float64,0,0.0,59303,0.0
drawdown_252d,float64,0,0.0,59303,0.0
recovery_from_60d_low,float64,0,0.0,59303,0.0
volatility_20d,float64,300,0.51,59003,0.5097140857447465
volatility_60d,float64,900,1.52,58403,0.47124430096245346
avg_volume_20d,float64,270,0.46,59033,71843600.0
volume_ratio,float64,270,0.46,59033,1.2698639823171445
rs_20d,float64,2527,4.26,56776,0.3191142762342132
rs_60d,float64,3695,6.23,55608,0.10559571409091595
rs_120d,float64,5251,8.85,54052,0.192057067747339
rs_252d,float64,8898,15.0,50405,-0.27759284676268914
rs_change_20d,float64,3956,6.67,55347,-0.3815015549046339
rs_change_60d,float64,6024,10.16,53279,-0.07401510489585672
momentum_slope,float64,1470,2.48,57833,-0.014253004802667599
ma20,float64,270,0.46,59033,502.2475952148437
ma50,float64,720,1.21,58583,549.2157958984375
ma100,float64,1470,2.48,57833,568.0669921875
ma200,float64,2970,5.01,56333,531.35302734375
above_ma20,bool,0,0.0,59303,False
above_ma50,bool,0,0.0,59303,False
above_ma100,bool,0,0.0,59303,False
above_ma200,bool,0,0.0,59303,False
golden_cross,bool,0,0.0,59303,False
death_cross,bool,0,0.0,59303,False
