ticker,first_date,last_date,row_count,date_span_days,missing_pct,max_gap_days,coverage_pct
ADRO.JK,2018-01-01,2026-05-29,2061,3070,1.97,12,100.0
AKRA.JK,2018-01-01,2026-05-29,2062,3070,1.97,12,100.0
AMMN.JK,2023-07-07,2026-05-29,690,1057,4.54,12,33.5
ANTM.JK,2018-01-01,2026-05-29,2062,3070,1.97,12,100.0
ASII.JK,2018-01-01,2026-05-29,2061,3070,1.97,12,100.0
BBCA.JK,2018-01-01,2026-05-29,2062,3070,1.97,12,100.0
BBNI.JK,2018-01-01,2026-05-29,2062,3070,1.97,12,100.0
BBRI.JK,2018-01-01,2026-05-29,2062,3070,1.97,12,100.0
BMRI.JK,2018-01-01,2026-05-29,2062,3070,1.97,12,100.0
BRPT.JK,2018-01-01,2026-05-29,2062,3070,1.97,12,100.0
CPIN.JK,2018-01-01,2026-05-29,2061,3070,1.97,12,100.0
ESSA.JK,2018-01-01,2026-05-29,2061,3070,1.97,12,100.0
EXCL.JK,2018-01-01,2026-05-29,2062,3070,1.97,12,100.0
GOTO.JK,2022-04-11,2026-05-29,987,1509,3.17,12,47.9
HEAL.JK,2018-05-17,2026-05-29,1964,2934,1.95,12,95.2
ICBP.JK,2018-01-01,2026-05-29,2061,3070,1.97,12,100.0
INDF.JK,2018-01-01,2026-05-29,2062,3070,1.97,12,100.0
INTP.JK,2018-01-01,2026-05-29,2061,3070,1.97,12,100.0
ITMG.JK,2018-01-01,2026-05-29,2062,3070,1.97,12,100.0
KLBF.JK,2018-01-01,2026-05-29,2062,3070,1.97,12,100.0
MAPI.JK,2018-01-01,2026-05-29,2061,3070,1.97,12,100.0
MDKA.JK,2018-01-01,2026-05-29,2062,3070,1.97,12,100.0
MIKA.JK,2018-01-01,2026-05-29,2061,3070,1.97,12,100.0
PGAS.JK,2018-01-01,2026-05-29,2061,3070,1.97,12,100.0
PTBA.JK,2018-01-01,2026-05-29,2061,3070,1.97,12,100.0
SIDO.JK,2018-01-01,2026-05-29,2062,3070,1.97,12,100.0
SMGR.JK,2018-01-01,2026-05-29,2062,3070,1.97,12,100.0
TLKM.JK,2018-01-01,2026-05-29,2061,3070,1.97,12,100.0
TPIA.JK,2018-01-01,2026-05-29,2062,3070,1.97,12,100.0
UNTR.JK,2018-01-01,2026-05-29,2061,3070,1.97,12,100.0
